"district_attorney_file_number","date","time","employee_classification","employee_gender","employee_race",employee_age,"employee_service","previous_shooting",previous_number,"department_unit",reporting_district,"district_attorney_action","in_policy_force","in_policy_tactics","training","discipline"
"#11-0117","2011-02-14","20:15:00","DEPUTY SHERIFF","M ","HISPANIC ",37,"13 Years, 03 Months","N ",0,"ELA ",278,"Legally Justified ","Y ","N ","N ","Y"
"#11-0117","2011-02-14","20:15:00","DEPUTY SHERIFF","M ","HISPANIC ",33,"12 Years, 05 Months","N ",0,"ELA ",278,"Legally Justified ","Y ","Y ","N ","N"
"#11-0122","2011-02-18","23:27:00","DEPUTY SHERIFF","M ","WHITE ",45,"11 Years, 02 Months","N ",0,"ALD ",777,"Legally Justified ","Y ","Y ","Y ","Y"
"#11-0146","2011-02-26","3:53:00","DEPUTY SHERIFF","M ","HISPANIC ",43,"21 Years, 08 Months","N ",0,"ELA ",283,"Legally Justified ","Y ","Y ","N ","N"
"#11-0150","2011-03-01","15:29:00","SERGEANT ","M ","WHITE ",51,"23 Years, 09 Months","N ",0,"PLM ",2614,"Legally Justified ","Y ","Y ","Y ","N"
"#11-0150","2011-03-01","15:29:00","DEPUTY SHERIFF","M ","WHITE ",26,"05 Years, 01 Months","N ",0,"PLM ",2614,"Legally Justified ","Y ","Y ","Y ","N"
"#11-0150","2011-03-01","15:29:00","DEPUTY SHERIFF","M ","WHITE ",42,"23 Years, 01 Months","Y ",2,"PLM ",2614,"Legally Justified ","Y ","Y ","Y ","N"
"#11-0184","2011-03-10","20:35:00","DEPUTY SHERIFF","M ","HISPANIC ",43,"19 Years, 09 Months","N ",0,"LKD ",1323,"Legally Justified ","Y ","Y ","N ","N"
"#11-0184","2011-03-10","20:35:00","DEPUTY SHERIFF","M ","HISPANIC ",26,"05 Years, 00 Months","N ",0,"LKD ",1323,"Legally Justified ","Y ","Y ","N ","N"
"#11-0185","2011-03-12","2:52:00","DEPUTY SHERIFF","M ","HISPANIC ",33,"13 Years, 08 Months","N ",0,"CEN ",2142,"Legally Justified ","Y ","Y ","N ","N"
"n/a","2011-03-26","1:55:00","DEPUTY SHERIFF","M ","HISPANIC ",29,"05 Years, 08 Months","N ",0,"TEM ",590,"Legally Justified ","Y ","Y ","N ","N"
"#11-0254","2011-04-04","9:00:00","DEPUTY SHERIFF","M ","HISPANIC ",39,"10 Years, 11 Months","Y ",1,"CEN ",2176,"Legally Justified ","Y ","Y ","N ","N"
"#11-0252","2011-04-05","20:59:00","DEPUTY SHERIFF","M ","HISPANIC ",34,"10 Years, 10 Months","N ",0,"CEN ",2172,"Legally Justified ","Y ","Y ","N ","N"
"#11-0287","2011-04-08","18:04:00","DEPUTY SHERIFF","M ","WHITE ",28,"04 Years, 06 Months","Y ",1,"PLM ",2611,"Legally Justified ","Y ","Y ","N ","N"
"#11-0287","2011-04-08","18:04:00","DEPUTY SHERIFF","M ","WHITE ",30,"09 Years, 02 Months","N ",0,"PLM ",2611,"Legally Justified ","Y ","Y ","N ","N"
"#11-0363","2011-05-22","6:30:00","DEPUTY SHERIFF","M ","HISPANIC ",31,"09 Years, 04 Months","N ",0,"CEN ",2199,"Legally Justified ","Y ","Y ","N ","N"
"#11-0365","2011-05-24","6:44:00","DEPUTY SHERIFF","M ","HISPANIC ",40,"11 Years, 01 Months","Y ",2,"CEN ",2173,"Legally Justified ","Y ","Y ","N ","N"
"#11-0365","2011-05-24","6:44:00","DEPUTY SHERIFF","M ","WHITE ",31,"09 Years, 04 Months","N ",0,"CEN ",2173,"Legally Justified ","Y ","Y ","Y ","N"
"#11-0376","2011-05-25","20:33:00","DEPUTY SHERIFF","M ","HISPANIC ",28,"06 Years, 09 Months","N ",0,"CEN ",2131,"Legally Justified ","Y ","Y ","Y ","Y"
"#11-0434","2011-06-23","18:47:00","DEPUTY SHERIFF","M ","HISPANIC ",31,"06 Years, 00 Months","N ",0,"SLA ",399,"Legally Justified ","Y ","Y ","Y ","N"
"#11-0486","2011-07-21","21:50:00","DEPUTY SHERIFF","M ","HISPANIC ",43,"04 Years, 11 Months","N ",0,"ELA ",261,"Legally Justified ","Y ","N ","Y ","Y"
"#11-0500","2011-07-21","12:33:00","DEPUTY SHERIFF","M ","FILIPINO ",25,"22 Years, 00 Months","N ",0,"IND ",1499,"Legally Justified ","Y ","N ","Y ","N"
"#11-0548","2011-08-20","20:30:00","DEPUTY SHERIFF","M ","ASIAN-PACIFIC ISLANDER ",30,"05 Years, 04 Months","N ",0,"ELA ",278,"Legally Justified ","Y ","Y ","Y ","N"
"#11-0548","2011-08-20","20:30:00","DEPUTY SHERIFF","M ","HISPANIC ",33,"12 Years, 05 Months","Y ",1,"ELA ",278,"Legally Justified ","Y ","Y ","Y ","N"
"#11-0605","2011-09-09","21:19:00","DEPUTY SHERIFF","M ","HISPANIC ",28,"06 Years, 02 Months","Y ",2,"COM ",2830,"Legally Justified ","Y ","N ","N ","Y"
"#11-0651","2011-10-05","22:50:00","SERGEANT ","M ","BLACK ",37,"15 Years, 03 Months","N ",0,"CSN ",2316,"Legally Justified ","Y ","Y ","N ","N"
"#11-0657","2011-10-13","11:40:00","DEPUTY SHERIFF","M ","HISPANIC ",27,"08 Years, 02 Months","N ",0,"PLM ",2608,"Legally Justified ","Y ","Y ","Y ","N"
"#11-0657","2011-10-13","11:40:00","SERGEANT ","M ","WHITE ",59,"26 Years, 08 Months","N ",0,"PLM ",2608,"Legally Justified ","Y ","Y ","Y ","N"
"#11-0763","2011-11-29","3:36:00","DEPUTY SHERIFF","M ","HISPANIC ",29,"06 Years, 05 Months","N ",0,"NWK ",451,"Legally Justified ","Y ","Y ","N ","N"
"#11-0763","2011-11-29","3:36:00","SERGEANT ","M ","WHITE ",41,"16 Years, 05 Months","N ",0,"NWK ",451,"Legally Justified ","Y ","Y ","N ","N"
"#11-0763","2011-11-29","3:36:00","SERGEANT ","M ","WHITE ",45,"20 Years, 06 Months","Y ",1,"NWK ",451,"Legally Justified ","Y ","Y ","N ","N"
"#11-0764","2011-12-01","4:50:00","DEPUTY SHERIFF","M ","HISPANIC ",39,"16 Years, 06 Months","Y ",3,"SEB ",451,"Legally Justified ","Y ","Y ","N ","N"
"#11-0764","2011-12-01","4:50:00","DEPUTY SHERIFF","M ","HISPANIC ",44,"18 Years, 10 Months","Y ",1,"SEB ",451,"Legally Justified ","Y ","Y ","N ","N"
"#11-0796","2011-12-16","3:34:00","DEPUTY SHERIFF","M ","HISPANIC ",35,"11 Years, 05 Months","Y ",1,"IND ",1463,"Legally Justified ","Y ","N ","N ","Y"
"#11-0795","2011-12-17","4:57:00","DEPUTY SHERIFF","M ","HISPANIC ",47,"17 Years, 01 Months","N ",0,"TSB ",6891,"Legally Justified ","Y ","Y ","N ","N"
"#11-0823","2011-12-27","18:43:00","DEPUTY SHERIFF","M ","HISPANIC ",42,"17 Years, 04 Months","Y ",1,"LMT ",1735,"Legally Justified ","Y ","Y ","Y ","N"
"#11-0823","2011-12-27","18:43:00","DEPUTY SHERIFF","M ","WHITE ",43,"21 Years, 09 Months","N ",0,"LMT ",1735,"Legally Justified ","Y ","Y ","Y ","N"
"n/a","2011-12-28","16:30:00","DEPUTY SHERIFF","M ","HISPANIC ",43,"20 Years, 02 Months","N ",0,"LKD ",1335,"Legally Justified ","Y ","Y ","Y ","N"
"n/a","2011-12-28","16:30:00","DEPUTY SHERIFF","M ","HISPANIC ",27,"05 Years, 09 Months","Y ",1,"LKD ",1335,"Legally Justified ","Y ","Y ","Y ","N"
"#12-0017","2012-01-04","15:28:00","DEPUTY SHERIFF","M ","WHITE ",37,"17 Years, 04 Months","N ",0,"TEM ",530,"Legally Justified ","Y ","N ","Y ","Y"
"#12-0026","2012-01-05","14:47:00","DEPUTY SHERIFF","M ","WHITE ",27,"05 Years, 11 Months","N ",0,"LKD ",1365,"Legally Justified ","Y ","Y ","N ","N"
"#12-0068","2012-01-21","23:03:00","DEPUTY SHERIFF","M ","HISPANIC ",27,"04 Years, 09 Months","N ",0,"LCS ",1126,"Legally Justified ","Y ","N ","Y ","Y"
"#12-0085","2012-02-01","21:02:00","DEPUTY SHERIFF","M ","WHITE ",34,"05 Years, 11 Months","N ",0,"OSS ",1132,"Legally Justified ","Y ","Y ","N ","N"
"#12-0103","2012-02-08","8:14:00","DEPUTY SHERIFF","M ","HISPANIC ",54,"23 Years, 00 Months","N ",0,"MCB ",2824,"Legally Justified ","Y ","Y ","N ","N"
"#12-0103","2012-02-08","8:14:00","DEPUTY SHERIFF","M ","HISPANIC ",27,"22 Years, 01 Months","N ",0,"MCB ",2824,"Legally Justified ","Y ","Y ","N ","N"
"#12-0136","2012-02-21","0:25:00","DEPUTY SHERIFF","M ","ASIAN-PACIFIC ISLANDER ",32,"05 Years, 08 Months","N ",0,"LKD ",1367,"Legally Justified ","Y ","N ","N ","Y"
"#12-0139","2012-02-22","21:38:00","SERGEANT ","M ","HISPANIC ",43,"21 Years, 07 Months","N ",0,"PRV ",1515,"Legally Justified ","Y ","Y ","N ","N"
"#12-0139","2012-02-22","21:38:00","DEPUTY SHERIFF","M ","HISPANIC ",29,"05 Years, 07 Months","N ",0,"PRV ",1515,"Legally Justified ","Y ","Y ","N ","N"
"#12-0139","2012-02-22","21:38:00","DEPUTY SHERIFF","F ","HISPANIC ",31,"10 Years, 10 Months","N ",0,"PRV ",1515,"Legally Justified ","Y ","Y ","N ","N"
"#12-0139","2012-02-22","21:38:00","DEPUTY SHERIFF","M ","HISPANIC ",40,"17 Years, 00 Months","N ",0,"PRV ",1515,"Legally Justified ","Y ","Y ","N ","N"
"#12-0139","2012-02-22","21:38:00","DEPUTY SHERIFF","F ","HISPANIC ",39,"13 Years, 06 Months","N ",0,"PRV ",1515,"Legally Justified ","Y ","Y ","N ","N"
"#12-0149","2012-02-26","19:34:00","DEPUTY SHERIFF","M ","HISPANIC ",27,"07 Years, 01 Months","Y ",1,"LKD ",1348,"Legally Justified ","Y ","Y ","N ","N"
"#12-0149","2012-02-26","19:34:00","DEPUTY SHERIFF","M ","HISPANIC ",47,"10 Years, 08 Months","N ",0,"LKD ",1348,"Legally Justified ","Y ","N ","Y ","Y"
"#12-0149","2012-02-26","19:34:00","DEPUTY SHERIFF","M ","WHITE ",30,"06 Years, 10 Months","Y ",1,"LKD ",1348,"Legally Justified ","Y ","Y ","N ","N"
"#12-0159","2012-03-04","0:27:00","DEPUTY SHERIFF","M ","HISPANIC ",33,"10 Years, 10 Months","N ",0,"CEN ",2199,"Legally Justified ","Y ","Y ","N ","N"
"#12-0171","2012-03-07","14:49:00","DEPUTY SHERIFF","M ","HISPANIC ",30,"05 Years, 05 Months","Y ",2,"OSS ",2199,"Legally Justified ","Y ","N ","N ","Y"
"#12-0174","2012-03-08","15:30:00","DEPUTY SHERIFF","M ","HISPANIC ",57,"36 Years, 01 Months","N ",0,"LKD ",3674,"Legally Justified ","Y ","N ","Y ","Y"
"#12-0174","2012-03-08","15:30:00","DEPUTY SHERIFF","M ","WHITE ",33,"26 Years, 05 Months","N ",0,"LKD ",3674,"Legally Justified ","Y ","N ","Y ","Y"
"#12-0318","2012-05-05","23:37:00","DEPUTY SHERIFF","M ","WHITE ",25,"04 Years, 08 Months","N ",0,"LCS ",1197,"Legally Justified ","Y ","Y ","N ","N"
"#12-0318","2012-05-05","23:37:00","DEPUTY SHERIFF","M ","WHITE ",38,"12 Years, 08 Months","Y ",1,"LCS ",1197,"Legally Justified ","Y ","Y ","N ","N"
"#12-0338","2012-05-12","13:25:00","DEPUTY SHERIFF","M ","BLACK ",43,"17 Years, 11 Months","Y ",2,"IND ",1462,"Legally Justified ","Y ","Y ","N ","N"
"#12-0338","2012-05-12","13:25:00","DEPUTY SHERIFF","M ","BLACK ",54,"28 Years, 04 Months","N ",0,"IND ",1462,"Legally Justified ","Y ","Y ","N ","N"
"#12-0338","2012-05-12","13:25:00","DEPUTY SHERIFF","M ","HISPANIC ",46,"04 Years, 11 Months","N ",0,"IND ",1462,"Legally Justified ","Y ","Y ","N ","N"
"#12-0338","2012-05-12","13:25:00","SERGEANT ","M ","WHITE ",49,"26 Years, 00 Months","Y ",1,"IND ",1462,"Legally Justified ","Y ","Y ","N ","N"
"#12-0331","2012-05-13","21:03:00","DEPUTY SHERIFF","M ","HISPANIC ",33,"06 Years, 09 Months","Y ",1,"COM ",2836,"Legally Justified ","Y ","N ","Y ","N"
"#12-0331","2012-05-13","21:03:00","DEPUTY SHERIFF","M ","HISPANIC ",33,"11 Years, 06 Months","N ",0,"COM ",2836,"Legally Justified ","Y ","N ","N ","Y"
"#12-0359","2012-05-23","10:48:00","DEPUTY SHERIFF","M ","BLACK ",53,"23 Years, 07 Months","N ",0,"TST ",2812,"Legally Justified ","Y ","Y ","N ","N"
"#12-0425","2012-06-21","12:00:00","DEPUTY SHERIFF","F ","HISPANIC ",40,"07 Years, 10 Months","N ",0,"CEN ",2114,"Legally Justified ","Y ","Y ","N ","N"
"#12-0431","2012-06-24","12:34:00","DEPUTY SHERIFF","M ","HISPANIC ",33,"10 Years, 11 Months","N ",0,"CEN ",2117,"Legally Justified ","Y ","N ","N ","N"
"#12-0438","2012-07-01","2:24:00","DEPUTY SHERIFF","M ","HISPANIC ",33,"06 Years, 10 Months","Y ",1,"COM ",2846,"Legally Justified ","Y ","N ","N ","Y"
"#12-0506","2012-08-03","18:00:00","DEPUTY SHERIFF","M ","HISPANIC ",30,"06 Years, 00 Months","N ",0,"PLM ",2611,"Legally Justified ","Y ","Y ","N ","Y"
"#12-0506","2012-08-03","18:00:00","DEPUTY SHERIFF","M ","WHITE ",33,"05 Years, 08 Months","N ",0,"PLM ",2611,"Legally Justified ","Y ","Y ","N ","N"
"#12-0541","2012-08-16","12:18:00","DEPUTY SHERIFF","M ","HISPANIC ",39,"10 Years, 03 Months","Y ",1,"COM ",2824,"Legally Justified ","Y ","Y ","N ","N"
"#12-0541","2012-08-16","12:18:00","DEPUTY SHERIFF","M ","HISPANIC ",37,"12 Years, 08 Months","N ",0,"COM ",2824,"Legally Justified ","Y ","Y ","N ","N"
"#12-0554","2012-08-24","14:11:00","DEPUTY SHERIFF","M ","HISPANIC ",35,"06 Years, 03 Months","Y ",3,"LKD ",1332,"Legally Justified ","Y ","Y ","Y ","N"
"#12-0559","2012-08-29","17:57:00","DEPUTY SHERIFF","M ","HISPANIC ",43,"23 Years, 03 Months","Y ",3,"MCB ",1617,"Legally Justified ","Y ","Y ","N ","N"
"#12-0561","2012-08-29","17:33:00","DEPUTY SHERIFF","F ","WHITE ",33,"06 Years, 06 Months","N ",0,"CSN ",1699,"Legally Justified ","Y ","N ","Y ","N"
"#12-0561","2012-08-29","17:33:00","DEPUTY SHERIFF","M ","WHITE ",39,"06 Years, 04 Months","N ",0,"CSN ",1699,"Legally Justified ","Y ","N ","Y ","N"
"#12-0596","2012-09-08","19:17:00","DEPUTY SHERIFF","M ","HISPANIC ",35,"11 Years, 00 Months","Y ",1,"COM ",2824,"Legally Justified ","Y ","Y ","N ","N"
"#12-0600","2012-09-17","19:40:00","DEPUTY SHERIFF","M ","WHITE ",43,"12 Years, 05 Months","N ",0,"LKD ",1369,"Legally Justified ","Y ","Y ","N ","N"
"#12-0620","2012-09-28","22:12:00","DEPUTY SHERIFF","M ","HISPANIC ",42,"17 Years, 09 Months","N ",0,"ELA ",282,"Legally Justified ","Y ","N ","N ","Y"
"#12-0620","2012-09-28","22:12:00","DEPUTY SHERIFF","M ","HISPANIC ",41,"17 Years, 07 Months","N ",0,"ELA ",282,"Legally Justified ","Y ","N ","N ","Y"
"#12-0685","2012-10-18","1:04:00","DEPUTY SHERIFF","M ","HISPANIC ",32,"07 Years, 03 Months","Y ",1,"SLA ",399,"Legally Justified ","Y ","Y ","N ","N"
"#12-0688","2012-10-20","15:00:00","DEPUTY SHERIFF","M ","HISPANIC ",36,"11 Years, 06 Months","N ",0,"NWK ",458,"Legally Justified ","Y ","Y ","N ","N"
"#12-0688","2012-10-20","15:00:00","DEPUTY SHERIFF","M ","WHITE ",31,"11 Years, 06 Months","N ",0,"NWK ",458,"Legally Justified ","Y ","Y ","N ","N"
"#12-0689","2012-10-24","18:18:00","DEPUTY SHERIFF","M ","HISPANIC ",30,"07 Years, 00 Months","N ",0,"COM ",2826,"Legally Justified ","Y ","N ","N ","Y"
"#12-0689","2012-10-24","18:18:00","DEPUTY SHERIFF","M ","WHITE ",39,"07 Years, 09 Months","Y ",1,"COM ",2826,"Legally Justified ","Y ","N ","N ","Y"
"#12-0742","2012-11-09","10:12:00","DEPUTY SHERIFF","M ","HISPANIC ",40,"13 Years, 03 Months","N ",0,"LCS ",641,"Legally Justified ","Y ","Y ","N ","N"
"#12-0742","2012-11-09","10:12:00","DEPUTY SHERIFF","F ","HISPANIC ",40,"04 Years, 05 Months","N ",0,"LCS ",641,"Legally Justified ","Y ","Y ","N ","N"
"#12-0742","2012-11-09","10:12:00","SERGEANT ","M ","WHITE ",57,"27 Years, 01 Months","N ",0,"LCS ",641,"Legally Justified ","Y ","Y ","N ","N"
"#12-0742","2012-11-09","10:12:00","SERGEANT ","M ","WHITE ",43,"24 Years, 03 Months","N ",0,"LCS ",641,"Legally Justified ","Y ","Y ","N ","N"
"#12-0742","2012-11-09","10:12:00","DEPUTY SHERIFF","M ","WHITE ",46,"21 Years, 01 Months","N ",0,"LCS ",641,"Legally Justified ","Y ","Y ","N ","N"
"#12-0742","2012-11-09","10:12:00","DEPUTY SHERIFF, HRLY","M ","WHITE ",64,"30 Years, 01 Months","N ",0,"LCS ",641,"Legally Justified ","Y ","Y ","N ","N"
"#12-0742","2012-11-09","10:12:00","DEPUTY SHERIFF","M ","WHITE ",37,"05 Years, 06 Months","N ",0,"LCS ",641,"Legally Justified ","Y ","Y ","N ","N"
"#12-0742","2012-11-09","10:12:00","DEPUTY SHERIFF","M ","WHITE ",55,"28 Years, 11 Months","N ",0,"LCS ",641,"Legally Justified ","Y ","Y ","N ","N"
"#12-0742","2012-11-09","10:12:00","DEPUTY SHERIFF","M ","WHITE ",35,"11 Years, 05 Months","N ",0,"LCS ",641,"Legally Justified ","Y ","Y ","N ","N"
"#12-0742","2012-11-09","10:12:00","DEPUTY SHERIFF","M ","WHITE ",51,"23 Years, 03 Months","N ",0,"LCS ",641,"Legally Justified ","Y ","Y ","N ","N"
"#12-0742","2012-11-09","10:12:00","DEPUTY SHERIFF","M ","WHITE ",40,"14 Years, 08 Months","N ",0,"LCS ",641,"Legally Justified ","Y ","Y ","N ","N"
"#12-0744","2012-11-10","22:18:00","DEPUTY SHERIFF","M ","HISPANIC ",28,"07 Years, 07 Months","N ",0,"CEN ",2137,"Legally Justified ","Y ","N ","N ","Y"
"#12-0744","2012-11-10","22:18:00","DEPUTY SHERIFF","M ","HISPANIC ",39,"13 Years, 06 Months","N ",0,"CEN ",2137,"Legally Justified ","Y ","N ","N ","Y"
"#12-0745","2012-11-14","19:43:00","DEPUTY SHERIFF","M ","WHITE ",31,"07 Years, 11 Months","Y ",2,"COM ",2851,"Legally Justified ","Y ","N ","N ","Y"
"#12-0761","2012-11-16","21:30:00","DEPUTY SHERIFF","M ","HISPANIC ",42,"15 Years, 08 Months","Y ",1,"OSS ",2174,"Legally Justified ","Y ","Y ","N ","N"
"#12-0761","2012-11-16","21:30:00","DEPUTY SHERIFF","M ","HISPANIC ",38,"16 Years, 01 Months","Y ",2,"OSS ",2174,"Legally Justified ","Y ","Y ","N ","N"
"#12-0761","2012-11-16","21:30:00","DEPUTY SHERIFF","M ","WHITE ",30,"08 Years, 03 Months","Y ",2,"OSS ",2174,"Legally Justified ","Y ","Y ","N ","N"
"#12-0765","2012-11-23","11:08:00","DEPUTY SHERIFF","M ","BLACK ",28,"07 Years, 10 Months","Y ",2,"CEN ",2131,"Legally Justified ","Y ","Y ","N ","N"
"#12-0828","2012-12-23","7:01:00","DEPUTY SHERIFF","M ","WHITE ",37,"12 Years, 05 Months","Y ",1,"SEB ",1278,"Legally Justified ","Y ","Y ","N ","N"
"#13-0063","2013-01-10","16:08:00","DEPUTY SHERIFF","M ","HISPANIC ",35,"11 Years, 06 Months","N ",0,"PRV ",1575,"Legally Justified ","Y ","Y ","Y ","N"
"#13-0063","2013-01-10","16:08:00","DEPUTY SHERIFF","M ","HISPANIC ",44,"14 Years, 04 Months","N ",0,"PRV ",1575,"Legally Justified ","Y ","Y ","Y ","N"
"#13-0063","2013-01-10","16:08:00","DEPUTY SHERIFF","F ","HISPANIC ",36,"12 Years, 07 Months","N ",0,"PRV ",1575,"Legally Justified ","Y ","Y ","Y ","N"
"#13-0063","2013-01-10","16:08:00","DEPUTY SHERIFF","M ","HISPANIC ",39,"13 Years, 08 Months","N ",0,"PRV ",1575,"Legally Justified ","Y ","Y ","Y ","N"
"#13-0063","2013-01-10","16:08:00","DEPUTY SHERIFF","F ","HISPANIC ",37,"12 Years, 09 Months","Y ",1,"PRV ",1575,"Legally Justified ","Y ","Y ","Y ","N"
"#13-0063","2013-01-10","16:08:00","DEPUTY SHERIFF","M ","HISPANIC ",37,"12 Years, 09 Months","N ",0,"PRV ",1575,"Legally Justified ","Y ","Y ","Y ","N"
"#13-0063","2013-01-10","16:08:00","DEPUTY SHERIFF","M ","WHITE ",42,"18 Years, 05 Months","N ",0,"PRV ",1575,"Legally Justified ","Y ","Y ","Y ","N"
"#13-0084","2013-01-21","4:59:00","DEPUTY SHERIFF","M ","WHITE ",28,"07 Years, 01 Months","N ",0,"SLA ",374,"Legally Justified ","Y ","Y ","Y ","N"
"#13-0120","2013-02-01","2:00:00","DEPUTY SHERIFF","M ","ASIAN-PACIFIC ISLANDER ",31,"08 Years, 05 Months","N ",0,"WAL ",2914,"Legally Justified ","Y ","N ","Y ","Y"
"#13-0161","2013-02-19","20:31:00","DEPUTY SHERIFF","M ","HISPANIC ",45,"24 Years, 02 Months","Y ",2,"COM ",2871,"Legally Justified ","Y ","Y ","N ","N"
"#13-0226","2013-04-09","13:49:00","DEPUTY SHERIFF","M ","HISPANIC ",37,"07 Years, 09 Months","N ",0,"CEN ",2117,"Legally Justified ","Y ","Y ","N ","N"
"#13-0247","2013-04-10","23:58:00","DEPUTY SHERIFF","M ","WHITE ",28,"06 Years, 09 Months","Y ",1,"ELA ",250,"Legally Justified ","Y ","Y ","Y ","N"
"#13-0276","2013-04-20","20:30:00","DEPUTY SHERIFF","M ","HISPANIC ",30,"07 Years, 06 Months","N ",0,"CEN ",2199,"Legally Justified ","Y ","N ","Y ","Y"
"#13-0308","2013-04-29","22:20:00","DEPUTY SHERIFF","M ","HISPANIC ",49,"23 Years, 03 Months","N ",0,"ELA ",286,"Legally Justified ","Y ","Y ","N ","N"
"#13-0308","2013-04-29","22:20:00","DEPUTY SHERIFF","M ","HISPANIC ",33,"07 Years, 06 Months","N ",0,"ELA ",286,"Legally Justified ","Y ","Y ","N ","N"
"#13-0308","2013-04-29","22:20:00","DEPUTY SHERIFF","M ","HISPANIC ",35,"13 Years, 07 Months","Y ",4,"ELA ",286,"Legally Justified ","Y ","Y ","N ","N"
"#13-0308","2013-04-29","22:20:00","DEPUTY SHERIFF","M ","HISPANIC ",45,"21 Years, 04 Months","N ",0,"ELA ",286,"Legally Justified ","Y ","Y ","N ","N"
"#13-0308","2013-04-29","22:20:00","DEPUTY SHERIFF","M ","WHITE ",42,"22 Years, 00 Months","Y ",2,"ELA ",286,"Legally Justified ","Y ","Y ","N ","N"
"#13-0308","2013-04-29","22:20:00","DEPUTY SHERIFF","M ","WHITE ",44,"24 Years, 05 Months","Y ",1,"ELA ",286,"Legally Justified ","Y ","N ","N ","N"
"#13-0429","2013-05-01","19:25:00","DEPUTY SHERIFF","M ","WHITE ",33,"12 Years, 06 Months","N ",0,"SCV ",631,"Legally Justified ","Y ","Y ","N ","N"
"#13-0340","2013-05-11","23:50:00","DEPUTY SHERIFF","M ","HISPANIC ",27,"06 Years, 07 Months","N ",0,"ELA ",261,"Legally Justified ","Y ","Y ","Y ","N"
"#13-0341","2013-05-14","21:15:00","DEPUTY SHERIFF","M ","WHITE ",35,"07 Years, 03 Months","Y ",1,"LKD ",1364,"Legally Justified ","Y ","Y ","N ","N"
"#13-0350","2013-05-18","21:12:00","DEPUTY SHERIFF","M ","HISPANIC ",30,"08 Years, 09 Months","Y ",1,"CEN ",2171,"Legally Justified ","Y ","Y ","N ","N"
"#13-0350","2013-05-18","21:12:00","DEPUTY SHERIFF","M ","WHITE ",38,"11 Years, 00 Months","N ",0,"CEN ",2171,"Legally Justified ","Y ","Y ","N ","N"
"#13-0375","2013-05-22","11:40:00","DEPUTY SHERIFF","M ","HISPANIC ",48,"23 Years, 03 Months","N ",0,"MCB ",3199,"Legally Justified ","Y ","Y ","N ","N"
"#13-0383","2013-05-23","19:28:00","DEPUTY SHERIFF","M ","HISPANIC ",35,"07 Years, 01 Months","N ",0,"COM ",2826,"Legally Justified ","Y ","Y ","N ","N"
"#13-0383","2013-05-23","19:28:00","DEPUTY SHERIFF","M ","WHITE ",31,"08 Years, 04 Months","N ",0,"COM ",2826,"Legally Justified ","Y ","Y ","N ","N"
"#13-0456","2013-06-21","21:26:00","DEPUTY SHERIFF","F ","HISPANIC ",NULL,"08 Years, 04 Months","N ",0,"SLA ",372,"Legally Justified ","Y ","Y ","N ","N"
"#13-0456","2013-06-21","21:26:00","DEPUTY SHERIFF","M ","WHITE ",26,"12 Years, 11 Months","N ",0,"SLA ",372,"Legally Justified ","Y ","Y ","N ","N"
"#13-0457","2013-06-22","21:44:00","DEPUTY SHERIFF","M ","WHITE ",39,"Yr. Mo. ","Y ",2,"IDT ",1432,"Legally Justified ","Y ","N ","Y ","Y"
"#13-0462","2013-06-27","7:05:00","SERGEANT ","M ","WHITE ",45,"24 Years, 09 Months","Y ",3,"PLM ",2664,"Legally Justified ","Y ","Y ","N ","N"
"#13-0465","2013-06-27","5:44:00","DEPUTY SHERIFF","M ","WHITE ",31,"12 Years, 05 Months","N ",0,"COM ",2811,"Legally Justified ","Y ","Y ","N ","N"
"#13-0526","2013-08-04","0:30:00","DEPUTY SHERIFF","M ","HISPANIC ",38,"11 Years, 08 Months","Y ",1,"PRV ",1513,"Legally Justified ","Y ","Y ","N ","N"
"#13-0586","2013-08-28","17:49:00","DEPUTY SHERIFF","M ","HISPANIC ",30,"08 Years, 02 Months","Y ",1,"CEN ",2137,"Legally Justified ","Y ","N ","Y ","Y"
"#13-0619","2013-09-10","1:30:00","DEPUTY SHERIFF","M ","HISPANIC ",33,"12 Years, 11 Months","Y ",1,"ELA ",272,"Legally Justified ","Y ","N ","N ","Y"
"#13-0619","2013-09-10","1:30:00","DEPUTY SHERIFF","M ","WHITE ",49,"18 Years, 10 Months","Y ",6,"ELA ",272,"Legally Justified ","Y ","N ","N ","Y"
"#13-0626","2013-09-14","22:14:00","DEPUTY SHERIFF","M ","WHITE ",42,"23 Years, 06 Months","Y ",1,"CEN ",2170,"Pending ","Y ","Y ","N ","Y"
"#13-0653","2013-09-25","14:50:00","DEPUTY SHERIFF","M ","HISPANIC ",48,"24 Years, 04 Months","Y ",4,"MCB ",3499,"Legally Justified ","Y ","Y ","N ","N"
"#13-0653","2013-09-25","14:50:00","SERGEANT ","M ","HISPANIC ",47,"23 Years, 10 Months","N ",0,"MCB",3499,"Legally Justified ","Y ","Y ","N ","N"
"#13-0726","2013-11-01","3:03:00","DEPUTY SHERIFF","M ","HISPANIC ",33,"11 Years, 09 Months","Y ",1,"SEB ",1368,"Legally Justified ","Y ","Y ","N ","N"
"#13-0726","2013-11-01","3:03:00","DEPUTY SHERIFF","M ","WHITE ",45,"23 Years, 09 Months","Y ",1,"SEB ",1368,"Legally Justified ","Y ","Y ","N ","N"
