"","request_type","ct","yr","homeless_related"
"615","General Medical Care",1008,2015,FALSE
"616","Environmental Protection",1006,2015,FALSE
"617","Certificates/Forms Assistance",998,2015,FALSE
"618","Money Management",979,2015,FALSE
"619","Community Facilities/Centers",947,2015,FALSE
"620","Date/Time Requests",862,2015,FALSE
"621","Victim/Witness",859,2015,FALSE
"622","Other Housing",852,2015,TRUE
"623","Other Specialized Legal Assistance",849,2015,FALSE
"624","Discrimination Assistance",837,2015,FALSE
"625","Information About 211 LA County",827,2015,FALSE
"626","Labor and Employment Law",813,2015,FALSE
"627","Shelters",800,2015,TRUE
"628","Assistive Technology",782,2015,FALSE
"629","Judicial Services",764,2015,FALSE
"630","Other Community Services",761,2015,FALSE
"631","Guardianship/Conservatorship",693,2015,FALSE
"632","Regulations/Standards",680,2015,FALSE
"633","Prescriptions/Pharmacies",611,2015,FALSE
"634","Ex-Offender/Reentry Services",600,2015,FALSE
"635","Death Related Services",594,2015,FALSE
"636","Family Planning",593,2015,FALSE
"637","Business Support Organizations/Services",586,2015,FALSE
"638","Library Services",572,2015,FALSE
"639","Educational Preparation and Testing",567,2015,FALSE
"640","Long Distance Transportation",562,2015,FALSE
"641","Public Awareness/Outreach",549,2015,FALSE
"642","Adoption/Foster Care",509,2015,FALSE
"643","Consumer Education",509,2015,FALSE
"644","Community Economic Development",471,2015,FALSE
"645","Physician Referrals",446,2015,FALSE
"646","Mental Health Support",420,2015,FALSE
"647","Medical Equipment/Supplies",355,2015,FALSE
"648","Vocational Education",343,2015,FALSE
"649","Food Outlets",341,2015,FALSE
"650","Social Enrichment",320,2015,FALSE
"651","Media/Communications",311,2015,FALSE
"652","Health Supportive Services",304,2015,FALSE
"653","Interpretation/Translation",298,2015,FALSE
"654","Other Family Support",282,2015,FALSE
"655","Charities/Grantmaking Organizations",272,2015,FALSE
"656","Organizational Development",270,2015,FALSE
"657","Student Financial Aid",269,2015,FALSE
"658","Arts and Culture",263,2015,FALSE
"659","Companionship",254,2015,FALSE
"660","STD Services",254,2015,FALSE
"661","Food Collection/Storage",250,2015,FALSE
"662","Adult Day Care",242,2015,FALSE
"663","Follow Up",217,2015,FALSE
"664","Home Health Care",202,2015,FALSE
"665","Occupational/Professional Associations",191,2015,FALSE
"666","Political Organization/Participation",188,2015,FALSE
"667","Communicable Disease Control",170,2015,FALSE
"668","Nursing Facilities",163,2015,FALSE
"669","Preparedness and Exercise",156,2015,FALSE
"670","Personal Enrichment",154,2015,FALSE
"671","Traffic Related Services",137,2015,FALSE
"672","Disaster Services",131,2015,FALSE
"673","Medical Expense Assistance",131,2015,FALSE
"674","Special Education",129,2015,FALSE
"675","Emergency Management/Relief Organizations",127,2015,FALSE
"676","Repair Services",121,2015,FALSE
"677","Caregiver Support",113,2015,FALSE
"678","Financial Institutions/Services",112,2015,FALSE
"679","Attendant Services",109,2015,FALSE
"680","HIV/AIDS Services",109,2015,FALSE
"681","Guidance and Counseling",93,2015,FALSE
"682","Emergency Alert",92,2015,FALSE
"683","Anatomical Gifts",87,2015,FALSE
"684","Utility Service Connection/Repair",82,2015,FALSE
"685","Alternative Medicine",76,2015,FALSE
"686","Animal Services",73,2015,FALSE
"687","Communications/Reporting",61,2015,FALSE
"688","Alerts/Warnings",60,2015,FALSE
"689","Military Service",56,2015,FALSE
"690","Occupational Health and Safety",55,2015,FALSE
"691","Hospice Care",51,2015,FALSE
"692","Research/Statistics",49,2015,FALSE
"693","Tools/Equipment",43,2015,FALSE
"694","International Affairs",41,2015,FALSE
"695","Targeted Education Programs",41,2015,FALSE
"696","Mental Health/Crisis Counseling",35,2015,FALSE
"697","Hazard Inspection and Mitigation",34,2015,FALSE
"698","Post Disaster Transportation Information",33,2015,FALSE
"699","Volunteers/Donations",32,2015,FALSE
"700","Water Supply System",27,2015,FALSE
"701","Spiritual Enrichment",26,2015,FALSE
"702","Food/Water/Ice",25,2015,FALSE
"703","Weight Management",24,2015,FALSE
"704","Food Production",23,2015,FALSE
"705","Transportation Administration",23,2015,FALSE
"706","Utility Outages/Reconnections",23,2015,FALSE
"707","Mitigation Services",21,2015,FALSE
"708","Post Disaster Cleanup",20,2015,FALSE
"709","Medical Assistance",18,2015,FALSE
"710","Closures/Other Critical Services Information",17,2015,FALSE
"711","Emergency Response/Fire/Rescue",17,2015,FALSE
"712","Post Disaster Service Centers",16,2015,FALSE
"713","Clothing/Supplies",12,2015,FALSE
"714","Home Damage Repair/Storage",11,2015,FALSE
"715","Long Term Care Support Services",11,2015,FALSE
"716","Missing Persons/Inquiries",9,2015,FALSE
"717","Disaster Equipment/Supplies",7,2015,FALSE
"718","Evacuations",3,2015,FALSE
"719","Post Disaster Inspections",3,2015,FALSE
