"School","Gender","Ethnicity","Type of Homelessness","Count of Students","year"
"El Cerrito Middle","F","Pac Islander-Hawaiian","Temporarily Doubled Up",2,"2010-2011"
"El Cerrito Middle","F","White","Hotels/motels",1,"2010-2011"
"El Cerrito Middle","F","White","Temporarily Doubled Up",8,"2010-2011"
"El Cerrito Middle","F","White","Temporarily Unsheltered",2,"2010-2011"
"El Cerrito Middle","M","American Indian/Alaskan Native","Hotels/motels",1,"2010-2011"
"El Cerrito Middle","M","Asian-Japanese","Temporarily Doubled Up",1,"2010-2011"
"El Cerrito Middle","M","Asian-Korean","Temporarily Doubled Up",1,"2010-2011"
"El Cerrito Middle","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2010-2011"
"El Cerrito Middle","M","Black or African American","Temporarily Doubled Up",6,"2010-2011"
"El Cerrito Middle","M","Hispanic","Temporarily Doubled Up",14,"2010-2011"
"El Cerrito Middle","M","White","Temporarily Doubled Up",7,"2010-2011"
"El Cerrito Middle","M","White","Temporarily Unsheltered",1,"2010-2011"
"Eleanor Roosevelt High","F","Asian-Asian Indian","Temporarily Doubled Up",2,"2010-2011"
"Eleanor Roosevelt High","F","Asian-Chinese","Temporarily Doubled Up",1,"2010-2011"
"Eleanor Roosevelt High","F","Asian-Korean","Temporarily Doubled Up",1,"2010-2011"
"Eleanor Roosevelt High","F","Asian-Laotian","Temporarily Doubled Up",1,"2010-2011"
"Eleanor Roosevelt High","F","Asian-Other","Temporarily Doubled Up",2,"2010-2011"
"Eleanor Roosevelt High","F","Black or African American","Temporarily Doubled Up",8,"2010-2011"
"Eleanor Roosevelt High","F","Filipino","Temporarily Doubled Up",1,"2010-2011"
"Eleanor Roosevelt High","F","Hispanic","Temporarily Doubled Up",11,"2010-2011"
"Eleanor Roosevelt High","F","White","Temporarily Doubled Up",8,"2010-2011"
"Eleanor Roosevelt High","M","Black or African American","Temporarily Doubled Up",4,"2010-2011"
"Eleanor Roosevelt High","M","Filipino","Temporarily Doubled Up",1,"2010-2011"
"Eleanor Roosevelt High","M","Hispanic","Hotels/motels",1,"2010-2011"
"Eleanor Roosevelt High","M","Hispanic","Temporarily Doubled Up",23,"2010-2011"
"Eleanor Roosevelt High","M","White","Hotels/motels",1,"2010-2011"
"Eleanor Roosevelt High","M","White","Temporarily Doubled Up",3,"2010-2011"
"Foothill Elem","F","Asian-Japanese","Temporarily Doubled Up",2,"2010-2011"
"Foothill Elem","F","Asian-Other","Temporarily Doubled Up",1,"2010-2011"
"Foothill Elem","F","Asian-Vietnamese","Temporarily Doubled Up",2,"2010-2011"
"Foothill Elem","F","Black or African American","Temporarily Doubled Up",1,"2010-2011"
"Foothill Elem","F","Black or African American","Temporary Shelters",1,"2010-2011"
"Foothill Elem","F","Filipino","Temporarily Doubled Up",1,"2010-2011"
"Foothill Elem","F","Hispanic","Temporarily Doubled Up",30,"2010-2011"
"Foothill Elem","F","White","Temporarily Doubled Up",19,"2010-2011"
"Foothill Elem","M","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2010-2011"
"Foothill Elem","M","Asian-Asian Indian","Temporarily Doubled Up",4,"2010-2011"
"Foothill Elem","M","Asian-Chinese","Temporarily Doubled Up",1,"2010-2011"
"Foothill Elem","M","Asian-Japanese","Temporarily Doubled Up",1,"2010-2011"
"Foothill Elem","M","Asian-Korean","Temporarily Doubled Up",1,"2010-2011"
"Foothill Elem","M","Asian-Other","Temporarily Doubled Up",1,"2010-2011"
"Foothill Elem","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2010-2011"
"Foothill Elem","M","Black or African American","Temporarily Doubled Up",8,"2010-2011"
"Foothill Elem","M","Filipino","Temporarily Doubled Up",1,"2010-2011"
"Foothill Elem","M","Hispanic","Temporarily Doubled Up",46,"2010-2011"
"Foothill Elem","M","White","Temporarily Doubled Up",25,"2010-2011"
"Garretson Elem","F","Black or African American","Temporarily Doubled Up",4,"2010-2011"
"Garretson Elem","F","Hispanic","Hotels/motels",2,"2010-2011"
"Garretson Elem","F","Hispanic","Temporarily Doubled Up",63,"2010-2011"
"Garretson Elem","F","Hispanic","Temporarily Unsheltered",1,"2010-2011"
"Garretson Elem","F","White","Hotels/motels",3,"2010-2011"
"Garretson Elem","F","White","Temporarily Doubled Up",9,"2010-2011"
"Garretson Elem","M","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2010-2011"
"Garretson Elem","M","Asian-Asian Indian","Temporarily Doubled Up",1,"2010-2011"
"Garretson Elem","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2010-2011"
"Garretson Elem","M","Black or African American","Temporarily Doubled Up",6,"2010-2011"
"Garretson Elem","M","Hispanic","Temporarily Doubled Up",53,"2010-2011"
"Garretson Elem","M","Hispanic","Temporarily Unsheltered",3,"2010-2011"
"Garretson Elem","M","Pac Islander-Other","Temporarily Doubled Up",1,"2010-2011"
"Garretson Elem","M","White","Hotels/motels",1,"2010-2011"
"Garretson Elem","M","White","Temporarily Doubled Up",9,"2010-2011"
"George Washington Elem","F","Black or African American","Temporarily Doubled Up",1,"2010-2011"
"George Washington Elem","F","Hispanic","Hotels/motels",1,"2010-2011"
"George Washington Elem","F","Hispanic","Temporarily Doubled Up",9,"2010-2011"
"George Washington Elem","F","White","Temporarily Doubled Up",1,"2010-2011"
"George Washington Elem","M","Black or African American","Temporarily Doubled Up",1,"2010-2011"
"George Washington Elem","M","Black or African American","Temporarily Unsheltered",1,"2010-2011"
"George Washington Elem","M","Hispanic","Temporarily Doubled Up",12,"2010-2011"
"Harada Elem","F","Asian-Asian Indian","Temporarily Doubled Up",3,"2010-2011"
"Harada Elem","F","Asian-Asian Indian","Temporary Shelters",2,"2010-2011"
"Harada Elem","F","Asian-Chinese","Temporarily Doubled Up",2,"2010-2011"
"Harada Elem","F","Asian-Japanese","Temporarily Doubled Up",1,"2010-2011"
"Harada Elem","F","Asian-Vietnamese","Temporarily Doubled Up",2,"2010-2011"
"Harada Elem","F","Black or African American","Temporarily Doubled Up",8,"2010-2011"
"Harada Elem","F","Declined to state","Temporarily Doubled Up",1,"2010-2011"
"Harada Elem","F","Filipino","Temporarily Doubled Up",2,"2010-2011"
"Harada Elem","F","Hispanic","Hotels/motels",1,"2010-2011"
"Harada Elem","F","Hispanic","Temporarily Doubled Up",26,"2010-2011"
"Harada Elem","F","Pac Islander -Samoan","Temporarily Doubled Up",1,"2010-2011"
"Harada Elem","F","White","Temporarily Doubled Up",7,"2010-2011"
"Harada Elem","M","Asian-Asian Indian","Temporarily Doubled Up",1,"2010-2011"
"Harada Elem","M","Asian-Asian Indian","Temporary Shelters",2,"2010-2011"
"Harada Elem","M","Asian-Chinese","Temporarily Doubled Up",4,"2010-2011"
"Harada Elem","M","Asian-Hmong","Temporarily Doubled Up",1,"2010-2011"
"Harada Elem","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2010-2011"
"Harada Elem","M","Black or African American","Temporarily Doubled Up",4,"2010-2011"
"Harada Elem","M","Hispanic","Temporarily Doubled Up",35,"2010-2011"
"Harada Elem","M","White","Hotels/motels",1,"2010-2011"
"Harada Elem","M","White","Temporarily Doubled Up",4,"2010-2011"
"Harada Elem","M","White","Temporary Shelters",1,"2010-2011"
"Headstart","F","Hispanic","Temporarily Doubled Up",3,"2010-2011"
"Headstart","M","Hispanic","Temporarily Doubled Up",3,"2010-2011"
"Highland Elem","F","Filipino","Temporarily Doubled Up",1,"2010-2011"
"Highland Elem","F","Hispanic","Hotels/motels",1,"2010-2011"
"Highland Elem","F","Hispanic","Temporarily Doubled Up",16,"2010-2011"
"Highland Elem","F","Hispanic","Temporary Shelters",1,"2010-2011"
"Highland Elem","F","White","Temporarily Doubled Up",8,"2010-2011"
"Highland Elem","M","Filipino","Temporarily Doubled Up",1,"2010-2011"
"Highland Elem","M","Hispanic","Hotels/motels",2,"2010-2011"
"Highland Elem","M","Hispanic","Temporarily Doubled Up",21,"2010-2011"
"Highland Elem","M","Pac Islander-Other","Temporarily Doubled Up",1,"2010-2011"
"Highland Elem","M","White","Temporarily Doubled Up",13,"2010-2011"
"Home Gardens Academy","F","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2010-2011"
"Home Gardens Academy","F","Hispanic","Hotels/motels",1,"2010-2011"
"Home Gardens Academy","F","Hispanic","Temporarily Doubled Up",95,"2010-2011"
"Home Gardens Academy","M","Hispanic","Hotels/motels",2,"2010-2011"
"Home Gardens Academy","M","Hispanic","Temporarily Doubled Up",93,"2010-2011"
"Home Gardens Academy","M","White","Hotels/motels",1,"2010-2011"
"Home Gardens Academy","M","White","Temporarily Doubled Up",4,"2010-2011"
"Jefferson Elem","F","Asian-Japanese","Temporarily Doubled Up",1,"2010-2011"
"Jefferson Elem","F","Black or African American","Temporarily Doubled Up",1,"2010-2011"
"Jefferson Elem","F","Hispanic","Hotels/motels",4,"2010-2011"
"Jefferson Elem","F","Hispanic","Temporarily Doubled Up",58,"2010-2011"
"Jefferson Elem","F","Hispanic","Temporary Shelters",1,"2010-2011"
"Jefferson Elem","F","White","Temporarily Doubled Up",2,"2010-2011"
"Jefferson Elem","M","American Indian/Alaskan Native","Hotels/motels",1,"2010-2011"
"Jefferson Elem","M","American Indian/Alaskan Native","Temporarily Doubled Up",2,"2010-2011"
"Jefferson Elem","M","Asian-Asian Indian","Temporarily Doubled Up",1,"2010-2011"
"Jefferson Elem","M","Black or African American","Temporary Shelters",1,"2010-2011"
"Jefferson Elem","M","Hispanic","Hotels/motels",4,"2010-2011"
"Jefferson Elem","M","Hispanic","Temporarily Doubled Up",55,"2010-2011"
"Jefferson Elem","M","White","Hotels/motels",1,"2010-2011"
"Jefferson Elem","M","White","Temporarily Doubled Up",6,"2010-2011"
"John Adams Elem","F","Black or African American","Hotels/motels",1,"2010-2011"
"John Adams Elem","F","Black or African American","Temporarily Doubled Up",2,"2010-2011"
"John Adams Elem","F","Filipino","Temporarily Doubled Up",1,"2010-2011"
"John Adams Elem","F","Hispanic","Temporarily Doubled Up",43,"2010-2011"
"John Adams Elem","F","Hispanic","Temporarily Unsheltered",1,"2010-2011"
"John Adams Elem","F","Hispanic","Temporary Shelters",1,"2010-2011"
"John Adams Elem","F","White","Hotels/motels",3,"2010-2011"
"John Adams Elem","F","White","Temporarily Doubled Up",6,"2010-2011"
"John Adams Elem","M","Asian-Korean","Temporarily Doubled Up",1,"2010-2011"
"John Adams Elem","M","Black or African American","Temporarily Doubled Up",1,"2010-2011"
"John Adams Elem","M","Filipino","Temporarily Doubled Up",1,"2010-2011"
"John Adams Elem","M","Hispanic","Temporarily Doubled Up",31,"2010-2011"
"John Adams Elem","M","Hispanic","Temporarily Unsheltered",1,"2010-2011"
"John Adams Elem","M","Pac Islander-Guamanian","Temporarily Doubled Up",1,"2010-2011"
"John Adams Elem","M","White","Hotels/motels",1,"2010-2011"
"John Adams Elem","M","White","Temporarily Doubled Up",5,"2010-2011"
"John F Kennedy Middle College HS","F","Black or African American","Temporarily Doubled Up",3,"2010-2011"
"John F Kennedy Middle College HS","F","Filipino","Temporarily Doubled Up",1,"2010-2011"
"John F Kennedy Middle College HS","F","Hispanic","Temporarily Doubled Up",4,"2010-2011"
"John F Kennedy Middle College HS","F","White","Temporarily Doubled Up",8,"2010-2011"
"John F Kennedy Middle College HS","M","Asian-Asian Indian","Temporarily Doubled Up",1,"2010-2011"
"John F Kennedy Middle College HS","M","Hispanic","Temporarily Doubled Up",5,"2010-2011"
"John F Kennedy Middle College HS","M","White","Temporarily Doubled Up",1,"2010-2011"
"John Stallings Elem","F","Black or African American","Temporarily Doubled Up",2,"2010-2011"
"John Stallings Elem","F","Black or African American","Temporary Shelters",1,"2010-2011"
"John Stallings Elem","F","Hispanic","Temporarily Doubled Up",21,"2010-2011"
"John Stallings Elem","F","Hispanic","Temporary Shelters",1,"2010-2011"
"John Stallings Elem","F","White","Temporarily Doubled Up",6,"2010-2011"
"John Stallings Elem","M","Black or African American","Temporarily Doubled Up",1,"2010-2011"
"John Stallings Elem","M","Hispanic","Temporarily Doubled Up",16,"2010-2011"
"John Stallings Elem","M","Hispanic","Temporary Shelters",1,"2010-2011"
"John Stallings Elem","M","White","Temporarily Doubled Up",4,"2010-2011"
"John Stallings Elem","M","White","Temporary Shelters",1,"2010-2011"
"Lee V Pollard High","F","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2010-2011"
"Lee V Pollard High","F","Asian-Other","Temporarily Doubled Up",1,"2010-2011"
"Lee V Pollard High","F","Black or African American","Temporarily Doubled Up",5,"2010-2011"
"Lee V Pollard High","F","Black or African American","Temporarily Unsheltered",1,"2010-2011"
"Lee V Pollard High","F","Hispanic","Hotels/motels",1,"2010-2011"
"Lee V Pollard High","F","Hispanic","Temporarily Doubled Up",25,"2010-2011"
"Lee V Pollard High","F","Hispanic","Temporary Shelters",1,"2010-2011"
"Lee V Pollard High","F","White","Hotels/motels",1,"2010-2011"
"Lee V Pollard High","F","White","Temporarily Doubled Up",7,"2010-2011"
"Lee V Pollard High","F","White","Temporarily Unsheltered",1,"2010-2011"
"Lee V Pollard High","M","Black or African American","Temporarily Doubled Up",3,"2010-2011"
"Lee V Pollard High","M","Black or African American","Temporarily Unsheltered",1,"2010-2011"
"Lee V Pollard High","M","Hispanic","Temporarily Doubled Up",31,"2010-2011"
"Lee V Pollard High","M","Hispanic","Temporarily Unsheltered",1,"2010-2011"
"Lee V Pollard High","M","Hispanic","Temporary Shelters",1,"2010-2011"
"Lee V Pollard High","M","White","Temporarily Doubled Up",6,"2010-2011"
"Lincoln Alternative Elem","F","Asian-Other","Temporarily Doubled Up",1,"2010-2011"
"Lincoln Alternative Elem","F","Hispanic","Hotels/motels",1,"2010-2011"
"Lincoln Alternative Elem","F","Hispanic","Temporarily Doubled Up",12,"2010-2011"
"Lincoln Alternative Elem","F","White","Temporarily Doubled Up",3,"2010-2011"
"Lincoln Alternative Elem","M","Filipino","Temporarily Doubled Up",1,"2010-2011"
"Lincoln Alternative Elem","M","Hispanic","Temporarily Doubled Up",11,"2010-2011"
"Lincoln Alternative Elem","M","Hispanic","Temporary Shelters",1,"2010-2011"
"Lincoln Alternative Elem","M","White","Temporarily Doubled Up",3,"2010-2011"
"Norco Elem","F","Asian-Korean","Temporarily Doubled Up",1,"2010-2011"
"Norco Elem","F","Hispanic","Temporarily Doubled Up",4,"2010-2011"
"Norco Elem","F","White","Temporarily Doubled Up",2,"2010-2011"
"Norco Elem","M","Asian-Korean","Temporarily Doubled Up",1,"2010-2011"
"Norco Elem","M","Black or African American","Temporarily Doubled Up",1,"2010-2011"
"Norco Elem","M","Filipino","Temporarily Doubled Up",1,"2010-2011"
"Norco Elem","M","Hispanic","Temporarily Doubled Up",2,"2010-2011"
"Norco Elem","M","White","Temporarily Doubled Up",6,"2010-2011"
"Norco High","F","American Indian/Alaskan Native","Temporarily Doubled Up",2,"2010-2011"
"Norco High","F","Black or African American","Temporarily Doubled Up",8,"2010-2011"
"Norco High","F","Filipino","Temporarily Doubled Up",1,"2010-2011"
"Norco High","F","Hispanic","Temporarily Doubled Up",30,"2010-2011"
"Norco High","F","White","Hotels/motels",1,"2010-2011"
"Norco High","F","White","Temporarily Doubled Up",33,"2010-2011"
"Norco High","F","White","Temporarily Unsheltered",1,"2010-2011"
"Norco High","M","Black or African American","Temporarily Doubled Up",12,"2010-2011"
"Norco High","M","Filipino","Temporarily Doubled Up",1,"2010-2011"
"Norco High","M","Hispanic","Hotels/motels",1,"2010-2011"
"Norco High","M","Hispanic","Temporarily Doubled Up",27,"2010-2011"
"Norco High","M","Hispanic","Temporary Shelters",1,"2010-2011"
"Norco High","M","White","Temporarily Doubled Up",30,"2010-2011"
"Norco High","M","White","Temporarily Unsheltered",1,"2010-2011"
"Norco High","M","White","Temporary Shelters",1,"2010-2011"
"Norco Int","F","Black or African American","Temporarily Doubled Up",1,"2010-2011"
"Norco Int","F","Filipino","Temporarily Doubled Up",1,"2010-2011"
"Norco Int","F","Hispanic","Temporarily Doubled Up",7,"2010-2011"
"Norco Int","F","Pac Islander-Guamanian","Temporarily Doubled Up",1,"2010-2011"
"Norco Int","F","White","Hotels/motels",1,"2010-2011"
"Norco Int","F","White","Temporarily Doubled Up",14,"2010-2011"
"Norco Int","M","Black or African American","Temporarily Doubled Up",1,"2010-2011"
"Norco Int","M","Hispanic","Temporarily Doubled Up",8,"2010-2011"
"Norco Int","M","White","Temporarily Doubled Up",8,"2010-2011"
"NPS","M","Hispanic","Temporarily Doubled Up",1,"2010-2011"
"NPS","M","White","Temporarily Doubled Up",2,"2010-2011"
"Orange Elem","F","Asian-Asian Indian","Temporarily Doubled Up",1,"2010-2011"
"Orange Elem","F","Black or African American","Temporarily Doubled Up",6,"2010-2011"
"Orange Elem","F","Black or African American","Temporary Shelters",1,"2010-2011"
"Orange Elem","F","Hispanic","Temporarily Doubled Up",25,"2010-2011"
"Orange Elem","F","White","Temporarily Doubled Up",18,"2010-2011"
"Orange Elem","M","Black or African American","Temporarily Doubled Up",6,"2010-2011"
"Orange Elem","M","Hispanic","Temporarily Doubled Up",31,"2010-2011"
"Orange Elem","M","White","Temporarily Doubled Up",25,"2010-2011"
"Orange Grove High","F","Hispanic","Hotels/motels",2,"2010-2011"
"Orange Grove High","F","Hispanic","Temporarily Doubled Up",4,"2010-2011"
"Orange Grove High","F","White","Temporarily Doubled Up",3,"2010-2011"
"Orange Grove High","M","Black or African American","Hotels/motels",2,"2010-2011"
"Orange Grove High","M","Black or African American","Temporarily Doubled Up",1,"2010-2011"
"Orange Grove High","M","Hispanic","Temporarily Doubled Up",9,"2010-2011"
"Orange Grove High","M","White","Temporarily Doubled Up",4,"2010-2011"
"Parkridge Elementary","F","Black or African American","Temporarily Doubled Up",1,"2010-2011"
"Parkridge Elementary","F","Black or African American","Temporary Shelters",4,"2010-2011"
"Parkridge Elementary","F","Hispanic","Hotels/motels",1,"2010-2011"
"Parkridge Elementary","F","Hispanic","Temporarily Doubled Up",61,"2010-2011"
"Parkridge Elementary","F","Hispanic","Temporary Shelters",7,"2010-2011"
"Parkridge Elementary","F","White","Hotels/motels",1,"2010-2011"
"Parkridge Elementary","F","White","Temporarily Doubled Up",4,"2010-2011"
"Parkridge Elementary","M","American Indian/Alaskan Native","Temporary Shelters",1,"2010-2011"
"Parkridge Elementary","M","Asian-Asian Indian","Temporarily Doubled Up",2,"2010-2011"
"Parkridge Elementary","M","Asian-Laotian","Temporarily Doubled Up",1,"2010-2011"
"Parkridge Elementary","M","Black or African American","Temporarily Doubled Up",5,"2010-2011"
"Parkridge Elementary","M","Black or African American","Temporary Shelters",3,"2010-2011"
"Parkridge Elementary","M","Hispanic","Hotels/motels",2,"2010-2011"
"Parkridge Elementary","M","Hispanic","Temporarily Doubled Up",77,"2010-2011"
"Parkridge Elementary","M","Hispanic","Temporary Shelters",6,"2010-2011"
"Parkridge Elementary","M","White","Hotels/motels",1,"2010-2011"
"Parkridge Elementary","M","White","Temporarily Doubled Up",3,"2010-2011"
"Parkridge Elementary","M","White","Temporary Shelters",2,"2010-2011"
"Prado View Elem","F","Asian-Cambodian","Temporarily Doubled Up",1,"2010-2011"
"Prado View Elem","F","Asian-Chinese","Temporarily Doubled Up",3,"2010-2011"
"Prado View Elem","F","Asian-Other","Temporarily Doubled Up",1,"2010-2011"
"Prado View Elem","F","Black or African American","Temporarily Doubled Up",6,"2010-2011"
"Prado View Elem","F","Filipino","Temporarily Doubled Up",4,"2010-2011"
"Prado View Elem","F","Hispanic","Temporarily Doubled Up",35,"2010-2011"
"Prado View Elem","F","Pac Islander-Other","Temporarily Doubled Up",1,"2010-2011"
"Prado View Elem","F","White","Hotels/motels",2,"2010-2011"
"Prado View Elem","F","White","Temporarily Doubled Up",20,"2010-2011"
"Prado View Elem","M","Asian-Cambodian","Temporarily Doubled Up",1,"2010-2011"
"Prado View Elem","M","Asian-Korean","Temporarily Doubled Up",3,"2010-2011"
"Prado View Elem","M","Asian-Other","Temporarily Doubled Up",3,"2010-2011"
"Prado View Elem","M","Black or African American","Temporarily Doubled Up",3,"2010-2011"
"Prado View Elem","M","Black or African American","Temporarily Unsheltered",1,"2010-2011"
"Prado View Elem","M","Filipino","Temporarily Doubled Up",3,"2010-2011"
"Prado View Elem","M","Hispanic","Temporarily Doubled Up",33,"2010-2011"
"Prado View Elem","M","Pac Islander-Guamanian","Temporarily Doubled Up",1,"2010-2011"
"Prado View Elem","M","White","Temporarily Doubled Up",23,"2010-2011"
"Raney Intermediate School","F","Asian-Other","Temporarily Doubled Up",1,"2010-2011"
"Raney Intermediate School","F","Black or African American","Temporarily Doubled Up",6,"2010-2011"
"Raney Intermediate School","F","Filipino","Temporarily Doubled Up",1,"2010-2011"
"Raney Intermediate School","F","Hispanic","Hotels/motels",1,"2010-2011"
"Raney Intermediate School","F","Hispanic","Temporarily Doubled Up",47,"2010-2011"
"Raney Intermediate School","F","Hispanic","Temporary Shelters",2,"2010-2011"
"Raney Intermediate School","F","White","Hotels/motels",3,"2010-2011"
"Raney Intermediate School","F","White","Temporarily Doubled Up",11,"2010-2011"
"Raney Intermediate School","M","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2010-2011"
"Raney Intermediate School","M","Asian-Other","Temporarily Doubled Up",1,"2010-2011"
"Raney Intermediate School","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2010-2011"
"Raney Intermediate School","M","Black or African American","Temporarily Doubled Up",2,"2010-2011"
"Raney Intermediate School","M","Declined to state","Temporarily Doubled Up",1,"2010-2011"
"Raney Intermediate School","M","Filipino","Temporarily Doubled Up",1,"2010-2011"
"Raney Intermediate School","M","Hispanic","Hotels/motels",1,"2010-2011"
"Raney Intermediate School","M","Hispanic","Temporarily Doubled Up",64,"2010-2011"
"Raney Intermediate School","M","Pac Islander-Other","Temporarily Doubled Up",1,"2010-2011"
"Raney Intermediate School","M","White","Temporarily Doubled Up",13,"2010-2011"
"Raney Intermediate School","M","White","Temporary Shelters",1,"2010-2011"
"River Heights Int.","F","Asian-Cambodian","Temporarily Doubled Up",1,"2010-2011"
"River Heights Int.","F","Asian-Chinese","Temporarily Doubled Up",1,"2010-2011"
"River Heights Int.","F","Asian-Other","Temporarily Doubled Up",1,"2010-2011"
"River Heights Int.","F","Black or African American","Temporarily Doubled Up",2,"2010-2011"
"River Heights Int.","F","Filipino","Temporarily Doubled Up",1,"2010-2011"
"River Heights Int.","F","Hispanic","Hotels/motels",1,"2010-2011"
"River Heights Int.","F","Hispanic","Temporarily Doubled Up",16,"2010-2011"
"River Heights Int.","F","White","Temporarily Doubled Up",2,"2010-2011"
"River Heights Int.","F","White","Temporarily Unsheltered",1,"2010-2011"
"River Heights Int.","M","Asian-Chinese","Temporarily Doubled Up",1,"2010-2011"
"River Heights Int.","M","Black or African American","Temporarily Doubled Up",4,"2010-2011"
"River Heights Int.","M","Filipino","Temporarily Doubled Up",2,"2010-2011"
"River Heights Int.","M","Hispanic","Temporarily Doubled Up",15,"2010-2011"
"Riverview Elem","F","Asian-Asian Indian","Temporarily Doubled Up",1,"2010-2011"
"Riverview Elem","F","Black or African American","Temporarily Doubled Up",2,"2010-2011"
"Riverview Elem","F","Black or African American","Temporary Shelters",1,"2010-2011"
"Riverview Elem","F","Filipino","Temporarily Doubled Up",1,"2010-2011"
"Riverview Elem","F","Hispanic","Temporarily Doubled Up",36,"2010-2011"
"Riverview Elem","F","White","Temporarily Doubled Up",34,"2010-2011"
"Riverview Elem","M","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2010-2011"
"Riverview Elem","M","Asian-Chinese","Temporarily Doubled Up",2,"2010-2011"
"Riverview Elem","M","Black or African American","Temporarily Doubled Up",3,"2010-2011"
"Riverview Elem","M","Declined to state","Temporarily Doubled Up",1,"2010-2011"
"Riverview Elem","M","Hispanic","Hotels/motels",1,"2010-2011"
"Riverview Elem","M","Hispanic","Temporarily Doubled Up",76,"2010-2011"
"Riverview Elem","M","Pac Islander -Samoan","Temporarily Doubled Up",1,"2010-2011"
"Riverview Elem","M","White","Hotels/motels",1,"2010-2011"
"Riverview Elem","M","White","Temporarily Doubled Up",33,"2010-2011"
"Riverview Elem","M","White","Temporary Shelters",1,"2010-2011"
"Ronald Reagan Elementary","F","Black or African American","Temporarily Doubled Up",1,"2010-2011"
"Ronald Reagan Elementary","F","Hispanic","Temporarily Doubled Up",2,"2010-2011"
"Ronald Reagan Elementary","F","White","Temporarily Doubled Up",1,"2010-2011"
"Ronald Reagan Elementary","M","Asian-Asian Indian","Temporarily Doubled Up",1,"2010-2011"
"Ronald Reagan Elementary","M","Black or African American","Temporarily Doubled Up",1,"2010-2011"
"Ronald Reagan Elementary","M","Hispanic","Temporarily Doubled Up",3,"2010-2011"
"Ronald Reagan Elementary","M","White","Temporarily Doubled Up",1,"2010-2011"
"Rosa Parks Elem","F","Asian-Asian Indian","Temporarily Doubled Up",1,"2010-2011"
"Rosa Parks Elem","F","Asian-Chinese","Temporarily Doubled Up",7,"2010-2011"
"Rosa Parks Elem","F","Asian-Japanese","Temporarily Doubled Up",1,"2010-2011"
"Rosa Parks Elem","F","Asian-Laotian","Temporarily Doubled Up",1,"2010-2011"
"Rosa Parks Elem","F","Asian-Other","Temporarily Doubled Up",4,"2010-2011"
"Rosa Parks Elem","F","Asian-Vietnamese","Temporarily Doubled Up",2,"2010-2011"
"Rosa Parks Elem","F","Black or African American","Temporarily Doubled Up",18,"2010-2011"
"Rosa Parks Elem","F","Filipino","Temporarily Doubled Up",4,"2010-2011"
"Rosa Parks Elem","F","Hispanic","Temporarily Doubled Up",49,"2010-2011"
"Rosa Parks Elem","F","White","Temporarily Doubled Up",8,"2010-2011"
"Rosa Parks Elem","M","Asian-Asian Indian","Temporarily Doubled Up",6,"2010-2011"
"Rosa Parks Elem","M","Asian-Chinese","Temporarily Doubled Up",5,"2010-2011"
"Rosa Parks Elem","M","Asian-Other","Temporarily Doubled Up",5,"2010-2011"
"Rosa Parks Elem","M","Asian-Vietnamese","Temporarily Doubled Up",4,"2010-2011"
"Rosa Parks Elem","M","Black or African American","Temporarily Doubled Up",11,"2010-2011"
"Rosa Parks Elem","M","Filipino","Temporarily Doubled Up",4,"2010-2011"
"Rosa Parks Elem","M","Hispanic","Temporarily Doubled Up",56,"2010-2011"
"Rosa Parks Elem","M","Pac Islander -Samoan","Temporarily Doubled Up",1,"2010-2011"
"Rosa Parks Elem","M","White","Temporarily Doubled Up",11,"2010-2011"
"Santiago High","F","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2010-2011"
"Santiago High","F","Asian-Other","Temporarily Doubled Up",3,"2010-2011"
"Santiago High","F","Black or African American","Hotels/motels",1,"2010-2011"
"Santiago High","F","Black or African American","Temporarily Doubled Up",3,"2010-2011"
"Santiago High","F","Filipino","Temporarily Doubled Up",1,"2010-2011"
"Santiago High","F","Hispanic","Hotels/motels",1,"2010-2011"
"Santiago High","F","Hispanic","Temporarily Doubled Up",11,"2010-2011"
"Santiago High","F","White","Temporarily Doubled Up",7,"2010-2011"
"Santiago High","M","Asian-Asian Indian","Temporarily Doubled Up",1,"2010-2011"
"Santiago High","M","Asian-Other","Temporarily Doubled Up",2,"2010-2011"
"Santiago High","M","Black or African American","Temporarily Doubled Up",1,"2010-2011"
"Santiago High","M","Declined to state","Temporarily Doubled Up",1,"2010-2011"
"Santiago High","M","Hispanic","Hotels/motels",1,"2010-2011"
"Santiago High","M","Hispanic","Temporarily Doubled Up",17,"2010-2011"
"Santiago High","M","Hispanic","Temporarily Unsheltered",1,"2010-2011"
"Santiago High","M","White","Temporarily Doubled Up",9,"2010-2011"
"Sierra Vista Elem","F","Hispanic","Temporarily Doubled Up",6,"2010-2011"
"Sierra Vista Elem","F","White","Temporarily Doubled Up",5,"2010-2011"
