LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TRACY OKIDA,JOHN Y WONG,JOHN MORRIS,B E MANYERE,KRISH KUMAR,NESTOR VALENCIA,JEFFREY PRANG,OMAR HAROON,FRANK DIAZ JR,YVONNE AUSTIN,SANDY SUN,JOHN LOEW
CITY OF WEST HOLLYWOOD,N,0,VBM PORTION,2201,21,69,246,15,41,28,965,52,48,79,142,80
CITY OF WEST HOLLYWOOD,N,24911,TOTAL,4563,46,141,484,44,73,55,2145,117,105,147,281,141
CITY OF WESTLAKE VILLAGE,N,6055,POLLING PLACE,727,14,41,128,5,35,19,153,31,22,26,28,49
CITY OF WESTLAKE VILLAGE,N,0,VBM PORTION,770,16,47,110,5,33,22,97,47,24,29,28,82
CITY OF WESTLAKE VILLAGE,N,6055,TOTAL,1497,30,88,238,10,68,41,250,78,46,55,56,131
CITY OF WHITTIER,N,46005,POLLING PLACE,4311,108,515,586,64,288,137,538,271,457,168,140,300
CITY OF WHITTIER,N,0,VBM PORTION,3748,96,419,424,43,236,85,493,184,302,140,168,271
CITY OF WHITTIER,N,46005,TOTAL,8056,204,934,1010,107,524,222,1031,455,759,308,308,571
UNINCORPORATED,N,520339,POLLING PLACE,43458,1080,3402,5003,603,1750,1818,6025,4393,4339,1992,1980,3344
UNINCORPORATED,N,0,VBM PORTION,39390,1217,3798,4131,462,1497,882,5120,2590,3010,2043,2480,3530
UNINCORPORATED,N,520339,TOTAL,82731,2297,7200,9134,1065,3247,2700,11145,6983,7349,4035,4460,6874
