LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,LUIS J RODRIGUEZ,ALMA MARIE WINSTON,EDMUND G BROWN,JANEL H BUYCKS,ANDREW BLOUNT,RAKESH K CHRISTIAN,GLENN CHAMP,NEEL KASHKARI,TIM DONNELLY,"""BO"" B AMBROZEWICZ",AKINYEMI AGBEDE,RICHARD W AGUIRRE,ROBERT NEWMAN,CINDY L SHEEHAN,JOE LEICHT
CITY OF SIERRA MADRE,N,8060,TOTAL,2296,29,9,1183,2,32,0,12,580,311,8,18,17,12,7,3
CITY OF SIGNAL HILL,N,6232,POLLING PLACE,779,12,5,432,3,13,3,9,117,102,3,27,10,2,5,1
CITY OF SIGNAL HILL,N,0,VBM PORTION,730,8,3,427,2,7,5,6,111,91,7,5,5,3,7,4
CITY OF SIGNAL HILL,N,6232,TOTAL,1509,20,8,859,5,20,8,15,228,193,10,32,15,5,12,5
CITY OF SOUTH EL MONTE,N,7299,POLLING PLACE,398,17,8,261,2,3,0,4,43,19,1,6,14,3,4,2
CITY OF SOUTH EL MONTE,N,0,VBM PORTION,347,9,2,235,0,4,0,3,31,27,1,5,5,4,6,0
CITY OF SOUTH EL MONTE,N,7299,TOTAL,745,26,10,496,2,7,0,7,74,46,2,11,19,7,10,2
CITY OF SOUTH GATE,N,35773,POLLING PLACE,1843,50,16,1311,9,21,7,18,150,99,5,31,6,19,16,1
CITY OF SOUTH GATE,N,0,VBM PORTION,1176,36,11,806,3,17,2,13,120,73,0,18,12,7,20,2
CITY OF SOUTH GATE,N,35773,TOTAL,3018,86,27,2117,12,38,9,31,270,172,5,49,18,26,36,3
CITY OF SOUTH PASADENA,N,16081,POLLING PLACE,1995,36,9,1290,3,11,3,13,292,219,6,24,16,8,19,7
CITY OF SOUTH PASADENA,N,0,VBM PORTION,1877,22,9,1166,5,12,1,14,309,196,2,6,19,10,19,7
CITY OF SOUTH PASADENA,N,16081,TOTAL,3863,58,18,2456,8,23,4,27,601,415,8,30,35,18,38,14
CITY OF TEMPLE CITY,N,17652,POLLING PLACE,1491,23,8,703,10,35,7,26,345,257,3,9,5,8,11,1
CITY OF TEMPLE CITY,N,0,VBM PORTION,1538,16,18,786,13,44,3,17,303,204,5,15,3,18,14,2
CITY OF TEMPLE CITY,N,17652,TOTAL,3028,39,26,1489,23,79,10,43,648,461,8,24,8,26,25,3
CITY OF TORRANCE,N,83037,POLLING PLACE,12027,113,56,4847,20,142,61,197,3321,2327,33,105,52,97,93,17
CITY OF TORRANCE,N,0,VBM PORTION,11369,79,69,5059,30,184,50,232,2652,2063,29,66,33,81,110,21
CITY OF TORRANCE,N,83037,TOTAL,23394,192,125,9906,50,326,111,429,5973,4390,62,171,85,178,203,38
CITY OF VERNON,N,60,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITY OF VERNON,N,0,VBM PORTION,18,2,0,6,0,0,0,0,3,5,0,0,0,0,0,0
CITY OF VERNON,N,60,TOTAL,16,2,0,6,0,0,0,0,3,5,0,0,0,0,0,0
CITY OF WALNUT,N,18002,POLLING PLACE,1247,13,13,601,2,16,4,23,255,225,3,18,7,10,9,0
CITY OF WALNUT,N,0,VBM PORTION,1658,15,17,823,6,22,2,19,326,275,7,3,20,14,12,5
CITY OF WALNUT,N,18002,TOTAL,2905,28,30,1424,8,38,6,42,581,500,10,21,27,24,21,5
CITY OF WEST COVINA,N,53486,POLLING PLACE,3701,56,24,1897,21,81,12,34,788,531,8,50,27,27,29,9
CITY OF WEST COVINA,N,0,VBM PORTION,3945,47,28,2148,15,92,8,62,741,520,12,32,26,23,39,6
CITY OF WEST COVINA,N,53486,TOTAL,7643,103,52,4045,36,173,20,96,1529,1051,20,82,53,50,68,15
CITY OF WEST HOLLYWOOD,N,24911,POLLING PLACE,2363,47,4,1865,4,32,2,9,138,89,12,22,3,17,46,2
CITY OF WEST HOLLYWOOD,N,0,VBM PORTION,2201,27,16,1721,7,47,3,13,152,83,11,15,3,16,27,0
CITY OF WEST HOLLYWOOD,N,24911,TOTAL,4563,74,20,3586,11,79,5,22,290,172,23,37,6,33,73,2
CITY OF WESTLAKE VILLAGE,N,6055,POLLING PLACE,727,3,5,308,0,12,1,7,290,80,2,0,0,4,5,2
CITY OF WESTLAKE VILLAGE,N,0,VBM PORTION,770,2,4,309,1,13,1,21,251,116,1,0,4,5,10,6
CITY OF WESTLAKE VILLAGE,N,6055,TOTAL,1497,5,9,617,1,25,2,28,541,196,3,0,4,9,15,8
CITY OF WHITTIER,N,46005,POLLING PLACE,4311,65,28,1961,18,38,11,45,1197,650,16,21,58,36,37,12
CITY OF WHITTIER,N,0,VBM PORTION,3748,40,30,1680,9,74,5,49,1009,607,9,25,45,45,22,4
CITY OF WHITTIER,N,46005,TOTAL,8056,105,58,3641,27,112,16,94,2206,1257,25,46,103,81,59,16
UNINCORPORATED,N,520339,POLLING PLACE,43458,902,350,23990,166,448,181,509,7955,5462,120,634,370,340,412,100
UNINCORPORATED,N,0,VBM PORTION,39390,486,340,20457,190,637,130,537,7946,5507,114,487,273,364,377,82
UNINCORPORATED,N,520339,TOTAL,82731,1388,690,44447,356,1085,311,1046,15901,10969,234,1121,643,704,789,182
