LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,PATRICK O'DONNELL,JOHN C GOYA,SUJA LOWENTHAL
LONG BEACH,3850266A,6106,192,Y,117,POLLING PLACE,0,0,0,0
LONG BEACH,3850266A,6106,192,Y,0,VBM PORTION,18,6,1,9
LONG BEACH,3850266A,6106,192,Y,117,TOTAL,18,6,1,9
LONG BEACH,3850270A,1543,189,N,855,POLLING PLACE,80,28,26,21
LONG BEACH,3850270A,1543,189,N,0,VBM PORTION,103,29,34,31
LONG BEACH,3850270A,1543,189,N,855,TOTAL,183,57,60,52
LONG BEACH,3850271A,1544,189,N,1127,POLLING PLACE,177,64,65,37
LONG BEACH,3850271A,1544,189,N,0,VBM PORTION,151,50,58,26
LONG BEACH,3850271A,1544,189,N,1127,TOTAL,328,114,123,63
LONG BEACH,3850272A,1545,189,N,1053,POLLING PLACE,170,59,62,43
LONG BEACH,3850272A,1545,189,N,0,VBM PORTION,127,49,41,30
LONG BEACH,3850272A,1545,189,N,1053,TOTAL,297,108,103,73
LONG BEACH,3850275A,1546,189,N,1163,POLLING PLACE,196,67,75,41
LONG BEACH,3850275A,1546,189,N,0,VBM PORTION,208,71,79,42
LONG BEACH,3850275A,1546,189,N,1163,TOTAL,404,138,154,83
LONG BEACH,3850276A,1547,189,N,1206,POLLING PLACE,232,77,100,39
LONG BEACH,3850276A,1547,189,N,0,VBM PORTION,233,75,89,57
LONG BEACH,3850276A,1547,189,N,1206,TOTAL,465,152,189,96
LONG BEACH,3850280A,1548,189,N,1267,POLLING PLACE,261,80,108,58
LONG BEACH,3850280A,1548,189,N,0,VBM PORTION,318,90,153,51
LONG BEACH,3850280A,1548,189,N,1267,TOTAL,579,170,261,109
LONG BEACH,3850285A,1549,189,N,1082,POLLING PLACE,232,56,113,45
LONG BEACH,3850285A,1549,189,N,0,VBM PORTION,206,51,107,26
LONG BEACH,3850285A,1549,189,N,1082,TOTAL,438,107,220,71
LONG BEACH,3850286A,1550,192,N,1461,POLLING PLACE,86,32,25,21
LONG BEACH,3850286A,1550,192,N,0,VBM PORTION,134,54,21,48
LONG BEACH,3850286A,1550,192,N,1461,TOTAL,220,86,46,69
LONG BEACH,3850287A,1551,189,N,905,POLLING PLACE,146,63,46,29
LONG BEACH,3850287A,1551,189,N,0,VBM PORTION,170,66,62,30
LONG BEACH,3850287A,1551,189,N,905,TOTAL,316,129,108,59
LONG BEACH,3850290A,1552,189,N,1275,POLLING PLACE,193,56,86,39
LONG BEACH,3850290A,1552,189,N,0,VBM PORTION,287,85,137,42
LONG BEACH,3850290A,1552,189,N,1275,TOTAL,480,141,223,81
LONG BEACH,3850293B,1553,189,N,890,POLLING PLACE,124,44,48,22
LONG BEACH,3850293B,1553,189,N,0,VBM PORTION,175,51,82,26
LONG BEACH,3850293B,1553,189,N,890,TOTAL,299,95,130,48
LONG BEACH,3850294A,1554,189,N,883,POLLING PLACE,127,48,45,29
LONG BEACH,3850294A,1554,189,N,0,VBM PORTION,91,28,45,11
LONG BEACH,3850294A,1554,189,N,883,TOTAL,218,76,90,40
LONG BEACH,3850294B,6107,189,Y,0,POLLING PLACE,0,0,0,0
LONG BEACH,3850294B,6107,189,Y,0,VBM PORTION,0,0,0,0
LONG BEACH,3850294B,6107,189,Y,0,TOTAL,0,0,0,0
LONG BEACH,3850295A,1555,189,N,820,POLLING PLACE,140,55,57,27
LONG BEACH,3850295A,1555,189,N,0,VBM PORTION,137,59,61,12
LONG BEACH,3850295A,1555,189,N,820,TOTAL,277,114,118,39
LONG BEACH,3850296A,1556,192,N,1400,POLLING PLACE,51,27,5,16
LONG BEACH,3850296A,1556,192,N,0,VBM PORTION,29,12,2,15
LONG BEACH,3850296A,1556,192,N,1400,TOTAL,80,39,7,31
LONG BEACH,3850302A,1557,189,N,700,POLLING PLACE,162,85,46,26
LONG BEACH,3850302A,1557,189,N,0,VBM PORTION,134,56,58,12
LONG BEACH,3850302A,1557,189,N,700,TOTAL,296,141,104,38
LONG BEACH,3850302D,1558,189,N,722,POLLING PLACE,172,97,38,25
LONG BEACH,3850302D,1558,189,N,0,VBM PORTION,118,55,40,20
LONG BEACH,3850302D,1558,189,N,722,TOTAL,290,152,78,45
LONG BEACH,3850304A,1559,189,N,685,POLLING PLACE,100,26,45,24
LONG BEACH,3850304A,1559,189,N,0,VBM PORTION,101,40,38,22
LONG BEACH,3850304A,1559,189,N,685,TOTAL,201,66,83,46
LONG BEACH,3850305A,1560,189,N,765,POLLING PLACE,121,53,40,21
LONG BEACH,3850305A,1560,189,N,0,VBM PORTION,133,66,41,19
LONG BEACH,3850305A,1560,189,N,765,TOTAL,254,119,81,40
LONG BEACH,3850306A,1561,189,N,719,POLLING PLACE,129,54,50,22
LONG BEACH,3850306A,1561,189,N,0,VBM PORTION,108,48,32,18
LONG BEACH,3850306A,1561,189,N,719,TOTAL,237,102,82,40
LONG BEACH,3850308A,1563,192,N,1004,POLLING PLACE,170,66,31,64
LONG BEACH,3850308A,1563,192,N,0,VBM PORTION,127,39,44,25
LONG BEACH,3850308A,1563,192,N,1004,TOTAL,297,105,75,89
LONG BEACH,3850309A,1564,192,N,854,POLLING PLACE,93,42,23,27
LONG BEACH,3850309A,1564,192,N,0,VBM PORTION,148,67,26,50
LONG BEACH,3850309A,1564,192,N,854,TOTAL,241,109,49,77
LONG BEACH,3850315A,1565,192,N,426,POLLING PLACE,74,30,29,12
LONG BEACH,3850315A,1565,192,N,0,VBM PORTION,63,19,30,8
LONG BEACH,3850315A,1565,192,N,426,TOTAL,137,49,59,20
LONG BEACH,3850316A,1566,192,N,884,POLLING PLACE,128,44,46,24
LONG BEACH,3850316A,1566,192,N,0,VBM PORTION,166,62,65,27
LONG BEACH,3850316A,1566,192,N,884,TOTAL,294,106,111,51
LONG BEACH,3850319A,1567,192,N,853,POLLING PLACE,125,57,45,21
LONG BEACH,3850319A,1567,192,N,0,VBM PORTION,118,48,50,17
LONG BEACH,3850319A,1567,192,N,853,TOTAL,243,105,95,38
LONG BEACH,3850321A,1568,189,N,889,POLLING PLACE,127,50,54,19
LONG BEACH,3850321A,1568,189,N,0,VBM PORTION,135,60,48,15
LONG BEACH,3850321A,1568,189,N,889,TOTAL,262,110,102,34
LONG BEACH,3850323A,1569,192,N,568,POLLING PLACE,33,12,7,12
LONG BEACH,3850323A,1569,192,N,0,VBM PORTION,24,9,5,10
LONG BEACH,3850323A,1569,192,N,568,TOTAL,57,21,12,22
LONG BEACH,3850324A,1570,189,N,1181,POLLING PLACE,204,78,55,57
LONG BEACH,3850324A,1570,189,N,0,VBM PORTION,153,56,50,36
LONG BEACH,3850324A,1570,189,N,1181,TOTAL,357,134,105,93
LONG BEACH,3850328A,1571,189,N,941,POLLING PLACE,173,72,64,25
LONG BEACH,3850328A,1571,189,N,0,VBM PORTION,163,58,74,25
LONG BEACH,3850328A,1571,189,N,941,TOTAL,336,130,138,50
LONG BEACH,3850333A,1572,192,N,1538,POLLING PLACE,100,44,21,27
LONG BEACH,3850333A,1572,192,N,0,VBM PORTION,142,54,21,58
LONG BEACH,3850333A,1572,192,N,1538,TOTAL,242,98,42,85
LONG BEACH,3850335A,1573,192,N,904,POLLING PLACE,196,80,78,32
LONG BEACH,3850335A,1573,192,N,0,VBM PORTION,170,61,69,30
LONG BEACH,3850335A,1573,192,N,904,TOTAL,366,141,147,62
LONG BEACH,3850336A,1574,192,N,677,POLLING PLACE,122,49,28,41
LONG BEACH,3850336A,1574,192,N,0,VBM PORTION,112,31,52,22
LONG BEACH,3850336A,1574,192,N,677,TOTAL,234,80,80,63
LONG BEACH,3850337A,1575,192,N,880,POLLING PLACE,141,49,56,30
LONG BEACH,3850337A,1575,192,N,0,VBM PORTION,152,63,37,33
LONG BEACH,3850337A,1575,192,N,880,TOTAL,293,112,93,63
LONG BEACH,3850338A,6108,192,Y,5,POLLING PLACE,0,0,0,0
LONG BEACH,3850338A,6108,192,Y,0,VBM PORTION,2,1,0,1
LONG BEACH,3850338A,6108,192,Y,5,TOTAL,2,1,0,1
LONG BEACH,3850346A,1577,192,N,946,POLLING PLACE,151,63,47,27
LONG BEACH,3850346A,1577,192,N,0,VBM PORTION,114,33,52,17
LONG BEACH,3850346A,1577,192,N,946,TOTAL,265,96,99,44
LONG BEACH,3850348A,1578,192,N,899,POLLING PLACE,165,56,61,37
LONG BEACH,3850348A,1578,192,N,0,VBM PORTION,129,45,53,26
LONG BEACH,3850348A,1578,192,N,899,TOTAL,294,101,114,63
LONG BEACH,3850349A,1579,192,N,640,POLLING PLACE,109,41,45,18
LONG BEACH,3850349A,1579,192,N,0,VBM PORTION,82,27,32,20
LONG BEACH,3850349A,1579,192,N,640,TOTAL,191,68,77,38
LONG BEACH,3850351A,1580,192,N,1006,POLLING PLACE,167,67,52,44
LONG BEACH,3850351A,1580,192,N,0,VBM PORTION,139,57,44,31
LONG BEACH,3850351A,1580,192,N,1006,TOTAL,306,124,96,75
LONG BEACH,3850355C,1581,192,N,673,POLLING PLACE,103,44,34,24
LONG BEACH,3850355C,1581,192,N,0,VBM PORTION,124,38,60,18
LONG BEACH,3850355C,1581,192,N,673,TOTAL,227,82,94,42
LONG BEACH,3850356A,1582,192,N,797,POLLING PLACE,103,36,26,38
LONG BEACH,3850356A,1582,192,N,0,VBM PORTION,147,56,52,30
LONG BEACH,3850356A,1582,192,N,797,TOTAL,250,92,78,68
LONG BEACH,3850360A,1583,192,N,1667,POLLING PLACE,76,24,10,37
LONG BEACH,3850360A,1583,192,N,0,VBM PORTION,71,25,17,27
LONG BEACH,3850360A,1583,192,N,1667,TOTAL,147,49,27,64
LONG BEACH,3850361A,1584,192,N,974,POLLING PLACE,94,36,14,35
LONG BEACH,3850361A,1584,192,N,0,VBM PORTION,90,35,14,37
LONG BEACH,3850361A,1584,192,N,974,TOTAL,184,71,28,72
LONG BEACH,3850362A,1585,192,N,964,POLLING PLACE,65,19,16,24
LONG BEACH,3850362A,1585,192,N,0,VBM PORTION,89,31,10,42
LONG BEACH,3850362A,1585,192,N,964,TOTAL,154,50,26,66
LONG BEACH,3850363A,1586,192,N,802,POLLING PLACE,155,64,60,22
LONG BEACH,3850363A,1586,192,N,0,VBM PORTION,131,49,31,39
LONG BEACH,3850363A,1586,192,N,802,TOTAL,286,113,91,61
LONG BEACH,3850366A,1587,192,N,957,POLLING PLACE,174,59,65,38
LONG BEACH,3850366A,1587,192,N,0,VBM PORTION,136,42,64,26
LONG BEACH,3850366A,1587,192,N,957,TOTAL,310,101,129,64
LONG BEACH,3850367A,1588,192,N,722,POLLING PLACE,117,57,33,22
LONG BEACH,3850367A,1588,192,N,0,VBM PORTION,96,36,38,14
LONG BEACH,3850367A,1588,192,N,722,TOTAL,213,93,71,36
LONG BEACH,3850368A,1589,192,N,966,POLLING PLACE,73,26,14,25
LONG BEACH,3850368A,1589,192,N,0,VBM PORTION,63,27,12,22
LONG BEACH,3850368A,1589,192,N,966,TOTAL,136,53,26,47
LONG BEACH,3850369A,1590,189,N,565,POLLING PLACE,73,23,25,20
LONG BEACH,3850369A,1590,189,N,0,VBM PORTION,88,31,34,17
LONG BEACH,3850369A,1590,189,N,565,TOTAL,161,54,59,37
LONG BEACH,3850370C,1591,192,N,892,POLLING PLACE,114,35,53,13
LONG BEACH,3850370C,1591,192,N,0,VBM PORTION,123,47,45,25
LONG BEACH,3850370C,1591,192,N,892,TOTAL,237,82,98,38
LONG BEACH,3850371A,1592,192,N,865,POLLING PLACE,163,47,79,23
LONG BEACH,3850371A,1592,192,N,0,VBM PORTION,124,49,42,22
LONG BEACH,3850371A,1592,192,N,865,TOTAL,287,96,121,45
LONG BEACH,3850372A,1593,192,N,747,POLLING PLACE,157,51,67,31
LONG BEACH,3850372A,1593,192,N,0,VBM PORTION,89,42,38,6
LONG BEACH,3850372A,1593,192,N,747,TOTAL,246,93,105,37
LONG BEACH,3850373A,1594,192,N,957,POLLING PLACE,191,79,68,31
LONG BEACH,3850373A,1594,192,N,0,VBM PORTION,121,39,51,21
LONG BEACH,3850373A,1594,192,N,957,TOTAL,312,118,119,52
LONG BEACH,3850374A,1595,192,N,1019,POLLING PLACE,161,52,59,44
LONG BEACH,3850374A,1595,192,N,0,VBM PORTION,171,69,72,21
LONG BEACH,3850374A,1595,192,N,1019,TOTAL,332,121,131,65
LONG BEACH,3850376A,1596,192,N,851,POLLING PLACE,153,46,70,29
LONG BEACH,3850376A,1596,192,N,0,VBM PORTION,127,32,64,25
LONG BEACH,3850376A,1596,192,N,851,TOTAL,280,78,134,54
LONG BEACH,3850377A,1597,192,N,660,POLLING PLACE,79,29,29,18
LONG BEACH,3850377A,1597,192,N,0,VBM PORTION,65,22,30,8
LONG BEACH,3850377A,1597,192,N,660,TOTAL,144,51,59,26
LONG BEACH,3850378A,1598,192,N,964,POLLING PLACE,160,72,50,28
LONG BEACH,3850378A,1598,192,N,0,VBM PORTION,120,42,54,19
LONG BEACH,3850378A,1598,192,N,964,TOTAL,280,114,104,47
LONG BEACH,3850379A,1599,192,N,921,POLLING PLACE,50,13,5,30
LONG BEACH,3850379A,1599,192,N,0,VBM PORTION,43,20,2,18
LONG BEACH,3850379A,1599,192,N,921,TOTAL,93,33,7,48
LONG BEACH,3850380A,1600,189,N,430,POLLING PLACE,35,20,4,10
LONG BEACH,3850380A,1600,189,N,0,VBM PORTION,36,13,11,12
LONG BEACH,3850380A,1600,189,N,430,TOTAL,71,33,15,22
LONG BEACH,3850384A,1601,192,N,917,POLLING PLACE,60,34,12,13
LONG BEACH,3850384A,1601,192,N,0,VBM PORTION,67,41,12,11
LONG BEACH,3850384A,1601,192,N,917,TOTAL,127,75,24,24
LONG BEACH,3850389A,6109,192,Y,1,POLLING PLACE,0,0,0,0
LONG BEACH,3850389A,6109,192,Y,0,VBM PORTION,0,0,0,0
LONG BEACH,3850389A,6109,192,Y,1,TOTAL,0,0,0,0
LONG BEACH,3850390A,6110,192,Y,1,POLLING PLACE,0,0,0,0
LONG BEACH,3850390A,6110,192,Y,0,VBM PORTION,0,0,0,0
LONG BEACH,3850390A,6110,192,Y,1,TOTAL,0,0,0,0
LONG BEACH,3850399A,1605,192,N,965,POLLING PLACE,168,55,71,32
LONG BEACH,3850399A,1605,192,N,0,VBM PORTION,141,41,71,23
LONG BEACH,3850399A,1605,192,N,965,TOTAL,309,96,142,55
LONG BEACH,3850400A,1606,192,N,973,POLLING PLACE,59,25,8,24
LONG BEACH,3850400A,1606,192,N,0,VBM PORTION,88,51,4,25
LONG BEACH,3850400A,1606,192,N,973,TOTAL,147,76,12,49
LONG BEACH,3850445A,1609,189,N,1310,POLLING PLACE,211,70,94,34
LONG BEACH,3850445A,1609,189,N,0,VBM PORTION,300,97,149,36
LONG BEACH,3850445A,1609,189,N,1310,TOTAL,511,167,243,70
LONG BEACH,3850447A,1610,189,N,1591,POLLING PLACE,326,124,136,51
LONG BEACH,3850447A,1610,189,N,0,VBM PORTION,302,95,125,60
LONG BEACH,3850447A,1610,189,N,1591,TOTAL,628,219,261,111
LONG BEACH,3850481A,1611,189,N,801,POLLING PLACE,115,27,56,22
LONG BEACH,3850481A,1611,189,N,0,VBM PORTION,144,46,57,30
LONG BEACH,3850481A,1611,189,N,801,TOTAL,259,73,113,52
LONG BEACH,3850517A,1612,192,N,833,POLLING PLACE,77,22,14,31
LONG BEACH,3850517A,1612,192,N,0,VBM PORTION,95,43,19,28
LONG BEACH,3850517A,1612,192,N,833,TOTAL,172,65,33,59
LONG BEACH,3850530A,1613,192,N,902,POLLING PLACE,86,32,27,18
LONG BEACH,3850530A,1613,192,N,0,VBM PORTION,92,32,37,20
LONG BEACH,3850530A,1613,192,N,902,TOTAL,178,64,64,38
LONG BEACH,3850533A,1614,192,N,925,POLLING PLACE,144,64,26,47
LONG BEACH,3850533A,1614,192,N,0,VBM PORTION,114,51,21,38
LONG BEACH,3850533A,1614,192,N,925,TOTAL,258,115,47,85
LONG BEACH,3850535A,1615,189,N,890,POLLING PLACE,157,60,67,20
LONG BEACH,3850535A,1615,189,N,0,VBM PORTION,129,39,62,18
LONG BEACH,3850535A,1615,189,N,890,TOTAL,286,99,129,38
LONG BEACH,3850539A,1616,189,N,919,POLLING PLACE,164,64,59,36
LONG BEACH,3850539A,1616,189,N,0,VBM PORTION,181,61,78,30
LONG BEACH,3850539A,1616,189,N,919,TOTAL,345,125,137,66
LONG BEACH,3850541A,1617,192,N,594,POLLING PLACE,78,21,27,20
LONG BEACH,3850541A,1617,192,N,0,VBM PORTION,81,31,32,10
LONG BEACH,3850541A,1617,192,N,594,TOTAL,159,52,59,30
LONG BEACH,3850545A,1618,192,N,709,POLLING PLACE,43,16,3,19
LONG BEACH,3850545A,1618,192,N,0,VBM PORTION,80,15,20,34
LONG BEACH,3850545A,1618,192,N,709,TOTAL,123,31,23,53
LONG BEACH,3850549A,1620,192,N,1586,POLLING PLACE,164,60,40,50
LONG BEACH,3850549A,1620,192,N,0,VBM PORTION,255,71,112,55
LONG BEACH,3850549A,1620,192,N,1586,TOTAL,419,131,152,105
LONG BEACH,3850558B,1626,192,N,926,POLLING PLACE,96,42,25,27
LONG BEACH,3850558B,1626,192,N,0,VBM PORTION,95,35,28,29
LONG BEACH,3850558B,1626,192,N,926,TOTAL,191,77,53,56
LONG BEACH,3850559A,1627,192,N,1378,POLLING PLACE,170,67,50,43
LONG BEACH,3850559A,1627,192,N,0,VBM PORTION,177,55,50,58
LONG BEACH,3850559A,1627,192,N,1378,TOTAL,347,122,100,101
LONG BEACH,3850562A,1628,192,N,1172,POLLING PLACE,282,98,100,67
LONG BEACH,3850562A,1628,192,N,0,VBM PORTION,248,74,114,48
LONG BEACH,3850562A,1628,192,N,1172,TOTAL,530,172,214,115
LONG BEACH,3850563A,1629,192,N,959,POLLING PLACE,138,59,38,32
LONG BEACH,3850563A,1629,192,N,0,VBM PORTION,127,34,48,36
LONG BEACH,3850563A,1629,192,N,959,TOTAL,265,93,86,68
LONG BEACH,3850564B,1630,192,N,921,POLLING PLACE,108,52,18,34
LONG BEACH,3850564B,1630,192,N,0,VBM PORTION,87,35,15,33
LONG BEACH,3850564B,1630,192,N,921,TOTAL,195,87,33,67
LONG BEACH,3850568A,1631,192,N,968,POLLING PLACE,126,50,24,44
LONG BEACH,3850568A,1631,192,N,0,VBM PORTION,99,34,27,34
LONG BEACH,3850568A,1631,192,N,968,TOTAL,225,84,51,78
LONG BEACH,3850572A,1632,192,N,1271,POLLING PLACE,101,44,18,37
LONG BEACH,3850572A,1632,192,N,0,VBM PORTION,125,55,31,27
LONG BEACH,3850572A,1632,192,N,1271,TOTAL,226,99,49,64
LONG BEACH,3850577A,1633,192,N,1466,POLLING PLACE,71,25,13,29
LONG BEACH,3850577A,1633,192,N,0,VBM PORTION,71,28,8,32
LONG BEACH,3850577A,1633,192,N,1466,TOTAL,142,53,21,61
LONG BEACH,3850591A,1634,192,N,1027,POLLING PLACE,71,28,8,27
LONG BEACH,3850591A,1634,192,N,0,VBM PORTION,56,26,9,17
LONG BEACH,3850591A,1634,192,N,1027,TOTAL,127,54,17,44
LONG BEACH,3850593A,1635,192,N,800,POLLING PLACE,47,22,5,17
LONG BEACH,3850593A,1635,192,N,0,VBM PORTION,21,2,3,14
LONG BEACH,3850593A,1635,192,N,800,TOTAL,68,24,8,31
LONG BEACH,3850594A,1636,192,N,1294,POLLING PLACE,85,34,12,34
LONG BEACH,3850594A,1636,192,N,0,VBM PORTION,84,33,6,42
LONG BEACH,3850594A,1636,192,N,1294,TOTAL,169,67,18,76
LONG BEACH,3850610A,1637,192,N,1074,POLLING PLACE,102,41,18,32
LONG BEACH,3850610A,1637,192,N,0,VBM PORTION,78,32,17,26
LONG BEACH,3850610A,1637,192,N,1074,TOTAL,180,73,35,58
LONG BEACH,3850611A,1638,192,N,1214,POLLING PLACE,69,35,10,22
LONG BEACH,3850611A,1638,192,N,0,VBM PORTION,72,34,12,21
LONG BEACH,3850611A,1638,192,N,1214,TOTAL,141,69,22,43
LONG BEACH,3850614A,1639,192,N,1044,POLLING PLACE,57,33,7,14
LONG BEACH,3850614A,1639,192,N,0,VBM PORTION,50,16,10,20
LONG BEACH,3850614A,1639,192,N,1044,TOTAL,107,49,17,34
LONG BEACH,3850616A,1640,192,N,1125,POLLING PLACE,80,37,14,24
LONG BEACH,3850616A,1640,192,N,0,VBM PORTION,95,38,27,27
LONG BEACH,3850616A,1640,192,N,1125,TOTAL,175,75,41,51
LONG BEACH,3850617A,1641,192,N,918,POLLING PLACE,79,30,24,22
LONG BEACH,3850617A,1641,192,N,0,VBM PORTION,100,43,26,23
LONG BEACH,3850617A,1641,192,N,918,TOTAL,179,73,50,45
LONG BEACH,3850618A,1642,192,N,943,POLLING PLACE,72,37,13,18
LONG BEACH,3850618A,1642,192,N,0,VBM PORTION,70,37,11,20
LONG BEACH,3850618A,1642,192,N,943,TOTAL,142,74,24,38
LONG BEACH,3850620A,1643,192,N,1134,POLLING PLACE,110,49,19,37
LONG BEACH,3850620A,1643,192,N,0,VBM PORTION,75,28,11,27
LONG BEACH,3850620A,1643,192,N,1134,TOTAL,185,77,30,64
LONG BEACH,3850621A,1644,192,N,835,POLLING PLACE,51,20,9,18
LONG BEACH,3850621A,1644,192,N,0,VBM PORTION,44,29,7,5
LONG BEACH,3850621A,1644,192,N,835,TOTAL,95,49,16,23
LONG BEACH,3850624A,1645,192,N,846,POLLING PLACE,42,17,10,12
LONG BEACH,3850624A,1645,192,N,0,VBM PORTION,65,20,22,21
LONG BEACH,3850624A,1645,192,N,846,TOTAL,107,37,32,33
LONG BEACH,3850625A,1646,192,N,1169,POLLING PLACE,70,35,15,17
LONG BEACH,3850625A,1646,192,N,0,VBM PORTION,101,41,25,27
LONG BEACH,3850625A,1646,192,N,1169,TOTAL,171,76,40,44
LONG BEACH,3850630C,1647,192,N,749,POLLING PLACE,132,55,49,21
LONG BEACH,3850630C,1647,192,N,0,VBM PORTION,109,32,38,33
LONG BEACH,3850630C,1647,192,N,749,TOTAL,241,87,87,54
LONG BEACH,3850632B,1648,192,N,837,POLLING PLACE,118,42,48,21
LONG BEACH,3850632B,1648,192,N,0,VBM PORTION,94,43,32,16
LONG BEACH,3850632B,1648,192,N,837,TOTAL,212,85,80,37
LONG BEACH,3850636A,1649,192,N,972,POLLING PLACE,149,64,51,28
LONG BEACH,3850636A,1649,192,N,0,VBM PORTION,143,57,56,17
LONG BEACH,3850636A,1649,192,N,972,TOTAL,292,121,107,45
LONG BEACH,3850637A,1650,189,N,847,POLLING PLACE,144,60,52,23
LONG BEACH,3850637A,1650,189,N,0,VBM PORTION,124,55,44,17
LONG BEACH,3850637A,1650,189,N,847,TOTAL,268,115,96,40
LONG BEACH,3850639A,1651,189,N,997,POLLING PLACE,196,87,64,28
LONG BEACH,3850639A,1651,189,N,0,VBM PORTION,128,51,49,19
LONG BEACH,3850639A,1651,189,N,997,TOTAL,324,138,113,47
LONG BEACH,3850645A,1652,189,N,852,POLLING PLACE,13,5,1,3
LONG BEACH,3850645A,1652,189,N,0,VBM PORTION,3,3,0,0
LONG BEACH,3850645A,1652,189,N,852,TOTAL,16,8,1,3
LONG BEACH,3850648A,1653,189,N,1506,POLLING PLACE,312,111,127,59
LONG BEACH,3850648A,1653,189,N,0,VBM PORTION,300,84,140,50
LONG BEACH,3850648A,1653,189,N,1506,TOTAL,612,195,267,109
LONG BEACH,3850649E,6111,189,Y,0,POLLING PLACE,0,0,0,0
LONG BEACH,3850649E,6111,189,Y,0,VBM PORTION,0,0,0,0
LONG BEACH,3850649E,6111,189,Y,0,TOTAL,0,0,0,0
LONG BEACH,3850660A,1655,190,N,1495,POLLING PLACE,68,32,12,16
LONG BEACH,3850660A,1655,190,N,0,VBM PORTION,71,28,10,32
LONG BEACH,3850660A,1655,190,N,1495,TOTAL,139,60,22,48
LONG BEACH,3850660B,6112,190,Y,0,POLLING PLACE,0,0,0,0
LONG BEACH,3850660B,6112,190,Y,0,VBM PORTION,0,0,0,0
LONG BEACH,3850660B,6112,190,Y,0,TOTAL,0,0,0,0
LONG BEACH,3850671A,1656,192,N,1102,POLLING PLACE,64,34,12,10
LONG BEACH,3850671A,1656,192,N,0,VBM PORTION,60,32,11,15
LONG BEACH,3850671A,1656,192,N,1102,TOTAL,124,66,23,25
LONG BEACH,3850680A,1657,189,N,737,POLLING PLACE,97,42,26,21
LONG BEACH,3850680A,1657,189,N,0,VBM PORTION,125,41,54,19
LONG BEACH,3850680A,1657,189,N,737,TOTAL,222,83,80,40
LONG BEACH,3850688A,1659,189,N,1088,POLLING PLACE,127,47,46,28
LONG BEACH,3850688A,1659,189,N,0,VBM PORTION,231,58,103,47
LONG BEACH,3850688A,1659,189,N,1088,TOTAL,358,105,149,75
LONG BEACH,3850701A,1660,192,N,825,POLLING PLACE,83,38,10,30
LONG BEACH,3850701A,1660,192,N,0,VBM PORTION,67,43,4,17
LONG BEACH,3850701A,1660,192,N,825,TOTAL,150,81,14,47
LONG BEACH,3850702A,1661,192,N,1440,POLLING PLACE,68,24,14,20
LONG BEACH,3850702A,1661,192,N,0,VBM PORTION,45,18,10,14
LONG BEACH,3850702A,1661,192,N,1440,TOTAL,113,42,24,34
RANCHO PALOS VERDES,5530003A,6136,190,Y,0,POLLING PLACE,0,0,0,0
RANCHO PALOS VERDES,5530003A,6136,190,Y,0,VBM PORTION,0,0,0,0
RANCHO PALOS VERDES,5530003A,6136,190,Y,0,TOTAL,0,0,0,0
RANCHO PALOS VERDES,5530009A,6137,190,Y,0,POLLING PLACE,0,0,0,0
RANCHO PALOS VERDES,5530009A,6137,190,Y,0,VBM PORTION,0,0,0,0
RANCHO PALOS VERDES,5530009A,6137,190,Y,0,TOTAL,0,0,0,0
SAN CLEMENTE ISLAND,5960001A,6144,187,Y,0,POLLING PLACE,0,0,0,0
SAN CLEMENTE ISLAND,5960001A,6144,187,Y,0,VBM PORTION,0,0,0,0
SAN CLEMENTE ISLAND,5960001A,6144,187,Y,0,TOTAL,0,0,0,0
SANTA CATALINA ISLAND,6210001A,2336,187,N,66,POLLING PLACE,1,0,0,1
SANTA CATALINA ISLAND,6210001A,2336,187,N,0,VBM PORTION,6,3,1,2
SANTA CATALINA ISLAND,6210001A,2336,187,N,66,TOTAL,7,3,1,3
SANTA CATALINA ISLAND,6210002A,2337,187,N,95,POLLING PLACE,15,4,1,8
SANTA CATALINA ISLAND,6210002A,2337,187,N,0,VBM PORTION,3,0,3,0
SANTA CATALINA ISLAND,6210002A,2337,187,N,95,TOTAL,18,4,4,8
SIGNAL HILL,6450001A,2519,191,N,703,POLLING PLACE,62,28,10,22
SIGNAL HILL,6450001A,2519,191,N,0,VBM PORTION,74,27,17,24
SIGNAL HILL,6450001A,2519,191,N,703,TOTAL,136,55,27,46
SIGNAL HILL,6450002A,2520,191,N,1159,POLLING PLACE,115,46,20,40
SIGNAL HILL,6450002A,2520,191,N,0,VBM PORTION,73,29,23,14
SIGNAL HILL,6450002A,2520,191,N,1159,TOTAL,188,75,43,54
SIGNAL HILL,6450003A,2521,191,N,949,POLLING PLACE,113,48,24,28
SIGNAL HILL,6450003A,2521,191,N,0,VBM PORTION,130,44,46,25
SIGNAL HILL,6450003A,2521,191,N,949,TOTAL,243,92,70,53
SIGNAL HILL,6450004A,2522,191,N,1107,POLLING PLACE,180,76,58,42
SIGNAL HILL,6450004A,2522,191,N,0,VBM PORTION,129,42,42,35
SIGNAL HILL,6450004A,2522,191,N,1107,TOTAL,309,118,100,77
SIGNAL HILL,6450005A,2523,191,N,1169,POLLING PLACE,150,63,46,37
SIGNAL HILL,6450005A,2523,191,N,0,VBM PORTION,197,66,61,49
