LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JEROME E HORTON
HACIENDA HEIGHTS,2630202A,1036,133,N,1172,POLLING PLACE,99,31
HACIENDA HEIGHTS,2630202A,1036,133,N,0,VBM PORTION,98,37
HACIENDA HEIGHTS,2630202A,1036,133,N,1172,TOTAL,197,68
HACIENDA HEIGHTS,2630205A,1037,133,N,1272,POLLING PLACE,96,37
HACIENDA HEIGHTS,2630205A,1037,133,N,0,VBM PORTION,169,57
HACIENDA HEIGHTS,2630205A,1037,133,N,1272,TOTAL,265,94
HACIENDA HEIGHTS,2630206A,1038,133,N,1033,POLLING PLACE,52,30
HACIENDA HEIGHTS,2630206A,1038,133,N,0,VBM PORTION,68,38
HACIENDA HEIGHTS,2630206A,1038,133,N,1033,TOTAL,120,68
HAWAIIAN GARDENS,2650001A,1039,166,N,1190,POLLING PLACE,72,30
HAWAIIAN GARDENS,2650001A,1039,166,N,0,VBM PORTION,114,62
HAWAIIAN GARDENS,2650001A,1039,166,N,1190,TOTAL,186,92
HAWAIIAN GARDENS,2650002C,1040,166,N,899,POLLING PLACE,59,29
HAWAIIAN GARDENS,2650002C,1040,166,N,0,VBM PORTION,92,47
HAWAIIAN GARDENS,2650002C,1040,166,N,899,TOTAL,151,76
HAWAIIAN GARDENS,2650004A,1041,166,N,707,POLLING PLACE,31,13
HAWAIIAN GARDENS,2650004A,1041,166,N,0,VBM PORTION,19,10
HAWAIIAN GARDENS,2650004A,1041,166,N,707,TOTAL,50,23
HAWAIIAN GARDENS,2650005A,1042,166,N,1080,POLLING PLACE,70,29
HAWAIIAN GARDENS,2650005A,1042,166,N,0,VBM PORTION,52,27
HAWAIIAN GARDENS,2650005A,1042,166,N,1080,TOTAL,122,56
HAWAIIAN GARDENS,2650006A,1043,166,N,825,POLLING PLACE,60,29
HAWAIIAN GARDENS,2650006A,1043,166,N,0,VBM PORTION,34,21
HAWAIIAN GARDENS,2650006A,1043,166,N,825,TOTAL,94,50
HAWAIIAN GARDENS,2650006B,6059,166,Y,0,POLLING PLACE,0,0
HAWAIIAN GARDENS,2650006B,6059,166,Y,0,VBM PORTION,0,0
HAWAIIAN GARDENS,2650006B,6059,166,Y,0,TOTAL,0,0
HAWTHORNE,2700001A,1044,162,N,1015,POLLING PLACE,63,34
HAWTHORNE,2700001A,1044,162,N,0,VBM PORTION,29,25
HAWTHORNE,2700001A,1044,162,N,1015,TOTAL,92,59
HAWTHORNE,2700001C,6060,162,Y,47,POLLING PLACE,0,0
HAWTHORNE,2700001C,6060,162,Y,0,VBM PORTION,1,0
HAWTHORNE,2700001C,6060,162,Y,47,TOTAL,1,0
HAWTHORNE,2700003A,1045,162,N,1109,POLLING PLACE,71,38
HAWTHORNE,2700003A,1045,162,N,0,VBM PORTION,47,30
HAWTHORNE,2700003A,1045,162,N,1109,TOTAL,118,68
HAWTHORNE,2700004A,1046,162,N,1137,POLLING PLACE,63,44
HAWTHORNE,2700004A,1046,162,N,0,VBM PORTION,63,44
HAWTHORNE,2700004A,1046,162,N,1137,TOTAL,126,88
HAWTHORNE,2700007A,1047,162,N,749,POLLING PLACE,69,27
HAWTHORNE,2700007A,1047,162,N,0,VBM PORTION,79,31
HAWTHORNE,2700007A,1047,162,N,749,TOTAL,148,58
HAWTHORNE,2700009A,1048,162,N,940,POLLING PLACE,49,22
HAWTHORNE,2700009A,1048,162,N,0,VBM PORTION,47,24
HAWTHORNE,2700009A,1048,162,N,940,TOTAL,96,46
HAWTHORNE,2700010A,1049,162,N,1022,POLLING PLACE,74,33
HAWTHORNE,2700010A,1049,162,N,0,VBM PORTION,74,42
HAWTHORNE,2700010A,1049,162,N,1022,TOTAL,148,75
HAWTHORNE,2700011A,6061,162,Y,286,POLLING PLACE,0,0
HAWTHORNE,2700011A,6061,162,Y,0,VBM PORTION,78,36
HAWTHORNE,2700011A,6061,162,Y,286,TOTAL,78,36
HAWTHORNE,2700013A,1050,162,N,1101,POLLING PLACE,55,36
HAWTHORNE,2700013A,1050,162,N,0,VBM PORTION,62,41
HAWTHORNE,2700013A,1050,162,N,1101,TOTAL,117,77
HAWTHORNE,2700014A,1051,162,N,1239,POLLING PLACE,61,49
HAWTHORNE,2700014A,1051,162,N,0,VBM PORTION,43,30
HAWTHORNE,2700014A,1051,162,N,1239,TOTAL,104,79
HAWTHORNE,2700015A,1052,162,N,961,POLLING PLACE,48,22
HAWTHORNE,2700015A,1052,162,N,0,VBM PORTION,36,20
HAWTHORNE,2700015A,1052,162,N,961,TOTAL,84,42
HAWTHORNE,2700016A,1053,162,N,939,POLLING PLACE,50,31
HAWTHORNE,2700016A,1053,162,N,0,VBM PORTION,43,27
HAWTHORNE,2700016A,1053,162,N,939,TOTAL,93,58
HAWTHORNE,2700017A,1054,162,N,1142,POLLING PLACE,62,29
HAWTHORNE,2700017A,1054,162,N,0,VBM PORTION,41,24
HAWTHORNE,2700017A,1054,162,N,1142,TOTAL,103,53
HAWTHORNE,2700019A,1055,162,N,1161,POLLING PLACE,79,38
HAWTHORNE,2700019A,1055,162,N,0,VBM PORTION,49,20
HAWTHORNE,2700019A,1055,162,N,1161,TOTAL,128,58
HAWTHORNE,2700020A,1056,162,N,1200,POLLING PLACE,74,45
HAWTHORNE,2700020A,1056,162,N,0,VBM PORTION,45,32
HAWTHORNE,2700020A,1056,162,N,1200,TOTAL,119,77
HAWTHORNE,2700021A,1057,162,N,1215,POLLING PLACE,41,26
HAWTHORNE,2700021A,1057,162,N,0,VBM PORTION,38,28
HAWTHORNE,2700021A,1057,162,N,1215,TOTAL,79,54
HAWTHORNE,2700022A,1058,162,N,1067,POLLING PLACE,59,34
HAWTHORNE,2700022A,1058,162,N,0,VBM PORTION,56,21
HAWTHORNE,2700022A,1058,162,N,1067,TOTAL,115,55
HAWTHORNE,2700023A,1059,162,N,1133,POLLING PLACE,107,66
HAWTHORNE,2700023A,1059,162,N,0,VBM PORTION,73,34
HAWTHORNE,2700023A,1059,162,N,1133,TOTAL,180,100
HAWTHORNE,2700025C,1060,162,N,1230,POLLING PLACE,96,46
HAWTHORNE,2700025C,1060,162,N,0,VBM PORTION,109,39
HAWTHORNE,2700025C,1060,162,N,1230,TOTAL,205,85
HAWTHORNE,2700028A,1061,162,N,1225,POLLING PLACE,61,39
HAWTHORNE,2700028A,1061,162,N,0,VBM PORTION,51,33
HAWTHORNE,2700028A,1061,162,N,1225,TOTAL,112,72
HAWTHORNE,2700029A,1062,162,N,1126,POLLING PLACE,69,45
HAWTHORNE,2700029A,1062,162,N,0,VBM PORTION,44,21
HAWTHORNE,2700029A,1062,162,N,1126,TOTAL,113,66
HAWTHORNE,2700039B,1063,162,N,1190,POLLING PLACE,127,42
HAWTHORNE,2700039B,1063,162,N,0,VBM PORTION,140,57
HAWTHORNE,2700039B,1063,162,N,1190,TOTAL,267,99
HAWTHORNE,2700041A,1064,162,N,1271,POLLING PLACE,131,49
HAWTHORNE,2700041A,1064,162,N,0,VBM PORTION,142,55
HAWTHORNE,2700041A,1064,162,N,1271,TOTAL,273,104
HAWTHORNE,2700043A,1065,162,N,1201,POLLING PLACE,56,39
HAWTHORNE,2700043A,1065,162,N,0,VBM PORTION,48,33
HAWTHORNE,2700043A,1065,162,N,1201,TOTAL,104,72
HAWTHORNE,2700051A,1066,162,N,1215,POLLING PLACE,47,29
HAWTHORNE,2700051A,1066,162,N,0,VBM PORTION,35,16
HAWTHORNE,2700051A,1066,162,N,1215,TOTAL,82,45
HAWTHORNE,2700090A,1067,162,N,995,POLLING PLACE,52,29
HAWTHORNE,2700090A,1067,162,N,0,VBM PORTION,45,31
HAWTHORNE,2700090A,1067,162,N,995,TOTAL,97,60
HAWTHORNE,2700091A,1068,162,N,975,POLLING PLACE,48,27
HAWTHORNE,2700091A,1068,162,N,0,VBM PORTION,24,7
HAWTHORNE,2700091A,1068,162,N,975,TOTAL,72,34
HAWTHORNE,2700092A,1069,163,N,1149,POLLING PLACE,138,91
HAWTHORNE,2700092A,1069,163,N,0,VBM PORTION,99,83
HAWTHORNE,2700092A,1069,163,N,1149,TOTAL,237,174
HAWTHORNE,2700094A,1070,163,N,1012,POLLING PLACE,170,118
HAWTHORNE,2700094A,1070,163,N,0,VBM PORTION,98,71
HAWTHORNE,2700094A,1070,163,N,1012,TOTAL,268,189
HAWTHORNE,2700101A,1071,162,N,871,POLLING PLACE,79,39
HAWTHORNE,2700101A,1071,162,N,0,VBM PORTION,34,17
HAWTHORNE,2700101A,1071,162,N,871,TOTAL,113,56
HAWTHORNE,2700103B,1072,162,N,1214,POLLING PLACE,89,48
HAWTHORNE,2700103B,1072,162,N,0,VBM PORTION,58,28
HAWTHORNE,2700103B,1072,162,N,1214,TOTAL,147,76
HAWTHORNE,2700105A,1073,162,N,1103,POLLING PLACE,55,40
HAWTHORNE,2700105A,1073,162,N,0,VBM PORTION,39,25
HAWTHORNE,2700105A,1073,162,N,1103,TOTAL,94,65
HAWTHORNE,2700106A,1074,162,N,1168,POLLING PLACE,61,36
HAWTHORNE,2700106A,1074,162,N,0,VBM PORTION,44,30
HAWTHORNE,2700106A,1074,162,N,1168,TOTAL,105,66
HAWTHORNE,2700109A,1075,162,N,985,POLLING PLACE,80,39
HAWTHORNE,2700109A,1075,162,N,0,VBM PORTION,81,38
HAWTHORNE,2700109A,1075,162,N,985,TOTAL,161,77
HAWTHORNE,2700116A,1076,162,N,1090,POLLING PLACE,42,25
HAWTHORNE,2700116A,1076,162,N,0,VBM PORTION,29,23
HAWTHORNE,2700116A,1076,162,N,1090,TOTAL,71,48
HERMOSA BEACH,2750001A,1077,181,N,1151,POLLING PLACE,146,61
HERMOSA BEACH,2750001A,1077,181,N,0,VBM PORTION,160,64
HERMOSA BEACH,2750001A,1077,181,N,1151,TOTAL,306,125
HERMOSA BEACH,2750003A,1078,181,N,975,POLLING PLACE,178,92
HERMOSA BEACH,2750003A,1078,181,N,0,VBM PORTION,116,45
HERMOSA BEACH,2750003A,1078,181,N,975,TOTAL,294,137
HERMOSA BEACH,2750003B,1079,181,N,1081,POLLING PLACE,178,89
HERMOSA BEACH,2750003B,1079,181,N,0,VBM PORTION,139,58
HERMOSA BEACH,2750003B,1079,181,N,1081,TOTAL,317,147
HERMOSA BEACH,2750004A,1080,181,N,1038,POLLING PLACE,90,45
HERMOSA BEACH,2750004A,1080,181,N,0,VBM PORTION,82,38
HERMOSA BEACH,2750004A,1080,181,N,1038,TOTAL,172,83
HERMOSA BEACH,2750008A,1081,181,N,987,POLLING PLACE,129,64
HERMOSA BEACH,2750008A,1081,181,N,0,VBM PORTION,96,34
HERMOSA BEACH,2750008A,1081,181,N,987,TOTAL,225,98
HERMOSA BEACH,2750011A,1082,181,N,1147,POLLING PLACE,121,61
HERMOSA BEACH,2750011A,1082,181,N,0,VBM PORTION,110,50
HERMOSA BEACH,2750011A,1082,181,N,1147,TOTAL,231,111
HERMOSA BEACH,2750012A,1083,181,N,1391,POLLING PLACE,147,65
HERMOSA BEACH,2750012A,1083,181,N,0,VBM PORTION,225,100
HERMOSA BEACH,2750012A,1083,181,N,1391,TOTAL,372,165
HERMOSA BEACH,2750015A,1084,181,N,1044,POLLING PLACE,115,60
HERMOSA BEACH,2750015A,1084,181,N,0,VBM PORTION,155,89
HERMOSA BEACH,2750015A,1084,181,N,1044,TOTAL,270,149
HERMOSA BEACH,2750016A,1085,181,N,907,POLLING PLACE,137,70
HERMOSA BEACH,2750016A,1085,181,N,0,VBM PORTION,119,59
HERMOSA BEACH,2750016A,1085,181,N,907,TOTAL,256,129
HERMOSA BEACH,2750017A,1086,181,N,1350,POLLING PLACE,203,101
HERMOSA BEACH,2750017A,1086,181,N,0,VBM PORTION,185,99
HERMOSA BEACH,2750017A,1086,181,N,1350,TOTAL,388,200
HERMOSA BEACH,2750019A,1087,181,N,1330,POLLING PLACE,171,84
HERMOSA BEACH,2750019A,1087,181,N,0,VBM PORTION,165,91
HERMOSA BEACH,2750019A,1087,181,N,1330,TOTAL,336,175
HERMOSA BEACH,2750023A,1088,181,N,1049,POLLING PLACE,91,42
HERMOSA BEACH,2750023A,1088,181,N,0,VBM PORTION,100,46
HERMOSA BEACH,2750023A,1088,181,N,1049,TOTAL,191,88
HIDDEN HILLS,2780001A,1089,56,N,610,POLLING PLACE,60,22
HIDDEN HILLS,2780001A,1089,56,N,0,VBM PORTION,63,17
HIDDEN HILLS,2780001A,1089,56,N,610,TOTAL,123,39
HIDDEN HILLS,2780002A,1090,56,N,726,POLLING PLACE,86,22
HIDDEN HILLS,2780002A,1090,56,N,0,VBM PORTION,59,13
HIDDEN HILLS,2780002A,1090,56,N,726,TOTAL,145,35
HUNTINGTON PARK,2850001A,1091,98,N,1158,POLLING PLACE,63,41
HUNTINGTON PARK,2850001A,1091,98,N,0,VBM PORTION,22,14
HUNTINGTON PARK,2850001A,1091,98,N,1158,TOTAL,85,55
HUNTINGTON PARK,2850002A,6062,164,Y,0,POLLING PLACE,0,0
HUNTINGTON PARK,2850002A,6062,164,Y,0,VBM PORTION,0,0
HUNTINGTON PARK,2850002A,6062,164,Y,0,TOTAL,0,0
HUNTINGTON PARK,2850004A,1092,98,N,1048,POLLING PLACE,65,31
HUNTINGTON PARK,2850004A,1092,98,N,0,VBM PORTION,44,32
HUNTINGTON PARK,2850004A,1092,98,N,1048,TOTAL,109,63
HUNTINGTON PARK,2850005B,1093,144,N,764,POLLING PLACE,45,26
HUNTINGTON PARK,2850005B,1093,144,N,0,VBM PORTION,17,10
HUNTINGTON PARK,2850005B,1093,144,N,764,TOTAL,62,36
HUNTINGTON PARK,2850006A,1094,98,N,1107,POLLING PLACE,51,13
HUNTINGTON PARK,2850006A,1094,98,N,0,VBM PORTION,28,18
HUNTINGTON PARK,2850006A,1094,98,N,1107,TOTAL,79,31
HUNTINGTON PARK,2850008A,1095,144,N,904,POLLING PLACE,62,31
HUNTINGTON PARK,2850008A,1095,144,N,0,VBM PORTION,16,13
HUNTINGTON PARK,2850008A,1095,144,N,904,TOTAL,78,44
HUNTINGTON PARK,2850009A,1096,98,N,720,POLLING PLACE,54,28
HUNTINGTON PARK,2850009A,1096,98,N,0,VBM PORTION,17,9
HUNTINGTON PARK,2850009A,1096,98,N,720,TOTAL,71,37
HUNTINGTON PARK,2850010A,1097,98,N,1122,POLLING PLACE,56,32
HUNTINGTON PARK,2850010A,1097,98,N,0,VBM PORTION,66,31
HUNTINGTON PARK,2850010A,1097,98,N,1122,TOTAL,122,63
HUNTINGTON PARK,2850011A,1098,98,N,1207,POLLING PLACE,79,42
HUNTINGTON PARK,2850011A,1098,98,N,0,VBM PORTION,41,24
HUNTINGTON PARK,2850011A,1098,98,N,1207,TOTAL,120,66
HUNTINGTON PARK,2850012A,1099,98,N,1226,POLLING PLACE,67,26
HUNTINGTON PARK,2850012A,1099,98,N,0,VBM PORTION,43,26
HUNTINGTON PARK,2850012A,1099,98,N,1226,TOTAL,110,52
HUNTINGTON PARK,2850015A,1100,98,N,1001,POLLING PLACE,62,28
HUNTINGTON PARK,2850015A,1100,98,N,0,VBM PORTION,38,20
HUNTINGTON PARK,2850015A,1100,98,N,1001,TOTAL,100,48
HUNTINGTON PARK,2850017A,1101,98,N,1013,POLLING PLACE,110,49
HUNTINGTON PARK,2850017A,1101,98,N,0,VBM PORTION,41,16
HUNTINGTON PARK,2850017A,1101,98,N,1013,TOTAL,151,65
HUNTINGTON PARK,2850022A,1102,98,N,808,POLLING PLACE,42,23
HUNTINGTON PARK,2850022A,1102,98,N,0,VBM PORTION,44,34
HUNTINGTON PARK,2850022A,1102,98,N,808,TOTAL,86,57
HUNTINGTON PARK,2850025A,1103,98,N,1154,POLLING PLACE,61,26
HUNTINGTON PARK,2850025A,1103,98,N,0,VBM PORTION,34,23
HUNTINGTON PARK,2850025A,1103,98,N,1154,TOTAL,95,49
HUNTINGTON PARK,2850026A,1104,98,N,1196,POLLING PLACE,60,34
HUNTINGTON PARK,2850026A,1104,98,N,0,VBM PORTION,49,30
HUNTINGTON PARK,2850026A,1104,98,N,1196,TOTAL,109,64
HUNTINGTON PARK,2850029A,1105,98,N,1022,POLLING PLACE,67,27
HUNTINGTON PARK,2850029A,1105,98,N,0,VBM PORTION,23,15
HUNTINGTON PARK,2850029A,1105,98,N,1022,TOTAL,90,42
HUNTINGTON PARK,2850050A,1106,98,N,1152,POLLING PLACE,79,43
HUNTINGTON PARK,2850050A,1106,98,N,0,VBM PORTION,50,33
HUNTINGTON PARK,2850050A,1106,98,N,1152,TOTAL,129,76
INDUSTRY,2930003A,6063,129,Y,1,POLLING PLACE,0,0
INDUSTRY,2930003A,6063,129,Y,0,VBM PORTION,0,0
INDUSTRY,2930003A,6063,129,Y,1,TOTAL,0,0
INDUSTRY,2930006A,6064,123,Y,48,POLLING PLACE,0,0
INDUSTRY,2930006A,6064,123,Y,0,VBM PORTION,14,8
INDUSTRY,2930006A,6064,123,Y,48,TOTAL,14,8
INDUSTRY,2930010A,6065,123,Y,42,POLLING PLACE,0,0
INDUSTRY,2930010A,6065,123,Y,0,VBM PORTION,12,2
INDUSTRY,2930010A,6065,123,Y,42,TOTAL,12,2
INDUSTRY,2930011A,6066,125,Y,0,POLLING PLACE,0,0
INDUSTRY,2930011A,6066,125,Y,0,VBM PORTION,0,0
INDUSTRY,2930011A,6066,125,Y,0,TOTAL,0,0
INDUSTRY,2930012A,6067,125,Y,0,POLLING PLACE,0,0
INDUSTRY,2930012A,6067,125,Y,0,VBM PORTION,0,0
INDUSTRY,2930012A,6067,125,Y,0,TOTAL,0,0
INDUSTRY,2930015A,6068,66,Y,0,POLLING PLACE,0,0
INDUSTRY,2930015A,6068,66,Y,0,VBM PORTION,0,0
INDUSTRY,2930015A,6068,66,Y,0,TOTAL,0,0
INDUSTRY,2930016A,6069,120,Y,6,POLLING PLACE,0,0
INDUSTRY,2930016A,6069,120,Y,0,VBM PORTION,1,0
INDUSTRY,2930016A,6069,120,Y,6,TOTAL,1,0
INDUSTRY,2930062A,6070,123,Y,6,POLLING PLACE,0,0
INDUSTRY,2930062A,6070,123,Y,0,VBM PORTION,2,0
INDUSTRY,2930062A,6070,123,Y,6,TOTAL,2,0
INDUSTRY,2930067A,6071,123,Y,0,POLLING PLACE,0,0
INDUSTRY,2930067A,6071,123,Y,0,VBM PORTION,0,0
INDUSTRY,2930067A,6071,123,Y,0,TOTAL,0,0
INDUSTRY,2930068A,6072,123,Y,0,POLLING PLACE,0,0
INDUSTRY,2930068A,6072,123,Y,0,VBM PORTION,0,0
INDUSTRY,2930068A,6072,123,Y,0,TOTAL,0,0
INGLEWOOD,2950001A,1107,162,N,994,POLLING PLACE,169,118
INGLEWOOD,2950001A,1107,162,N,0,VBM PORTION,84,63
INGLEWOOD,2950001A,1107,162,N,994,TOTAL,253,181
INGLEWOOD,2950002A,1108,160,N,1133,POLLING PLACE,86,63
INGLEWOOD,2950002A,1108,160,N,0,VBM PORTION,54,35
INGLEWOOD,2950002A,1108,160,N,1133,TOTAL,140,98
INGLEWOOD,2950003A,1109,162,N,599,POLLING PLACE,68,50
INGLEWOOD,2950003A,1109,162,N,0,VBM PORTION,53,43
INGLEWOOD,2950003A,1109,162,N,599,TOTAL,121,93
INGLEWOOD,2950004A,1110,162,N,563,POLLING PLACE,76,42
INGLEWOOD,2950004A,1110,162,N,0,VBM PORTION,55,41
INGLEWOOD,2950004A,1110,162,N,563,TOTAL,131,83
INGLEWOOD,2950005A,1111,162,N,592,POLLING PLACE,25,19
INGLEWOOD,2950005A,1111,162,N,0,VBM PORTION,22,11
INGLEWOOD,2950005A,1111,162,N,592,TOTAL,47,30
INGLEWOOD,2950006B,1112,162,N,817,POLLING PLACE,80,55
INGLEWOOD,2950006B,1112,162,N,0,VBM PORTION,70,57
INGLEWOOD,2950006B,1112,162,N,817,TOTAL,150,112
INGLEWOOD,2950007A,1113,162,N,1140,POLLING PLACE,69,44
INGLEWOOD,2950007A,1113,162,N,0,VBM PORTION,53,40
INGLEWOOD,2950007A,1113,162,N,1140,TOTAL,122,84
INGLEWOOD,2950008A,1114,162,N,955,POLLING PLACE,160,110
INGLEWOOD,2950008A,1114,162,N,0,VBM PORTION,68,44
INGLEWOOD,2950008A,1114,162,N,955,TOTAL,228,154
INGLEWOOD,2950009B,1115,162,N,1096,POLLING PLACE,139,93
INGLEWOOD,2950009B,1115,162,N,0,VBM PORTION,109,89
INGLEWOOD,2950009B,1115,162,N,1096,TOTAL,248,182
INGLEWOOD,2950010A,1116,162,N,1114,POLLING PLACE,145,105
INGLEWOOD,2950010A,1116,162,N,0,VBM PORTION,99,79
INGLEWOOD,2950010A,1116,162,N,1114,TOTAL,244,184
INGLEWOOD,2950011A,1117,162,N,787,POLLING PLACE,186,129
INGLEWOOD,2950011A,1117,162,N,0,VBM PORTION,87,65
INGLEWOOD,2950011A,1117,162,N,787,TOTAL,273,194
INGLEWOOD,2950013B,1118,162,N,950,POLLING PLACE,91,48
INGLEWOOD,2950013B,1118,162,N,0,VBM PORTION,62,46
INGLEWOOD,2950013B,1118,162,N,950,TOTAL,153,94
INGLEWOOD,2950014B,1119,162,N,926,POLLING PLACE,126,85
INGLEWOOD,2950014B,1119,162,N,0,VBM PORTION,83,58
INGLEWOOD,2950014B,1119,162,N,926,TOTAL,209,143
INGLEWOOD,2950015B,1120,162,N,626,POLLING PLACE,68,49
INGLEWOOD,2950015B,1120,162,N,0,VBM PORTION,51,37
INGLEWOOD,2950015B,1120,162,N,626,TOTAL,119,86
INGLEWOOD,2950016B,1121,162,N,816,POLLING PLACE,91,65
INGLEWOOD,2950016B,1121,162,N,0,VBM PORTION,66,55
INGLEWOOD,2950016B,1121,162,N,816,TOTAL,157,120
INGLEWOOD,2950017A,1122,162,N,952,POLLING PLACE,58,42
INGLEWOOD,2950017A,1122,162,N,0,VBM PORTION,56,36
INGLEWOOD,2950017A,1122,162,N,952,TOTAL,114,78
INGLEWOOD,2950018A,1123,162,N,1197,POLLING PLACE,187,148
INGLEWOOD,2950018A,1123,162,N,0,VBM PORTION,130,97
INGLEWOOD,2950018A,1123,162,N,1197,TOTAL,317,245
INGLEWOOD,2950019A,1124,162,N,1243,POLLING PLACE,27,15
INGLEWOOD,2950019A,1124,162,N,0,VBM PORTION,30,25
INGLEWOOD,2950019A,1124,162,N,1243,TOTAL,57,40
INGLEWOOD,2950020A,1125,162,N,1078,POLLING PLACE,136,92
INGLEWOOD,2950020A,1125,162,N,0,VBM PORTION,95,84
INGLEWOOD,2950020A,1125,162,N,1078,TOTAL,231,176
INGLEWOOD,2950022A,1126,162,N,970,POLLING PLACE,144,99
INGLEWOOD,2950022A,1126,162,N,0,VBM PORTION,82,62
INGLEWOOD,2950022A,1126,162,N,970,TOTAL,226,161
INGLEWOOD,2950022B,1127,163,N,256,POLLING PLACE,30,17
INGLEWOOD,2950022B,1127,163,N,0,VBM PORTION,27,23
INGLEWOOD,2950022B,1127,163,N,256,TOTAL,57,40
INGLEWOOD,2950023A,1128,162,N,723,POLLING PLACE,83,57
INGLEWOOD,2950023A,1128,162,N,0,VBM PORTION,77,55
INGLEWOOD,2950023A,1128,162,N,723,TOTAL,160,112
INGLEWOOD,2950024A,1129,162,N,840,POLLING PLACE,81,56
INGLEWOOD,2950024A,1129,162,N,0,VBM PORTION,59,40
INGLEWOOD,2950024A,1129,162,N,840,TOTAL,140,96
INGLEWOOD,2950025A,1130,160,N,1014,POLLING PLACE,83,42
INGLEWOOD,2950025A,1130,160,N,0,VBM PORTION,44,29
INGLEWOOD,2950025A,1130,160,N,1014,TOTAL,127,71
INGLEWOOD,2950026A,1131,162,N,925,POLLING PLACE,107,75
INGLEWOOD,2950026A,1131,162,N,0,VBM PORTION,53,43
INGLEWOOD,2950026A,1131,162,N,925,TOTAL,160,118
INGLEWOOD,2950026B,6073,163,Y,79,POLLING PLACE,0,0
INGLEWOOD,2950026B,6073,163,Y,0,VBM PORTION,6,5
INGLEWOOD,2950026B,6073,163,Y,79,TOTAL,6,5
INGLEWOOD,2950028A,1132,162,N,557,POLLING PLACE,46,26
INGLEWOOD,2950028A,1132,162,N,0,VBM PORTION,27,19
INGLEWOOD,2950028A,1132,162,N,557,TOTAL,73,45
INGLEWOOD,2950029A,1133,162,N,932,POLLING PLACE,65,50
INGLEWOOD,2950029A,1133,162,N,0,VBM PORTION,71,54
INGLEWOOD,2950029A,1133,162,N,932,TOTAL,136,104
INGLEWOOD,2950030A,1134,162,N,1061,POLLING PLACE,49,33
INGLEWOOD,2950030A,1134,162,N,0,VBM PORTION,59,42
INGLEWOOD,2950030A,1134,162,N,1061,TOTAL,108,75
INGLEWOOD,2950031A,1135,162,N,803,POLLING PLACE,46,24
INGLEWOOD,2950031A,1135,162,N,0,VBM PORTION,26,16
INGLEWOOD,2950031A,1135,162,N,803,TOTAL,72,40
INGLEWOOD,2950033A,1136,162,N,1008,POLLING PLACE,32,16
INGLEWOOD,2950033A,1136,162,N,0,VBM PORTION,28,13
INGLEWOOD,2950033A,1136,162,N,1008,TOTAL,60,29
INGLEWOOD,2950037C,1137,162,N,676,POLLING PLACE,36,24
INGLEWOOD,2950037C,1137,162,N,0,VBM PORTION,22,14
INGLEWOOD,2950037C,1137,162,N,676,TOTAL,58,38
INGLEWOOD,2950039A,1138,162,N,1260,POLLING PLACE,77,56
INGLEWOOD,2950039A,1138,162,N,0,VBM PORTION,53,36
INGLEWOOD,2950039A,1138,162,N,1260,TOTAL,130,92
INGLEWOOD,2950040A,1139,162,N,1138,POLLING PLACE,62,43
INGLEWOOD,2950040A,1139,162,N,0,VBM PORTION,32,25
INGLEWOOD,2950040A,1139,162,N,1138,TOTAL,94,68
INGLEWOOD,2950041A,1140,162,N,1142,POLLING PLACE,74,54
INGLEWOOD,2950041A,1140,162,N,0,VBM PORTION,57,46
INGLEWOOD,2950041A,1140,162,N,1142,TOTAL,131,100
INGLEWOOD,2950042A,1141,162,N,1091,POLLING PLACE,80,55
INGLEWOOD,2950042A,1141,162,N,0,VBM PORTION,53,34
INGLEWOOD,2950042A,1141,162,N,1091,TOTAL,133,89
INGLEWOOD,2950044A,1142,162,N,915,POLLING PLACE,44,29
INGLEWOOD,2950044A,1142,162,N,0,VBM PORTION,32,17
INGLEWOOD,2950044A,1142,162,N,915,TOTAL,76,46
INGLEWOOD,2950047B,1143,162,N,1034,POLLING PLACE,42,28
INGLEWOOD,2950047B,1143,162,N,0,VBM PORTION,38,21
INGLEWOOD,2950047B,1143,162,N,1034,TOTAL,80,49
INGLEWOOD,2950048A,1144,162,N,1014,POLLING PLACE,52,27
INGLEWOOD,2950048A,1144,162,N,0,VBM PORTION,32,10
INGLEWOOD,2950048A,1144,162,N,1014,TOTAL,84,37
INGLEWOOD,2950050A,1145,162,N,1059,POLLING PLACE,54,31
INGLEWOOD,2950050A,1145,162,N,0,VBM PORTION,45,26
INGLEWOOD,2950050A,1145,162,N,1059,TOTAL,99,57
INGLEWOOD,2950052A,1146,162,N,1082,POLLING PLACE,76,42
INGLEWOOD,2950052A,1146,162,N,0,VBM PORTION,33,23
INGLEWOOD,2950052A,1146,162,N,1082,TOTAL,109,65
INGLEWOOD,2950057A,1147,162,N,1021,POLLING PLACE,100,63
INGLEWOOD,2950057A,1147,162,N,0,VBM PORTION,44,34
INGLEWOOD,2950057A,1147,162,N,1021,TOTAL,144,97
INGLEWOOD,2950063A,1148,162,N,984,POLLING PLACE,118,68
INGLEWOOD,2950063A,1148,162,N,0,VBM PORTION,89,62
INGLEWOOD,2950063A,1148,162,N,984,TOTAL,207,130
INGLEWOOD,2950067A,1149,162,N,1130,POLLING PLACE,102,72
INGLEWOOD,2950067A,1149,162,N,0,VBM PORTION,78,58
