LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,RAUL BOCANEGRA,KEVIN J SUSCAVAGE,PATTY LOPEZ
LOS ANGELES,9000556A,3317,19,N,1121,POLLING PLACE,74,40,4,11
LOS ANGELES,9000556A,3317,19,N,0,VBM PORTION,41,21,3,12
LOS ANGELES,9000556A,3317,19,N,1121,TOTAL,115,61,7,23
LOS ANGELES,9000574A,3328,15,N,890,POLLING PLACE,71,49,2,13
LOS ANGELES,9000574A,3328,15,N,0,VBM PORTION,20,12,1,7
LOS ANGELES,9000574A,3328,15,N,890,TOTAL,91,61,3,20
LOS ANGELES,9000592A,3337,19,N,881,POLLING PLACE,63,38,4,10
LOS ANGELES,9000592A,3337,19,N,0,VBM PORTION,56,36,4,9
LOS ANGELES,9000592A,3337,19,N,881,TOTAL,119,74,8,19
LOS ANGELES,9000607C,3348,19,N,1353,POLLING PLACE,124,59,15,15
LOS ANGELES,9000607C,3348,19,N,0,VBM PORTION,97,44,12,19
LOS ANGELES,9000607C,3348,19,N,1353,TOTAL,221,103,27,34
LOS ANGELES,9000616A,3354,19,N,1236,POLLING PLACE,104,61,4,25
LOS ANGELES,9000616A,3354,19,N,0,VBM PORTION,50,28,3,9
LOS ANGELES,9000616A,3354,19,N,1236,TOTAL,154,89,7,34
LOS ANGELES,9000632A,3358,26,N,1080,POLLING PLACE,98,39,18,17
LOS ANGELES,9000632A,3358,26,N,0,VBM PORTION,78,30,10,15
LOS ANGELES,9000632A,3358,26,N,1080,TOTAL,176,69,28,32
LOS ANGELES,9000633A,3359,26,N,632,POLLING PLACE,59,23,13,8
LOS ANGELES,9000633A,3359,26,N,0,VBM PORTION,61,22,11,8
LOS ANGELES,9000633A,3359,26,N,632,TOTAL,120,45,24,16
LOS ANGELES,9000634A,3360,26,N,1070,POLLING PLACE,74,31,7,17
LOS ANGELES,9000634A,3360,26,N,0,VBM PORTION,99,35,7,17
LOS ANGELES,9000634A,3360,26,N,1070,TOTAL,173,66,14,34
LOS ANGELES,9000636A,3361,26,N,1046,POLLING PLACE,78,32,9,12
LOS ANGELES,9000636A,3361,26,N,0,VBM PORTION,79,36,5,17
LOS ANGELES,9000636A,3361,26,N,1046,TOTAL,157,68,14,29
LOS ANGELES,9000637A,3362,26,N,1063,POLLING PLACE,118,50,10,17
LOS ANGELES,9000637A,3362,26,N,0,VBM PORTION,78,26,12,17
LOS ANGELES,9000637A,3362,26,N,1063,TOTAL,196,76,22,34
LOS ANGELES,9000639A,3363,26,N,1032,POLLING PLACE,88,30,12,17
LOS ANGELES,9000639A,3363,26,N,0,VBM PORTION,141,60,18,16
LOS ANGELES,9000639A,3363,26,N,1032,TOTAL,229,90,30,33
LOS ANGELES,9000640A,3364,26,N,879,POLLING PLACE,89,28,13,15
LOS ANGELES,9000640A,3364,26,N,0,VBM PORTION,115,51,8,15
LOS ANGELES,9000640A,3364,26,N,879,TOTAL,204,79,21,30
LOS ANGELES,9000641D,3365,26,N,1068,POLLING PLACE,88,41,12,12
LOS ANGELES,9000641D,3365,26,N,0,VBM PORTION,110,48,10,16
LOS ANGELES,9000641D,3365,26,N,1068,TOTAL,198,89,22,28
LOS ANGELES,9000645A,3367,26,N,866,POLLING PLACE,63,40,3,14
LOS ANGELES,9000645A,3367,26,N,0,VBM PORTION,75,25,2,32
LOS ANGELES,9000645A,3367,26,N,866,TOTAL,138,65,5,46
LOS ANGELES,9000646A,3368,26,N,1311,POLLING PLACE,117,53,15,18
LOS ANGELES,9000646A,3368,26,N,0,VBM PORTION,121,43,8,22
LOS ANGELES,9000646A,3368,26,N,1311,TOTAL,238,96,23,40
LOS ANGELES,9000654A,3370,26,N,672,POLLING PLACE,66,29,12,11
LOS ANGELES,9000654A,3370,26,N,0,VBM PORTION,77,26,11,19
LOS ANGELES,9000654A,3370,26,N,672,TOTAL,143,55,23,30
LOS ANGELES,9000655A,3371,26,N,1395,POLLING PLACE,61,31,7,12
LOS ANGELES,9000655A,3371,26,N,0,VBM PORTION,53,22,5,15
LOS ANGELES,9000655A,3371,26,N,1395,TOTAL,114,53,12,27
LOS ANGELES,9000672A,3376,26,N,1309,POLLING PLACE,129,60,21,21
LOS ANGELES,9000672A,3376,26,N,0,VBM PORTION,122,47,10,19
LOS ANGELES,9000672A,3376,26,N,1309,TOTAL,251,107,31,40
LOS ANGELES,9000686A,3380,19,N,1305,POLLING PLACE,77,42,6,16
LOS ANGELES,9000686A,3380,19,N,0,VBM PORTION,80,40,8,22
LOS ANGELES,9000686A,3380,19,N,1305,TOTAL,157,82,14,38
LOS ANGELES,9000692A,3385,19,N,936,POLLING PLACE,81,48,6,14
LOS ANGELES,9000692A,3385,19,N,0,VBM PORTION,76,37,4,19
LOS ANGELES,9000692A,3385,19,N,936,TOTAL,157,85,10,33
LOS ANGELES,9000695B,3387,26,N,840,POLLING PLACE,53,23,12,5
LOS ANGELES,9000695B,3387,26,N,0,VBM PORTION,60,25,3,11
LOS ANGELES,9000695B,3387,26,N,840,TOTAL,113,48,15,16
LOS ANGELES,9000718A,3395,19,N,1231,POLLING PLACE,59,24,11,19
LOS ANGELES,9000718A,3395,19,N,0,VBM PORTION,49,26,7,7
LOS ANGELES,9000718A,3395,19,N,1231,TOTAL,108,50,18,26
LOS ANGELES,9000732A,3401,19,N,1125,POLLING PLACE,72,47,5,10
LOS ANGELES,9000732A,3401,19,N,0,VBM PORTION,50,19,5,11
LOS ANGELES,9000732A,3401,19,N,1125,TOTAL,122,66,10,21
LOS ANGELES,9000998A,3506,15,N,1016,POLLING PLACE,53,29,4,14
LOS ANGELES,9000998A,3506,15,N,0,VBM PORTION,57,33,11,8
LOS ANGELES,9000998A,3506,15,N,1016,TOTAL,110,62,15,22
LOS ANGELES,9001050A,3539,15,N,1200,POLLING PLACE,72,47,8,12
LOS ANGELES,9001050A,3539,15,N,0,VBM PORTION,44,29,3,9
LOS ANGELES,9001050A,3539,15,N,1200,TOTAL,116,76,11,21
LOS ANGELES,9001065A,3546,15,N,931,POLLING PLACE,50,34,2,10
LOS ANGELES,9001065A,3546,15,N,0,VBM PORTION,63,41,7,9
LOS ANGELES,9001065A,3546,15,N,931,TOTAL,113,75,9,19
LOS ANGELES,9001077A,3552,15,N,1152,POLLING PLACE,61,36,5,14
LOS ANGELES,9001077A,3552,15,N,0,VBM PORTION,54,33,3,9
LOS ANGELES,9001077A,3552,15,N,1152,TOTAL,115,69,8,23
LOS ANGELES,9001451A,3713,19,N,1146,POLLING PLACE,79,41,7,17
LOS ANGELES,9001451A,3713,19,N,0,VBM PORTION,53,24,7,11
LOS ANGELES,9001451A,3713,19,N,1146,TOTAL,132,65,14,28
LOS ANGELES,9001700D,3815,15,N,716,POLLING PLACE,27,18,3,4
LOS ANGELES,9001700D,3815,15,N,0,VBM PORTION,32,23,1,3
LOS ANGELES,9001700D,3815,15,N,716,TOTAL,59,41,4,7
LOS ANGELES,9001907A,3903,15,N,769,POLLING PLACE,43,26,3,11
LOS ANGELES,9001907A,3903,15,N,0,VBM PORTION,26,19,0,7
LOS ANGELES,9001907A,3903,15,N,769,TOTAL,69,45,3,18
LOS ANGELES,9001917A,3905,19,N,1000,POLLING PLACE,59,24,8,16
LOS ANGELES,9001917A,3905,19,N,0,VBM PORTION,45,19,4,15
LOS ANGELES,9001917A,3905,19,N,1000,TOTAL,104,43,12,31
LOS ANGELES,9002176A,4028,19,N,826,POLLING PLACE,49,23,2,15
LOS ANGELES,9002176A,4028,19,N,0,VBM PORTION,89,47,4,12
LOS ANGELES,9002176A,4028,19,N,826,TOTAL,138,70,6,27
LOS ANGELES,9002222A,4047,19,N,1150,POLLING PLACE,40,26,1,8
LOS ANGELES,9002222A,4047,19,N,0,VBM PORTION,52,19,4,9
LOS ANGELES,9002222A,4047,19,N,1150,TOTAL,92,45,5,17
LOS ANGELES,9002256A,4059,28,N,1239,POLLING PLACE,143,49,26,17
LOS ANGELES,9002256A,4059,28,N,0,VBM PORTION,120,44,17,16
LOS ANGELES,9002256A,4059,28,N,1239,TOTAL,263,93,43,33
LOS ANGELES,9002281A,4070,15,N,1109,POLLING PLACE,63,41,2,11
LOS ANGELES,9002281A,4070,15,N,0,VBM PORTION,54,32,7,7
LOS ANGELES,9002281A,4070,15,N,1109,TOTAL,117,73,9,18
LOS ANGELES,9002301A,4077,19,N,1102,POLLING PLACE,66,32,13,14
LOS ANGELES,9002301A,4077,19,N,0,VBM PORTION,48,22,8,11
LOS ANGELES,9002301A,4077,19,N,1102,TOTAL,114,54,21,25
LOS ANGELES,9002305A,4080,19,N,1104,POLLING PLACE,57,37,10,6
LOS ANGELES,9002305A,4080,19,N,0,VBM PORTION,75,47,1,18
LOS ANGELES,9002305A,4080,19,N,1104,TOTAL,132,84,11,24
LOS ANGELES,9002318A,4086,19,N,1165,POLLING PLACE,78,44,5,18
LOS ANGELES,9002318A,4086,19,N,0,VBM PORTION,52,27,7,6
LOS ANGELES,9002318A,4086,19,N,1165,TOTAL,130,71,12,24
LOS ANGELES,9002319A,4087,19,N,1110,POLLING PLACE,51,30,6,13
LOS ANGELES,9002319A,4087,19,N,0,VBM PORTION,38,22,1,9
LOS ANGELES,9002319A,4087,19,N,1110,TOTAL,89,52,7,22
LOS ANGELES,9002398A,4127,19,N,942,POLLING PLACE,54,33,2,12
LOS ANGELES,9002398A,4127,19,N,0,VBM PORTION,43,26,5,10
LOS ANGELES,9002398A,4127,19,N,942,TOTAL,97,59,7,22
LOS ANGELES,9002539A,6198,16,Y,0,POLLING PLACE,0,0,0,0
LOS ANGELES,9002539A,6198,16,Y,0,VBM PORTION,0,0,0,0
LOS ANGELES,9002539A,6198,16,Y,0,TOTAL,0,0,0,0
LOS ANGELES,9002561A,6201,22,Y,0,POLLING PLACE,0,0,0,0
LOS ANGELES,9002561A,6201,22,Y,0,VBM PORTION,0,0,0,0
LOS ANGELES,9002561A,6201,22,Y,0,TOTAL,0,0,0,0
LOS ANGELES,9002610A,6204,23,Y,0,POLLING PLACE,0,0,0,0
LOS ANGELES,9002610A,6204,23,Y,0,VBM PORTION,0,0,0,0
LOS ANGELES,9002610A,6204,23,Y,0,TOTAL,0,0,0,0
LOS ANGELES,9002611A,6205,27,Y,0,POLLING PLACE,0,0,0,0
LOS ANGELES,9002611A,6205,27,Y,0,VBM PORTION,0,0,0,0
LOS ANGELES,9002611A,6205,27,Y,0,TOTAL,0,0,0,0
LOS ANGELES,9002612A,6206,24,Y,0,POLLING PLACE,0,0,0,0
LOS ANGELES,9002612A,6206,24,Y,0,VBM PORTION,0,0,0,0
LOS ANGELES,9002612A,6206,24,Y,0,TOTAL,0,0,0,0
LOS ANGELES,9002694A,6213,16,Y,0,POLLING PLACE,0,0,0,0
LOS ANGELES,9002694A,6213,16,Y,0,VBM PORTION,0,0,0,0
LOS ANGELES,9002694A,6213,16,Y,0,TOTAL,0,0,0,0
LOS ANGELES,9002730A,4236,15,N,923,POLLING PLACE,78,49,3,16
LOS ANGELES,9002730A,4236,15,N,0,VBM PORTION,50,16,8,16
LOS ANGELES,9002730A,4236,15,N,923,TOTAL,128,65,11,32
LOS ANGELES,9002796A,4244,25,N,767,POLLING PLACE,66,22,14,9
LOS ANGELES,9002796A,4244,25,N,0,VBM PORTION,66,20,9,12
LOS ANGELES,9002796A,4244,25,N,767,TOTAL,132,42,23,21
LOS ANGELES,9002811A,4247,19,N,1144,POLLING PLACE,57,32,3,16
LOS ANGELES,9002811A,4247,19,N,0,VBM PORTION,62,29,5,12
LOS ANGELES,9002811A,4247,19,N,1144,TOTAL,119,61,8,28
LOS ANGELES,9002824A,4249,15,N,1243,POLLING PLACE,65,41,6,10
LOS ANGELES,9002824A,4249,15,N,0,VBM PORTION,52,35,5,7
LOS ANGELES,9002824A,4249,15,N,1243,TOTAL,117,76,11,17
LOS ANGELES,9002888A,4258,15,N,1142,POLLING PLACE,77,53,1,10
LOS ANGELES,9002888A,4258,15,N,0,VBM PORTION,41,31,2,7
LOS ANGELES,9002888A,4258,15,N,1142,TOTAL,118,84,3,17
LOS ANGELES,9002894A,4263,15,N,1114,POLLING PLACE,75,59,1,9
LOS ANGELES,9002894A,4263,15,N,0,VBM PORTION,62,38,3,13
LOS ANGELES,9002894A,4263,15,N,1114,TOTAL,137,97,4,22
LOS ANGELES,9002903B,4265,15,N,1099,POLLING PLACE,69,47,3,14
LOS ANGELES,9002903B,4265,15,N,0,VBM PORTION,43,30,0,7
LOS ANGELES,9002903B,4265,15,N,1099,TOTAL,112,77,3,21
LOS ANGELES,9002988A,4278,19,N,1029,POLLING PLACE,55,34,9,6
LOS ANGELES,9002988A,4278,19,N,0,VBM PORTION,30,12,6,9
LOS ANGELES,9002988A,4278,19,N,1029,TOTAL,85,46,15,15
LOS ANGELES,9003374A,4313,26,N,1255,POLLING PLACE,98,40,7,31
LOS ANGELES,9003374A,4313,26,N,0,VBM PORTION,90,47,11,12
LOS ANGELES,9003374A,4313,26,N,1255,TOTAL,188,87,18,43
LOS ANGELES,9003448A,4317,19,N,944,POLLING PLACE,48,28,5,10
LOS ANGELES,9003448A,4317,19,N,0,VBM PORTION,74,32,14,16
LOS ANGELES,9003448A,4317,19,N,944,TOTAL,122,60,19,26
LOS ANGELES,9003606A,4327,15,N,1057,POLLING PLACE,116,68,9,25
LOS ANGELES,9003606A,4327,15,N,0,VBM PORTION,101,36,22,30
LOS ANGELES,9003606A,4327,15,N,1057,TOTAL,217,104,31,55
LOS ANGELES,9003613A,4328,18,N,962,POLLING PLACE,97,44,14,8
LOS ANGELES,9003613A,4328,18,N,0,VBM PORTION,123,45,18,13
LOS ANGELES,9003613A,4328,18,N,962,TOTAL,220,89,32,21
LOS ANGELES,9003614A,4329,18,N,1233,POLLING PLACE,161,68,22,31
LOS ANGELES,9003614A,4329,18,N,0,VBM PORTION,118,39,21,29
LOS ANGELES,9003614A,4329,18,N,1233,TOTAL,279,107,43,60
LOS ANGELES,9004212A,4358,15,N,472,POLLING PLACE,88,43,12,12
LOS ANGELES,9004212A,4358,15,N,0,VBM PORTION,71,32,15,6
LOS ANGELES,9004212A,4358,15,N,472,TOTAL,159,75,27,18
LOS ANGELES,9004225A,4363,15,N,1194,POLLING PLACE,46,21,4,12
LOS ANGELES,9004225A,4363,15,N,0,VBM PORTION,67,33,6,16
LOS ANGELES,9004225A,4363,15,N,1194,TOTAL,113,54,10,28
LOS ANGELES,9005635A,4436,19,N,819,POLLING PLACE,57,28,10,12
LOS ANGELES,9005635A,4436,19,N,0,VBM PORTION,57,28,11,13
LOS ANGELES,9005635A,4436,19,N,819,TOTAL,114,56,21,25
LOS ANGELES,9005638A,4437,19,N,1176,POLLING PLACE,49,23,8,10
LOS ANGELES,9005638A,4437,19,N,0,VBM PORTION,72,35,10,14
LOS ANGELES,9005638A,4437,19,N,1176,TOTAL,121,58,18,24
LOS ANGELES,9005645A,4438,26,N,717,POLLING PLACE,72,32,10,14
LOS ANGELES,9005645A,4438,26,N,0,VBM PORTION,62,14,16,8
LOS ANGELES,9005645A,4438,26,N,717,TOTAL,134,46,26,22
LOS ANGELES,9005651A,4439,26,N,1137,POLLING PLACE,101,38,23,13
LOS ANGELES,9005651A,4439,26,N,0,VBM PORTION,76,34,5,13
LOS ANGELES,9005651A,4439,26,N,1137,TOTAL,177,72,28,26
LOS ANGELES,9005656A,4440,26,N,730,POLLING PLACE,93,36,8,12
LOS ANGELES,9005656A,4440,26,N,0,VBM PORTION,78,24,9,3
LOS ANGELES,9005656A,4440,26,N,730,TOTAL,171,60,17,15
LOS ANGELES,9005662A,4441,20,N,1056,POLLING PLACE,88,56,9,16
LOS ANGELES,9005662A,4441,20,N,0,VBM PORTION,45,26,2,14
LOS ANGELES,9005662A,4441,20,N,1056,TOTAL,133,82,11,30
LOS ANGELES,9005663A,4442,20,N,1182,POLLING PLACE,55,21,8,18
LOS ANGELES,9005663A,4442,20,N,0,VBM PORTION,61,21,11,13
LOS ANGELES,9005663A,4442,20,N,1182,TOTAL,116,42,19,31
LOS ANGELES,9005666A,4443,15,N,1242,POLLING PLACE,32,18,2,6
LOS ANGELES,9005666A,4443,15,N,0,VBM PORTION,27,20,1,5
LOS ANGELES,9005666A,4443,15,N,1242,TOTAL,59,38,3,11
LOS ANGELES,9005667A,4444,26,N,1058,POLLING PLACE,108,48,16,20
LOS ANGELES,9005667A,4444,26,N,0,VBM PORTION,82,41,6,15
LOS ANGELES,9005667A,4444,26,N,1058,TOTAL,190,89,22,35
LOS ANGELES,9005669A,4445,15,N,1277,POLLING PLACE,61,36,1,16
LOS ANGELES,9005669A,4445,15,N,0,VBM PORTION,67,42,6,8
LOS ANGELES,9005669A,4445,15,N,1277,TOTAL,128,78,7,24
LOS ANGELES,9006197A,4467,15,N,718,POLLING PLACE,73,38,8,15
LOS ANGELES,9006197A,4467,15,N,0,VBM PORTION,59,30,2,14
LOS ANGELES,9006197A,4467,15,N,718,TOTAL,132,68,10,29
LOS ANGELES,9006203A,4468,15,N,861,POLLING PLACE,81,40,14,18
LOS ANGELES,9006203A,4468,15,N,0,VBM PORTION,55,26,8,6
LOS ANGELES,9006203A,4468,15,N,861,TOTAL,136,66,22,24
LOS ANGELES,9006206A,4469,15,N,1134,POLLING PLACE,58,37,5,9
LOS ANGELES,9006206A,4469,15,N,0,VBM PORTION,50,31,6,9
LOS ANGELES,9006206A,4469,15,N,1134,TOTAL,108,68,11,18
LOS ANGELES,9006209A,4470,15,N,1037,POLLING PLACE,116,46,19,33
LOS ANGELES,9006209A,4470,15,N,0,VBM PORTION,63,24,12,14
LOS ANGELES,9006209A,4470,15,N,1037,TOTAL,179,70,31,47
LOS ANGELES,9006212B,4471,15,N,943,POLLING PLACE,81,49,8,12
LOS ANGELES,9006212B,4471,15,N,0,VBM PORTION,54,31,7,8
LOS ANGELES,9006212B,4471,15,N,943,TOTAL,135,80,15,20
LOS ANGELES,9006214A,4472,15,N,966,POLLING PLACE,34,25,4,4
LOS ANGELES,9006214A,4472,15,N,0,VBM PORTION,73,41,6,14
LOS ANGELES,9006214A,4472,15,N,966,TOTAL,107,66,10,18
LOS ANGELES,9006216A,4473,15,N,780,POLLING PLACE,69,46,3,12
LOS ANGELES,9006216A,4473,15,N,0,VBM PORTION,53,25,1,15
LOS ANGELES,9006216A,4473,15,N,780,TOTAL,122,71,4,27
LOS ANGELES,9006217A,4474,15,N,775,POLLING PLACE,37,23,4,3
LOS ANGELES,9006217A,4474,15,N,0,VBM PORTION,55,37,1,7
LOS ANGELES,9006217A,4474,15,N,775,TOTAL,92,60,5,10
LOS ANGELES,9006218A,4475,15,N,1028,POLLING PLACE,59,31,3,12
LOS ANGELES,9006218A,4475,15,N,0,VBM PORTION,57,29,7,12
LOS ANGELES,9006218A,4475,15,N,1028,TOTAL,116,60,10,24
LOS ANGELES,9006219A,4476,18,N,1178,POLLING PLACE,148,70,11,18
LOS ANGELES,9006219A,4476,18,N,0,VBM PORTION,151,48,27,17
LOS ANGELES,9006219A,4476,18,N,1178,TOTAL,299,118,38,35
LOS ANGELES,9006224A,4477,15,N,953,POLLING PLACE,73,49,12,9
LOS ANGELES,9006224A,4477,15,N,0,VBM PORTION,76,49,2,10
LOS ANGELES,9006224A,4477,15,N,953,TOTAL,149,98,14,19
LOS ANGELES,9007307A,4591,26,N,737,POLLING PLACE,97,49,17,8
LOS ANGELES,9007307A,4591,26,N,0,VBM PORTION,48,20,4,2
LOS ANGELES,9007307A,4591,26,N,737,TOTAL,145,69,21,10
LOS ANGELES,9007311A,4592,26,N,1138,POLLING PLACE,143,68,21,27
LOS ANGELES,9007311A,4592,26,N,0,VBM PORTION,120,38,14,19
LOS ANGELES,9007311A,4592,26,N,1138,TOTAL,263,106,35,46
LOS ANGELES,9007313A,4593,26,N,1006,POLLING PLACE,105,43,18,18
LOS ANGELES,9007313A,4593,26,N,0,VBM PORTION,127,34,13,26
LOS ANGELES,9007313A,4593,26,N,1006,TOTAL,232,77,31,44
LOS ANGELES,9007321A,4594,26,N,712,POLLING PLACE,84,30,9,17
LOS ANGELES,9007321A,4594,26,N,0,VBM PORTION,107,37,8,10
LOS ANGELES,9007321A,4594,26,N,712,TOTAL,191,67,17,27
LOS ANGELES,9007323A,4595,26,N,889,POLLING PLACE,101,28,13,14
LOS ANGELES,9007323A,4595,26,N,0,VBM PORTION,89,29,5,17
LOS ANGELES,9007323A,4595,26,N,889,TOTAL,190,57,18,31
LOS ANGELES,9007333A,4596,26,N,857,POLLING PLACE,80,36,8,11
LOS ANGELES,9007333A,4596,26,N,0,VBM PORTION,60,15,9,7
LOS ANGELES,9007333A,4596,26,N,857,TOTAL,140,51,17,18
LOS ANGELES,9007341A,4597,20,N,605,POLLING PLACE,25,9,2,5
LOS ANGELES,9007341A,4597,20,N,0,VBM PORTION,25,15,1,6
LOS ANGELES,9007341A,4597,20,N,605,TOTAL,50,24,3,11
LOS ANGELES,9007735A,4614,15,N,1103,POLLING PLACE,70,27,12,22
LOS ANGELES,9007735A,4614,15,N,0,VBM PORTION,70,25,7,11
LOS ANGELES,9007735A,4614,15,N,1103,TOTAL,140,52,19,33
LOS ANGELES,9007737A,4615,15,N,1071,POLLING PLACE,77,40,9,14
LOS ANGELES,9007737A,4615,15,N,0,VBM PORTION,78,29,5,21
LOS ANGELES,9007737A,4615,15,N,1071,TOTAL,155,69,14,35
LOS ANGELES,9007744A,4616,15,N,1276,POLLING PLACE,93,53,13,21
LOS ANGELES,9007744A,4616,15,N,0,VBM PORTION,62,33,5,12
LOS ANGELES,9007744A,4616,15,N,1276,TOTAL,155,86,18,33
LOS ANGELES,9008147A,4648,15,N,1131,POLLING PLACE,70,40,9,14
LOS ANGELES,9008147A,4648,15,N,0,VBM PORTION,55,34,6,7
LOS ANGELES,9008147A,4648,15,N,1131,TOTAL,125,74,15,21
BALLOT GROUP 15,9990015A,8015,15,N,0,POLLING PLACE,0,0,0,0
BALLOT GROUP 15,9990015A,8015,15,N,0,VBM PORTION,4,0,0,1
BALLOT GROUP 15,9990015A,8015,15,N,0,TOTAL,2,0,0,1
BALLOT GROUP 16,9990016A,8016,16,N,0,POLLING PLACE,0,0,0,0
BALLOT GROUP 16,9990016A,8016,16,N,0,VBM PORTION,0,0,0,0
BALLOT GROUP 16,9990016A,8016,16,N,0,TOTAL,0,0,0,0
BALLOT GROUP 17,9990017A,8017,17,N,0,POLLING PLACE,0,0,0,0
BALLOT GROUP 17,9990017A,8017,17,N,0,VBM PORTION,0,0,0,0
BALLOT GROUP 17,9990017A,8017,17,N,0,TOTAL,0,0,0,0
BALLOT GROUP 18,9990018A,8018,18,N,0,POLLING PLACE,0,0,0,0
BALLOT GROUP 18,9990018A,8018,18,N,0,VBM PORTION,2,0,0,0
BALLOT GROUP 18,9990018A,8018,18,N,0,TOTAL,1,0,0,0
BALLOT GROUP 19,9990019A,8019,19,N,0,POLLING PLACE,0,0,0,0
BALLOT GROUP 19,9990019A,8019,19,N,0,VBM PORTION,8,2,1,0
BALLOT GROUP 19,9990019A,8019,19,N,0,TOTAL,4,2,1,0
BALLOT GROUP 20,9990020A,8020,20,N,0,POLLING PLACE,0,0,0,0
BALLOT GROUP 20,9990020A,8020,20,N,0,VBM PORTION,0,0,0,0
BALLOT GROUP 20,9990020A,8020,20,N,0,TOTAL,0,0,0,0
BALLOT GROUP 21,9990021A,8021,21,N,0,POLLING PLACE,0,0,0,0
BALLOT GROUP 21,9990021A,8021,21,N,0,VBM PORTION,0,0,0,0
BALLOT GROUP 21,9990021A,8021,21,N,0,TOTAL,0,0,0,0
BALLOT GROUP 22,9990022A,8022,22,N,0,POLLING PLACE,0,0,0,0
BALLOT GROUP 22,9990022A,8022,22,N,0,VBM PORTION,0,0,0,0
BALLOT GROUP 22,9990022A,8022,22,N,0,TOTAL,0,0,0,0
BALLOT GROUP 23,9990023A,8023,23,N,0,POLLING PLACE,0,0,0,0
BALLOT GROUP 23,9990023A,8023,23,N,0,VBM PORTION,0,0,0,0
BALLOT GROUP 23,9990023A,8023,23,N,0,TOTAL,0,0,0,0
BALLOT GROUP 24,9990024A,8024,24,N,0,POLLING PLACE,0,0,0,0
BALLOT GROUP 24,9990024A,8024,24,N,0,VBM PORTION,0,0,0,0
BALLOT GROUP 24,9990024A,8024,24,N,0,TOTAL,0,0,0,0
BALLOT GROUP 25,9990025A,8025,25,N,0,POLLING PLACE,0,0,0,0
BALLOT GROUP 25,9990025A,8025,25,N,0,VBM PORTION,0,0,0,0
BALLOT GROUP 25,9990025A,8025,25,N,0,TOTAL,0,0,0,0
BALLOT GROUP 26,9990026A,8026,26,N,0,POLLING PLACE,0,0,0,0
BALLOT GROUP 26,9990026A,8026,26,N,0,VBM PORTION,0,0,0,0
BALLOT GROUP 26,9990026A,8026,26,N,0,TOTAL,0,0,0,0
BALLOT GROUP 27,9990027A,8027,27,N,0,POLLING PLACE,0,0,0,0
BALLOT GROUP 27,9990027A,8027,27,N,0,VBM PORTION,0,0,0,0
BALLOT GROUP 27,9990027A,8027,27,N,0,TOTAL,0,0,0,0
BALLOT GROUP 28,9990028A,8028,28,N,0,POLLING PLACE,0,0,0,0
BALLOT GROUP 28,9990028A,8028,28,N,0,VBM PORTION,0,0,0,0
BALLOT GROUP 28,9990028A,8028,28,N,0,TOTAL,0,0,0,0
