date_of_data,install_zip_code,total_2008,total_2009,total_2010,total_2011,total_2012,total_2013,total_2014,total_overall,data_source,incentive_program,about_the_program
7/16/14,90803,,,,25891,6340,9229,10236,51696,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90804,,,,15869,3423,14397,10549,44238,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90805,,,,35071,2449,15069,14705,67294,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90806,,,,41528,8285,11223,14483,75519,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90807,,,,100639,21723,32634,27138,182134,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90808,,,,81342,4705,48724,40894,175665,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90809,,,,,,1000,,1000,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90810,,,,5904,,3963,4492,14359,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90813,,,,7535,887,5154,2943,16519,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90814,,,,20129,6704,10755,10064,47652,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90815,,,,82526,6356,31887,29276,150045,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90822,,,,,,52900,,52900,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90832,,,,,,704,,704,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91001,,,,10720,8129,1525,14279,34653,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91006,,,,,,1145,,1145,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91008,,,,3340,,,,3340,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91010,,,,4146,,,,4146,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91011,,,,,3556,1984,,5540,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91016,,,,8331,,,,8331,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91020,,,,,5804,4175,1850,11829,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91030,,,,3993,,,,3993,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91040,,,,10158,1200,16133,26195,53686,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91042,,,,1460,,3717,,5177,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91103,720,,,19805,9508,5452,,35485,Inland Empire Utilities Agency and Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91104,,,,50549,15277,7666,,73492,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91105,,,,5602,7669,,,13271,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91106,,,,3025,3348,,,6373,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91107,,,,18213,4785,,,22998,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91108,,,,,,1395,,1395,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91117,,,,,2205,,,2205,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91214,,,,9789,9066,9242,16830,44927,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91301,,,,,,2000,5858,7858,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91302,,,,,,3538,3599,7137,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91303,,,,,590,2460,3583,6633,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91304,,,,11507,1427,20652,29141,62727,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91306,,,,11726,6122,14577,6009,38434,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91307,,,,3747,2379,12315,17291,35732,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91311,,,,821,3850,16281,19958,40910,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91316,,,,15833,,7163,7115,30111,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91320,,,,,,7331,,7331,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91324,,,,12295,2500,10097,3219,28111,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91325,,,,4518,3747,9808,20726,38799,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91326,,,,3294,1876,23495,13803,42468,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91331,,,,,994,17344,3609,21947,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91335,,,,2137,121,18260,11481,31999,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91340,,,,,,1509,,1509,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91342,,,,657,1680,18341,11810,32488,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91343,,,,,,23071,25193,48264,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91344,,,,24582,1820,49242,24259,99903,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91345,,,,845,,2600,2933,6378,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91352,,,,3404,,833,4525,8762,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91356,,,,7018,4361,20473,32253,64105,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91360,,,,,,1190,,1190,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91361,,,,,,,522,522,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91364,,,,12067,3200,10111,19937,45315,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91367,,,,26045,,31384,21009,78438,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91377,,,,,,,1151,1151,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91401,,,,4810,2537,9636,10564,27547,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91402,,,,4796,2263,,2421,9480,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91403,,,,2923,,2870,2339,8132,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91405,,,,3311,,10085,6423,19819,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91406,,,,12511,4000,9499,23294,49304,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91411,,,,2895,4118,6935,1340,15288,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91423,,,,5659,,5595,9118,20372,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91436,,,,3976,,4927,15892,24795,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91504,,,,,,1000,1765,2765,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91505,,,,,,1923,850,2773,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91506,,,,,,,720,720,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91601,,,,6749,,4640,12452,23841,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91602,,,,7373,,2305,4822,14500,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91604,,,,13656,1450,10964,9805,35875,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91605,,,,3944,1099,14399,2600,22042,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91606,,,,7555,,5035,13761,26351,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91607,,,,9802,,11912,6141,27855,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91702,,,,2906,,,,2906,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91711,,,,48669,22686,,56232,127587,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91722,,,,1745,,,,1745,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91724,,,,1800,1500,1578,,4878,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91733,,,,710,,,,710,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91746,,,,,,,1305,1305,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91766,1397,,,2598,,1000,,4995,Inland Empire Utilities Agency and Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91768,,,,1500,,,,1500,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91770,,,,927,1798,,,2725,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91771,,,,800,,,,800,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91773,,,,872,,3638,,4510,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91775,,,,4890,,,,4890,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91780,,,,,1296,,,1296,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91902,,,,,6603,,,6603,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91910,,,,,15416,1500,,16916,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91911,,,,4294,4538,,,8832,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91915,,,,415,1645,,,2060,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91950,,,,,5060,,,5060,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91977,,,,,,,,,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,91978,,,,,,,,,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,92009,,,,3753,,2548,,6301,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,92014,,,,,,2000,,2000,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,92019,,,,1090,4013,,,5103,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,92024,,,,17711,10636,18105,,46452,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,92026,,,,6500,,,,6500,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,92028,,,,,,11190,,11190,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,92057,,,,,,36000,,36000,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,92067,,,,4798,16250,,,21048,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,92075,,,,1500,4100,,,5600,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,92081,,,,9332,,838,,10170,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,92084,,,,16579,,,,16579,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,92091,,,,1674,5200,,,6874,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,92102,,,,,810,2292,,3102,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,92104,,,,,3120,6904,,10024,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,92106,,,,,,539,,539,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,92109,,,,,,1245,,1245,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,92110,,,,,,428,,428,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,92114,,,,,,3051,,3051,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,92116,,,,,,2805,,2805,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,92117,,,,,600,1018,,1618,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,92120,,,,,,1200,,1200,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,92122,,,,,,760,,760,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,92123,,,,,,1146,,1146,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,92124,,,,,,2834,,2834,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,92126,,,,,,588,,588,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,92127,,,,1225,1634,1046,,3905,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,92128,,,,,,505,,505,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,92129,,,,,,1546,,1546,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
