"supplier_name","first_proposal","second_proposal","third_proposal","first_rgpcd_sept_only","second_rgpcd_three_month_avg","third_rgpcd_three_month_avg","first_proposal_reduction","second_proposal_reduction","third_proposal_reduction","change_from_second_to_third"
"Rio Vista, city of",4,9,9,235.0 ,260.9,260.9,"35%","36%","36%","SAME"
"Ripon  City of",4,9,9,282.0 ,316.1,316.1,"35%","36%","36%","SAME"
"Riverbank  City of",4,8,8,191.6 ,191.4,191.2,"35%","32%","32%","SAME"
"Riverside  City of",3,7,7,122.5 ,135.3,135.3,"25%","28%","28%","SAME"
"Riverside Highland Water Company",4,9,9,220.9 ,253.9,253.8,"35%","36%","36%","SAME"
"Rohnert Park  City of",2,4,4,83.6 ,81,81,"20%","16%","16%","SAME"
"Rosamond Community Service District",3,7,7,160.0 ,158.3,158.1,"25%","28%","28%","SAME"
"Roseville  City of",3,7,7,155.0 ,145.1,145.1,"25%","28%","28%","SAME"
"Rowland Water District",2,5,5,94.5 ,99.3,99.2,"20%","20%","20%","SAME"
"Rubidoux Community Service District",3,7,7,149.8 ,158,157.9,"25%","28%","28%","SAME"
"Rubio Canyon Land and Water Association",4,9,9,215.9 ,220.8,220.8,"35%","36%","36%","SAME"
"Sacramento  City of",3,7,7,129.3 ,146.4,146.4,"25%","28%","28%","SAME"
"Sacramento County Water Agency",3,8,8,145.3 ,184.3,184.3,"25%","32%","32%","SAME"
"Sacramento Suburban Water District",4,9,9,212.9 ,222.5,222.5,"35%","36%","36%","SAME"
"San Bernardino  City of",3,8,7,143.6 ,212.1,149.1,"25%","32%","28%","CHANGE"
"San Bernardino County Service Area 64",4,9,9,246.3 ,257.5,257.8,"35%","36%","36%","SAME"
"San Bernardino County Service Area 70",4,8,8,196.0 ,209.8,209.6,"35%","32%","32%","SAME"
"San Bruno  City of",2,2,2,58.3 ,55.7,55.7,"20%","8%","8%","SAME"
"San Buenaventura  City of",2,4,4,88.9 ,91.3,91.3,"20%","16%","16%","SAME"
"San Clemente  City of",3,7,7,116.6 ,157.7,157.7,"25%","28%","28%","SAME"
"San Diego  City of",2,4,4,81.8 ,82,82,"20%","16%","16%","SAME"
"San Dieguito Water District",3,7,7,154.0 ,148.3,148.4,"25%","28%","28%","SAME"
"San Fernando  City of",3,6,6,118.4 ,120.3,120.3,"25%","24%","24%","SAME"
"San Francisco Public Utilities Commission",1,2,2,45.7 ,45.4,45.4,"10%","8%","8%","SAME"
"San Gabriel County Water District",2,5,5,100.5 ,102.9,102.9,"20%","20%","20%","SAME"
"San Gabriel Valley Fontana Water Company",3,7,7,134.3 ,142.9,142.9,"25%","28%","28%","SAME"
"San Gabriel Valley Water Company",2,4,4,74.4 ,88.3,88.3,"20%","16%","16%","SAME"
"San Jacinto  City of",3,8,8,144.1 ,176.1,176.1,"25%","32%","32%","SAME"
"San Jose  City of",2,5,5,101.1 ,96,96,"20%","20%","20%","SAME"
"San Jose Water Company",2,5,5,94.6 ,105.7,105.7,"20%","20%","20%","SAME"
"San Juan Capistrano  City of",3,7,7,131.8 ,133.3,133.3,"25%","28%","28%","SAME"
"San Juan Water District",4,9,9,383.7 ,484.3,476.8,"35%","36%","36%","SAME"
"San Lorenzo Valley Water District",2,3,3,73.8 ,77.9,77.9,"20%","12%","12%","SAME"
"San Luis Obispo  City of",3,4,3,114.7 ,85,69.9,"25%","16%","12%","CHANGE"
"Sanger  City of",3,7,7,149.6 ,153.6,153.7,"25%","28%","28%","SAME"
"Santa Ana  City of",2,3,3,77.1 ,78.3,78.3,"20%","12%","12%","SAME"
"Santa Barbara  City of",2,4,4,78.9 ,80.9,80.9,"20%","16%","16%","SAME"
"Santa Clara  City of",2,4,4,79.4 ,88.3,88.3,"20%","16%","16%","SAME"
"Santa Cruz  City of",1,2,2,44.9 ,47.3,47.3,"10%","8%","8%","SAME"
"Santa Fe Irrigation District",4,9,9,584.3 ,604.6,604.7,"35%","36%","36%","SAME"
"Santa Fe Springs  City of",2,4,4,90.7 ,80.1,80.1,"20%","16%","16%","SAME"
"Santa Margarita Water District",3,6,6,132.3 ,126.8,126.8,"25%","24%","24%","SAME"
"Santa Maria  City of",3,7,4,131.5 ,136.6,93,"25%","28%","16%","CHANGE"
"Santa Monica  City of",2,6,5,101.0 ,111.7,99.2,"20%","24%","20%","CHANGE"
"Santa Paula  City of",3,7,7,154.7 ,160.2,160.2,"25%","28%","28%","SAME"
"Santa Rosa  City of",2,4,4,86.5 ,86.7,86.7,"20%","16%","16%","SAME"
"Scotts Valley Water District",2,4,4,81.0 ,91.6,91.6,"20%","16%","16%","SAME"
"Seal Beach  City of",1,2,2,45.3 ,64.7,64.7,"10%","8%","8%","SAME"
"Serrano Water District",4,9,9,520.1 ,539,539.2,"35%","36%","36%","SAME"
"Shafter  City of",4,9,9,182.9 ,236.5,236.5,"35%","36%","36%","SAME"
"Shasta Lake  City of",4,8,7,205.5 ,205.5,140.2,"35%","32%","28%","CHANGE"
"Sierra Madre  City of",4,8,8,203.6 ,214.2,214.5,"35%","32%","32%","SAME"
"Soledad, City of",2,6,6,101.2 ,116.7,116.7,"20%","24%","24%","SAME"
"Sonoma  City of",3,7,7,147.8 ,142.5,142.7,"25%","28%","28%","SAME"
"Soquel Creek Water District",2,2,2,60.3 ,64.3,64.2,"20%","8%","8%","SAME"
"South Coast Water District",3,6,6,125.7 ,121.7,121.7,"25%","24%","24%","SAME"
"South Feather Water and Power Agency",4,9,9,391.5 ,465.9,466.1,"35%","36%","36%","SAME"
"South Gate  City of",2,3,3,66.5 ,70.1,70.1,"20%","12%","12%","SAME"
"South Pasadena  City of",4,8,7,166.1 ,171.1,131,"35%","32%","28%","CHANGE"
"South Tahoe Public Utilities District",4,9,7,189.3 ,231.5,141.9,"35%","36%","28%","CHANGE"
"Stockton  City of",3,7,7,146.3 ,155,155,"25%","28%","28%","SAME"
"Suburban Water Systems San Jose Hills",3,6,6,113.8 ,120.3,120.3,"25%","24%","24%","SAME"
"Suburban Water Systems Whittier/La Mirada",3,7,7,136.2 ,141.1,141.1,"25%","28%","28%","SAME"
"Suisun-Solano Water Authority",3,7,7,136.5 ,144.5,150,"25%","28%","28%","SAME"
"Sunny Slope Water Company",3,6,6,117.4 ,120.5,120.5,"25%","24%","24%","SAME"
"Sunnyslope County Water District",3,7,7,141.5 ,144.6,144.6,"25%","28%","28%","SAME"
"Sunnyvale  City of",2,4,4,77.3 ,85.2,85.2,"20%","16%","16%","SAME"
"Susanville  City of",4,9,9,287.6 ,383,382.7,"35%","36%","36%","SAME"
"Sweetwater Authority",2,3,3,74.1 ,75.6,75,"20%","12%","12%","SAME"
"Sweetwater Springs Water District",2,4,4,71.4 ,88.7,80.8,"20%","16%","16%","SAME"
"Tahoe City Public Utilities District",4,9,5,307.8 ,292.6,100.9,"35%","36%","20%","CHANGE"
"Tehachapi, City of",3,7,7,134.6 ,143.8,143.7,"25%","28%","28%","SAME"
"Thousand Oaks  City of",3,7,7,159.3 ,163.7,163.7,"25%","28%","28%","SAME"
"Torrance  City of",2,6,6,97.3 ,111,111,"20%","24%","24%","SAME"
"Trabuco Canyon Water District",3,8,8,152.4 ,194.9,194.9,"25%","32%","32%","SAME"
"Tracy  City of",3,7,7,127.5 ,134.6,134.6,"25%","28%","28%","SAME"
"Triunfo Sanitation District / Oak Park Water Service",4,8,8,184.0 ,195.7,195.6,"35%","32%","32%","SAME"
"Truckee-Donner Public Utilities District",4,9,7,247.8 ,282,139.4,"35%","36%","28%","CHANGE"
"Tulare, City of",3,8,8,144.7 ,214.8,214.8,"25%","32%","32%","SAME"
"Tuolumne Utilities District",3,6,6,126.2 ,129.3,129.3,"25%","24%","24%","SAME"
"Turlock  City of",4,8,8,174.1 ,194,193.9,"35%","32%","32%","SAME"
"Tustin  City of",3,7,7,162.0 ,156.5,156.5,"25%","28%","28%","SAME"
"Twentynine Palms Water District",3,7,7,123.0 ,130.6,130.5,"25%","28%","28%","SAME"
"Ukiah  City of",2,5,5,101.0 ,108.6,108.6,"20%","20%","20%","SAME"
"Upland  City of",4,9,9,226.2 ,234.9,234.9,"35%","36%","36%","SAME"
"Vacaville  City of",4,8,8,185.5 ,199.9,199.9,"35%","32%","32%","SAME"
"Valencia Water Company",3,6,6,118.4 ,127,127,"25%","24%","24%","SAME"
"Vallecitos Water District",3,6,6,112.9 ,116.1,116.1,"25%","24%","24%","SAME"
"Vallejo  City of",2,4,4,77.5 ,91.3,91.3,"20%","16%","16%","SAME"
"Valley Center Municipal Water District",4,9,9,288.4 ,291.2,291.2,"35%","36%","36%","SAME"
"Valley County Water District",2,4,4,78.8 ,81.6,81.6,"20%","16%","16%","SAME"
"Valley of the Moon Water District",3,6,5,131.5 ,125.8,106.5,"25%","24%","20%","CHANGE"
"Valley Water Company",4,9,9,396.6 ,400.8,401.2,"35%","36%","36%","SAME"
"Vaughn Water Company",4,9,9,464.6 ,507,507,"35%","36%","36%","SAME"
"Ventura County Waterworks District No 1",4,8,8,210.1 ,172,172,"35%","32%","32%","SAME"
"Ventura County Waterworks District No. 8",3,7,7,130.2 ,156.1,156.1,"25%","28%","28%","SAME"
"Vernon  City of",1,2,3,43.7 ,51.6,70.6,"10%","8%","12%","CHANGE"
"Victorville Water District",3,7,7,149.1 ,164.4,164.4,"25%","28%","28%","SAME"
"Vista Irrigation District",2,6,6,105.3 ,111.1,111.1,"20%","24%","24%","SAME"
"Walnut Valley Water District",3,7,7,158.4 ,146.4,146.4,"25%","28%","28%","SAME"
"Wasco  City of",4,9,9,187.6 ,231.1,231.1,"35%","36%","36%","SAME"
"Watsonville  City of",2,5,5,96.9 ,100.3,100.3,"20%","20%","20%","SAME"
"West Kern Water District",4,8,7,180.2 ,191.3,135.4,"35%","32%","28%","CHANGE"
"West Sacramento  City of",4,9,7,238.5 ,264.3,143,"35%","36%","28%","CHANGE"
"West Valley Water District",4,8,8,212.6 ,212.3,212.3,"35%","32%","32%","SAME"
"Westborough Water District",1,2,2,54.2 ,59.5,40.6,"10%","8%","8%","SAME"
"Western Municipal Water District of Riverside",4,8,8,176.9 ,189.2,189.2,"35%","32%","32%","SAME"
"Westminster  City of",2,5,5,88.2 ,105.9,98,"20%","20%","20%","SAME"
"Whittier  City of",2,5,5,102.3 ,104.2,104.2,"20%","20%","20%","SAME"
"Windsor, Town of",2,4,4,86.8 ,93,93,"20%","16%","16%","SAME"
"Winton Water & Sanitary District",4,9,9,189.3 ,228.9,228.3,"35%","36%","36%","SAME"
"Woodland  City of",3,6,6,139.0 ,119.8,119.8,"25%","24%","24%","SAME"
"Yorba Linda Water District",4,9,9,221.3 ,220.2,220.2,"35%","36%","36%","SAME"
"Yreka, City of",3,8,8,151.9 ,186.6,186.4,"25%","32%","32%","SAME"
"Yuba City  City of",3,8,8,162.7 ,188.2,188.2,"25%","32%","32%","SAME"
"Yucaipa Valley Water District",4,9,9,253.4 ,265,265.1,"35%","36%","36%","SAME"
