LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ALAN LOWENTHAL,ANDY WHALLON,
LONG BEACH,3850272A,1556,392,N,985,POLLING PLACE,213,112,95,
LONG BEACH,3850272A,1556,392,N,,VBM PORTION,84,33,47,
LONG BEACH,3850272A,1556,392,N,985,TOTAL,297,145,142,
LONG BEACH,3850275A,1557,392,N,1077,POLLING PLACE,245,134,103,
LONG BEACH,3850275A,1557,392,N,,VBM PORTION,144,69,68,
LONG BEACH,3850275A,1557,392,N,1077,TOTAL,389,203,171,
LONG BEACH,3850276A,1558,392,N,1128,POLLING PLACE,272,127,135,
LONG BEACH,3850276A,1558,392,N,,VBM PORTION,146,65,75,
LONG BEACH,3850276A,1558,392,N,1128,TOTAL,418,192,210,
LONG BEACH,3850280A,1559,392,N,1212,POLLING PLACE,300,131,157,
LONG BEACH,3850280A,1559,392,N,,VBM PORTION,229,101,110,
LONG BEACH,3850280A,1559,392,N,1212,TOTAL,529,232,267,
LONG BEACH,3850285A,1560,392,N,1035,POLLING PLACE,238,117,109,
LONG BEACH,3850285A,1560,392,N,,VBM PORTION,152,63,84,
LONG BEACH,3850285A,1560,392,N,1035,TOTAL,390,180,193,
LONG BEACH,3850287A,1561,392,N,835,POLLING PLACE,206,114,78,
LONG BEACH,3850287A,1561,392,N,,VBM PORTION,104,51,50,
LONG BEACH,3850287A,1561,392,N,835,TOTAL,310,165,128,
LONG BEACH,3850290A,1562,392,N,1186,POLLING PLACE,245,114,124,
LONG BEACH,3850290A,1562,392,N,,VBM PORTION,194,72,116,
LONG BEACH,3850290A,1562,392,N,1186,TOTAL,439,186,240,
LONG BEACH,3850293B,1563,392,N,843,POLLING PLACE,190,86,94,
LONG BEACH,3850293B,1563,392,N,,VBM PORTION,126,57,63,
LONG BEACH,3850293B,1563,392,N,843,TOTAL,316,143,157,
LONG BEACH,3850294A,1564,392,N,840,POLLING PLACE,195,97,93,
LONG BEACH,3850294A,1564,392,N,,VBM PORTION,62,31,28,
LONG BEACH,3850294A,1564,392,N,840,TOTAL,257,128,121,
LONG BEACH,3850295A,1565,392,N,1247,POLLING PLACE,260,133,121,
LONG BEACH,3850295A,1565,392,N,,VBM PORTION,136,61,70,
LONG BEACH,3850295A,1565,392,N,1247,TOTAL,396,194,191,
LONG BEACH,3850296B,1566,396,N,1013,POLLING PLACE,39,27,9,
LONG BEACH,3850296B,1566,396,N,,VBM PORTION,12,11,,
LONG BEACH,3850296B,1566,396,N,1013,TOTAL,51,38,9,
LONG BEACH,3850302A,1567,392,N,1327,POLLING PLACE,378,207,156,
LONG BEACH,3850302A,1567,392,N,,VBM PORTION,169,80,77,
LONG BEACH,3850302A,1567,392,N,1327,TOTAL,547,287,233,
LONG BEACH,3850305A,1568,392,N,1428,POLLING PLACE,354,187,155,
LONG BEACH,3850305A,1568,392,N,,VBM PORTION,159,81,71,
LONG BEACH,3850305A,1568,392,N,1428,TOTAL,513,268,226,
LONG BEACH,3850308A,1570,396,N,936,POLLING PLACE,212,145,61,
LONG BEACH,3850308A,1570,396,N,,VBM PORTION,63,35,24,
LONG BEACH,3850308A,1570,396,N,936,TOTAL,275,180,85,
LONG BEACH,3850309A,1571,396,N,1339,POLLING PLACE,230,153,59,
LONG BEACH,3850309A,1571,396,N,,VBM PORTION,108,81,23,
LONG BEACH,3850309A,1571,396,N,1339,TOTAL,338,234,82,
LONG BEACH,3850316A,1572,396,N,1239,POLLING PLACE,256,136,109,
LONG BEACH,3850316A,1572,396,N,,VBM PORTION,137,59,72,
LONG BEACH,3850316A,1572,396,N,1239,TOTAL,393,195,181,
LONG BEACH,3850319A,1573,396,N,809,POLLING PLACE,180,95,81,
LONG BEACH,3850319A,1573,396,N,,VBM PORTION,78,37,33,
LONG BEACH,3850319A,1573,396,N,809,TOTAL,258,132,114,
LONG BEACH,3850321A,1574,392,N,1355,POLLING PLACE,334,158,158,
LONG BEACH,3850321A,1574,392,N,,VBM PORTION,146,67,69,
LONG BEACH,3850321A,1574,392,N,1355,TOTAL,480,225,227,
LONG BEACH,3850323A,1575,396,N,525,POLLING PLACE,44,35,7,
LONG BEACH,3850323A,1575,396,N,,VBM PORTION,15,11,4,
LONG BEACH,3850323A,1575,396,N,525,TOTAL,59,46,11,
LONG BEACH,3850324A,1576,392,N,1090,POLLING PLACE,241,149,80,
LONG BEACH,3850324A,1576,392,N,,VBM PORTION,84,47,30,
LONG BEACH,3850324A,1576,392,N,1090,TOTAL,325,196,110,
LONG BEACH,3850328A,1577,392,N,1452,POLLING PLACE,344,159,160,
LONG BEACH,3850328A,1577,392,N,,VBM PORTION,182,68,101,
LONG BEACH,3850328A,1577,392,N,1452,TOTAL,526,227,261,
LONG BEACH,3850333A,1578,396,N,1430,POLLING PLACE,127,89,32,
LONG BEACH,3850333A,1578,396,N,,VBM PORTION,61,43,15,
LONG BEACH,3850333A,1578,396,N,1430,TOTAL,188,132,47,
LONG BEACH,3850335A,1579,396,N,1023,POLLING PLACE,280,135,129,
LONG BEACH,3850335A,1579,396,N,,VBM PORTION,136,64,68,
LONG BEACH,3850335A,1579,396,N,1023,TOTAL,416,199,197,
LONG BEACH,3850337A,1580,396,N,1483,POLLING PLACE,376,212,153,
LONG BEACH,3850337A,1580,396,N,,VBM PORTION,167,86,72,
LONG BEACH,3850337A,1580,396,N,1483,TOTAL,543,298,225,
LONG BEACH,3850346A,1582,396,N,915,POLLING PLACE,222,114,100,
LONG BEACH,3850346A,1582,396,N,,VBM PORTION,72,31,34,
LONG BEACH,3850346A,1582,396,N,915,TOTAL,294,145,134,
LONG BEACH,3850348A,1583,396,N,856,POLLING PLACE,205,95,93,
LONG BEACH,3850348A,1583,396,N,,VBM PORTION,84,34,48,
LONG BEACH,3850348A,1583,396,N,856,TOTAL,289,129,141,
LONG BEACH,3850349A,1584,396,N,1193,POLLING PLACE,271,131,124,
LONG BEACH,3850349A,1584,396,N,,VBM PORTION,114,59,49,
LONG BEACH,3850349A,1584,396,N,1193,TOTAL,385,190,173,
LONG BEACH,3850351A,1585,396,N,965,POLLING PLACE,218,124,83,
LONG BEACH,3850351A,1585,396,N,,VBM PORTION,87,46,40,
LONG BEACH,3850351A,1585,396,N,965,TOTAL,305,170,123,
LONG BEACH,3850356A,1586,396,N,1249,POLLING PLACE,237,137,89,
LONG BEACH,3850356A,1586,396,N,,VBM PORTION,144,55,84,
LONG BEACH,3850356A,1586,396,N,1249,TOTAL,381,192,173,
LONG BEACH,3850360A,1587,396,N,1206,POLLING PLACE,61,39,18,
LONG BEACH,3850360A,1587,396,N,,VBM PORTION,45,26,16,
LONG BEACH,3850360A,1587,396,N,1206,TOTAL,106,65,34,
LONG BEACH,3850361A,1588,396,N,875,POLLING PLACE,148,120,25,
LONG BEACH,3850361A,1588,396,N,,VBM PORTION,62,45,15,
LONG BEACH,3850361A,1588,396,N,875,TOTAL,210,165,40,
LONG BEACH,3850362A,1589,396,N,874,POLLING PLACE,132,109,19,
LONG BEACH,3850362A,1589,396,N,,VBM PORTION,47,43,3,
LONG BEACH,3850362A,1589,396,N,874,TOTAL,179,152,22,
LONG BEACH,3850366A,1590,396,N,912,POLLING PLACE,216,106,102,
LONG BEACH,3850366A,1590,396,N,,VBM PORTION,75,33,36,
LONG BEACH,3850366A,1590,396,N,912,TOTAL,291,139,138,
LONG BEACH,3850367A,1591,396,N,697,POLLING PLACE,141,66,67,
LONG BEACH,3850367A,1591,396,N,,VBM PORTION,63,33,27,
LONG BEACH,3850367A,1591,396,N,697,TOTAL,204,99,94,
LONG BEACH,3850368A,1592,396,N,877,POLLING PLACE,72,58,12,
LONG BEACH,3850368A,1592,396,N,,VBM PORTION,47,35,11,
LONG BEACH,3850368A,1592,396,N,877,TOTAL,119,93,23,
LONG BEACH,3850370C,1593,396,N,1327,POLLING PLACE,284,130,144,
LONG BEACH,3850370C,1593,396,N,,VBM PORTION,116,54,57,
LONG BEACH,3850370C,1593,396,N,1327,TOTAL,400,184,201,
LONG BEACH,3850372A,1594,396,N,714,POLLING PLACE,195,98,86,
LONG BEACH,3850372A,1594,396,N,,VBM PORTION,63,29,30,
LONG BEACH,3850372A,1594,396,N,714,TOTAL,258,127,116,
LONG BEACH,3850373A,1595,396,N,914,POLLING PLACE,228,123,93,
LONG BEACH,3850373A,1595,396,N,,VBM PORTION,76,30,41,
LONG BEACH,3850373A,1595,396,N,914,TOTAL,304,153,134,
LONG BEACH,3850374A,1596,396,N,965,POLLING PLACE,202,109,82,
LONG BEACH,3850374A,1596,396,N,,VBM PORTION,69,22,47,
LONG BEACH,3850374A,1596,396,N,965,TOTAL,271,131,129,
LONG BEACH,3850376A,1597,396,N,812,POLLING PLACE,179,74,95,
LONG BEACH,3850376A,1597,396,N,,VBM PORTION,57,19,34,
LONG BEACH,3850376A,1597,396,N,812,TOTAL,236,93,129,
LONG BEACH,3850377A,1598,396,N,618,POLLING PLACE,91,60,26,
LONG BEACH,3850377A,1598,396,N,,VBM PORTION,51,24,26,
LONG BEACH,3850377A,1598,396,N,618,TOTAL,142,84,52,
LONG BEACH,3850378A,1599,396,N,905,POLLING PLACE,200,99,88,
LONG BEACH,3850378A,1599,396,N,,VBM PORTION,77,39,33,
LONG BEACH,3850378A,1599,396,N,905,TOTAL,277,138,121,
LONG BEACH,3850379A,1600,396,N,852,POLLING PLACE,75,64,9,
LONG BEACH,3850379A,1600,396,N,,VBM PORTION,20,13,5,
LONG BEACH,3850379A,1600,396,N,852,TOTAL,95,77,14,
LONG BEACH,3850384A,1601,396,N,864,POLLING PLACE,91,61,27,
LONG BEACH,3850384A,1601,396,N,,VBM PORTION,27,21,4,
LONG BEACH,3850384A,1601,396,N,864,TOTAL,118,82,31,
LONG BEACH,3850393A,1603,357,N,360,POLLING PLACE,34,27,7,
LONG BEACH,3850393A,1603,357,N,,VBM PORTION,8,7,1,
LONG BEACH,3850393A,1603,357,N,360,TOTAL,42,34,8,
LONG BEACH,3850395A,1604,357,N,428,POLLING PLACE,40,25,11,
LONG BEACH,3850395A,1604,357,N,,VBM PORTION,16,13,2,
LONG BEACH,3850395A,1604,357,N,428,TOTAL,56,38,13,
LONG BEACH,3850399A,1605,396,N,1095,POLLING PLACE,258,130,116,
LONG BEACH,3850399A,1605,396,N,,VBM PORTION,102,42,53,
LONG BEACH,3850399A,1605,396,N,1095,TOTAL,360,172,169,
LONG BEACH,3850400A,1606,396,N,903,POLLING PLACE,83,71,6,
LONG BEACH,3850400A,1606,396,N,,VBM PORTION,52,38,8,
LONG BEACH,3850400A,1606,396,N,903,TOTAL,135,109,14,
LONG BEACH,3850415A,1608,357,N,1055,POLLING PLACE,99,83,10,
LONG BEACH,3850415A,1608,357,N,,VBM PORTION,39,31,7,
LONG BEACH,3850415A,1608,357,N,1055,TOTAL,138,114,17,
LONG BEACH,3850445A,1609,392,N,1228,POLLING PLACE,251,104,132,
LONG BEACH,3850445A,1609,392,N,,VBM PORTION,180,70,100,
LONG BEACH,3850445A,1609,392,N,1228,TOTAL,431,174,232,
LONG BEACH,3850447A,1610,392,N,1533,POLLING PLACE,375,180,176,
LONG BEACH,3850447A,1610,392,N,,VBM PORTION,200,72,120,
LONG BEACH,3850447A,1610,392,N,1533,TOTAL,575,252,296,
LONG BEACH,3850469A,1611,392,N,287,POLLING PLACE,75,33,38,
LONG BEACH,3850469A,1611,392,N,,VBM PORTION,59,24,31,
LONG BEACH,3850469A,1611,392,N,287,TOTAL,134,57,69,
LONG BEACH,3850481A,1612,392,N,764,POLLING PLACE,168,75,87,
LONG BEACH,3850481A,1612,392,N,,VBM PORTION,107,39,65,
LONG BEACH,3850481A,1612,392,N,764,TOTAL,275,114,152,
LONG BEACH,3850517A,1613,396,N,770,POLLING PLACE,110,82,22,
LONG BEACH,3850517A,1613,396,N,,VBM PORTION,48,35,11,
LONG BEACH,3850517A,1613,396,N,770,TOTAL,158,117,33,
LONG BEACH,3850530A,1614,396,N,853,POLLING PLACE,106,61,41,
LONG BEACH,3850530A,1614,396,N,,VBM PORTION,61,35,24,
LONG BEACH,3850530A,1614,396,N,853,TOTAL,167,96,65,
LONG BEACH,3850533A,1615,396,N,860,POLLING PLACE,179,126,46,
LONG BEACH,3850533A,1615,396,N,,VBM PORTION,57,41,15,
LONG BEACH,3850533A,1615,396,N,860,TOTAL,236,167,61,
LONG BEACH,3850535A,1616,392,N,845,POLLING PLACE,218,108,91,
LONG BEACH,3850535A,1616,392,N,,VBM PORTION,87,28,55,
LONG BEACH,3850535A,1616,392,N,845,TOTAL,305,136,146,
LONG BEACH,3850539A,1617,392,N,1160,POLLING PLACE,285,154,118,
LONG BEACH,3850539A,1617,392,N,,VBM PORTION,141,65,69,
LONG BEACH,3850539A,1617,392,N,1160,TOTAL,426,219,187,
LONG BEACH,3850545A,1618,396,N,630,POLLING PLACE,70,51,17,
LONG BEACH,3850545A,1618,396,N,,VBM PORTION,68,39,27,
LONG BEACH,3850545A,1618,396,N,630,TOTAL,138,90,44,
LONG BEACH,3850549A,1621,396,N,1509,POLLING PLACE,213,134,65,
LONG BEACH,3850549A,1621,396,N,,VBM PORTION,173,87,74,
LONG BEACH,3850549A,1621,396,N,1509,TOTAL,386,221,139,
LONG BEACH,3850554A,1626,357,N,662,POLLING PLACE,58,38,18,
LONG BEACH,3850554A,1626,357,N,,VBM PORTION,35,23,11,
LONG BEACH,3850554A,1626,357,N,662,TOTAL,93,61,29,
LONG BEACH,3850558B,1627,396,N,875,POLLING PLACE,101,61,37,
LONG BEACH,3850558B,1627,396,N,,VBM PORTION,56,38,16,
LONG BEACH,3850558B,1627,396,N,875,TOTAL,157,99,53,
LONG BEACH,3850559A,1628,396,N,1299,POLLING PLACE,226,141,71,
LONG BEACH,3850559A,1628,396,N,,VBM PORTION,80,37,40,
LONG BEACH,3850559A,1628,396,N,1299,TOTAL,306,178,111,
LONG BEACH,3850562A,1629,396,N,1109,POLLING PLACE,292,176,107,
LONG BEACH,3850562A,1629,396,N,,VBM PORTION,145,71,69,
LONG BEACH,3850562A,1629,396,N,1109,TOTAL,437,247,176,
LONG BEACH,3850563A,1630,396,N,1154,POLLING PLACE,225,147,73,
LONG BEACH,3850563A,1630,396,N,,VBM PORTION,87,46,34,
LONG BEACH,3850563A,1630,396,N,1154,TOTAL,312,193,107,
LONG BEACH,3850564B,1631,396,N,1302,POLLING PLACE,185,135,40,
LONG BEACH,3850564B,1631,396,N,,VBM PORTION,105,68,32,
LONG BEACH,3850564B,1631,396,N,1302,TOTAL,290,203,72,
LONG BEACH,3850568A,1632,396,N,1176,POLLING PLACE,212,138,63,
LONG BEACH,3850568A,1632,396,N,,VBM PORTION,88,53,31,
LONG BEACH,3850568A,1632,396,N,1176,TOTAL,300,191,94,
LONG BEACH,3850572A,1633,396,N,1183,POLLING PLACE,162,120,36,
LONG BEACH,3850572A,1633,396,N,,VBM PORTION,77,60,14,
LONG BEACH,3850572A,1633,396,N,1183,TOTAL,239,180,50,
LONG BEACH,3850577A,1634,396,N,1134,POLLING PLACE,99,80,13,
LONG BEACH,3850577A,1634,396,N,,VBM PORTION,37,30,5,
LONG BEACH,3850577A,1634,396,N,1134,TOTAL,136,110,18,
LONG BEACH,3850591A,1635,396,N,894,POLLING PLACE,80,67,8,
LONG BEACH,3850591A,1635,396,N,,VBM PORTION,34,23,9,
LONG BEACH,3850591A,1635,396,N,894,TOTAL,114,90,17,
LONG BEACH,3850593A,1636,396,N,693,POLLING PLACE,65,56,9,
LONG BEACH,3850593A,1636,396,N,,VBM PORTION,16,10,4,
LONG BEACH,3850593A,1636,396,N,693,TOTAL,81,66,13,
LONG BEACH,3850594A,1637,396,N,1164,POLLING PLACE,115,92,20,
LONG BEACH,3850594A,1637,396,N,,VBM PORTION,54,47,5,
LONG BEACH,3850594A,1637,396,N,1164,TOTAL,169,139,25,
LONG BEACH,3850610A,1638,396,N,994,POLLING PLACE,131,92,28,
LONG BEACH,3850610A,1638,396,N,,VBM PORTION,42,30,10,
LONG BEACH,3850610A,1638,396,N,994,TOTAL,173,122,38,
LONG BEACH,3850611A,1639,396,N,1086,POLLING PLACE,86,67,16,
LONG BEACH,3850611A,1639,396,N,,VBM PORTION,57,34,19,
LONG BEACH,3850611A,1639,396,N,1086,TOTAL,143,101,35,
LONG BEACH,3850614A,1640,396,N,954,POLLING PLACE,101,78,14,
LONG BEACH,3850614A,1640,396,N,,VBM PORTION,18,14,3,
LONG BEACH,3850614A,1640,396,N,954,TOTAL,119,92,17,
LONG BEACH,3850616A,1641,396,N,1025,POLLING PLACE,121,88,30,
LONG BEACH,3850616A,1641,396,N,,VBM PORTION,69,52,11,
LONG BEACH,3850616A,1641,396,N,1025,TOTAL,190,140,41,
LONG BEACH,3850617A,1642,396,N,838,POLLING PLACE,93,52,35,
LONG BEACH,3850617A,1642,396,N,,VBM PORTION,61,38,18,
LONG BEACH,3850617A,1642,396,N,838,TOTAL,154,90,53,
LONG BEACH,3850618A,1643,396,N,846,POLLING PLACE,86,64,17,
LONG BEACH,3850618A,1643,396,N,,VBM PORTION,43,31,11,
LONG BEACH,3850618A,1643,396,N,846,TOTAL,129,95,28,
LONG BEACH,3850620A,1644,396,N,1042,POLLING PLACE,135,97,32,
LONG BEACH,3850620A,1644,396,N,,VBM PORTION,46,31,12,
LONG BEACH,3850620A,1644,396,N,1042,TOTAL,181,128,44,
LONG BEACH,3850621A,1645,396,N,750,POLLING PLACE,85,62,19,
LONG BEACH,3850621A,1645,396,N,,VBM PORTION,33,26,7,
LONG BEACH,3850621A,1645,396,N,750,TOTAL,118,88,26,
LONG BEACH,3850624A,1646,396,N,754,POLLING PLACE,78,53,23,
LONG BEACH,3850624A,1646,396,N,,VBM PORTION,53,33,15,
LONG BEACH,3850624A,1646,396,N,754,TOTAL,131,86,38,
LONG BEACH,3850625A,1647,396,N,1021,POLLING PLACE,101,69,28,
LONG BEACH,3850625A,1647,396,N,,VBM PORTION,79,50,27,
LONG BEACH,3850625A,1647,396,N,1021,TOTAL,180,119,55,
LONG BEACH,3850630A,1648,396,N,1256,POLLING PLACE,289,145,131,
LONG BEACH,3850630A,1648,396,N,,VBM PORTION,111,65,39,
LONG BEACH,3850630A,1648,396,N,1256,TOTAL,400,210,170,
LONG BEACH,3850632B,1649,396,N,801,POLLING PLACE,191,93,87,
LONG BEACH,3850632B,1649,396,N,,VBM PORTION,63,32,29,
LONG BEACH,3850632B,1649,396,N,801,TOTAL,254,125,116,
LONG BEACH,3850636A,1650,396,N,914,POLLING PLACE,203,125,62,
LONG BEACH,3850636A,1650,396,N,,VBM PORTION,94,55,36,
LONG BEACH,3850636A,1650,396,N,914,TOTAL,297,180,98,
LONG BEACH,3850637A,1651,392,N,802,POLLING PLACE,218,118,95,
LONG BEACH,3850637A,1651,392,N,,VBM PORTION,90,48,39,
LONG BEACH,3850637A,1651,392,N,802,TOTAL,308,166,134,
LONG BEACH,3850639A,1652,392,N,963,POLLING PLACE,262,136,114,
LONG BEACH,3850639A,1652,392,N,,VBM PORTION,100,44,53,
LONG BEACH,3850639A,1652,392,N,963,TOTAL,362,180,167,
LONG BEACH,3850645A,1653,392,N,730,POLLING PLACE,14,10,3,
LONG BEACH,3850645A,1653,392,N,,VBM PORTION,1,1,,
LONG BEACH,3850645A,1653,392,N,730,TOTAL,15,11,3,
LONG BEACH,3850648A,1654,392,N,1458,POLLING PLACE,376,184,169,
LONG BEACH,3850648A,1654,392,N,,VBM PORTION,180,70,98,
LONG BEACH,3850648A,1654,392,N,1458,TOTAL,556,254,267,
LONG BEACH,3850649E,6148,391,Y,,POLLING PLACE,,,,
LONG BEACH,3850649E,6148,391,Y,,VBM PORTION,,,,
LONG BEACH,3850649E,6148,391,Y,,TOTAL,,,,
LONG BEACH,3850650A,1655,344,N,846,POLLING PLACE,151,64,74,
LONG BEACH,3850650A,1655,344,N,,VBM PORTION,77,35,39,
LONG BEACH,3850650A,1655,344,N,846,TOTAL,228,99,113,
LONG BEACH,3850671A,1658,396,N,1049,POLLING PLACE,91,61,24,
LONG BEACH,3850671A,1658,396,N,,VBM PORTION,31,20,10,
LONG BEACH,3850671A,1658,396,N,1049,TOTAL,122,81,34,
LONG BEACH,3850688A,1660,392,N,1028,POLLING PLACE,174,101,69,
LONG BEACH,3850688A,1660,392,N,,VBM PORTION,194,89,101,
LONG BEACH,3850688A,1660,392,N,1028,TOTAL,368,190,170,
LONG BEACH,3850701A,1661,396,N,789,POLLING PLACE,102,79,16,
LONG BEACH,3850701A,1661,396,N,,VBM PORTION,37,30,7,
LONG BEACH,3850701A,1661,396,N,789,TOTAL,139,109,23,
LONG BEACH,3850702A,1662,396,N,689,POLLING PLACE,35,23,12,
LONG BEACH,3850702A,1662,396,N,,VBM PORTION,14,11,2,
LONG BEACH,3850702A,1662,396,N,689,TOTAL,49,34,14,
LONG BEACH,3850702B,1663,396,N,847,POLLING PLACE,32,21,8,
LONG BEACH,3850702B,1663,396,N,,VBM PORTION,17,10,6,
LONG BEACH,3850702B,1663,396,N,847,TOTAL,49,31,14,
SAN CLEMENTE ISLAND,5960001A,6205,388,Y,,POLLING PLACE,,,,
SAN CLEMENTE ISLAND,5960001A,6205,388,Y,,VBM PORTION,,,,
SAN CLEMENTE ISLAND,5960001A,6205,388,Y,,TOTAL,,,,
SANTA CATALINA ISLAND,6210001A,2341,388,N,58,POLLING PLACE,9,3,6,
SANTA CATALINA ISLAND,6210001A,2341,388,N,,VBM PORTION,8,5,3,
SANTA CATALINA ISLAND,6210001A,2341,388,N,58,TOTAL,17,8,9,
SANTA CATALINA ISLAND,6210002A,2342,388,N,84,POLLING PLACE,15,8,6,
SANTA CATALINA ISLAND,6210002A,2342,388,N,,VBM PORTION,2,1,1,
SANTA CATALINA ISLAND,6210002A,2342,388,N,84,TOTAL,17,9,7,
SIGNAL HILL,6450001A,2523,396,N,659,POLLING PLACE,102,62,33,
SIGNAL HILL,6450001A,2523,396,N,,VBM PORTION,46,25,16,
SIGNAL HILL,6450001A,2523,396,N,659,TOTAL,148,87,49,
SIGNAL HILL,6450002A,2524,396,N,1081,POLLING PLACE,156,132,22,
SIGNAL HILL,6450002A,2524,396,N,,VBM PORTION,47,33,11,
SIGNAL HILL,6450002A,2524,396,N,1081,TOTAL,203,165,33,
SIGNAL HILL,6450003A,2525,396,N,898,POLLING PLACE,161,108,49,
SIGNAL HILL,6450003A,2525,396,N,,VBM PORTION,77,41,33,
SIGNAL HILL,6450003A,2525,396,N,898,TOTAL,238,149,82,
SIGNAL HILL,6450004A,2526,396,N,1046,POLLING PLACE,200,137,55,
SIGNAL HILL,6450004A,2526,396,N,,VBM PORTION,74,53,21,
SIGNAL HILL,6450004A,2526,396,N,1046,TOTAL,274,190,76,
SIGNAL HILL,6450005A,2527,396,N,1120,POLLING PLACE,234,151,78,
SIGNAL HILL,6450005A,2527,396,N,,VBM PORTION,119,62,56,
SIGNAL HILL,6450005A,2527,396,N,1120,TOTAL,353,213,134,
SIGNAL HILL,6450006A,2528,396,N,1054,POLLING PLACE,197,116,69,
SIGNAL HILL,6450006A,2528,396,N,,VBM PORTION,62,37,22,
SIGNAL HILL,6450006A,2528,396,N,1054,TOTAL,259,153,91,
BALLOT GROUP 343,9990343A,8343,343,N,,POLLING PLACE,,,,
BALLOT GROUP 343,9990343A,8343,343,N,,VBM PORTION,,,,
BALLOT GROUP 343,9990343A,8343,343,N,,TOTAL,,,,
BALLOT GROUP 344,9990344A,8344,344,N,,POLLING PLACE,,,,
BALLOT GROUP 344,9990344A,8344,344,N,,VBM PORTION,,,,
BALLOT GROUP 344,9990344A,8344,344,N,,TOTAL,,,,
BALLOT GROUP 357,9990357A,8357,357,N,,POLLING PLACE,,,,
BALLOT GROUP 357,9990357A,8357,357,N,,VBM PORTION,,,,
BALLOT GROUP 357,9990357A,8357,357,N,,TOTAL,,,,
BALLOT GROUP 388,9990388A,8388,388,N,,POLLING PLACE,,,,
BALLOT GROUP 388,9990388A,8388,388,N,,VBM PORTION,,,,
BALLOT GROUP 388,9990388A,8388,388,N,,TOTAL,,,,
BALLOT GROUP 391,9990391A,8391,391,N,,POLLING PLACE,,,,
BALLOT GROUP 391,9990391A,8391,391,N,,VBM PORTION,,,,
BALLOT GROUP 391,9990391A,8391,391,N,,TOTAL,,,,
BALLOT GROUP 392,9990392A,8392,392,N,,POLLING PLACE,,,,
BALLOT GROUP 392,9990392A,8392,392,N,,VBM PORTION,,,,
BALLOT GROUP 392,9990392A,8392,392,N,,TOTAL,,,,
BALLOT GROUP 396,9990396A,8396,396,N,,POLLING PLACE,,,,
BALLOT GROUP 396,9990396A,8396,396,N,,VBM PORTION,,,,
BALLOT GROUP 396,9990396A,8396,396,N,,TOTAL,,,,
