LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ASHLEY SWEARENGIN,BETTY T YEE,
CERRITOS,1070028A,456,275,N,1083,POLLING PLACE,184,69,93,
CERRITOS,1070028A,456,275,N,,VBM PORTION,131,44,76,
CERRITOS,1070028A,456,275,N,1083,TOTAL,315,113,169,
CERRITOS,1070029A,457,275,N,932,POLLING PLACE,182,67,89,
CERRITOS,1070029A,457,275,N,,VBM PORTION,105,45,51,
CERRITOS,1070029A,457,275,N,932,TOTAL,287,112,140,
CERRITOS,1070031A,458,275,N,924,POLLING PLACE,226,105,84,
CERRITOS,1070031A,458,275,N,,VBM PORTION,98,34,52,
CERRITOS,1070031A,458,275,N,924,TOTAL,324,139,136,
CERRITOS,1070032A,459,275,N,935,POLLING PLACE,188,102,76,
CERRITOS,1070032A,459,275,N,,VBM PORTION,87,38,39,
CERRITOS,1070032A,459,275,N,935,TOTAL,275,140,115,
CERRITOS,1070036A,460,276,N,1026,POLLING PLACE,216,86,98,
CERRITOS,1070036A,460,276,N,,VBM PORTION,137,57,66,
CERRITOS,1070036A,460,276,N,1026,TOTAL,353,143,164,
CERRITOS,1070037A,461,275,N,638,POLLING PLACE,134,47,76,
CERRITOS,1070037A,461,275,N,,VBM PORTION,91,51,31,
CERRITOS,1070037A,461,275,N,638,TOTAL,225,98,107,
CERRITOS,1070040A,462,275,N,945,POLLING PLACE,167,69,82,
CERRITOS,1070040A,462,275,N,,VBM PORTION,126,51,50,
CERRITOS,1070040A,462,275,N,945,TOTAL,293,120,132,
CERRITOS,1070041A,463,278,N,1378,POLLING PLACE,287,123,144,
CERRITOS,1070041A,463,278,N,,VBM PORTION,184,78,92,
CERRITOS,1070041A,463,278,N,1378,TOTAL,471,201,236,
CERRITOS,1070048A,464,275,N,1047,POLLING PLACE,156,54,75,
CERRITOS,1070048A,464,275,N,,VBM PORTION,113,41,64,
CERRITOS,1070048A,464,275,N,1047,TOTAL,269,95,139,
CERRITOS,1070048B,6049,271,Y,36,POLLING PLACE,,,,
CERRITOS,1070048B,6049,271,Y,,VBM PORTION,6,2,1,
CERRITOS,1070048B,6049,271,Y,36,TOTAL,6,2,1,
CERRITOS,1070070B,465,273,N,397,POLLING PLACE,72,33,32,
CERRITOS,1070070B,465,273,N,,VBM PORTION,39,15,24,
CERRITOS,1070070B,465,273,N,397,TOTAL,111,48,56,
CHARTER OAK,1100001A,466,128,N,542,POLLING PLACE,99,24,70,
CHARTER OAK,1100001A,466,128,N,,VBM PORTION,14,3,11,
CHARTER OAK,1100001A,466,128,N,542,TOTAL,113,27,81,
CHARTER OAK,1100004A,467,128,N,639,POLLING PLACE,92,18,68,
CHARTER OAK,1100004A,467,128,N,,VBM PORTION,30,13,16,
CHARTER OAK,1100004A,467,128,N,639,TOTAL,122,31,84,
CHARTER OAK,1100005A,468,128,N,599,POLLING PLACE,70,14,48,
CHARTER OAK,1100005A,468,128,N,,VBM PORTION,24,3,20,
CHARTER OAK,1100005A,468,128,N,599,TOTAL,94,17,68,
CHARTER OAK,1100007A,469,128,N,1006,POLLING PLACE,209,63,139,
CHARTER OAK,1100007A,469,128,N,,VBM PORTION,24,7,16,
CHARTER OAK,1100007A,469,128,N,1006,TOTAL,233,70,155,
CHARTER OAK,1100026A,470,133,N,1090,POLLING PLACE,218,125,85,
CHARTER OAK,1100026A,470,133,N,,VBM PORTION,68,46,20,
CHARTER OAK,1100026A,470,133,N,1090,TOTAL,286,171,105,
CHARTER OAK,1100028A,471,133,N,1265,POLLING PLACE,185,88,72,
CHARTER OAK,1100028A,471,133,N,,VBM PORTION,88,51,33,
CHARTER OAK,1100028A,471,133,N,1265,TOTAL,273,139,105,
CHARTER OAK,1100040A,472,133,N,1087,POLLING PLACE,193,92,87,
CHARTER OAK,1100040A,472,133,N,,VBM PORTION,80,33,42,
CHARTER OAK,1100040A,472,133,N,1087,TOTAL,273,125,129,
CHARTER OAK,1100072A,473,128,N,549,POLLING PLACE,99,35,56,
CHARTER OAK,1100072A,473,128,N,,VBM PORTION,34,21,13,
CHARTER OAK,1100072A,473,128,N,549,TOTAL,133,56,69,
CHARTER OAK,1100073A,474,128,N,1108,POLLING PLACE,230,98,119,
CHARTER OAK,1100073A,474,128,N,,VBM PORTION,63,25,37,
CHARTER OAK,1100073A,474,128,N,1108,TOTAL,293,123,156,
CHARTER OAK,1100076A,475,133,N,420,POLLING PLACE,81,37,41,
CHARTER OAK,1100076A,475,133,N,,VBM PORTION,18,7,11,
CHARTER OAK,1100076A,475,133,N,420,TOTAL,99,44,52,
CHARTER OAK,1100077A,476,128,N,955,POLLING PLACE,144,46,81,
CHARTER OAK,1100077A,476,128,N,,VBM PORTION,33,13,16,
CHARTER OAK,1100077A,476,128,N,955,TOTAL,177,59,97,
CHARTER OAK,1100078A,477,128,N,634,POLLING PLACE,140,62,69,
CHARTER OAK,1100078A,477,128,N,,VBM PORTION,38,19,18,
CHARTER OAK,1100078A,477,128,N,634,TOTAL,178,81,87,
CHARTER OAK,1100081A,478,128,N,821,POLLING PLACE,156,56,89,
CHARTER OAK,1100081A,478,128,N,,VBM PORTION,34,13,17,
CHARTER OAK,1100081A,478,128,N,821,TOTAL,190,69,106,
CHARTER OAK,1100083A,479,133,N,1090,POLLING PLACE,154,61,86,
CHARTER OAK,1100083A,479,133,N,,VBM PORTION,66,25,36,
CHARTER OAK,1100083A,479,133,N,1090,TOTAL,220,86,122,
CHARTER OAK,1100084A,480,133,N,770,POLLING PLACE,141,58,68,
CHARTER OAK,1100084A,480,133,N,,VBM PORTION,54,20,29,
CHARTER OAK,1100084A,480,133,N,770,TOTAL,195,78,97,
CHATSWORTH,1150001A,481,48,N,754,POLLING PLACE,138,75,50,
CHATSWORTH,1150001A,481,48,N,,VBM PORTION,44,22,19,
CHATSWORTH,1150001A,481,48,N,754,TOTAL,182,97,69,
CHATSWORTH,1150002A,482,116,N,440,POLLING PLACE,90,43,40,
CHATSWORTH,1150002A,482,116,N,,VBM PORTION,34,23,9,
CHATSWORTH,1150002A,482,116,N,440,TOTAL,124,66,49,
CHATSWORTH,1150004A,6050,114,Y,2,POLLING PLACE,,,,
CHATSWORTH,1150004A,6050,114,Y,,VBM PORTION,2,2,,
CHATSWORTH,1150004A,6050,114,Y,2,TOTAL,2,2,,
CHATSWORTH,1150012A,483,116,N,574,POLLING PLACE,158,66,78,
CHATSWORTH,1150012A,483,116,N,,VBM PORTION,41,22,14,
CHATSWORTH,1150012A,483,116,N,574,TOTAL,199,88,92,
CITRUS,1250005A,6051,140,Y,163,POLLING PLACE,,,,
CITRUS,1250005A,6051,140,Y,,VBM PORTION,45,35,9,
CITRUS,1250005A,6051,140,Y,163,TOTAL,45,35,9,
CITRUS,1250071A,6052,85,Y,4,POLLING PLACE,,,,
CITRUS,1250071A,6052,85,Y,,VBM PORTION,,,,
CITRUS,1250071A,6052,85,Y,4,TOTAL,,,,
CITRUS,1250079A,6053,139,Y,,POLLING PLACE,,,,
CITRUS,1250079A,6053,139,Y,,VBM PORTION,,,,
CITRUS,1250079A,6053,139,Y,,TOTAL,,,,
CITRUS,1250083A,6054,133,Y,172,POLLING PLACE,,,,
CITRUS,1250083A,6054,133,Y,,VBM PORTION,36,17,19,
CITRUS,1250083A,6054,133,Y,172,TOTAL,36,17,19,
CLAREMONT,1300001A,484,84,N,837,POLLING PLACE,150,49,93,
CLAREMONT,1300001A,484,84,N,,VBM PORTION,86,41,38,
CLAREMONT,1300001A,484,84,N,837,TOTAL,236,90,131,
CLAREMONT,1300002A,485,84,N,689,POLLING PLACE,195,49,136,
CLAREMONT,1300002A,485,84,N,,VBM PORTION,61,19,38,
CLAREMONT,1300002A,485,84,N,689,TOTAL,256,68,174,
CLAREMONT,1300003A,486,84,N,1189,POLLING PLACE,331,109,175,
CLAREMONT,1300003A,486,84,N,,VBM PORTION,97,40,48,
CLAREMONT,1300003A,486,84,N,1189,TOTAL,428,149,223,
CLAREMONT,1300004A,487,84,N,1236,POLLING PLACE,97,15,80,
CLAREMONT,1300004A,487,84,N,,VBM PORTION,23,3,18,
CLAREMONT,1300004A,487,84,N,1236,TOTAL,120,18,98,
CLAREMONT,1300005A,488,84,N,910,POLLING PLACE,287,100,166,
CLAREMONT,1300005A,488,84,N,,VBM PORTION,95,40,53,
CLAREMONT,1300005A,488,84,N,910,TOTAL,382,140,219,
CLAREMONT,1300007A,489,84,N,1010,POLLING PLACE,237,90,128,
CLAREMONT,1300007A,489,84,N,,VBM PORTION,166,72,79,
CLAREMONT,1300007A,489,84,N,1010,TOTAL,403,162,207,
CLAREMONT,1300009A,490,84,N,1382,POLLING PLACE,475,129,318,
CLAREMONT,1300009A,490,84,N,,VBM PORTION,300,70,222,
CLAREMONT,1300009A,490,84,N,1382,TOTAL,775,199,540,
CLAREMONT,1300010A,6055,83,Y,,POLLING PLACE,,,,
CLAREMONT,1300010A,6055,83,Y,,VBM PORTION,,,,
CLAREMONT,1300010A,6055,83,Y,,TOTAL,,,,
CLAREMONT,1300012A,491,84,N,1189,POLLING PLACE,462,128,305,
CLAREMONT,1300012A,491,84,N,,VBM PORTION,138,40,85,
CLAREMONT,1300012A,491,84,N,1189,TOTAL,600,168,390,
CLAREMONT,1300014A,492,84,N,890,POLLING PLACE,290,131,140,
CLAREMONT,1300014A,492,84,N,,VBM PORTION,110,45,61,
CLAREMONT,1300014A,492,84,N,890,TOTAL,400,176,201,
CLAREMONT,1300018A,493,84,N,1163,POLLING PLACE,394,158,200,
CLAREMONT,1300018A,493,84,N,,VBM PORTION,144,54,79,
CLAREMONT,1300018A,493,84,N,1163,TOTAL,538,212,279,
CLAREMONT,1300019A,494,84,N,910,POLLING PLACE,290,140,114,
CLAREMONT,1300019A,494,84,N,,VBM PORTION,125,63,56,
CLAREMONT,1300019A,494,84,N,910,TOTAL,415,203,170,
CLAREMONT,1300020A,495,84,N,856,POLLING PLACE,272,127,118,
CLAREMONT,1300020A,495,84,N,,VBM PORTION,114,49,58,
CLAREMONT,1300020A,495,84,N,856,TOTAL,386,176,176,
CLAREMONT,1300021A,496,84,N,836,POLLING PLACE,312,104,179,
CLAREMONT,1300021A,496,84,N,,VBM PORTION,109,39,58,
CLAREMONT,1300021A,496,84,N,836,TOTAL,421,143,237,
CLAREMONT,1300023B,497,83,N,550,POLLING PLACE,122,38,72,
CLAREMONT,1300023B,497,83,N,,VBM PORTION,34,18,15,
CLAREMONT,1300023B,497,83,N,550,TOTAL,156,56,87,
CLAREMONT,1300025A,498,84,N,870,POLLING PLACE,290,116,141,
CLAREMONT,1300025A,498,84,N,,VBM PORTION,121,37,76,
CLAREMONT,1300025A,498,84,N,870,TOTAL,411,153,217,
CLAREMONT,1300026A,499,84,N,1128,POLLING PLACE,341,160,155,
CLAREMONT,1300026A,499,84,N,,VBM PORTION,126,66,55,
CLAREMONT,1300026A,499,84,N,1128,TOTAL,467,226,210,
CLAREMONT,1300029A,500,84,N,517,POLLING PLACE,135,63,66,
CLAREMONT,1300029A,500,84,N,,VBM PORTION,115,72,39,
CLAREMONT,1300029A,500,84,N,517,TOTAL,250,135,105,
CLAREMONT,1300037A,501,84,N,1117,POLLING PLACE,322,190,111,
CLAREMONT,1300037A,501,84,N,,VBM PORTION,139,80,52,
CLAREMONT,1300037A,501,84,N,1117,TOTAL,461,270,163,
CLAREMONT,1300039A,502,84,N,1184,POLLING PLACE,389,190,169,
CLAREMONT,1300039A,502,84,N,,VBM PORTION,165,90,67,
CLAREMONT,1300039A,502,84,N,1184,TOTAL,554,280,236,
CLAREMONT,1300042A,503,84,N,920,POLLING PLACE,322,164,125,
CLAREMONT,1300042A,503,84,N,,VBM PORTION,132,69,52,
CLAREMONT,1300042A,503,84,N,920,TOTAL,454,233,177,
CLAREMONT,1300062A,504,84,N,689,POLLING PLACE,200,116,69,
CLAREMONT,1300062A,504,84,N,,VBM PORTION,92,32,52,
CLAREMONT,1300062A,504,84,N,689,TOTAL,292,148,121,
CLAREMONT,1300063A,505,84,N,1057,POLLING PLACE,364,150,189,
CLAREMONT,1300063A,505,84,N,,VBM PORTION,130,63,57,
CLAREMONT,1300063A,505,84,N,1057,TOTAL,494,213,246,
COMMERCE,1430002A,506,289,N,678,POLLING PLACE,119,17,89,
COMMERCE,1430002A,506,289,N,,VBM PORTION,10,1,9,
COMMERCE,1430002A,506,289,N,678,TOTAL,129,18,98,
COMMERCE,1430003A,6056,282,Y,,POLLING PLACE,,,,
COMMERCE,1430003A,6056,282,Y,,VBM PORTION,,,,
COMMERCE,1430003A,6056,282,Y,,TOTAL,,,,
COMMERCE,1430009A,507,289,N,1045,POLLING PLACE,192,27,138,
COMMERCE,1430009A,507,289,N,,VBM PORTION,33,9,20,
COMMERCE,1430009A,507,289,N,1045,TOTAL,225,36,158,
COMMERCE,1430010A,6057,304,Y,1,POLLING PLACE,,,,
COMMERCE,1430010A,6057,304,Y,,VBM PORTION,,,,
COMMERCE,1430010A,6057,304,Y,1,TOTAL,,,,
COMMERCE,1430031A,508,289,N,781,POLLING PLACE,207,45,140,
COMMERCE,1430031A,508,289,N,,VBM PORTION,41,8,31,
COMMERCE,1430031A,508,289,N,781,TOTAL,248,53,171,
COMMERCE,1430033A,509,289,N,1013,POLLING PLACE,173,37,122,
COMMERCE,1430033A,509,289,N,,VBM PORTION,34,5,25,
COMMERCE,1430033A,509,289,N,1013,TOTAL,207,42,147,
COMMERCE,1430034A,510,289,N,608,POLLING PLACE,109,17,81,
COMMERCE,1430034A,510,289,N,,VBM PORTION,28,2,23,
COMMERCE,1430034A,510,289,N,608,TOTAL,137,19,104,
COMMERCE,1430035A,511,289,N,986,POLLING PLACE,145,19,112,
COMMERCE,1430035A,511,289,N,,VBM PORTION,42,7,33,
COMMERCE,1430035A,511,289,N,986,TOTAL,187,26,145,
COMMERCE,1430036A,512,289,N,908,POLLING PLACE,129,32,83,
COMMERCE,1430036A,512,289,N,,VBM PORTION,25,2,21,
COMMERCE,1430036A,512,289,N,908,TOTAL,154,34,104,
COMPTON,1450002A,513,363,N,1115,POLLING PLACE,166,16,146,
COMPTON,1450002A,513,363,N,,VBM PORTION,30,3,27,
COMPTON,1450002A,513,363,N,1115,TOTAL,196,19,173,
COMPTON,1450004A,514,363,N,919,POLLING PLACE,138,4,121,
COMPTON,1450004A,514,363,N,,VBM PORTION,35,4,30,
COMPTON,1450004A,514,363,N,919,TOTAL,173,8,151,
COMPTON,1450005A,515,363,N,706,POLLING PLACE,159,12,133,
COMPTON,1450005A,515,363,N,,VBM PORTION,24,,19,
COMPTON,1450005A,515,363,N,706,TOTAL,183,12,152,
COMPTON,1450006A,516,363,N,807,POLLING PLACE,116,11,94,
COMPTON,1450006A,516,363,N,,VBM PORTION,21,6,13,
COMPTON,1450006A,516,363,N,807,TOTAL,137,17,107,
COMPTON,1450007B,517,363,N,1085,POLLING PLACE,144,15,118,
COMPTON,1450007B,517,363,N,,VBM PORTION,32,1,29,
COMPTON,1450007B,517,363,N,1085,TOTAL,176,16,147,
COMPTON,1450008A,518,363,N,1050,POLLING PLACE,114,12,96,
COMPTON,1450008A,518,363,N,,VBM PORTION,47,5,37,
COMPTON,1450008A,518,363,N,1050,TOTAL,161,17,133,
COMPTON,1450008B,519,363,N,794,POLLING PLACE,87,11,67,
COMPTON,1450008B,519,363,N,,VBM PORTION,32,2,28,
COMPTON,1450008B,519,363,N,794,TOTAL,119,13,95,
COMPTON,1450010C,520,363,N,677,POLLING PLACE,131,20,99,
COMPTON,1450010C,520,363,N,,VBM PORTION,37,3,22,
COMPTON,1450010C,520,363,N,677,TOTAL,168,23,121,
COMPTON,1450018A,521,363,N,741,POLLING PLACE,120,5,110,
COMPTON,1450018A,521,363,N,,VBM PORTION,28,2,23,
COMPTON,1450018A,521,363,N,741,TOTAL,148,7,133,
COMPTON,1450020A,522,363,N,976,POLLING PLACE,183,15,152,
COMPTON,1450020A,522,363,N,,VBM PORTION,43,2,36,
COMPTON,1450020A,522,363,N,976,TOTAL,226,17,188,
COMPTON,1450022B,523,363,N,1008,POLLING PLACE,159,17,137,
COMPTON,1450022B,523,363,N,,VBM PORTION,36,3,33,
COMPTON,1450022B,523,363,N,1008,TOTAL,195,20,170,
COMPTON,1450024A,524,363,N,1024,POLLING PLACE,266,6,241,
COMPTON,1450024A,524,363,N,,VBM PORTION,84,5,69,
COMPTON,1450024A,524,363,N,1024,TOTAL,350,11,310,
COMPTON,1450027A,525,363,N,1043,POLLING PLACE,158,17,118,
COMPTON,1450027A,525,363,N,,VBM PORTION,33,2,30,
COMPTON,1450027A,525,363,N,1043,TOTAL,191,19,148,
COMPTON,1450028C,526,363,N,1109,POLLING PLACE,131,6,113,
COMPTON,1450028C,526,363,N,,VBM PORTION,50,3,40,
COMPTON,1450028C,526,363,N,1109,TOTAL,181,9,153,
COMPTON,1450030A,527,363,N,693,POLLING PLACE,109,5,91,
COMPTON,1450030A,527,363,N,,VBM PORTION,39,5,30,
COMPTON,1450030A,527,363,N,693,TOTAL,148,10,121,
COMPTON,1450033A,528,363,N,1035,POLLING PLACE,100,11,85,
COMPTON,1450033A,528,363,N,,VBM PORTION,18,,18,
COMPTON,1450033A,528,363,N,1035,TOTAL,118,11,103,
COMPTON,1450034A,529,363,N,752,POLLING PLACE,125,9,112,
COMPTON,1450034A,529,363,N,,VBM PORTION,25,1,24,
COMPTON,1450034A,529,363,N,752,TOTAL,150,10,136,
COMPTON,1450036A,530,363,N,1105,POLLING PLACE,137,16,109,
COMPTON,1450036A,530,363,N,,VBM PORTION,18,2,15,
COMPTON,1450036A,530,363,N,1105,TOTAL,155,18,124,
COMPTON,1450040C,531,363,N,1022,POLLING PLACE,164,10,140,
COMPTON,1450040C,531,363,N,,VBM PORTION,34,,31,
COMPTON,1450040C,531,363,N,1022,TOTAL,198,10,171,
COMPTON,1450042C,532,363,N,1011,POLLING PLACE,175,12,152,
COMPTON,1450042C,532,363,N,,VBM PORTION,27,4,23,
COMPTON,1450042C,532,363,N,1011,TOTAL,202,16,175,
COMPTON,1450043B,533,363,N,738,POLLING PLACE,152,10,127,
COMPTON,1450043B,533,363,N,,VBM PORTION,39,3,34,
COMPTON,1450043B,533,363,N,738,TOTAL,191,13,161,
COMPTON,1450045A,534,363,N,980,POLLING PLACE,169,9,144,
COMPTON,1450045A,534,363,N,,VBM PORTION,48,,40,
COMPTON,1450045A,534,363,N,980,TOTAL,217,9,184,
COMPTON,1450052A,535,363,N,873,POLLING PLACE,139,18,110,
COMPTON,1450052A,535,363,N,,VBM PORTION,30,1,27,
COMPTON,1450052A,535,363,N,873,TOTAL,169,19,137,
COMPTON,1450062B,536,363,N,911,POLLING PLACE,106,11,86,
COMPTON,1450062B,536,363,N,,VBM PORTION,33,2,31,
COMPTON,1450062B,536,363,N,911,TOTAL,139,13,117,
COMPTON,1450091A,537,363,N,1105,POLLING PLACE,232,18,181,
COMPTON,1450091A,537,363,N,,VBM PORTION,50,4,42,
COMPTON,1450091A,537,363,N,1105,TOTAL,282,22,223,
COMPTON,1450113A,538,363,N,1076,POLLING PLACE,163,11,144,
COMPTON,1450113A,538,363,N,,VBM PORTION,30,2,25,
COMPTON,1450113A,538,363,N,1076,TOTAL,193,13,169,
COMPTON,1450118B,539,363,N,971,POLLING PLACE,163,17,139,
COMPTON,1450118B,539,363,N,,VBM PORTION,57,1,51,
COMPTON,1450118B,539,363,N,971,TOTAL,220,18,190,
COMPTON,1450132A,540,363,N,747,POLLING PLACE,115,5,99,
COMPTON,1450132A,540,363,N,,VBM PORTION,28,1,25,
COMPTON,1450132A,540,363,N,747,TOTAL,143,6,124,
COMPTON,1450133A,541,363,N,786,POLLING PLACE,106,14,77,
COMPTON,1450133A,541,363,N,,VBM PORTION,25,2,21,
COMPTON,1450133A,541,363,N,786,TOTAL,131,16,98,
COMPTON,1450137B,542,363,N,986,POLLING PLACE,149,22,122,
COMPTON,1450137B,542,363,N,,VBM PORTION,39,,34,
COMPTON,1450137B,542,363,N,986,TOTAL,188,22,156,
COMPTON,1450137L,543,363,N,546,POLLING PLACE,59,7,47,
COMPTON,1450137L,543,363,N,,VBM PORTION,16,3,12,
COMPTON,1450137L,543,363,N,546,TOTAL,75,10,59,
COMPTON,1450142B,544,363,N,1083,POLLING PLACE,138,12,121,
COMPTON,1450142B,544,363,N,,VBM PORTION,43,6,33,
COMPTON,1450142B,544,363,N,1083,TOTAL,181,18,154,
COMPTON,1450147A,545,363,N,762,POLLING PLACE,146,11,131,
COMPTON,1450147A,545,363,N,,VBM PORTION,72,7,62,
COMPTON,1450147A,545,363,N,762,TOTAL,218,18,193,
COMPTON,1450148A,546,363,N,781,POLLING PLACE,123,15,99,
COMPTON,1450148A,546,363,N,,VBM PORTION,51,1,44,
COMPTON,1450148A,546,363,N,781,TOTAL,174,16,143,
COMPTON,1450149A,547,363,N,1095,POLLING PLACE,164,19,129,
COMPTON,1450149A,547,363,N,,VBM PORTION,40,6,34,
COMPTON,1450149A,547,363,N,1095,TOTAL,204,25,163,
COMPTON,1450152A,548,363,N,668,POLLING PLACE,149,15,115,
COMPTON,1450152A,548,363,N,,VBM PORTION,39,4,33,
COMPTON,1450152A,548,363,N,668,TOTAL,188,19,148,
COMPTON,1450153A,549,363,N,904,POLLING PLACE,107,10,90,
COMPTON,1450153A,549,363,N,,VBM PORTION,30,6,20,
COMPTON,1450153A,549,363,N,904,TOTAL,137,16,110,
COMPTON,1450154A,550,363,N,1058,POLLING PLACE,201,25,159,
COMPTON,1450154A,550,363,N,,VBM PORTION,65,3,57,
COMPTON,1450154A,550,363,N,1058,TOTAL,266,28,216,
COMPTON,1450155A,551,363,N,1042,POLLING PLACE,179,14,153,
COMPTON,1450155A,551,363,N,,VBM PORTION,42,1,38,
COMPTON,1450155A,551,363,N,1042,TOTAL,221,15,191,
COMPTON,1450155G,6058,367,Y,2,POLLING PLACE,,,,
COMPTON,1450155G,6058,367,Y,,VBM PORTION,,,,
COMPTON,1450155G,6058,367,Y,2,TOTAL,,,,
COMPTON,1450157A,552,363,N,827,POLLING PLACE,131,11,115,
COMPTON,1450157A,552,363,N,,VBM PORTION,30,1,29,
COMPTON,1450157A,552,363,N,827,TOTAL,161,12,144,
COMPTON,1450160A,553,363,N,864,POLLING PLACE,183,16,150,
COMPTON,1450160A,553,363,N,,VBM PORTION,44,7,31,
COMPTON,1450160A,553,363,N,864,TOTAL,227,23,181,
COMPTON,1450163A,554,363,N,841,POLLING PLACE,160,11,141,
COMPTON,1450163A,554,363,N,,VBM PORTION,34,2,27,
COMPTON,1450163A,554,363,N,841,TOTAL,194,13,168,
COMPTON,1450164C,555,363,N,1037,POLLING PLACE,199,10,172,
COMPTON,1450164C,555,363,N,,VBM PORTION,31,2,27,
COMPTON,1450164C,555,363,N,1037,TOTAL,230,12,199,
COMPTON,1450167A,556,363,N,1106,POLLING PLACE,240,22,202,
COMPTON,1450167A,556,363,N,,VBM PORTION,54,4,47,
COMPTON,1450167A,556,363,N,1106,TOTAL,294,26,249,
COMPTON,1450305B,557,363,N,716,POLLING PLACE,70,3,59,
COMPTON,1450305B,557,363,N,,VBM PORTION,23,1,21,
COMPTON,1450305B,557,363,N,716,TOTAL,93,4,80,
COVINA,1500001A,558,133,N,325,POLLING PLACE,43,18,23,
COVINA,1500001A,558,133,N,,VBM PORTION,11,4,4,
COVINA,1500001A,558,133,N,325,TOTAL,54,22,27,
COVINA,1500003A,559,133,N,719,POLLING PLACE,141,70,64,
COVINA,1500003A,559,133,N,,VBM PORTION,54,30,21,
COVINA,1500003A,559,133,N,719,TOTAL,195,100,85,
COVINA,1500008A,560,133,N,880,POLLING PLACE,164,83,73,
COVINA,1500008A,560,133,N,,VBM PORTION,66,33,28,
COVINA,1500008A,560,133,N,880,TOTAL,230,116,101,
COVINA,1500009A,561,133,N,888,POLLING PLACE,198,115,74,
COVINA,1500009A,561,133,N,,VBM PORTION,69,34,32,
COVINA,1500009A,561,133,N,888,TOTAL,267,149,106,
COVINA,1500012A,562,133,N,1070,POLLING PLACE,170,86,69,
COVINA,1500012A,562,133,N,,VBM PORTION,76,36,34,
COVINA,1500012A,562,133,N,1070,TOTAL,246,122,103,
COVINA,1500014A,563,133,N,1207,POLLING PLACE,186,92,73,
COVINA,1500014A,563,133,N,,VBM PORTION,60,30,27,
COVINA,1500014A,563,133,N,1207,TOTAL,246,122,100,
COVINA,1500016B,564,133,N,1010,POLLING PLACE,151,77,67,
COVINA,1500016B,564,133,N,,VBM PORTION,87,32,47,
COVINA,1500016B,564,133,N,1010,TOTAL,238,109,114,
COVINA,1500022A,565,133,N,1153,POLLING PLACE,168,71,90,
COVINA,1500022A,565,133,N,,VBM PORTION,55,24,30,
COVINA,1500022A,565,133,N,1153,TOTAL,223,95,120,
COVINA,1500024A,566,133,N,977,POLLING PLACE,144,73,67,
COVINA,1500024A,566,133,N,,VBM PORTION,63,23,35,
COVINA,1500024A,566,133,N,977,TOTAL,207,96,102,
COVINA,1500025A,567,133,N,1099,POLLING PLACE,127,52,68,
COVINA,1500025A,567,133,N,,VBM PORTION,46,23,20,
COVINA,1500025A,567,133,N,1099,TOTAL,173,75,88,
COVINA,1500027A,568,133,N,668,POLLING PLACE,110,66,39,
COVINA,1500027A,568,133,N,,VBM PORTION,42,20,20,
COVINA,1500027A,568,133,N,668,TOTAL,152,86,59,
COVINA,1500029A,569,133,N,1014,POLLING PLACE,164,71,77,
COVINA,1500029A,569,133,N,,VBM PORTION,82,39,35,
COVINA,1500029A,569,133,N,1014,TOTAL,246,110,112,
COVINA,1500031A,570,133,N,1252,POLLING PLACE,282,153,108,
COVINA,1500031A,570,133,N,,VBM PORTION,108,58,44,
COVINA,1500031A,570,133,N,1252,TOTAL,390,211,152,
COVINA,1500035A,571,133,N,1049,POLLING PLACE,193,84,90,
COVINA,1500035A,571,133,N,,VBM PORTION,54,17,34,
COVINA,1500035A,571,133,N,1049,TOTAL,247,101,124,
COVINA,1500036C,572,133,N,1004,POLLING PLACE,196,98,81,
COVINA,1500036C,572,133,N,,VBM PORTION,79,45,30,
COVINA,1500036C,572,133,N,1004,TOTAL,275,143,111,
COVINA,1500037A,573,133,N,1107,POLLING PLACE,250,116,112,
COVINA,1500037A,573,133,N,,VBM PORTION,85,60,17,
COVINA,1500037A,573,133,N,1107,TOTAL,335,176,129,
COVINA,1500056A,574,133,N,1224,POLLING PLACE,196,99,68,
COVINA,1500056A,574,133,N,,VBM PORTION,86,41,41,
COVINA,1500056A,574,133,N,1224,TOTAL,282,140,109,
COVINA,1500074C,575,133,N,1245,POLLING PLACE,295,161,115,
COVINA,1500074C,575,133,N,,VBM PORTION,145,87,48,
COVINA,1500074C,575,133,N,1245,TOTAL,440,248,163,
COVINA,1500078A,576,133,N,1046,POLLING PLACE,180,85,75,
COVINA,1500078A,576,133,N,,VBM PORTION,88,44,40,
COVINA,1500078A,576,133,N,1046,TOTAL,268,129,115,
COVINA,1500082A,577,133,N,1002,POLLING PLACE,174,90,76,
COVINA,1500082A,577,133,N,,VBM PORTION,99,37,53,
COVINA,1500082A,577,133,N,1002,TOTAL,273,127,129,
COVINA,1500084A,578,133,N,821,POLLING PLACE,194,120,64,
COVINA,1500084A,578,133,N,,VBM PORTION,85,53,21,
COVINA,1500084A,578,133,N,821,TOTAL,279,173,85,
COVINA,1500086B,579,133,N,1180,POLLING PLACE,213,82,117,
COVINA,1500086B,579,133,N,,VBM PORTION,75,34,33,
COVINA,1500086B,579,133,N,1180,TOTAL,288,116,150,
COVINA,1500089A,580,133,N,882,POLLING PLACE,116,49,60,
COVINA,1500089A,580,133,N,,VBM PORTION,60,29,29,
COVINA,1500089A,580,133,N,882,TOTAL,176,78,89,
