LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,TONY STRICKLAND,STEVE KNIGHT,
PALMDALE,5000021A,1907,13,N,1254,TOTAL,247,78,122,
PALMDALE,5000022B,1908,13,N,1058,POLLING PLACE,120,43,60,
PALMDALE,5000022B,1908,13,N,,VBM PORTION,53,16,21,
PALMDALE,5000022B,1908,13,N,1058,TOTAL,173,59,81,
PALMDALE,5000024A,1909,8,N,953,POLLING PLACE,200,74,107,
PALMDALE,5000024A,1909,8,N,,VBM PORTION,76,22,52,
PALMDALE,5000024A,1909,8,N,953,TOTAL,276,96,159,
PALMDALE,5000025A,1910,8,N,807,POLLING PLACE,132,45,71,
PALMDALE,5000025A,1910,8,N,,VBM PORTION,89,22,52,
PALMDALE,5000025A,1910,8,N,807,TOTAL,221,67,123,
PALMDALE,5000026A,1911,8,N,909,POLLING PLACE,235,67,155,
PALMDALE,5000026A,1911,8,N,,VBM PORTION,95,23,64,
PALMDALE,5000026A,1911,8,N,909,TOTAL,330,90,219,
PALMDALE,5000027A,1912,8,N,1151,POLLING PLACE,230,81,135,
PALMDALE,5000027A,1912,8,N,,VBM PORTION,93,21,57,
PALMDALE,5000027A,1912,8,N,1151,TOTAL,323,102,192,
PALMDALE,5000028A,1913,13,N,964,POLLING PLACE,146,53,76,
PALMDALE,5000028A,1913,13,N,,VBM PORTION,67,13,44,
PALMDALE,5000028A,1913,13,N,964,TOTAL,213,66,120,
PALMDALE,5000030A,1914,13,N,926,POLLING PLACE,177,58,102,
PALMDALE,5000030A,1914,13,N,,VBM PORTION,86,23,54,
PALMDALE,5000030A,1914,13,N,926,TOTAL,263,81,156,
PALMDALE,5000031A,1915,8,N,1140,POLLING PLACE,206,65,123,
PALMDALE,5000031A,1915,8,N,,VBM PORTION,94,29,52,
PALMDALE,5000031A,1915,8,N,1140,TOTAL,300,94,175,
PALMDALE,5000032A,1916,8,N,1056,POLLING PLACE,155,63,74,
PALMDALE,5000032A,1916,8,N,,VBM PORTION,71,26,34,
PALMDALE,5000032A,1916,8,N,1056,TOTAL,226,89,108,
PALMDALE,5000033A,1917,13,N,951,POLLING PLACE,83,25,46,
PALMDALE,5000033A,1917,13,N,,VBM PORTION,46,14,26,
PALMDALE,5000033A,1917,13,N,951,TOTAL,129,39,72,
PALMDALE,5000034A,1918,13,N,1037,POLLING PLACE,115,39,59,
PALMDALE,5000034A,1918,13,N,,VBM PORTION,63,26,16,
PALMDALE,5000034A,1918,13,N,1037,TOTAL,178,65,75,
PALMDALE,5000036A,1919,13,N,812,POLLING PLACE,89,26,53,
PALMDALE,5000036A,1919,13,N,,VBM PORTION,40,14,20,
PALMDALE,5000036A,1919,13,N,812,TOTAL,129,40,73,
PALMDALE,5000037A,1920,13,N,965,POLLING PLACE,138,44,73,
PALMDALE,5000037A,1920,13,N,,VBM PORTION,30,7,17,
PALMDALE,5000037A,1920,13,N,965,TOTAL,168,51,90,
PALMDALE,5000039A,1921,13,N,1313,POLLING PLACE,144,55,77,
PALMDALE,5000039A,1921,13,N,,VBM PORTION,55,18,27,
PALMDALE,5000039A,1921,13,N,1313,TOTAL,199,73,104,
PALMDALE,5000040A,1922,13,N,1193,POLLING PLACE,174,60,93,
PALMDALE,5000040A,1922,13,N,,VBM PORTION,85,23,44,
PALMDALE,5000040A,1922,13,N,1193,TOTAL,259,83,137,
PALMDALE,5000041A,1923,13,N,1068,POLLING PLACE,153,58,75,
PALMDALE,5000041A,1923,13,N,,VBM PORTION,58,22,26,
PALMDALE,5000041A,1923,13,N,1068,TOTAL,211,80,101,
PALMDALE,5000042A,1924,13,N,1049,POLLING PLACE,144,49,75,
PALMDALE,5000042A,1924,13,N,,VBM PORTION,46,16,24,
PALMDALE,5000042A,1924,13,N,1049,TOTAL,190,65,99,
PALMDALE,5000044A,1925,13,N,1529,POLLING PLACE,155,55,74,
PALMDALE,5000044A,1925,13,N,,VBM PORTION,91,35,34,
PALMDALE,5000044A,1925,13,N,1529,TOTAL,246,90,108,
PALMDALE,5000045A,1926,13,N,752,POLLING PLACE,101,38,58,
PALMDALE,5000045A,1926,13,N,,VBM PORTION,44,18,20,
PALMDALE,5000045A,1926,13,N,752,TOTAL,145,56,78,
PALMDALE,5000047A,1927,13,N,1043,POLLING PLACE,123,48,61,
PALMDALE,5000047A,1927,13,N,,VBM PORTION,58,17,34,
PALMDALE,5000047A,1927,13,N,1043,TOTAL,181,65,95,
PALMDALE,5000048A,1928,13,N,1018,POLLING PLACE,150,57,70,
PALMDALE,5000048A,1928,13,N,,VBM PORTION,39,13,21,
PALMDALE,5000048A,1928,13,N,1018,TOTAL,189,70,91,
PALMDALE,5000049A,1929,13,N,958,POLLING PLACE,129,56,51,
PALMDALE,5000049A,1929,13,N,,VBM PORTION,29,8,16,
PALMDALE,5000049A,1929,13,N,958,TOTAL,158,64,67,
PALMDALE,5000050A,1930,13,N,759,POLLING PLACE,116,40,59,
PALMDALE,5000050A,1930,13,N,,VBM PORTION,65,25,25,
PALMDALE,5000050A,1930,13,N,759,TOTAL,181,65,84,
PALMDALE,5000051B,1931,13,N,1215,POLLING PLACE,196,73,99,
PALMDALE,5000051B,1931,13,N,,VBM PORTION,74,27,42,
PALMDALE,5000051B,1931,13,N,1215,TOTAL,270,100,141,
PALMDALE,5000053A,1932,13,N,1189,POLLING PLACE,180,72,83,
PALMDALE,5000053A,1932,13,N,,VBM PORTION,62,25,30,
PALMDALE,5000053A,1932,13,N,1189,TOTAL,242,97,113,
PALMDALE,5000054A,1933,13,N,1130,POLLING PLACE,134,57,55,
PALMDALE,5000054A,1933,13,N,,VBM PORTION,59,21,31,
PALMDALE,5000054A,1933,13,N,1130,TOTAL,193,78,86,
PALMDALE,5000055A,1934,7,N,1433,POLLING PLACE,333,98,197,
PALMDALE,5000055A,1934,7,N,,VBM PORTION,216,65,135,
PALMDALE,5000055A,1934,7,N,1433,TOTAL,549,163,332,
PALMDALE,5000055E,6177,15,Y,,POLLING PLACE,,,,
PALMDALE,5000055E,6177,15,Y,,VBM PORTION,,,,
PALMDALE,5000055E,6177,15,Y,,TOTAL,,,,
PALMDALE,5000058A,1935,13,N,1101,POLLING PLACE,110,38,56,
PALMDALE,5000058A,1935,13,N,,VBM PORTION,50,21,20,
PALMDALE,5000058A,1935,13,N,1101,TOTAL,160,59,76,
PALMDALE,5000063A,1936,8,N,846,POLLING PLACE,142,55,70,
PALMDALE,5000063A,1936,8,N,,VBM PORTION,52,12,34,
PALMDALE,5000063A,1936,8,N,846,TOTAL,194,67,104,
PALMDALE,5000064A,1937,13,N,1149,POLLING PLACE,179,65,83,
PALMDALE,5000064A,1937,13,N,,VBM PORTION,68,21,30,
PALMDALE,5000064A,1937,13,N,1149,TOTAL,247,86,113,
PALMDALE,5000066A,1938,13,N,567,POLLING PLACE,84,29,48,
PALMDALE,5000066A,1938,13,N,,VBM PORTION,63,22,36,
PALMDALE,5000066A,1938,13,N,567,TOTAL,147,51,84,
PALMDALE,5000067A,1939,8,N,1107,POLLING PLACE,166,63,86,
PALMDALE,5000067A,1939,8,N,,VBM PORTION,71,25,32,
PALMDALE,5000067A,1939,8,N,1107,TOTAL,237,88,118,
PALMDALE,5000070B,1940,8,N,1021,POLLING PLACE,265,90,139,
PALMDALE,5000070B,1940,8,N,,VBM PORTION,93,31,55,
PALMDALE,5000070B,1940,8,N,1021,TOTAL,358,121,194,
PALMDALE,5000071A,1941,13,N,1181,POLLING PLACE,147,50,76,
PALMDALE,5000071A,1941,13,N,,VBM PORTION,65,21,32,
PALMDALE,5000071A,1941,13,N,1181,TOTAL,212,71,108,
PALMDALE,5000072A,1942,13,N,1062,POLLING PLACE,145,48,81,
PALMDALE,5000072A,1942,13,N,,VBM PORTION,64,24,28,
PALMDALE,5000072A,1942,13,N,1062,TOTAL,209,72,109,
PALMDALE,5000075A,1943,13,N,752,POLLING PLACE,104,32,58,
PALMDALE,5000075A,1943,13,N,,VBM PORTION,48,13,24,
PALMDALE,5000075A,1943,13,N,752,TOTAL,152,45,82,
PALMDALE,5000078A,1944,13,N,1106,POLLING PLACE,158,65,68,
PALMDALE,5000078A,1944,13,N,,VBM PORTION,57,18,32,
PALMDALE,5000078A,1944,13,N,1106,TOTAL,215,83,100,
PALMDALE,5000079A,1945,13,N,887,POLLING PLACE,95,30,50,
PALMDALE,5000079A,1945,13,N,,VBM PORTION,61,17,33,
PALMDALE,5000079A,1945,13,N,887,TOTAL,156,47,83,
PALMDALE,5000080A,1946,8,N,1000,POLLING PLACE,175,69,90,
PALMDALE,5000080A,1946,8,N,,VBM PORTION,72,23,39,
PALMDALE,5000080A,1946,8,N,1000,TOTAL,247,92,129,
PALMDALE,5000081A,1947,13,N,876,POLLING PLACE,99,36,49,
PALMDALE,5000081A,1947,13,N,,VBM PORTION,66,29,28,
PALMDALE,5000081A,1947,13,N,876,TOTAL,165,65,77,
PALMDALE,5000082A,1948,8,N,1222,POLLING PLACE,283,104,165,
PALMDALE,5000082A,1948,8,N,,VBM PORTION,154,40,100,
PALMDALE,5000082A,1948,8,N,1222,TOTAL,437,144,265,
PALMDALE,5000084A,1949,13,N,969,POLLING PLACE,154,57,79,
PALMDALE,5000084A,1949,13,N,,VBM PORTION,33,16,13,
PALMDALE,5000084A,1949,13,N,969,TOTAL,187,73,92,
PALMDALE,5000085B,1950,13,N,1610,POLLING PLACE,85,41,35,
PALMDALE,5000085B,1950,13,N,,VBM PORTION,137,27,44,
PALMDALE,5000085B,1950,13,N,1610,TOTAL,222,68,79,
PALMDALE,5000086A,1951,13,N,971,POLLING PLACE,114,35,65,
PALMDALE,5000086A,1951,13,N,,VBM PORTION,49,15,26,
PALMDALE,5000086A,1951,13,N,971,TOTAL,163,50,91,
PALMDALE,5000088A,1952,8,N,1177,POLLING PLACE,268,101,146,
PALMDALE,5000088A,1952,8,N,,VBM PORTION,139,37,87,
PALMDALE,5000088A,1952,8,N,1177,TOTAL,407,138,233,
PALMDALE,5000089A,1953,13,N,1047,POLLING PLACE,137,46,62,
PALMDALE,5000089A,1953,13,N,,VBM PORTION,67,17,39,
PALMDALE,5000089A,1953,13,N,1047,TOTAL,204,63,101,
PALMDALE,5000092A,1954,8,N,1130,POLLING PLACE,226,89,109,
PALMDALE,5000092A,1954,8,N,,VBM PORTION,105,16,79,
PALMDALE,5000092A,1954,8,N,1130,TOTAL,331,105,188,
PALMDALE,5000093B,1955,13,N,1440,POLLING PLACE,182,75,83,
PALMDALE,5000093B,1955,13,N,,VBM PORTION,88,44,36,
PALMDALE,5000093B,1955,13,N,1440,TOTAL,270,119,119,
PEARBLOSSOM,5200014A,6186,13,Y,2,POLLING PLACE,,,,
PEARBLOSSOM,5200014A,6186,13,Y,,VBM PORTION,1,,1,
PEARBLOSSOM,5200014A,6186,13,Y,2,TOTAL,1,,1,
PEARBLOSSOM,5200040D,2057,13,N,646,POLLING PLACE,201,74,115,
PEARBLOSSOM,5200040D,2057,13,N,,VBM PORTION,94,35,53,
PEARBLOSSOM,5200040D,2057,13,N,646,TOTAL,295,109,168,
PEARBLOSSOM,5200042A,2058,13,N,647,POLLING PLACE,172,59,98,
PEARBLOSSOM,5200042A,2058,13,N,,VBM PORTION,59,14,38,
PEARBLOSSOM,5200042A,2058,13,N,647,TOTAL,231,73,136,
QUARTZ HILL,5400003A,6192,13,Y,4,POLLING PLACE,,,,
QUARTZ HILL,5400003A,6192,13,Y,,VBM PORTION,,,,
QUARTZ HILL,5400003A,6192,13,Y,4,TOTAL,,,,
QUARTZ HILL,5400005A,2151,13,N,920,POLLING PLACE,261,102,139,
QUARTZ HILL,5400005A,2151,13,N,,VBM PORTION,129,40,79,
QUARTZ HILL,5400005A,2151,13,N,920,TOTAL,390,142,218,
SANTA CLARITA,6220002B,2343,39,N,990,POLLING PLACE,179,66,83,
SANTA CLARITA,6220002B,2343,39,N,,VBM PORTION,77,33,36,
SANTA CLARITA,6220002B,2343,39,N,990,TOTAL,256,99,119,
SANTA CLARITA,6220003A,2344,44,N,1296,POLLING PLACE,291,112,137,
SANTA CLARITA,6220003A,2344,44,N,,VBM PORTION,123,46,59,
SANTA CLARITA,6220003A,2344,44,N,1296,TOTAL,414,158,196,
SANTA CLARITA,6220004A,2345,44,N,998,POLLING PLACE,240,123,92,
SANTA CLARITA,6220004A,2345,44,N,,VBM PORTION,97,40,45,
SANTA CLARITA,6220004A,2345,44,N,998,TOTAL,337,163,137,
SANTA CLARITA,6220005A,2346,36,N,1251,POLLING PLACE,256,106,107,
SANTA CLARITA,6220005A,2346,36,N,,VBM PORTION,128,53,59,
SANTA CLARITA,6220005A,2346,36,N,1251,TOTAL,384,159,166,
SANTA CLARITA,6220006A,2347,44,N,1060,POLLING PLACE,227,95,108,
SANTA CLARITA,6220006A,2347,44,N,,VBM PORTION,98,25,55,
SANTA CLARITA,6220006A,2347,44,N,1060,TOTAL,325,120,163,
SANTA CLARITA,6220007A,2348,44,N,823,POLLING PLACE,215,97,94,
SANTA CLARITA,6220007A,2348,44,N,,VBM PORTION,68,30,23,
SANTA CLARITA,6220007A,2348,44,N,823,TOTAL,283,127,117,
SANTA CLARITA,6220008A,2349,40,N,1343,POLLING PLACE,271,103,131,
SANTA CLARITA,6220008A,2349,40,N,,VBM PORTION,154,39,101,
SANTA CLARITA,6220008A,2349,40,N,1343,TOTAL,425,142,232,
SANTA CLARITA,6220009A,2350,44,N,972,POLLING PLACE,203,67,113,
SANTA CLARITA,6220009A,2350,44,N,,VBM PORTION,90,22,60,
SANTA CLARITA,6220009A,2350,44,N,972,TOTAL,293,89,173,
SANTA CLARITA,6220010A,2351,40,N,882,POLLING PLACE,193,77,85,
SANTA CLARITA,6220010A,2351,40,N,,VBM PORTION,78,28,40,
SANTA CLARITA,6220010A,2351,40,N,882,TOTAL,271,105,125,
SANTA CLARITA,6220011B,2352,40,N,1307,POLLING PLACE,230,108,95,
SANTA CLARITA,6220011B,2352,40,N,,VBM PORTION,163,61,73,
SANTA CLARITA,6220011B,2352,40,N,1307,TOTAL,393,169,168,
SANTA CLARITA,6220017B,2353,39,N,1113,POLLING PLACE,193,62,92,
SANTA CLARITA,6220017B,2353,39,N,,VBM PORTION,137,50,64,
SANTA CLARITA,6220017B,2353,39,N,1113,TOTAL,330,112,156,
SANTA CLARITA,6220018A,2354,39,N,822,POLLING PLACE,160,54,81,
SANTA CLARITA,6220018A,2354,39,N,,VBM PORTION,93,29,56,
SANTA CLARITA,6220018A,2354,39,N,822,TOTAL,253,83,137,
SANTA CLARITA,6220020A,2355,39,N,1358,POLLING PLACE,314,148,128,
SANTA CLARITA,6220020A,2355,39,N,,VBM PORTION,160,73,74,
SANTA CLARITA,6220020A,2355,39,N,1358,TOTAL,474,221,202,
SANTA CLARITA,6220022B,2356,39,N,990,POLLING PLACE,227,89,105,
SANTA CLARITA,6220022B,2356,39,N,,VBM PORTION,109,48,51,
SANTA CLARITA,6220022B,2356,39,N,990,TOTAL,336,137,156,
SANTA CLARITA,6220023A,2357,39,N,580,POLLING PLACE,133,50,73,
SANTA CLARITA,6220023A,2357,39,N,,VBM PORTION,48,8,29,
SANTA CLARITA,6220023A,2357,39,N,580,TOTAL,181,58,102,
SANTA CLARITA,6220023E,6207,36,Y,1,POLLING PLACE,,,,
SANTA CLARITA,6220023E,6207,36,Y,,VBM PORTION,,,,
SANTA CLARITA,6220023E,6207,36,Y,1,TOTAL,,,,
SANTA CLARITA,6220024A,2358,39,N,1359,POLLING PLACE,285,121,115,
SANTA CLARITA,6220024A,2358,39,N,,VBM PORTION,136,57,50,
SANTA CLARITA,6220024A,2358,39,N,1359,TOTAL,421,178,165,
SANTA CLARITA,6220028B,2359,39,N,1279,POLLING PLACE,325,144,143,
SANTA CLARITA,6220028B,2359,39,N,,VBM PORTION,119,44,57,
SANTA CLARITA,6220028B,2359,39,N,1279,TOTAL,444,188,200,
SANTA CLARITA,6220030A,2360,39,N,1144,POLLING PLACE,324,138,134,
SANTA CLARITA,6220030A,2360,39,N,,VBM PORTION,156,56,75,
SANTA CLARITA,6220030A,2360,39,N,1144,TOTAL,480,194,209,
SANTA CLARITA,6220031A,2361,39,N,848,POLLING PLACE,118,52,47,
SANTA CLARITA,6220031A,2361,39,N,,VBM PORTION,34,15,14,
SANTA CLARITA,6220031A,2361,39,N,848,TOTAL,152,67,61,
SANTA CLARITA,6220032A,2362,39,N,1010,POLLING PLACE,239,108,97,
SANTA CLARITA,6220032A,2362,39,N,,VBM PORTION,143,68,61,
SANTA CLARITA,6220032A,2362,39,N,1010,TOTAL,382,176,158,
SANTA CLARITA,6220033A,2363,39,N,692,POLLING PLACE,132,68,54,
SANTA CLARITA,6220033A,2363,39,N,,VBM PORTION,93,39,40,
SANTA CLARITA,6220033A,2363,39,N,692,TOTAL,225,107,94,
SANTA CLARITA,6220034A,2364,39,N,755,POLLING PLACE,148,55,66,
SANTA CLARITA,6220034A,2364,39,N,,VBM PORTION,60,23,25,
SANTA CLARITA,6220034A,2364,39,N,755,TOTAL,208,78,91,
SANTA CLARITA,6220037B,2365,39,N,592,POLLING PLACE,126,49,60,
SANTA CLARITA,6220037B,2365,39,N,,VBM PORTION,49,17,28,
SANTA CLARITA,6220037B,2365,39,N,592,TOTAL,175,66,88,
SANTA CLARITA,6220038A,2366,39,N,1133,POLLING PLACE,245,110,94,
SANTA CLARITA,6220038A,2366,39,N,,VBM PORTION,157,70,65,
SANTA CLARITA,6220038A,2366,39,N,1133,TOTAL,402,180,159,
SANTA CLARITA,6220040A,2367,39,N,1045,POLLING PLACE,207,94,90,
SANTA CLARITA,6220040A,2367,39,N,,VBM PORTION,68,30,31,
SANTA CLARITA,6220040A,2367,39,N,1045,TOTAL,275,124,121,
SANTA CLARITA,6220041A,2368,39,N,1304,POLLING PLACE,289,124,130,
SANTA CLARITA,6220041A,2368,39,N,,VBM PORTION,132,60,57,
SANTA CLARITA,6220041A,2368,39,N,1304,TOTAL,421,184,187,
SANTA CLARITA,6220042A,2369,36,N,1245,POLLING PLACE,224,102,104,
SANTA CLARITA,6220042A,2369,36,N,,VBM PORTION,147,68,61,
SANTA CLARITA,6220042A,2369,36,N,1245,TOTAL,371,170,165,
SANTA CLARITA,6220043A,2370,39,N,1207,POLLING PLACE,266,111,115,
SANTA CLARITA,6220043A,2370,39,N,,VBM PORTION,177,67,84,
SANTA CLARITA,6220043A,2370,39,N,1207,TOTAL,443,178,199,
SANTA CLARITA,6220044A,2371,39,N,961,POLLING PLACE,223,111,82,
SANTA CLARITA,6220044A,2371,39,N,,VBM PORTION,110,63,39,
SANTA CLARITA,6220044A,2371,39,N,961,TOTAL,333,174,121,
SANTA CLARITA,6220046B,2372,39,N,882,POLLING PLACE,109,44,46,
SANTA CLARITA,6220046B,2372,39,N,,VBM PORTION,55,31,20,
SANTA CLARITA,6220046B,2372,39,N,882,TOTAL,164,75,66,
SANTA CLARITA,6220047A,2373,36,N,1050,POLLING PLACE,241,112,107,
SANTA CLARITA,6220047A,2373,36,N,,VBM PORTION,113,44,53,
SANTA CLARITA,6220047A,2373,36,N,1050,TOTAL,354,156,160,
SANTA CLARITA,6220049A,2374,44,N,971,POLLING PLACE,219,86,106,
SANTA CLARITA,6220049A,2374,44,N,,VBM PORTION,95,40,44,
SANTA CLARITA,6220049A,2374,44,N,971,TOTAL,314,126,150,
SANTA CLARITA,6220051A,2375,44,N,950,POLLING PLACE,163,65,75,
SANTA CLARITA,6220051A,2375,44,N,,VBM PORTION,107,40,54,
SANTA CLARITA,6220051A,2375,44,N,950,TOTAL,270,105,129,
SANTA CLARITA,6220052A,2376,44,N,682,POLLING PLACE,188,70,97,
SANTA CLARITA,6220052A,2376,44,N,,VBM PORTION,53,16,30,
SANTA CLARITA,6220052A,2376,44,N,682,TOTAL,241,86,127,
SANTA CLARITA,6220053A,2377,44,N,1056,POLLING PLACE,224,89,110,
SANTA CLARITA,6220053A,2377,44,N,,VBM PORTION,93,43,36,
SANTA CLARITA,6220053A,2377,44,N,1056,TOTAL,317,132,146,
SANTA CLARITA,6220054A,2378,44,N,1030,POLLING PLACE,259,116,124,
SANTA CLARITA,6220054A,2378,44,N,,VBM PORTION,83,41,35,
SANTA CLARITA,6220054A,2378,44,N,1030,TOTAL,342,157,159,
SANTA CLARITA,6220055A,2379,44,N,1163,POLLING PLACE,225,112,93,
SANTA CLARITA,6220055A,2379,44,N,,VBM PORTION,110,39,53,
SANTA CLARITA,6220055A,2379,44,N,1163,TOTAL,335,151,146,
SANTA CLARITA,6220058A,6208,37,Y,228,POLLING PLACE,,,,
SANTA CLARITA,6220058A,6208,37,Y,,VBM PORTION,38,7,21,
SANTA CLARITA,6220058A,6208,37,Y,228,TOTAL,38,7,21,
SANTA CLARITA,6220059E,2380,44,N,1037,POLLING PLACE,224,102,105,
SANTA CLARITA,6220059E,2380,44,N,,VBM PORTION,88,42,33,
SANTA CLARITA,6220059E,2380,44,N,1037,TOTAL,312,144,138,
SANTA CLARITA,6220061A,2381,37,N,1275,POLLING PLACE,326,116,180,
SANTA CLARITA,6220061A,2381,37,N,,VBM PORTION,96,41,45,
SANTA CLARITA,6220061A,2381,37,N,1275,TOTAL,422,157,225,
SANTA CLARITA,6220063A,2382,44,N,1309,POLLING PLACE,236,106,98,
SANTA CLARITA,6220063A,2382,44,N,,VBM PORTION,114,58,43,
SANTA CLARITA,6220063A,2382,44,N,1309,TOTAL,350,164,141,
SANTA CLARITA,6220064B,2383,37,N,635,POLLING PLACE,138,61,60,
SANTA CLARITA,6220064B,2383,37,N,,VBM PORTION,76,29,34,
SANTA CLARITA,6220064B,2383,37,N,635,TOTAL,214,90,94,
SANTA CLARITA,6220065A,2384,37,N,1186,POLLING PLACE,235,101,108,
SANTA CLARITA,6220065A,2384,37,N,,VBM PORTION,103,39,49,
SANTA CLARITA,6220065A,2384,37,N,1186,TOTAL,338,140,157,
SANTA CLARITA,6220067A,2385,37,N,1222,POLLING PLACE,209,86,86,
SANTA CLARITA,6220067A,2385,37,N,,VBM PORTION,106,47,47,
SANTA CLARITA,6220067A,2385,37,N,1222,TOTAL,315,133,133,
SANTA CLARITA,6220069A,2386,37,N,1250,POLLING PLACE,237,121,91,
SANTA CLARITA,6220069A,2386,37,N,,VBM PORTION,66,27,31,
SANTA CLARITA,6220069A,2386,37,N,1250,TOTAL,303,148,122,
SANTA CLARITA,6220071A,2387,36,N,777,POLLING PLACE,160,72,62,
SANTA CLARITA,6220071A,2387,36,N,,VBM PORTION,77,27,39,
SANTA CLARITA,6220071A,2387,36,N,777,TOTAL,237,99,101,
SANTA CLARITA,6220073A,2388,36,N,1045,POLLING PLACE,147,65,67,
SANTA CLARITA,6220073A,2388,36,N,,VBM PORTION,73,35,24,
SANTA CLARITA,6220073A,2388,36,N,1045,TOTAL,220,100,91,
SANTA CLARITA,6220074A,2389,36,N,1143,POLLING PLACE,210,83,94,
SANTA CLARITA,6220074A,2389,36,N,,VBM PORTION,73,31,33,
SANTA CLARITA,6220074A,2389,36,N,1143,TOTAL,283,114,127,
SANTA CLARITA,6220076A,2390,36,N,1382,POLLING PLACE,384,197,137,
SANTA CLARITA,6220076A,2390,36,N,,VBM PORTION,340,139,149,
SANTA CLARITA,6220076A,2390,36,N,1382,TOTAL,724,336,286,
SANTA CLARITA,6220078A,2391,40,N,872,POLLING PLACE,145,51,69,
SANTA CLARITA,6220078A,2391,40,N,,VBM PORTION,59,23,26,
SANTA CLARITA,6220078A,2391,40,N,872,TOTAL,204,74,95,
SANTA CLARITA,6220080A,2392,36,N,1165,POLLING PLACE,219,92,98,
SANTA CLARITA,6220080A,2392,36,N,,VBM PORTION,111,54,40,
SANTA CLARITA,6220080A,2392,36,N,1165,TOTAL,330,146,138,
SANTA CLARITA,6220081A,2393,36,N,1032,POLLING PLACE,194,82,85,
SANTA CLARITA,6220081A,2393,36,N,,VBM PORTION,107,36,55,
SANTA CLARITA,6220081A,2393,36,N,1032,TOTAL,301,118,140,
SANTA CLARITA,6220081C,6209,37,Y,185,POLLING PLACE,,,,
SANTA CLARITA,6220081C,6209,37,Y,,VBM PORTION,34,14,15,
SANTA CLARITA,6220081C,6209,37,Y,185,TOTAL,34,14,15,
SANTA CLARITA,6220083A,2394,36,N,851,POLLING PLACE,82,39,33,
SANTA CLARITA,6220083A,2394,36,N,,VBM PORTION,61,26,27,
SANTA CLARITA,6220083A,2394,36,N,851,TOTAL,143,65,60,
SANTA CLARITA,6220086A,2395,36,N,1245,POLLING PLACE,188,70,87,
SANTA CLARITA,6220086A,2395,36,N,,VBM PORTION,68,24,31,
SANTA CLARITA,6220086A,2395,36,N,1245,TOTAL,256,94,118,
SANTA CLARITA,6220087A,2396,40,N,931,POLLING PLACE,192,93,79,
SANTA CLARITA,6220087A,2396,40,N,,VBM PORTION,121,37,73,
SANTA CLARITA,6220087A,2396,40,N,931,TOTAL,313,130,152,
SANTA CLARITA,6220088A,2397,36,N,849,POLLING PLACE,165,81,70,
SANTA CLARITA,6220088A,2397,36,N,,VBM PORTION,94,35,41,
SANTA CLARITA,6220088A,2397,36,N,849,TOTAL,259,116,111,
SANTA CLARITA,6220090A,2398,36,N,911,POLLING PLACE,218,86,112,
SANTA CLARITA,6220090A,2398,36,N,,VBM PORTION,135,44,78,
SANTA CLARITA,6220090A,2398,36,N,911,TOTAL,353,130,190,
SANTA CLARITA,6220091A,2399,36,N,901,POLLING PLACE,230,93,113,
SANTA CLARITA,6220091A,2399,36,N,,VBM PORTION,83,21,52,
SANTA CLARITA,6220091A,2399,36,N,901,TOTAL,313,114,165,
SANTA CLARITA,6220093A,2400,39,N,970,POLLING PLACE,192,76,88,
SANTA CLARITA,6220093A,2400,39,N,,VBM PORTION,143,65,63,
SANTA CLARITA,6220093A,2400,39,N,970,TOTAL,335,141,151,
SANTA CLARITA,6220094A,2401,37,N,869,POLLING PLACE,125,58,54,
SANTA CLARITA,6220094A,2401,37,N,,VBM PORTION,56,18,25,
SANTA CLARITA,6220094A,2401,37,N,869,TOTAL,181,76,79,
SANTA CLARITA,6220096A,2402,37,N,1248,POLLING PLACE,245,85,128,
SANTA CLARITA,6220096A,2402,37,N,,VBM PORTION,80,31,39,
SANTA CLARITA,6220096A,2402,37,N,1248,TOTAL,325,116,167,
SANTA CLARITA,6220098B,2403,39,N,1320,POLLING PLACE,294,123,127,
SANTA CLARITA,6220098B,2403,39,N,,VBM PORTION,139,61,64,
SANTA CLARITA,6220098B,2403,39,N,1320,TOTAL,433,184,191,
SANTA CLARITA,6220101B,2404,39,N,1164,POLLING PLACE,243,111,108,
SANTA CLARITA,6220101B,2404,39,N,,VBM PORTION,148,47,71,
SANTA CLARITA,6220101B,2404,39,N,1164,TOTAL,391,158,179,
SANTA CLARITA,6220102A,2405,36,N,1240,POLLING PLACE,277,125,118,
SANTA CLARITA,6220102A,2405,36,N,,VBM PORTION,111,50,49,
SANTA CLARITA,6220102A,2405,36,N,1240,TOTAL,388,175,167,
SANTA CLARITA,6220103A,2406,39,N,844,POLLING PLACE,180,80,78,
SANTA CLARITA,6220103A,2406,39,N,,VBM PORTION,154,60,84,
SANTA CLARITA,6220103A,2406,39,N,844,TOTAL,334,140,162,
SANTA CLARITA,6220105A,2407,36,N,828,POLLING PLACE,185,91,79,
SANTA CLARITA,6220105A,2407,36,N,,VBM PORTION,84,37,37,
SANTA CLARITA,6220105A,2407,36,N,828,TOTAL,269,128,116,
SANTA CLARITA,6220106A,2408,36,N,988,POLLING PLACE,237,105,109,
SANTA CLARITA,6220106A,2408,36,N,,VBM PORTION,85,31,47,
SANTA CLARITA,6220106A,2408,36,N,988,TOTAL,322,136,156,
SANTA CLARITA,6220107A,2409,36,N,1316,POLLING PLACE,260,125,106,
