LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ISIDRO ARMENTA,HOLLY J MITCHELL,
LOS ANGELES,9001253A,3645,226,N,,VBM PORTION,142,21,87,
LOS ANGELES,9001253A,3645,226,N,1202,TOTAL,373,75,223,
LOS ANGELES,9001256A,3646,226,N,1459,POLLING PLACE,294,65,165,
LOS ANGELES,9001256A,3646,226,N,,VBM PORTION,159,25,95,
LOS ANGELES,9001256A,3646,226,N,1459,TOTAL,453,90,260,
LOS ANGELES,9001257B,3647,226,N,1097,POLLING PLACE,209,39,125,
LOS ANGELES,9001257B,3647,226,N,,VBM PORTION,118,26,70,
LOS ANGELES,9001257B,3647,226,N,1097,TOTAL,327,65,195,
LOS ANGELES,9001272A,3650,226,N,1287,POLLING PLACE,216,52,122,
LOS ANGELES,9001272A,3650,226,N,,VBM PORTION,115,13,79,
LOS ANGELES,9001272A,3650,226,N,1287,TOTAL,331,65,201,
LOS ANGELES,9001288A,3657,216,N,859,POLLING PLACE,127,34,71,
LOS ANGELES,9001288A,3657,216,N,,VBM PORTION,97,22,58,
LOS ANGELES,9001288A,3657,216,N,859,TOTAL,224,56,129,
LOS ANGELES,9001290A,3658,228,N,1170,POLLING PLACE,316,77,188,
LOS ANGELES,9001290A,3658,228,N,,VBM PORTION,120,20,79,
LOS ANGELES,9001290A,3658,228,N,1170,TOTAL,436,97,267,
LOS ANGELES,9001291A,3659,228,N,1071,POLLING PLACE,159,57,88,
LOS ANGELES,9001291A,3659,228,N,,VBM PORTION,43,12,24,
LOS ANGELES,9001291A,3659,228,N,1071,TOTAL,202,69,112,
LOS ANGELES,9001314A,3668,309,N,1173,POLLING PLACE,127,44,72,
LOS ANGELES,9001314A,3668,309,N,,VBM PORTION,51,17,32,
LOS ANGELES,9001314A,3668,309,N,1173,TOTAL,178,61,104,
LOS ANGELES,9001320A,3671,229,N,501,POLLING PLACE,118,36,75,
LOS ANGELES,9001320A,3671,229,N,,VBM PORTION,57,11,37,
LOS ANGELES,9001320A,3671,229,N,501,TOTAL,175,47,112,
LOS ANGELES,9001325A,3673,311,N,1036,POLLING PLACE,113,53,51,
LOS ANGELES,9001325A,3673,311,N,,VBM PORTION,32,10,19,
LOS ANGELES,9001325A,3673,311,N,1036,TOTAL,145,63,70,
LOS ANGELES,9001348A,3687,216,N,735,POLLING PLACE,83,22,54,
LOS ANGELES,9001348A,3687,216,N,,VBM PORTION,49,11,30,
LOS ANGELES,9001348A,3687,216,N,735,TOTAL,132,33,84,
LOS ANGELES,9001370A,3698,216,N,569,POLLING PLACE,25,9,15,
LOS ANGELES,9001370A,3698,216,N,,VBM PORTION,5,1,4,
LOS ANGELES,9001370A,3698,216,N,569,TOTAL,30,10,19,
LOS ANGELES,9001370B,3699,216,N,741,POLLING PLACE,13,5,5,
LOS ANGELES,9001370B,3699,216,N,,VBM PORTION,3,1,2,
LOS ANGELES,9001370B,3699,216,N,741,TOTAL,16,6,7,
LOS ANGELES,9001381C,3701,234,N,648,POLLING PLACE,127,20,95,
LOS ANGELES,9001381C,3701,234,N,,VBM PORTION,31,4,23,
LOS ANGELES,9001381C,3701,234,N,648,TOTAL,158,24,118,
LOS ANGELES,9001407B,3709,216,N,901,POLLING PLACE,57,11,40,
LOS ANGELES,9001407B,3709,216,N,,VBM PORTION,46,12,26,
LOS ANGELES,9001407B,3709,216,N,901,TOTAL,103,23,66,
LOS ANGELES,9001452A,3733,226,N,1302,POLLING PLACE,351,93,199,
LOS ANGELES,9001452A,3733,226,N,,VBM PORTION,124,21,76,
LOS ANGELES,9001452A,3733,226,N,1302,TOTAL,475,114,275,
LOS ANGELES,9001453A,3734,310,N,786,POLLING PLACE,163,84,65,
LOS ANGELES,9001453A,3734,310,N,,VBM PORTION,16,7,6,
LOS ANGELES,9001453A,3734,310,N,786,TOTAL,179,91,71,
LOS ANGELES,9001454A,3735,226,N,1060,POLLING PLACE,277,43,180,
LOS ANGELES,9001454A,3735,226,N,,VBM PORTION,118,20,78,
LOS ANGELES,9001454A,3735,226,N,1060,TOTAL,395,63,258,
LOS ANGELES,9001455A,3736,228,N,807,POLLING PLACE,202,41,113,
LOS ANGELES,9001455A,3736,228,N,,VBM PORTION,61,16,37,
LOS ANGELES,9001455A,3736,228,N,807,TOTAL,263,57,150,
LOS ANGELES,9001456A,3737,228,N,1268,POLLING PLACE,392,73,235,
LOS ANGELES,9001456A,3737,228,N,,VBM PORTION,118,32,63,
LOS ANGELES,9001456A,3737,228,N,1268,TOTAL,510,105,298,
LOS ANGELES,9001457A,3738,187,N,1245,POLLING PLACE,227,58,124,
LOS ANGELES,9001457A,3738,187,N,,VBM PORTION,127,30,65,
LOS ANGELES,9001457A,3738,187,N,1245,TOTAL,354,88,189,
LOS ANGELES,9001461A,3739,187,N,1005,POLLING PLACE,157,33,90,
LOS ANGELES,9001461A,3739,187,N,,VBM PORTION,44,13,22,
LOS ANGELES,9001461A,3739,187,N,1005,TOTAL,201,46,112,
LOS ANGELES,9001463A,3740,187,N,1109,POLLING PLACE,198,42,105,
LOS ANGELES,9001463A,3740,187,N,,VBM PORTION,97,12,54,
LOS ANGELES,9001463A,3740,187,N,1109,TOTAL,295,54,159,
LOS ANGELES,9001465C,3741,228,N,1239,POLLING PLACE,265,47,163,
LOS ANGELES,9001465C,3741,228,N,,VBM PORTION,149,30,79,
LOS ANGELES,9001465C,3741,228,N,1239,TOTAL,414,77,242,
LOS ANGELES,9001470B,3743,228,N,812,POLLING PLACE,137,62,52,
LOS ANGELES,9001470B,3743,228,N,,VBM PORTION,52,10,38,
LOS ANGELES,9001470B,3743,228,N,812,TOTAL,189,72,90,
LOS ANGELES,9001471A,3744,228,N,848,POLLING PLACE,219,43,131,
LOS ANGELES,9001471A,3744,228,N,,VBM PORTION,89,12,54,
LOS ANGELES,9001471A,3744,228,N,848,TOTAL,308,55,185,
LOS ANGELES,9001472A,3745,228,N,1311,POLLING PLACE,379,79,208,
LOS ANGELES,9001472A,3745,228,N,,VBM PORTION,133,24,86,
LOS ANGELES,9001472A,3745,228,N,1311,TOTAL,512,103,294,
LOS ANGELES,9001474C,3747,228,N,993,POLLING PLACE,252,61,154,
LOS ANGELES,9001474C,3747,228,N,,VBM PORTION,111,10,74,
LOS ANGELES,9001474C,3747,228,N,993,TOTAL,363,71,228,
LOS ANGELES,9001482A,3749,228,N,928,POLLING PLACE,154,41,105,
LOS ANGELES,9001482A,3749,228,N,,VBM PORTION,57,9,35,
LOS ANGELES,9001482A,3749,228,N,928,TOTAL,211,50,140,
LOS ANGELES,9001485A,3752,228,N,1058,POLLING PLACE,159,39,93,
LOS ANGELES,9001485A,3752,228,N,,VBM PORTION,52,10,30,
LOS ANGELES,9001485A,3752,228,N,1058,TOTAL,211,49,123,
LOS ANGELES,9001490A,3755,228,N,1110,POLLING PLACE,173,63,76,
LOS ANGELES,9001490A,3755,228,N,,VBM PORTION,50,12,32,
LOS ANGELES,9001490A,3755,228,N,1110,TOTAL,223,75,108,
LOS ANGELES,9001492A,3756,228,N,1258,POLLING PLACE,235,75,137,
LOS ANGELES,9001492A,3756,228,N,,VBM PORTION,83,12,56,
LOS ANGELES,9001492A,3756,228,N,1258,TOTAL,318,87,193,
LOS ANGELES,9001502A,3758,228,N,706,POLLING PLACE,133,37,81,
LOS ANGELES,9001502A,3758,228,N,,VBM PORTION,41,10,26,
LOS ANGELES,9001502A,3758,228,N,706,TOTAL,174,47,107,
LOS ANGELES,9001514A,3759,228,N,1115,POLLING PLACE,256,77,145,
LOS ANGELES,9001514A,3759,228,N,,VBM PORTION,79,22,40,
LOS ANGELES,9001514A,3759,228,N,1115,TOTAL,335,99,185,
LOS ANGELES,9001516A,3760,228,N,1188,POLLING PLACE,297,73,174,
LOS ANGELES,9001516A,3760,228,N,,VBM PORTION,116,36,49,
LOS ANGELES,9001516A,3760,228,N,1188,TOTAL,413,109,223,
LOS ANGELES,9001522A,3761,228,N,971,POLLING PLACE,166,40,107,
LOS ANGELES,9001522A,3761,228,N,,VBM PORTION,88,13,60,
LOS ANGELES,9001522A,3761,228,N,971,TOTAL,254,53,167,
LOS ANGELES,9001525A,3762,228,N,1183,POLLING PLACE,242,51,137,
LOS ANGELES,9001525A,3762,228,N,,VBM PORTION,112,25,62,
LOS ANGELES,9001525A,3762,228,N,1183,TOTAL,354,76,199,
LOS ANGELES,9001528C,3763,228,N,1377,POLLING PLACE,324,80,191,
LOS ANGELES,9001528C,3763,228,N,,VBM PORTION,132,35,75,
LOS ANGELES,9001528C,3763,228,N,1377,TOTAL,456,115,266,
LOS ANGELES,9001532A,3764,228,N,956,POLLING PLACE,137,43,75,
LOS ANGELES,9001532A,3764,228,N,,VBM PORTION,80,17,55,
LOS ANGELES,9001532A,3764,228,N,956,TOTAL,217,60,130,
LOS ANGELES,9001533A,3765,228,N,677,POLLING PLACE,119,33,70,
LOS ANGELES,9001533A,3765,228,N,,VBM PORTION,43,7,32,
LOS ANGELES,9001533A,3765,228,N,677,TOTAL,162,40,102,
LOS ANGELES,9001535A,3766,228,N,944,POLLING PLACE,146,47,77,
LOS ANGELES,9001535A,3766,228,N,,VBM PORTION,45,7,33,
LOS ANGELES,9001535A,3766,228,N,944,TOTAL,191,54,110,
LOS ANGELES,9001557B,3778,228,N,1144,POLLING PLACE,317,69,164,
LOS ANGELES,9001557B,3778,228,N,,VBM PORTION,117,18,74,
LOS ANGELES,9001557B,3778,228,N,1144,TOTAL,434,87,238,
LOS ANGELES,9001560A,3781,228,N,810,POLLING PLACE,223,57,128,
LOS ANGELES,9001560A,3781,228,N,,VBM PORTION,100,15,63,
LOS ANGELES,9001560A,3781,228,N,810,TOTAL,323,72,191,
LOS ANGELES,9001562A,3782,228,N,1066,POLLING PLACE,310,73,182,
LOS ANGELES,9001562A,3782,228,N,,VBM PORTION,98,21,58,
LOS ANGELES,9001562A,3782,228,N,1066,TOTAL,408,94,240,
LOS ANGELES,9001563A,3783,311,N,978,POLLING PLACE,126,53,57,
LOS ANGELES,9001563A,3783,311,N,,VBM PORTION,10,1,7,
LOS ANGELES,9001563A,3783,311,N,978,TOTAL,136,54,64,
LOS ANGELES,9001564A,3784,228,N,970,POLLING PLACE,256,56,151,
LOS ANGELES,9001564A,3784,228,N,,VBM PORTION,93,17,49,
LOS ANGELES,9001564A,3784,228,N,970,TOTAL,349,73,200,
LOS ANGELES,9001565A,3785,228,N,1262,POLLING PLACE,298,81,176,
LOS ANGELES,9001565A,3785,228,N,,VBM PORTION,73,21,38,
LOS ANGELES,9001565A,3785,228,N,1262,TOTAL,371,102,214,
LOS ANGELES,9001566A,3786,228,N,1261,POLLING PLACE,296,77,190,
LOS ANGELES,9001566A,3786,228,N,,VBM PORTION,100,21,54,
LOS ANGELES,9001566A,3786,228,N,1261,TOTAL,396,98,244,
LOS ANGELES,9001569A,3787,228,N,799,POLLING PLACE,231,55,130,
LOS ANGELES,9001569A,3787,228,N,,VBM PORTION,56,13,30,
LOS ANGELES,9001569A,3787,228,N,799,TOTAL,287,68,160,
LOS ANGELES,9001570A,3788,228,N,771,POLLING PLACE,165,51,89,
LOS ANGELES,9001570A,3788,228,N,,VBM PORTION,73,16,48,
LOS ANGELES,9001570A,3788,228,N,771,TOTAL,238,67,137,
LOS ANGELES,9001582C,3794,309,N,920,POLLING PLACE,93,33,55,
LOS ANGELES,9001582C,3794,309,N,,VBM PORTION,19,5,13,
LOS ANGELES,9001582C,3794,309,N,920,TOTAL,112,38,68,
LOS ANGELES,9001583B,3795,309,N,1126,POLLING PLACE,157,52,92,
LOS ANGELES,9001583B,3795,309,N,,VBM PORTION,20,9,9,
LOS ANGELES,9001583B,3795,309,N,1126,TOTAL,177,61,101,
LOS ANGELES,9001591C,3798,309,N,1047,POLLING PLACE,148,62,74,
LOS ANGELES,9001591C,3798,309,N,,VBM PORTION,20,5,14,
LOS ANGELES,9001591C,3798,309,N,1047,TOTAL,168,67,88,
LOS ANGELES,9001617A,3807,228,N,766,POLLING PLACE,86,44,36,
LOS ANGELES,9001617A,3807,228,N,,VBM PORTION,31,11,17,
LOS ANGELES,9001617A,3807,228,N,766,TOTAL,117,55,53,
LOS ANGELES,9001684A,3826,308,N,1037,POLLING PLACE,130,51,68,
LOS ANGELES,9001684A,3826,308,N,,VBM PORTION,35,12,21,
LOS ANGELES,9001684A,3826,308,N,1037,TOTAL,165,63,89,
LOS ANGELES,9001708A,3836,310,N,377,POLLING PLACE,46,26,11,
LOS ANGELES,9001708A,3836,310,N,,VBM PORTION,6,3,3,
LOS ANGELES,9001708A,3836,310,N,377,TOTAL,52,29,14,
LOS ANGELES,9001708F,3837,311,N,494,POLLING PLACE,78,43,32,
LOS ANGELES,9001708F,3837,311,N,,VBM PORTION,5,3,2,
LOS ANGELES,9001708F,3837,311,N,494,TOTAL,83,46,34,
LOS ANGELES,9001712A,3839,311,N,1046,POLLING PLACE,105,54,42,
LOS ANGELES,9001712A,3839,311,N,,VBM PORTION,34,9,22,
LOS ANGELES,9001712A,3839,311,N,1046,TOTAL,139,63,64,
LOS ANGELES,9001716A,3841,228,N,1164,POLLING PLACE,188,61,115,
LOS ANGELES,9001716A,3841,228,N,,VBM PORTION,44,10,26,
LOS ANGELES,9001716A,3841,228,N,1164,TOTAL,232,71,141,
LOS ANGELES,9001719A,3843,309,N,862,POLLING PLACE,108,32,68,
LOS ANGELES,9001719A,3843,309,N,,VBM PORTION,19,4,13,
LOS ANGELES,9001719A,3843,309,N,862,TOTAL,127,36,81,
LOS ANGELES,9001725A,3845,228,N,671,POLLING PLACE,133,51,70,
LOS ANGELES,9001725A,3845,228,N,,VBM PORTION,33,8,24,
LOS ANGELES,9001725A,3845,228,N,671,TOTAL,166,59,94,
LOS ANGELES,9001729A,3848,228,N,1240,POLLING PLACE,168,52,106,
LOS ANGELES,9001729A,3848,228,N,,VBM PORTION,72,14,42,
LOS ANGELES,9001729A,3848,228,N,1240,TOTAL,240,66,148,
LOS ANGELES,9001730B,3849,228,N,894,POLLING PLACE,187,55,115,
LOS ANGELES,9001730B,3849,228,N,,VBM PORTION,61,15,43,
LOS ANGELES,9001730B,3849,228,N,894,TOTAL,248,70,158,
LOS ANGELES,9001739A,3853,217,N,1154,POLLING PLACE,226,114,79,
LOS ANGELES,9001739A,3853,217,N,,VBM PORTION,34,4,24,
LOS ANGELES,9001739A,3853,217,N,1154,TOTAL,260,118,103,
LOS ANGELES,9001747A,3855,308,N,1094,POLLING PLACE,157,50,93,
LOS ANGELES,9001747A,3855,308,N,,VBM PORTION,35,10,21,
LOS ANGELES,9001747A,3855,308,N,1094,TOTAL,192,60,114,
LOS ANGELES,9001751A,3856,308,N,745,POLLING PLACE,33,9,19,
LOS ANGELES,9001751A,3856,308,N,,VBM PORTION,58,18,24,
LOS ANGELES,9001751A,3856,308,N,745,TOTAL,91,27,43,
LOS ANGELES,9001755A,3858,308,N,1123,POLLING PLACE,177,89,81,
LOS ANGELES,9001755A,3858,308,N,,VBM PORTION,32,14,17,
LOS ANGELES,9001755A,3858,308,N,1123,TOTAL,209,103,98,
LOS ANGELES,9001757A,3859,308,N,657,POLLING PLACE,98,33,57,
LOS ANGELES,9001757A,3859,308,N,,VBM PORTION,16,2,14,
LOS ANGELES,9001757A,3859,308,N,657,TOTAL,114,35,71,
LOS ANGELES,9001762A,3862,308,N,1037,POLLING PLACE,173,62,92,
LOS ANGELES,9001762A,3862,308,N,,VBM PORTION,37,6,29,
LOS ANGELES,9001762A,3862,308,N,1037,TOTAL,210,68,121,
LOS ANGELES,9001764A,3863,228,N,1073,POLLING PLACE,136,39,77,
LOS ANGELES,9001764A,3863,228,N,,VBM PORTION,45,15,27,
LOS ANGELES,9001764A,3863,228,N,1073,TOTAL,181,54,104,
LOS ANGELES,9001765A,3864,228,N,849,POLLING PLACE,131,47,76,
LOS ANGELES,9001765A,3864,228,N,,VBM PORTION,36,11,19,
LOS ANGELES,9001765A,3864,228,N,849,TOTAL,167,58,95,
LOS ANGELES,9001767A,3865,228,N,773,POLLING PLACE,123,44,64,
LOS ANGELES,9001767A,3865,228,N,,VBM PORTION,35,5,27,
LOS ANGELES,9001767A,3865,228,N,773,TOTAL,158,49,91,
LOS ANGELES,9001768A,3866,228,N,1038,POLLING PLACE,120,43,69,
LOS ANGELES,9001768A,3866,228,N,,VBM PORTION,43,12,22,
LOS ANGELES,9001768A,3866,228,N,1038,TOTAL,163,55,91,
LOS ANGELES,9001769C,3867,228,N,986,POLLING PLACE,217,88,110,
LOS ANGELES,9001769C,3867,228,N,,VBM PORTION,28,2,22,
LOS ANGELES,9001769C,3867,228,N,986,TOTAL,245,90,132,
LOS ANGELES,9001770A,3868,228,N,1033,POLLING PLACE,172,71,94,
LOS ANGELES,9001770A,3868,228,N,,VBM PORTION,46,12,28,
LOS ANGELES,9001770A,3868,228,N,1033,TOTAL,218,83,122,
LOS ANGELES,9001776B,3869,228,N,1153,POLLING PLACE,156,50,80,
LOS ANGELES,9001776B,3869,228,N,,VBM PORTION,74,12,53,
LOS ANGELES,9001776B,3869,228,N,1153,TOTAL,230,62,133,
LOS ANGELES,9001777B,3870,228,N,809,POLLING PLACE,150,51,85,
LOS ANGELES,9001777B,3870,228,N,,VBM PORTION,29,9,19,
LOS ANGELES,9001777B,3870,228,N,809,TOTAL,179,60,104,
LOS ANGELES,9001779C,3871,228,N,859,POLLING PLACE,97,32,55,
LOS ANGELES,9001779C,3871,228,N,,VBM PORTION,29,8,18,
LOS ANGELES,9001779C,3871,228,N,859,TOTAL,126,40,73,
LOS ANGELES,9001782A,3874,228,N,859,POLLING PLACE,167,61,93,
LOS ANGELES,9001782A,3874,228,N,,VBM PORTION,32,6,22,
LOS ANGELES,9001782A,3874,228,N,859,TOTAL,199,67,115,
LOS ANGELES,9001782B,3875,228,N,702,POLLING PLACE,80,31,45,
LOS ANGELES,9001782B,3875,228,N,,VBM PORTION,31,10,21,
LOS ANGELES,9001782B,3875,228,N,702,TOTAL,111,41,66,
LOS ANGELES,9001783A,3876,228,N,1135,POLLING PLACE,185,70,104,
LOS ANGELES,9001783A,3876,228,N,,VBM PORTION,45,11,26,
LOS ANGELES,9001783A,3876,228,N,1135,TOTAL,230,81,130,
LOS ANGELES,9001784A,3877,228,N,1152,POLLING PLACE,200,76,115,
LOS ANGELES,9001784A,3877,228,N,,VBM PORTION,41,7,29,
LOS ANGELES,9001784A,3877,228,N,1152,TOTAL,241,83,144,
LOS ANGELES,9001785A,3878,228,N,1147,POLLING PLACE,186,64,112,
LOS ANGELES,9001785A,3878,228,N,,VBM PORTION,32,9,20,
LOS ANGELES,9001785A,3878,228,N,1147,TOTAL,218,73,132,
LOS ANGELES,9001786A,3879,228,N,914,POLLING PLACE,201,63,122,
LOS ANGELES,9001786A,3879,228,N,,VBM PORTION,30,6,19,
LOS ANGELES,9001786A,3879,228,N,914,TOTAL,231,69,141,
LOS ANGELES,9001787A,3880,228,N,922,POLLING PLACE,75,24,47,
LOS ANGELES,9001787A,3880,228,N,,VBM PORTION,47,10,36,
LOS ANGELES,9001787A,3880,228,N,922,TOTAL,122,34,83,
LOS ANGELES,9001799A,3885,358,N,962,POLLING PLACE,118,34,80,
LOS ANGELES,9001799A,3885,358,N,,VBM PORTION,21,10,9,
LOS ANGELES,9001799A,3885,358,N,962,TOTAL,139,44,89,
LOS ANGELES,9001920A,3926,308,N,978,POLLING PLACE,161,69,76,
LOS ANGELES,9001920A,3926,308,N,,VBM PORTION,54,12,37,
LOS ANGELES,9001920A,3926,308,N,978,TOTAL,215,81,113,
LOS ANGELES,9001927A,3929,310,N,1131,POLLING PLACE,99,54,35,
LOS ANGELES,9001927A,3929,310,N,,VBM PORTION,30,10,19,
LOS ANGELES,9001927A,3929,310,N,1131,TOTAL,129,64,54,
LOS ANGELES,9001929A,3931,308,N,760,POLLING PLACE,53,14,23,
LOS ANGELES,9001929A,3931,308,N,,VBM PORTION,4,2,2,
LOS ANGELES,9001929A,3931,308,N,760,TOTAL,57,16,25,
LOS ANGELES,9001930A,3932,310,N,95,POLLING PLACE,9,9,,
LOS ANGELES,9001930A,3932,310,N,,VBM PORTION,7,2,4,
LOS ANGELES,9001930A,3932,310,N,95,TOTAL,16,11,4,
LOS ANGELES,9001932B,3934,310,N,1073,POLLING PLACE,156,89,59,
LOS ANGELES,9001932B,3934,310,N,,VBM PORTION,23,14,8,
LOS ANGELES,9001932B,3934,310,N,1073,TOTAL,179,103,67,
LOS ANGELES,9001941A,3937,310,N,861,POLLING PLACE,94,47,39,
LOS ANGELES,9001941A,3937,310,N,,VBM PORTION,14,7,6,
LOS ANGELES,9001941A,3937,310,N,861,TOTAL,108,54,45,
LOS ANGELES,9001942A,3938,308,N,491,POLLING PLACE,20,6,12,
LOS ANGELES,9001942A,3938,308,N,,VBM PORTION,1,1,,
LOS ANGELES,9001942A,3938,308,N,491,TOTAL,21,7,12,
LOS ANGELES,9001943A,3939,310,N,933,POLLING PLACE,155,84,54,
LOS ANGELES,9001943A,3939,310,N,,VBM PORTION,39,20,15,
LOS ANGELES,9001943A,3939,310,N,933,TOTAL,194,104,69,
LOS ANGELES,9001950A,3940,308,N,573,POLLING PLACE,18,6,10,
LOS ANGELES,9001950A,3940,308,N,,VBM PORTION,7,2,5,
LOS ANGELES,9001950A,3940,308,N,573,TOTAL,25,8,15,
LOS ANGELES,9001956A,3942,308,N,778,POLLING PLACE,76,25,46,
LOS ANGELES,9001956A,3942,308,N,,VBM PORTION,24,7,14,
LOS ANGELES,9001956A,3942,308,N,778,TOTAL,100,32,60,
LOS ANGELES,9001957A,3943,358,N,379,POLLING PLACE,46,10,29,
LOS ANGELES,9001957A,3943,358,N,,VBM PORTION,6,,6,
LOS ANGELES,9001957A,3943,358,N,379,TOTAL,52,10,35,
LOS ANGELES,9001959A,3944,312,N,497,POLLING PLACE,62,11,48,
LOS ANGELES,9001959A,3944,312,N,,VBM PORTION,14,3,11,
LOS ANGELES,9001959A,3944,312,N,497,TOTAL,76,14,59,
LOS ANGELES,9001961A,3945,309,N,1003,POLLING PLACE,126,54,50,
LOS ANGELES,9001961A,3945,309,N,,VBM PORTION,26,11,11,
LOS ANGELES,9001961A,3945,309,N,1003,TOTAL,152,65,61,
LOS ANGELES,9001961F,3946,309,N,633,POLLING PLACE,107,43,55,
LOS ANGELES,9001961F,3946,309,N,,VBM PORTION,18,6,11,
LOS ANGELES,9001961F,3946,309,N,633,TOTAL,125,49,66,
LOS ANGELES,9001964A,3947,358,N,977,POLLING PLACE,118,33,80,
LOS ANGELES,9001964A,3947,358,N,,VBM PORTION,21,10,10,
LOS ANGELES,9001964A,3947,358,N,977,TOTAL,139,43,90,
LOS ANGELES,9001966A,3948,311,N,1156,POLLING PLACE,122,76,38,
LOS ANGELES,9001966A,3948,311,N,,VBM PORTION,28,15,10,
LOS ANGELES,9001966A,3948,311,N,1156,TOTAL,150,91,48,
LOS ANGELES,9001966B,3949,311,N,970,POLLING PLACE,142,84,52,
LOS ANGELES,9001966B,3949,311,N,,VBM PORTION,18,2,14,
LOS ANGELES,9001966B,3949,311,N,970,TOTAL,160,86,66,
LOS ANGELES,9001969B,6289,358,Y,3,POLLING PLACE,,,,
LOS ANGELES,9001969B,6289,358,Y,,VBM PORTION,,,,
LOS ANGELES,9001969B,6289,358,Y,3,TOTAL,,,,
LOS ANGELES,9001974A,3950,309,N,1018,POLLING PLACE,122,50,61,
LOS ANGELES,9001974A,3950,309,N,,VBM PORTION,26,12,10,
LOS ANGELES,9001974A,3950,309,N,1018,TOTAL,148,62,71,
LOS ANGELES,9001984B,3952,228,N,998,POLLING PLACE,193,66,98,
LOS ANGELES,9001984B,3952,228,N,,VBM PORTION,35,11,15,
LOS ANGELES,9001984B,3952,228,N,998,TOTAL,228,77,113,
LOS ANGELES,9001985A,3953,228,N,1036,POLLING PLACE,196,71,100,
LOS ANGELES,9001985A,3953,228,N,,VBM PORTION,45,14,24,
LOS ANGELES,9001985A,3953,228,N,1036,TOTAL,241,85,124,
LOS ANGELES,9002005A,3961,311,N,755,POLLING PLACE,87,47,29,
LOS ANGELES,9002005A,3961,311,N,,VBM PORTION,21,5,15,
LOS ANGELES,9002005A,3961,311,N,755,TOTAL,108,52,44,
LOS ANGELES,9002009A,3962,228,N,828,POLLING PLACE,118,43,62,
LOS ANGELES,9002009A,3962,228,N,,VBM PORTION,55,17,29,
LOS ANGELES,9002009A,3962,228,N,828,TOTAL,173,60,91,
LOS ANGELES,9002010A,3963,311,N,1107,POLLING PLACE,105,52,41,
LOS ANGELES,9002010A,3963,311,N,,VBM PORTION,20,7,10,
LOS ANGELES,9002010A,3963,311,N,1107,TOTAL,125,59,51,
LOS ANGELES,9002021A,3966,309,N,985,POLLING PLACE,128,45,75,
LOS ANGELES,9002021A,3966,309,N,,VBM PORTION,27,10,15,
LOS ANGELES,9002021A,3966,309,N,985,TOTAL,155,55,90,
LOS ANGELES,9002021B,3967,309,N,1050,POLLING PLACE,120,39,77,
LOS ANGELES,9002021B,3967,309,N,,VBM PORTION,27,8,18,
LOS ANGELES,9002021B,3967,309,N,1050,TOTAL,147,47,95,
LOS ANGELES,9002022A,3968,309,N,1138,POLLING PLACE,113,32,76,
LOS ANGELES,9002022A,3968,309,N,,VBM PORTION,27,2,23,
LOS ANGELES,9002022A,3968,309,N,1138,TOTAL,140,34,99,
LOS ANGELES,9002024A,3969,309,N,885,POLLING PLACE,98,41,54,
LOS ANGELES,9002024A,3969,309,N,,VBM PORTION,12,3,9,
LOS ANGELES,9002024A,3969,309,N,885,TOTAL,110,44,63,
LOS ANGELES,9002027A,3970,311,N,1156,POLLING PLACE,167,71,76,
LOS ANGELES,9002027A,3970,311,N,,VBM PORTION,22,7,10,
LOS ANGELES,9002027A,3970,311,N,1156,TOTAL,189,78,86,
LOS ANGELES,9002033B,3972,311,N,921,POLLING PLACE,93,53,34,
LOS ANGELES,9002033B,3972,311,N,,VBM PORTION,14,6,8,
LOS ANGELES,9002033B,3972,311,N,921,TOTAL,107,59,42,
LOS ANGELES,9002036A,3973,308,N,918,POLLING PLACE,100,35,54,
LOS ANGELES,9002036A,3973,308,N,,VBM PORTION,22,5,16,
LOS ANGELES,9002036A,3973,308,N,918,TOTAL,122,40,70,
LOS ANGELES,9002037A,3974,311,N,1016,POLLING PLACE,122,70,44,
LOS ANGELES,9002037A,3974,311,N,,VBM PORTION,26,10,12,
LOS ANGELES,9002037A,3974,311,N,1016,TOTAL,148,80,56,
LOS ANGELES,9002039A,3975,311,N,1063,POLLING PLACE,114,65,36,
LOS ANGELES,9002039A,3975,311,N,,VBM PORTION,32,9,18,
LOS ANGELES,9002039A,3975,311,N,1063,TOTAL,146,74,54,
LOS ANGELES,9002042A,3976,311,N,1035,POLLING PLACE,150,63,71,
LOS ANGELES,9002042A,3976,311,N,,VBM PORTION,29,8,17,
LOS ANGELES,9002042A,3976,311,N,1035,TOTAL,179,71,88,
LOS ANGELES,9002043A,3977,311,N,1123,POLLING PLACE,161,57,86,
LOS ANGELES,9002043A,3977,311,N,,VBM PORTION,21,7,12,
LOS ANGELES,9002043A,3977,311,N,1123,TOTAL,182,64,98,
LOS ANGELES,9002047A,3979,312,N,803,POLLING PLACE,70,23,41,
LOS ANGELES,9002047A,3979,312,N,,VBM PORTION,16,4,12,
LOS ANGELES,9002047A,3979,312,N,803,TOTAL,86,27,53,
LOS ANGELES,9002047B,3980,312,N,767,POLLING PLACE,69,28,39,
LOS ANGELES,9002047B,3980,312,N,,VBM PORTION,21,5,14,
LOS ANGELES,9002047B,3980,312,N,767,TOTAL,90,33,53,
LOS ANGELES,9002050A,3982,311,N,1192,POLLING PLACE,128,49,72,
