LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,MIGUEL SANTIAGO,SANDRA MENDOZA,
LOS ANGELES,9002638A,4244,211,N,588,TOTAL,112,67,36,
LOS ANGELES,9002719B,4262,214,N,1028,POLLING PLACE,183,89,73,
LOS ANGELES,9002719B,4262,214,N,,VBM PORTION,18,8,6,
LOS ANGELES,9002719B,4262,214,N,1028,TOTAL,201,97,79,
LOS ANGELES,9002829A,6329,216,Y,42,POLLING PLACE,,,,
LOS ANGELES,9002829A,6329,216,Y,,VBM PORTION,3,,,
LOS ANGELES,9002829A,6329,216,Y,42,TOTAL,3,,,
LOS ANGELES,9002835A,4283,214,N,913,POLLING PLACE,106,65,27,
LOS ANGELES,9002835A,4283,214,N,,VBM PORTION,51,28,11,
LOS ANGELES,9002835A,4283,214,N,913,TOTAL,157,93,38,
LOS ANGELES,9002839A,4284,214,N,389,POLLING PLACE,29,16,12,
LOS ANGELES,9002839A,4284,214,N,,VBM PORTION,30,21,6,
LOS ANGELES,9002839A,4284,214,N,389,TOTAL,59,37,18,
LOS ANGELES,9002880A,6335,218,Y,,POLLING PLACE,,,,
LOS ANGELES,9002880A,6335,218,Y,,VBM PORTION,,,,
LOS ANGELES,9002880A,6335,218,Y,,TOTAL,,,,
LOS ANGELES,9002952A,4306,214,N,1157,POLLING PLACE,159,107,38,
LOS ANGELES,9002952A,4306,214,N,,VBM PORTION,63,37,17,
LOS ANGELES,9002952A,4306,214,N,1157,TOTAL,222,144,55,
LOS ANGELES,9003184A,4324,214,N,1205,POLLING PLACE,177,97,59,
LOS ANGELES,9003184A,4324,214,N,,VBM PORTION,60,40,16,
LOS ANGELES,9003184A,4324,214,N,1205,TOTAL,237,137,75,
LOS ANGELES,9003185A,4325,214,N,931,POLLING PLACE,215,106,52,
LOS ANGELES,9003185A,4325,214,N,,VBM PORTION,86,45,28,
LOS ANGELES,9003185A,4325,214,N,931,TOTAL,301,151,80,
LOS ANGELES,9003309A,4340,214,N,719,POLLING PLACE,108,63,34,
LOS ANGELES,9003309A,4340,214,N,,VBM PORTION,32,17,15,
LOS ANGELES,9003309A,4340,214,N,719,TOTAL,140,80,49,
LOS ANGELES,9003763A,4366,214,N,996,POLLING PLACE,93,48,32,
LOS ANGELES,9003763A,4366,214,N,,VBM PORTION,94,58,24,
LOS ANGELES,9003763A,4366,214,N,996,TOTAL,187,106,56,
LOS ANGELES,9003886A,4369,216,N,547,POLLING PLACE,33,19,12,
LOS ANGELES,9003886A,4369,216,N,,VBM PORTION,30,19,9,
LOS ANGELES,9003886A,4369,216,N,547,TOTAL,63,38,21,
LOS ANGELES,9003895A,4371,214,N,1213,POLLING PLACE,169,87,58,
LOS ANGELES,9003895A,4371,214,N,,VBM PORTION,68,36,15,
LOS ANGELES,9003895A,4371,214,N,1213,TOTAL,237,123,73,
LOS ANGELES,9003922A,4373,216,N,773,POLLING PLACE,12,8,3,
LOS ANGELES,9003922A,4373,216,N,,VBM PORTION,11,7,4,
LOS ANGELES,9003922A,4373,216,N,773,TOTAL,23,15,7,
LOS ANGELES,9003922B,4374,216,N,360,POLLING PLACE,15,8,5,
LOS ANGELES,9003922B,4374,216,N,,VBM PORTION,13,6,6,
LOS ANGELES,9003922B,4374,216,N,360,TOTAL,28,14,11,
LOS ANGELES,9003951B,4376,216,N,810,POLLING PLACE,93,53,27,
LOS ANGELES,9003951B,4376,216,N,,VBM PORTION,49,28,12,
LOS ANGELES,9003951B,4376,216,N,810,TOTAL,142,81,39,
LOS ANGELES,9003952A,4377,214,N,884,POLLING PLACE,123,83,32,
LOS ANGELES,9003952A,4377,214,N,,VBM PORTION,45,21,21,
LOS ANGELES,9003952A,4377,214,N,884,TOTAL,168,104,53,
LOS ANGELES,9004120B,4384,214,N,486,POLLING PLACE,62,38,19,
LOS ANGELES,9004120B,4384,214,N,,VBM PORTION,6,4,2,
LOS ANGELES,9004120B,4384,214,N,486,TOTAL,68,42,21,
LOS ANGELES,9004230A,4395,212,N,722,POLLING PLACE,191,98,39,
LOS ANGELES,9004230A,4395,212,N,,VBM PORTION,64,37,12,
LOS ANGELES,9004230A,4395,212,N,722,TOTAL,255,135,51,
LOS ANGELES,9005003A,4403,214,N,815,POLLING PLACE,80,30,26,
LOS ANGELES,9005003A,4403,214,N,,VBM PORTION,96,52,12,
LOS ANGELES,9005003A,4403,214,N,815,TOTAL,176,82,38,
LOS ANGELES,9005006A,4404,214,N,1007,POLLING PLACE,208,111,52,
LOS ANGELES,9005006A,4404,214,N,,VBM PORTION,87,53,18,
LOS ANGELES,9005006A,4404,214,N,1007,TOTAL,295,164,70,
LOS ANGELES,9005007B,4405,214,N,1038,POLLING PLACE,161,100,45,
LOS ANGELES,9005007B,4405,214,N,,VBM PORTION,52,27,15,
LOS ANGELES,9005007B,4405,214,N,1038,TOTAL,213,127,60,
LOS ANGELES,9005012A,4406,214,N,1023,POLLING PLACE,121,73,30,
LOS ANGELES,9005012A,4406,214,N,,VBM PORTION,81,46,21,
LOS ANGELES,9005012A,4406,214,N,1023,TOTAL,202,119,51,
LOS ANGELES,9005014A,4407,214,N,1169,POLLING PLACE,163,92,50,
LOS ANGELES,9005014A,4407,214,N,,VBM PORTION,69,31,25,
LOS ANGELES,9005014A,4407,214,N,1169,TOTAL,232,123,75,
LOS ANGELES,9005016A,4408,214,N,1271,POLLING PLACE,139,80,42,
LOS ANGELES,9005016A,4408,214,N,,VBM PORTION,118,72,26,
LOS ANGELES,9005016A,4408,214,N,1271,TOTAL,257,152,68,
LOS ANGELES,9005022A,4409,216,N,1298,POLLING PLACE,207,120,55,
LOS ANGELES,9005022A,4409,216,N,,VBM PORTION,123,58,44,
LOS ANGELES,9005022A,4409,216,N,1298,TOTAL,330,178,99,
LOS ANGELES,9005400A,4450,214,N,1218,POLLING PLACE,194,107,69,
LOS ANGELES,9005400A,4450,214,N,,VBM PORTION,64,28,24,
LOS ANGELES,9005400A,4450,214,N,1218,TOTAL,258,135,93,
LOS ANGELES,9005401A,4451,214,N,1025,POLLING PLACE,136,85,41,
LOS ANGELES,9005401A,4451,214,N,,VBM PORTION,42,20,12,
LOS ANGELES,9005401A,4451,214,N,1025,TOTAL,178,105,53,
LOS ANGELES,9005405A,4452,214,N,507,POLLING PLACE,94,57,31,
LOS ANGELES,9005405A,4452,214,N,,VBM PORTION,22,11,8,
LOS ANGELES,9005405A,4452,214,N,507,TOTAL,116,68,39,
LOS ANGELES,9005769B,4476,214,N,1131,POLLING PLACE,138,80,38,
LOS ANGELES,9005769B,4476,214,N,,VBM PORTION,69,48,13,
LOS ANGELES,9005769B,4476,214,N,1131,TOTAL,207,128,51,
LOS ANGELES,9007015A,4610,216,N,893,POLLING PLACE,86,35,38,
LOS ANGELES,9007015A,4610,216,N,,VBM PORTION,34,17,14,
LOS ANGELES,9007015A,4610,216,N,893,TOTAL,120,52,52,
LOS ANGELES,9007016A,4611,214,N,1388,POLLING PLACE,189,114,44,
LOS ANGELES,9007016A,4611,214,N,,VBM PORTION,140,82,24,
LOS ANGELES,9007016A,4611,214,N,1388,TOTAL,329,196,68,
LOS ANGELES,9007107A,4613,214,N,929,POLLING PLACE,119,66,36,
LOS ANGELES,9007107A,4613,214,N,,VBM PORTION,50,31,9,
LOS ANGELES,9007107A,4613,214,N,929,TOTAL,169,97,45,
LOS ANGELES,9007114A,4614,214,N,977,POLLING PLACE,190,101,80,
LOS ANGELES,9007114A,4614,214,N,,VBM PORTION,23,9,10,
LOS ANGELES,9007114A,4614,214,N,977,TOTAL,213,110,90,
BALLOT GROUP 210,9990210A,8210,210,N,,POLLING PLACE,,,,
BALLOT GROUP 210,9990210A,8210,210,N,,VBM PORTION,,,,
BALLOT GROUP 210,9990210A,8210,210,N,,TOTAL,,,,
BALLOT GROUP 211,9990211A,8211,211,N,,POLLING PLACE,,,,
BALLOT GROUP 211,9990211A,8211,211,N,,VBM PORTION,,,,
BALLOT GROUP 211,9990211A,8211,211,N,,TOTAL,,,,
BALLOT GROUP 212,9990212A,8212,212,N,,POLLING PLACE,,,,
BALLOT GROUP 212,9990212A,8212,212,N,,VBM PORTION,,,,
BALLOT GROUP 212,9990212A,8212,212,N,,TOTAL,,,,
BALLOT GROUP 213,9990213A,8213,213,N,,POLLING PLACE,,,,
BALLOT GROUP 213,9990213A,8213,213,N,,VBM PORTION,,,,
BALLOT GROUP 213,9990213A,8213,213,N,,TOTAL,,,,
BALLOT GROUP 214,9990214A,8214,214,N,,POLLING PLACE,,,,
BALLOT GROUP 214,9990214A,8214,214,N,,VBM PORTION,,,,
BALLOT GROUP 214,9990214A,8214,214,N,,TOTAL,,,,
BALLOT GROUP 215,9990215A,8215,215,N,,POLLING PLACE,,,,
BALLOT GROUP 215,9990215A,8215,215,N,,VBM PORTION,,,,
BALLOT GROUP 215,9990215A,8215,215,N,,TOTAL,,,,
BALLOT GROUP 216,9990216A,8216,216,N,,POLLING PLACE,,,,
BALLOT GROUP 216,9990216A,8216,216,N,,VBM PORTION,,,,
BALLOT GROUP 216,9990216A,8216,216,N,,TOTAL,,,,
BALLOT GROUP 217,9990217A,8217,217,N,,POLLING PLACE,,,,
BALLOT GROUP 217,9990217A,8217,217,N,,VBM PORTION,,,,
BALLOT GROUP 217,9990217A,8217,217,N,,TOTAL,,,,
BALLOT GROUP 218,9990218A,8218,218,N,,POLLING PLACE,,,,
BALLOT GROUP 218,9990218A,8218,218,N,,VBM PORTION,,,,
BALLOT GROUP 218,9990218A,8218,218,N,,TOTAL,,,,
BALLOT GROUP 219,9990219A,8219,219,N,,POLLING PLACE,,,,
BALLOT GROUP 219,9990219A,8219,219,N,,VBM PORTION,,,,
BALLOT GROUP 219,9990219A,8219,219,N,,TOTAL,,,,
