LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,TED J GROSE,AUTUMN BURKE,
LAWNDALE,3650001A,1380,335,N,1021,POLLING PLACE,144,42,92,
LAWNDALE,3650001A,1380,335,N,,VBM PORTION,55,14,38,
LAWNDALE,3650001A,1380,335,N,1021,TOTAL,199,56,130,
LAWNDALE,3650002A,1381,335,N,1020,POLLING PLACE,133,45,83,
LAWNDALE,3650002A,1381,335,N,,VBM PORTION,48,17,23,
LAWNDALE,3650002A,1381,335,N,1020,TOTAL,181,62,106,
LAWNDALE,3650004A,1382,335,N,935,POLLING PLACE,122,35,82,
LAWNDALE,3650004A,1382,335,N,,VBM PORTION,42,15,21,
LAWNDALE,3650004A,1382,335,N,935,TOTAL,164,50,103,
LAWNDALE,3650005A,1383,335,N,977,POLLING PLACE,169,27,133,
LAWNDALE,3650005A,1383,335,N,,VBM PORTION,29,4,22,
LAWNDALE,3650005A,1383,335,N,977,TOTAL,198,31,155,
LAWNDALE,3650006A,1384,335,N,1009,POLLING PLACE,175,54,106,
LAWNDALE,3650006A,1384,335,N,,VBM PORTION,34,20,13,
LAWNDALE,3650006A,1384,335,N,1009,TOTAL,209,74,119,
LAWNDALE,3650007A,1385,335,N,1033,POLLING PLACE,133,33,90,
LAWNDALE,3650007A,1385,335,N,,VBM PORTION,73,26,43,
LAWNDALE,3650007A,1385,335,N,1033,TOTAL,206,59,133,
LAWNDALE,3650009A,1386,335,N,873,POLLING PLACE,131,34,91,
LAWNDALE,3650009A,1386,335,N,,VBM PORTION,39,16,19,
LAWNDALE,3650009A,1386,335,N,873,TOTAL,170,50,110,
LAWNDALE,3650011A,1387,335,N,811,POLLING PLACE,132,36,90,
LAWNDALE,3650011A,1387,335,N,,VBM PORTION,39,11,27,
LAWNDALE,3650011A,1387,335,N,811,TOTAL,171,47,117,
LAWNDALE,3650012A,1388,335,N,908,POLLING PLACE,165,57,98,
LAWNDALE,3650012A,1388,335,N,,VBM PORTION,36,13,21,
LAWNDALE,3650012A,1388,335,N,908,TOTAL,201,70,119,
LAWNDALE,3650013A,1389,335,N,974,POLLING PLACE,122,43,74,
LAWNDALE,3650013A,1389,335,N,,VBM PORTION,28,17,10,
LAWNDALE,3650013A,1389,335,N,974,TOTAL,150,60,84,
LAWNDALE,3650014A,1390,335,N,898,POLLING PLACE,129,54,71,
LAWNDALE,3650014A,1390,335,N,,VBM PORTION,38,15,18,
LAWNDALE,3650014A,1390,335,N,898,TOTAL,167,69,89,
LAWNDALE,3650015A,1391,335,N,1179,POLLING PLACE,177,61,108,
LAWNDALE,3650015A,1391,335,N,,VBM PORTION,50,14,33,
LAWNDALE,3650015A,1391,335,N,1179,TOTAL,227,75,141,
LAWNDALE,3650018A,1392,335,N,967,POLLING PLACE,148,45,93,
LAWNDALE,3650018A,1392,335,N,,VBM PORTION,39,14,23,
LAWNDALE,3650018A,1392,335,N,967,TOTAL,187,59,116,
LENNOX,3670001A,1393,338,N,396,POLLING PLACE,72,10,52,
LENNOX,3670001A,1393,338,N,,VBM PORTION,8,5,3,
LENNOX,3670001A,1393,338,N,396,TOTAL,80,15,55,
LENNOX,3670005A,1394,337,N,1123,POLLING PLACE,150,28,112,
LENNOX,3670005A,1394,337,N,,VBM PORTION,26,9,15,
LENNOX,3670005A,1394,337,N,1123,TOTAL,176,37,127,
LENNOX,3670007A,1395,337,N,1115,POLLING PLACE,144,20,113,
LENNOX,3670007A,1395,337,N,,VBM PORTION,15,4,10,
LENNOX,3670007A,1395,337,N,1115,TOTAL,159,24,123,
LENNOX,3670030A,1396,337,N,572,POLLING PLACE,74,10,61,
LENNOX,3670030A,1396,337,N,,VBM PORTION,13,6,5,
LENNOX,3670030A,1396,337,N,572,TOTAL,87,16,66,
LENNOX,3670031A,1397,337,N,932,POLLING PLACE,139,18,114,
LENNOX,3670031A,1397,337,N,,VBM PORTION,29,3,24,
LENNOX,3670031A,1397,337,N,932,TOTAL,168,21,138,
LENNOX,3670032A,1398,338,N,932,POLLING PLACE,125,22,90,
LENNOX,3670032A,1398,338,N,,VBM PORTION,17,2,13,
LENNOX,3670032A,1398,338,N,932,TOTAL,142,24,103,
LENNOX,3670033A,1399,337,N,980,POLLING PLACE,108,12,88,
LENNOX,3670033A,1399,337,N,,VBM PORTION,13,2,11,
LENNOX,3670033A,1399,337,N,980,TOTAL,121,14,99,
MARINA DEL REY,4150041A,1739,323,N,508,POLLING PLACE,76,12,60,
MARINA DEL REY,4150041A,1739,323,N,,VBM PORTION,38,16,21,
MARINA DEL REY,4150041A,1739,323,N,508,TOTAL,114,28,81,
MARINA DEL REY,4150045A,1740,323,N,1206,POLLING PLACE,246,71,151,
MARINA DEL REY,4150045A,1740,323,N,,VBM PORTION,102,37,53,
MARINA DEL REY,4150045A,1740,323,N,1206,TOTAL,348,108,204,
MARINA DEL REY,4150048A,1741,323,N,899,POLLING PLACE,142,36,89,
MARINA DEL REY,4150048A,1741,323,N,,VBM PORTION,52,19,32,
MARINA DEL REY,4150048A,1741,323,N,899,TOTAL,194,55,121,
MARINA DEL REY,4150050A,1742,323,N,723,POLLING PLACE,144,30,111,
MARINA DEL REY,4150050A,1742,323,N,,VBM PORTION,48,16,28,
MARINA DEL REY,4150050A,1742,323,N,723,TOTAL,192,46,139,
MARINA DEL REY,4150051A,1743,323,N,427,POLLING PLACE,36,14,21,
MARINA DEL REY,4150051A,1743,323,N,,VBM PORTION,34,15,17,
MARINA DEL REY,4150051A,1743,323,N,427,TOTAL,70,29,38,
MARINA DEL REY,4150053A,1744,323,N,1237,POLLING PLACE,298,101,179,
MARINA DEL REY,4150053A,1744,323,N,,VBM PORTION,110,52,49,
MARINA DEL REY,4150053A,1744,323,N,1237,TOTAL,408,153,228,
WEST ATHENS,7670004A,2796,333,N,1057,POLLING PLACE,148,6,130,
WEST ATHENS,7670004A,2796,333,N,,VBM PORTION,21,2,17,
WEST ATHENS,7670004A,2796,333,N,1057,TOTAL,169,8,147,
WEST ATHENS,7670005A,2797,333,N,775,POLLING PLACE,108,12,86,
WEST ATHENS,7670005A,2797,333,N,,VBM PORTION,24,,23,
WEST ATHENS,7670005A,2797,333,N,775,TOTAL,132,12,109,
WEST ATHENS,7670006A,2798,333,N,1068,POLLING PLACE,226,12,202,
WEST ATHENS,7670006A,2798,333,N,,VBM PORTION,71,5,61,
WEST ATHENS,7670006A,2798,333,N,1068,TOTAL,297,17,263,
WEST ATHENS,7670007A,2799,333,N,788,POLLING PLACE,120,7,106,
WEST ATHENS,7670007A,2799,333,N,,VBM PORTION,29,3,24,
WEST ATHENS,7670007A,2799,333,N,788,TOTAL,149,10,130,
WEST ATHENS,7670010A,2802,333,N,1022,POLLING PLACE,143,5,133,
WEST ATHENS,7670010A,2802,333,N,,VBM PORTION,40,2,36,
WEST ATHENS,7670010A,2802,333,N,1022,TOTAL,183,7,169,
WEST ATHENS,7670011A,2803,333,N,722,POLLING PLACE,162,2,150,
WEST ATHENS,7670011A,2803,333,N,,VBM PORTION,30,,29,
WEST ATHENS,7670011A,2803,333,N,722,TOTAL,192,2,179,
WEST ATHENS,7670012B,2804,333,N,1097,POLLING PLACE,182,7,164,
WEST ATHENS,7670012B,2804,333,N,,VBM PORTION,56,3,50,
WEST ATHENS,7670012B,2804,333,N,1097,TOTAL,238,10,214,
WEST ATHENS,7670013A,2805,333,N,809,POLLING PLACE,173,6,157,
WEST ATHENS,7670013A,2805,333,N,,VBM PORTION,40,1,36,
WEST ATHENS,7670013A,2805,333,N,809,TOTAL,213,7,193,
WEST ATHENS,7670014A,2806,333,N,871,POLLING PLACE,65,2,62,
WEST ATHENS,7670014A,2806,333,N,,VBM PORTION,15,3,11,
WEST ATHENS,7670014A,2806,333,N,871,TOTAL,80,5,73,
WEST ATHENS,7670015A,2807,339,N,708,POLLING PLACE,110,7,96,
WEST ATHENS,7670015A,2807,339,N,,VBM PORTION,22,1,18,
WEST ATHENS,7670015A,2807,339,N,708,TOTAL,132,8,114,
WEST ATHENS,7670016A,2808,333,N,885,POLLING PLACE,119,7,106,
WEST ATHENS,7670016A,2808,333,N,,VBM PORTION,11,1,10,
WEST ATHENS,7670016A,2808,333,N,885,TOTAL,130,8,116,
WEST ATHENS,7670017A,2809,339,N,948,POLLING PLACE,97,8,82,
WEST ATHENS,7670017A,2809,339,N,,VBM PORTION,18,1,15,
WEST ATHENS,7670017A,2809,339,N,948,TOTAL,115,9,97,
WEST ATHENS,7670018A,2810,339,N,842,POLLING PLACE,168,7,153,
WEST ATHENS,7670018A,2810,339,N,,VBM PORTION,31,1,26,
WEST ATHENS,7670018A,2810,339,N,842,TOTAL,199,8,179,
WEST ATHENS,7670019A,2811,339,N,748,POLLING PLACE,135,7,125,
WEST ATHENS,7670019A,2811,339,N,,VBM PORTION,20,1,17,
WEST ATHENS,7670019A,2811,339,N,748,TOTAL,155,8,142,
WEST ATHENS,7670020A,2812,339,N,916,POLLING PLACE,238,10,211,
WEST ATHENS,7670020A,2812,339,N,,VBM PORTION,56,4,50,
WEST ATHENS,7670020A,2812,339,N,916,TOTAL,294,14,261,
WEST ATHENS,7670021A,2813,339,N,801,POLLING PLACE,197,4,190,
WEST ATHENS,7670021A,2813,339,N,,VBM PORTION,59,6,47,
WEST ATHENS,7670021A,2813,339,N,801,TOTAL,256,10,237,
WEST ATHENS,7670022A,2814,333,N,966,POLLING PLACE,112,10,97,
WEST ATHENS,7670022A,2814,333,N,,VBM PORTION,16,2,13,
WEST ATHENS,7670022A,2814,333,N,966,TOTAL,128,12,110,
WEST ATHENS,7670023A,2815,333,N,899,POLLING PLACE,187,10,158,
WEST ATHENS,7670023A,2815,333,N,,VBM PORTION,27,1,26,
WEST ATHENS,7670023A,2815,333,N,899,TOTAL,214,11,184,
WEST ATHENS,7670024A,2816,333,N,783,POLLING PLACE,138,3,131,
WEST ATHENS,7670024A,2816,333,N,,VBM PORTION,31,2,28,
WEST ATHENS,7670024A,2816,333,N,783,TOTAL,169,5,159,
LOS ANGELES,9000003A,2987,320,N,777,POLLING PLACE,201,18,169,
LOS ANGELES,9000003A,2987,320,N,,VBM PORTION,47,11,31,
LOS ANGELES,9000003A,2987,320,N,777,TOTAL,248,29,200,
LOS ANGELES,9000004A,2988,327,N,992,POLLING PLACE,247,96,137,
LOS ANGELES,9000004A,2988,327,N,,VBM PORTION,70,31,30,
LOS ANGELES,9000004A,2988,327,N,992,TOTAL,317,127,167,
LOS ANGELES,9000020A,6270,327,Y,,POLLING PLACE,,,,
LOS ANGELES,9000020A,6270,327,Y,,VBM PORTION,,,,
LOS ANGELES,9000020A,6270,327,Y,,TOTAL,,,,
LOS ANGELES,9000039A,3007,323,N,1230,POLLING PLACE,165,44,106,
LOS ANGELES,9000039A,3007,323,N,,VBM PORTION,151,58,81,
LOS ANGELES,9000039A,3007,323,N,1230,TOTAL,316,102,187,
LOS ANGELES,9000040B,3008,322,N,785,POLLING PLACE,182,55,110,
LOS ANGELES,9000040B,3008,322,N,,VBM PORTION,71,32,38,
LOS ANGELES,9000040B,3008,322,N,785,TOTAL,253,87,148,
LOS ANGELES,9000216A,3119,327,N,776,POLLING PLACE,184,39,125,
LOS ANGELES,9000216A,3119,327,N,,VBM PORTION,39,11,22,
LOS ANGELES,9000216A,3119,327,N,776,TOTAL,223,50,147,
LOS ANGELES,9000282A,3159,330,N,943,POLLING PLACE,89,11,74,
LOS ANGELES,9000282A,3159,330,N,,VBM PORTION,28,2,23,
LOS ANGELES,9000282A,3159,330,N,943,TOTAL,117,13,97,
LOS ANGELES,9000283A,3160,330,N,996,POLLING PLACE,201,7,187,
LOS ANGELES,9000283A,3160,330,N,,VBM PORTION,48,3,44,
LOS ANGELES,9000283A,3160,330,N,996,TOTAL,249,10,231,
LOS ANGELES,9000286A,3163,325,N,1098,POLLING PLACE,154,21,120,
LOS ANGELES,9000286A,3163,325,N,,VBM PORTION,69,13,52,
LOS ANGELES,9000286A,3163,325,N,1098,TOTAL,223,34,172,
LOS ANGELES,9000449A,3270,326,N,975,POLLING PLACE,231,81,127,
LOS ANGELES,9000449A,3270,326,N,,VBM PORTION,120,50,54,
LOS ANGELES,9000449A,3270,326,N,975,TOTAL,351,131,181,
LOS ANGELES,9000451A,3271,325,N,931,POLLING PLACE,149,23,111,
LOS ANGELES,9000451A,3271,325,N,,VBM PORTION,20,1,19,
LOS ANGELES,9000451A,3271,325,N,931,TOTAL,169,24,130,
LOS ANGELES,9000452B,3272,327,N,1103,POLLING PLACE,267,111,132,
LOS ANGELES,9000452B,3272,327,N,,VBM PORTION,93,44,44,
LOS ANGELES,9000452B,3272,327,N,1103,TOTAL,360,155,176,
LOS ANGELES,9000455A,3274,328,N,664,POLLING PLACE,72,5,62,
LOS ANGELES,9000455A,3274,328,N,,VBM PORTION,20,3,15,
LOS ANGELES,9000455A,3274,328,N,664,TOTAL,92,8,77,
LOS ANGELES,9000552A,3333,329,N,1079,POLLING PLACE,175,37,124,
LOS ANGELES,9000552A,3333,329,N,,VBM PORTION,70,23,42,
LOS ANGELES,9000552A,3333,329,N,1079,TOTAL,245,60,166,
LOS ANGELES,9000561A,3341,320,N,1001,POLLING PLACE,275,76,175,
LOS ANGELES,9000561A,3341,320,N,,VBM PORTION,131,50,70,
LOS ANGELES,9000561A,3341,320,N,1001,TOTAL,406,126,245,
LOS ANGELES,9000625A,3378,329,N,1237,POLLING PLACE,309,88,201,
LOS ANGELES,9000625A,3378,329,N,,VBM PORTION,94,34,49,
LOS ANGELES,9000625A,3378,329,N,1237,TOTAL,403,122,250,
LOS ANGELES,9001243A,3640,320,N,755,POLLING PLACE,151,16,127,
LOS ANGELES,9001243A,3640,320,N,,VBM PORTION,36,1,32,
LOS ANGELES,9001243A,3640,320,N,755,TOTAL,187,17,159,
LOS ANGELES,9001244A,3641,320,N,758,POLLING PLACE,161,29,118,
LOS ANGELES,9001244A,3641,320,N,,VBM PORTION,44,11,28,
LOS ANGELES,9001244A,3641,320,N,758,TOTAL,205,40,146,
LOS ANGELES,9001304A,6282,323,Y,1,POLLING PLACE,,,,
LOS ANGELES,9001304A,6282,323,Y,,VBM PORTION,,,,
LOS ANGELES,9001304A,6282,323,Y,1,TOTAL,,,,
LOS ANGELES,9001389A,3704,322,N,677,POLLING PLACE,201,78,111,
LOS ANGELES,9001389A,3704,322,N,,VBM PORTION,50,26,21,
LOS ANGELES,9001389A,3704,322,N,677,TOTAL,251,104,132,
LOS ANGELES,9001390A,6283,327,Y,18,POLLING PLACE,,,,
LOS ANGELES,9001390A,6283,327,Y,,VBM PORTION,1,,1,
LOS ANGELES,9001390A,6283,327,Y,18,TOTAL,1,,1,
LOS ANGELES,9001395A,3706,327,N,1120,POLLING PLACE,234,94,123,
LOS ANGELES,9001395A,3706,327,N,,VBM PORTION,69,35,31,
LOS ANGELES,9001395A,3706,327,N,1120,TOTAL,303,129,154,
LOS ANGELES,9001489A,3754,325,N,1263,POLLING PLACE,241,54,155,
LOS ANGELES,9001489A,3754,325,N,,VBM PORTION,87,23,55,
LOS ANGELES,9001489A,3754,325,N,1263,TOTAL,328,77,210,
LOS ANGELES,9001489C,6285,326,Y,29,POLLING PLACE,,,,
LOS ANGELES,9001489C,6285,326,Y,,VBM PORTION,2,,2,
LOS ANGELES,9001489C,6285,326,Y,29,TOTAL,2,,2,
LOS ANGELES,9001542A,3769,320,N,752,POLLING PLACE,153,12,129,
LOS ANGELES,9001542A,3769,320,N,,VBM PORTION,39,9,25,
LOS ANGELES,9001542A,3769,320,N,752,TOTAL,192,21,154,
LOS ANGELES,9001545A,3771,320,N,852,POLLING PLACE,170,16,138,
LOS ANGELES,9001545A,3771,320,N,,VBM PORTION,35,3,29,
LOS ANGELES,9001545A,3771,320,N,852,TOTAL,205,19,167,
LOS ANGELES,9001546A,3772,320,N,864,POLLING PLACE,184,20,151,
LOS ANGELES,9001546A,3772,320,N,,VBM PORTION,25,4,21,
LOS ANGELES,9001546A,3772,320,N,864,TOTAL,209,24,172,
LOS ANGELES,9001547A,3773,320,N,844,POLLING PLACE,214,22,177,
LOS ANGELES,9001547A,3773,320,N,,VBM PORTION,55,8,43,
LOS ANGELES,9001547A,3773,320,N,844,TOTAL,269,30,220,
LOS ANGELES,9001549A,3774,320,N,878,POLLING PLACE,224,27,176,
LOS ANGELES,9001549A,3774,320,N,,VBM PORTION,72,16,51,
LOS ANGELES,9001549A,3774,320,N,878,TOTAL,296,43,227,
LOS ANGELES,9001553B,3776,320,N,796,POLLING PLACE,231,50,158,
LOS ANGELES,9001553B,3776,320,N,,VBM PORTION,47,13,33,
LOS ANGELES,9001553B,3776,320,N,796,TOTAL,278,63,191,
LOS ANGELES,9001554A,3777,324,N,991,POLLING PLACE,269,33,210,
LOS ANGELES,9001554A,3777,324,N,,VBM PORTION,61,20,35,
LOS ANGELES,9001554A,3777,324,N,991,TOTAL,330,53,245,
LOS ANGELES,9001558A,3779,325,N,1036,POLLING PLACE,277,51,197,
LOS ANGELES,9001558A,3779,325,N,,VBM PORTION,65,29,32,
LOS ANGELES,9001558A,3779,325,N,1036,TOTAL,342,80,229,
LOS ANGELES,9001559B,3780,325,N,579,POLLING PLACE,155,39,108,
LOS ANGELES,9001559B,3780,325,N,,VBM PORTION,67,28,30,
LOS ANGELES,9001559B,3780,325,N,579,TOTAL,222,67,138,
LOS ANGELES,9001622B,3809,325,N,1013,POLLING PLACE,169,32,123,
LOS ANGELES,9001622B,3809,325,N,,VBM PORTION,74,19,52,
LOS ANGELES,9001622B,3809,325,N,1013,TOTAL,243,51,175,
LOS ANGELES,9001718A,3842,327,N,1031,POLLING PLACE,301,117,145,
LOS ANGELES,9001718A,3842,327,N,,VBM PORTION,93,49,34,
LOS ANGELES,9001718A,3842,327,N,1031,TOTAL,394,166,179,
LOS ANGELES,9001874A,3908,323,N,1041,POLLING PLACE,143,32,92,
LOS ANGELES,9001874A,3908,323,N,,VBM PORTION,118,47,62,
LOS ANGELES,9001874A,3908,323,N,1041,TOTAL,261,79,154,
LOS ANGELES,9001876A,3910,327,N,945,POLLING PLACE,296,130,135,
LOS ANGELES,9001876A,3910,327,N,,VBM PORTION,92,52,33,
LOS ANGELES,9001876A,3910,327,N,945,TOTAL,388,182,168,
LOS ANGELES,9001884A,3912,320,N,788,POLLING PLACE,151,28,113,
LOS ANGELES,9001884A,3912,320,N,,VBM PORTION,60,20,32,
LOS ANGELES,9001884A,3912,320,N,788,TOTAL,211,48,145,
LOS ANGELES,9001884C,6287,321,Y,124,POLLING PLACE,,,,
LOS ANGELES,9001884C,6287,321,Y,,VBM PORTION,28,19,6,
LOS ANGELES,9001884C,6287,321,Y,124,TOTAL,28,19,6,
LOS ANGELES,9001938A,3935,320,N,742,POLLING PLACE,138,19,102,
LOS ANGELES,9001938A,3935,320,N,,VBM PORTION,37,7,27,
LOS ANGELES,9001938A,3935,320,N,742,TOTAL,175,26,129,
LOS ANGELES,9002177A,4051,330,N,920,POLLING PLACE,161,13,141,
LOS ANGELES,9002177A,4051,330,N,,VBM PORTION,41,3,36,
LOS ANGELES,9002177A,4051,330,N,920,TOTAL,202,16,177,
LOS ANGELES,9002180A,4054,327,N,939,POLLING PLACE,289,122,132,
LOS ANGELES,9002180A,4054,327,N,,VBM PORTION,91,43,45,
LOS ANGELES,9002180A,4054,327,N,939,TOTAL,380,165,177,
LOS ANGELES,9002185A,4057,327,N,942,POLLING PLACE,270,93,153,
LOS ANGELES,9002185A,4057,327,N,,VBM PORTION,75,35,35,
LOS ANGELES,9002185A,4057,327,N,942,TOTAL,345,128,188,
LOS ANGELES,9002189A,4058,327,N,905,POLLING PLACE,283,99,160,
LOS ANGELES,9002189A,4058,327,N,,VBM PORTION,62,23,34,
LOS ANGELES,9002189A,4058,327,N,905,TOTAL,345,122,194,
LOS ANGELES,9002194A,4061,327,N,1122,POLLING PLACE,227,70,135,
LOS ANGELES,9002194A,4061,327,N,,VBM PORTION,58,16,38,
LOS ANGELES,9002194A,4061,327,N,1122,TOTAL,285,86,173,
LOS ANGELES,9002199A,4062,327,N,1031,POLLING PLACE,152,25,114,
LOS ANGELES,9002199A,4062,327,N,,VBM PORTION,55,21,31,
LOS ANGELES,9002199A,4062,327,N,1031,TOTAL,207,46,145,
LOS ANGELES,9002207A,4063,330,N,1313,POLLING PLACE,245,10,214,
LOS ANGELES,9002207A,4063,330,N,,VBM PORTION,71,1,60,
LOS ANGELES,9002207A,4063,330,N,1313,TOTAL,316,11,274,
LOS ANGELES,9002341A,4122,329,N,983,POLLING PLACE,151,33,107,
LOS ANGELES,9002341A,4122,329,N,,VBM PORTION,90,36,41,
LOS ANGELES,9002341A,4122,329,N,983,TOTAL,241,69,148,
LOS ANGELES,9002388A,4142,320,N,777,POLLING PLACE,128,18,94,
LOS ANGELES,9002388A,4142,320,N,,VBM PORTION,25,4,20,
LOS ANGELES,9002388A,4142,320,N,777,TOTAL,153,22,114,
LOS ANGELES,9002389A,4143,320,N,688,POLLING PLACE,179,32,141,
LOS ANGELES,9002389A,4143,320,N,,VBM PORTION,54,21,29,
LOS ANGELES,9002389A,4143,320,N,688,TOTAL,233,53,170,
LOS ANGELES,9002392A,4144,322,N,806,POLLING PLACE,164,33,110,
LOS ANGELES,9002392A,4144,322,N,,VBM PORTION,58,15,34,
LOS ANGELES,9002392A,4144,322,N,806,TOTAL,222,48,144,
LOS ANGELES,9002393A,4145,320,N,706,POLLING PLACE,206,30,154,
LOS ANGELES,9002393A,4145,320,N,,VBM PORTION,63,20,40,
LOS ANGELES,9002393A,4145,320,N,706,TOTAL,269,50,194,
LOS ANGELES,9002397A,4148,325,N,981,POLLING PLACE,217,46,158,
LOS ANGELES,9002397A,4148,325,N,,VBM PORTION,101,34,58,
LOS ANGELES,9002397A,4148,325,N,981,TOTAL,318,80,216,
LOS ANGELES,9002401B,4150,325,N,1075,POLLING PLACE,250,36,186,
LOS ANGELES,9002401B,4150,325,N,,VBM PORTION,51,13,30,
LOS ANGELES,9002401B,4150,325,N,1075,TOTAL,301,49,216,
LOS ANGELES,9002404B,6295,326,Y,49,POLLING PLACE,,,,
LOS ANGELES,9002404B,6295,326,Y,,VBM PORTION,4,,3,
LOS ANGELES,9002404B,6295,326,Y,49,TOTAL,4,,3,
LOS ANGELES,9002409A,4152,325,N,941,POLLING PLACE,229,64,136,
LOS ANGELES,9002409A,4152,325,N,,VBM PORTION,67,18,43,
LOS ANGELES,9002409A,4152,325,N,941,TOTAL,296,82,179,
LOS ANGELES,9002415A,4154,322,N,738,POLLING PLACE,154,73,72,
LOS ANGELES,9002415A,4154,322,N,,VBM PORTION,63,25,36,
LOS ANGELES,9002415A,4154,322,N,738,TOTAL,217,98,108,
LOS ANGELES,9002417A,4155,327,N,748,POLLING PLACE,198,92,93,
LOS ANGELES,9002417A,4155,327,N,,VBM PORTION,77,37,30,
LOS ANGELES,9002417A,4155,327,N,748,TOTAL,275,129,123,
LOS ANGELES,9002418A,4156,327,N,920,POLLING PLACE,239,102,115,
LOS ANGELES,9002418A,4156,327,N,,VBM PORTION,91,46,37,
LOS ANGELES,9002418A,4156,327,N,920,TOTAL,330,148,152,
LOS ANGELES,9002421A,4157,327,N,1212,POLLING PLACE,255,99,131,
LOS ANGELES,9002421A,4157,327,N,,VBM PORTION,104,42,43,
LOS ANGELES,9002421A,4157,327,N,1212,TOTAL,359,141,174,
LOS ANGELES,9002424A,4158,327,N,842,POLLING PLACE,159,46,92,
LOS ANGELES,9002424A,4158,327,N,,VBM PORTION,64,20,43,
LOS ANGELES,9002424A,4158,327,N,842,TOTAL,223,66,135,
LOS ANGELES,9002429A,4160,327,N,1113,POLLING PLACE,298,123,157,
LOS ANGELES,9002429A,4160,327,N,,VBM PORTION,106,49,50,
LOS ANGELES,9002429A,4160,327,N,1113,TOTAL,404,172,207,
LOS ANGELES,9002430A,4161,327,N,985,POLLING PLACE,32,3,25,
LOS ANGELES,9002430A,4161,327,N,,VBM PORTION,22,11,10,
LOS ANGELES,9002430A,4161,327,N,985,TOTAL,54,14,35,
LOS ANGELES,9002432A,4162,327,N,887,POLLING PLACE,327,149,150,
LOS ANGELES,9002432A,4162,327,N,,VBM PORTION,49,23,22,
LOS ANGELES,9002432A,4162,327,N,887,TOTAL,376,172,172,
LOS ANGELES,9002433A,4163,327,N,1094,POLLING PLACE,315,127,162,
LOS ANGELES,9002433A,4163,327,N,,VBM PORTION,108,51,49,
LOS ANGELES,9002433A,4163,327,N,1094,TOTAL,423,178,211,
LOS ANGELES,9002438C,4164,327,N,915,POLLING PLACE,264,124,110,
LOS ANGELES,9002438C,4164,327,N,,VBM PORTION,104,47,47,
LOS ANGELES,9002438C,4164,327,N,915,TOTAL,368,171,157,
LOS ANGELES,9002444A,4165,327,N,907,POLLING PLACE,299,105,157,
LOS ANGELES,9002444A,4165,327,N,,VBM PORTION,73,33,32,
LOS ANGELES,9002444A,4165,327,N,907,TOTAL,372,138,189,
LOS ANGELES,9002502A,4192,332,N,1061,POLLING PLACE,245,8,228,
LOS ANGELES,9002502A,4192,332,N,,VBM PORTION,37,2,35,
LOS ANGELES,9002502A,4192,332,N,1061,TOTAL,282,10,263,
LOS ANGELES,9002504A,4194,332,N,1104,POLLING PLACE,249,19,212,
LOS ANGELES,9002504A,4194,332,N,,VBM PORTION,42,1,40,
LOS ANGELES,9002504A,4194,332,N,1104,TOTAL,291,20,252,
LOS ANGELES,9002507A,4195,332,N,853,POLLING PLACE,203,5,191,
LOS ANGELES,9002507A,4195,332,N,,VBM PORTION,34,4,27,
LOS ANGELES,9002507A,4195,332,N,853,TOTAL,237,9,218,
LOS ANGELES,9002562A,4220,327,N,958,POLLING PLACE,339,142,165,
LOS ANGELES,9002562A,4220,327,N,,VBM PORTION,73,41,27,
LOS ANGELES,9002562A,4220,327,N,958,TOTAL,412,183,192,
LOS ANGELES,9002580A,4226,325,N,491,POLLING PLACE,106,24,71,
LOS ANGELES,9002580A,4226,325,N,,VBM PORTION,39,10,25,
LOS ANGELES,9002580A,4226,325,N,491,TOTAL,145,34,96,
LOS ANGELES,9002674A,6318,327,Y,16,POLLING PLACE,,,,
LOS ANGELES,9002674A,6318,327,Y,,VBM PORTION,7,1,4,
LOS ANGELES,9002674A,6318,327,Y,16,TOTAL,7,1,4,
LOS ANGELES,9002712B,6322,322,Y,,POLLING PLACE,,,,
LOS ANGELES,9002712B,6322,322,Y,,VBM PORTION,,,,
LOS ANGELES,9002712B,6322,322,Y,,TOTAL,,,,
LOS ANGELES,9002863A,4287,320,N,732,POLLING PLACE,178,25,136,
LOS ANGELES,9002863A,4287,320,N,,VBM PORTION,38,14,23,
LOS ANGELES,9002863A,4287,320,N,732,TOTAL,216,39,159,
LOS ANGELES,9002921A,4303,320,N,674,POLLING PLACE,165,29,126,
LOS ANGELES,9002921A,4303,320,N,,VBM PORTION,50,10,38,
LOS ANGELES,9002921A,4303,320,N,674,TOTAL,215,39,164,
LOS ANGELES,9003072A,4314,327,N,906,POLLING PLACE,220,64,134,
LOS ANGELES,9003072A,4314,327,N,,VBM PORTION,86,29,49,
LOS ANGELES,9003072A,4314,327,N,906,TOTAL,306,93,183,
LOS ANGELES,9003197A,4326,320,N,837,POLLING PLACE,169,50,102,
LOS ANGELES,9003197A,4326,320,N,,VBM PORTION,105,33,63,
LOS ANGELES,9003197A,4326,320,N,837,TOTAL,274,83,165,
LOS ANGELES,9003201A,4327,320,N,723,POLLING PLACE,150,7,135,
LOS ANGELES,9003201A,4327,320,N,,VBM PORTION,54,16,32,
LOS ANGELES,9003201A,4327,320,N,723,TOTAL,204,23,167,
LOS ANGELES,9003202A,4328,320,N,760,POLLING PLACE,232,36,172,
