LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JOHNNIE ROBERTS JR,JAMES T LAW,DANIELA CALDERON,W H MURRAY JR,MERVIN EVANS,
LADERA HEIGHTS,3430018C,1267,231,N,614,TOTAL,145,11,12,16,58,12,
LADERA HEIGHTS,3430020A,1268,230,N,1046,POLLING PLACE,234,18,13,18,117,4,
LADERA HEIGHTS,3430020A,1268,230,N,,VBM PORTION,82,1,2,4,49,,
LADERA HEIGHTS,3430020A,1268,230,N,1046,TOTAL,316,19,15,22,166,4,
LENNOX,3670001A,1393,338,N,396,POLLING PLACE,72,5,6,20,23,3,
LENNOX,3670001A,1393,338,N,,VBM PORTION,8,,,,6,1,
LENNOX,3670001A,1393,338,N,396,TOTAL,80,5,6,20,29,4,
LENNOX,3670005A,1394,337,N,1123,POLLING PLACE,150,6,13,39,61,3,
LENNOX,3670005A,1394,337,N,,VBM PORTION,26,2,1,9,8,,
LENNOX,3670005A,1394,337,N,1123,TOTAL,176,8,14,48,69,3,
LENNOX,3670007A,1395,337,N,1115,POLLING PLACE,144,10,12,48,48,5,
LENNOX,3670007A,1395,337,N,,VBM PORTION,15,1,2,4,7,,
LENNOX,3670007A,1395,337,N,1115,TOTAL,159,11,14,52,55,5,
LENNOX,3670030A,1396,337,N,572,POLLING PLACE,74,4,5,24,25,2,
LENNOX,3670030A,1396,337,N,,VBM PORTION,13,,,2,6,1,
LENNOX,3670030A,1396,337,N,572,TOTAL,87,4,5,26,31,3,
LENNOX,3670031A,1397,337,N,932,POLLING PLACE,139,12,14,49,42,8,
LENNOX,3670031A,1397,337,N,,VBM PORTION,29,3,2,3,17,,
LENNOX,3670031A,1397,337,N,932,TOTAL,168,15,16,52,59,8,
LENNOX,3670032A,1398,338,N,932,POLLING PLACE,125,14,5,38,37,8,
LENNOX,3670032A,1398,338,N,,VBM PORTION,17,3,2,1,7,,
LENNOX,3670032A,1398,338,N,932,TOTAL,142,17,7,39,44,8,
LENNOX,3670033A,1399,337,N,980,POLLING PLACE,108,12,11,48,21,6,
LENNOX,3670033A,1399,337,N,,VBM PORTION,13,3,,4,6,,
LENNOX,3670033A,1399,337,N,980,TOTAL,121,15,11,52,27,6,
VIEW PARK,7510001A,2763,231,N,1193,POLLING PLACE,339,31,22,19,174,9,
VIEW PARK,7510001A,2763,231,N,,VBM PORTION,88,2,9,4,47,4,
VIEW PARK,7510001A,2763,231,N,1193,TOTAL,427,33,31,23,221,13,
VIEW PARK,7510003C,2764,231,N,1312,POLLING PLACE,364,20,26,35,178,19,
VIEW PARK,7510003C,2764,231,N,,VBM PORTION,103,5,2,8,58,2,
VIEW PARK,7510003C,2764,231,N,1312,TOTAL,467,25,28,43,236,21,
VIEW PARK,7510004A,2765,231,N,728,POLLING PLACE,178,16,8,20,84,8,
VIEW PARK,7510004A,2765,231,N,,VBM PORTION,37,3,2,1,18,1,
VIEW PARK,7510004A,2765,231,N,728,TOTAL,215,19,10,21,102,9,
VIEW PARK,7510006A,2766,231,N,1231,POLLING PLACE,313,27,21,38,135,17,
VIEW PARK,7510006A,2766,231,N,,VBM PORTION,74,6,2,6,36,4,
VIEW PARK,7510006A,2766,231,N,1231,TOTAL,387,33,23,44,171,21,
VIEW PARK,7510008A,2767,231,N,1032,POLLING PLACE,285,18,18,23,152,8,
VIEW PARK,7510008A,2767,231,N,,VBM PORTION,93,10,2,3,47,2,
VIEW PARK,7510008A,2767,231,N,1032,TOTAL,378,28,20,26,199,10,
VIEW PARK,7510009B,2768,231,N,1227,POLLING PLACE,343,29,43,33,155,15,
VIEW PARK,7510009B,2768,231,N,,VBM PORTION,87,6,1,11,44,,
VIEW PARK,7510009B,2768,231,N,1227,TOTAL,430,35,44,44,199,15,
VIEW PARK,7510010A,2769,231,N,940,POLLING PLACE,250,18,29,18,122,13,
VIEW PARK,7510010A,2769,231,N,,VBM PORTION,104,3,5,7,67,,
VIEW PARK,7510010A,2769,231,N,940,TOTAL,354,21,34,25,189,13,
VIEW PARK,7510012A,2770,231,N,997,POLLING PLACE,340,23,22,26,179,12,
VIEW PARK,7510012A,2770,231,N,,VBM PORTION,74,2,5,1,35,1,
VIEW PARK,7510012A,2770,231,N,997,TOTAL,414,25,27,27,214,13,
WEST ATHENS,7670001A,2794,313,N,1040,POLLING PLACE,99,5,3,13,66,2,
WEST ATHENS,7670001A,2794,313,N,,VBM PORTION,32,2,2,2,16,2,
WEST ATHENS,7670001A,2794,313,N,1040,TOTAL,131,7,5,15,82,4,
WEST ATHENS,7670003A,2795,313,N,1015,POLLING PLACE,107,6,5,13,71,4,
WEST ATHENS,7670003A,2795,313,N,,VBM PORTION,35,4,5,6,10,,
WEST ATHENS,7670003A,2795,313,N,1015,TOTAL,142,10,10,19,81,4,
WEST ATHENS,7670004A,2796,333,N,1057,POLLING PLACE,148,11,11,17,84,5,
WEST ATHENS,7670004A,2796,333,N,,VBM PORTION,21,4,4,1,4,2,
WEST ATHENS,7670004A,2796,333,N,1057,TOTAL,169,15,15,18,88,7,
WEST ATHENS,7670005A,2797,333,N,775,POLLING PLACE,108,8,7,20,51,6,
WEST ATHENS,7670005A,2797,333,N,,VBM PORTION,24,,,5,14,3,
WEST ATHENS,7670005A,2797,333,N,775,TOTAL,132,8,7,25,65,9,
WEST ATHENS,7670006A,2798,333,N,1068,POLLING PLACE,226,9,12,9,157,7,
WEST ATHENS,7670006A,2798,333,N,,VBM PORTION,71,5,7,2,34,4,
WEST ATHENS,7670006A,2798,333,N,1068,TOTAL,297,14,19,11,191,11,
WEST ATHENS,7670007A,2799,333,N,788,POLLING PLACE,120,7,7,18,71,,
WEST ATHENS,7670007A,2799,333,N,,VBM PORTION,29,5,6,3,6,2,
WEST ATHENS,7670007A,2799,333,N,788,TOTAL,149,12,13,21,77,2,
WEST ATHENS,7670009A,2800,313,N,1103,POLLING PLACE,152,5,7,28,91,5,
WEST ATHENS,7670009A,2800,313,N,,VBM PORTION,21,4,2,3,7,2,
WEST ATHENS,7670009A,2800,313,N,1103,TOTAL,173,9,9,31,98,7,
WEST ATHENS,7670009D,2801,313,N,90,POLLING PLACE,21,,2,,18,,
WEST ATHENS,7670009D,2801,313,N,,VBM PORTION,3,2,,,1,,
WEST ATHENS,7670009D,2801,313,N,90,TOTAL,24,2,2,,19,,
WEST ATHENS,7670010A,2802,333,N,1022,POLLING PLACE,143,9,6,13,98,2,
WEST ATHENS,7670010A,2802,333,N,,VBM PORTION,40,,1,5,22,1,
WEST ATHENS,7670010A,2802,333,N,1022,TOTAL,183,9,7,18,120,3,
WEST ATHENS,7670011A,2803,333,N,722,POLLING PLACE,162,9,7,4,123,1,
WEST ATHENS,7670011A,2803,333,N,,VBM PORTION,30,1,3,4,19,,
WEST ATHENS,7670011A,2803,333,N,722,TOTAL,192,10,10,8,142,1,
WEST ATHENS,7670012B,2804,333,N,1097,POLLING PLACE,182,7,10,12,118,5,
WEST ATHENS,7670012B,2804,333,N,,VBM PORTION,56,6,5,,27,3,
WEST ATHENS,7670012B,2804,333,N,1097,TOTAL,238,13,15,12,145,8,
WEST ATHENS,7670013A,2805,333,N,809,POLLING PLACE,173,7,8,11,120,6,
WEST ATHENS,7670013A,2805,333,N,,VBM PORTION,40,1,2,6,13,2,
WEST ATHENS,7670013A,2805,333,N,809,TOTAL,213,8,10,17,133,8,
WEST ATHENS,7670014A,2806,333,N,871,POLLING PLACE,65,7,3,10,35,1,
WEST ATHENS,7670014A,2806,333,N,,VBM PORTION,15,1,2,4,7,1,
WEST ATHENS,7670014A,2806,333,N,871,TOTAL,80,8,5,14,42,2,
WEST ATHENS,7670016A,2808,333,N,885,POLLING PLACE,119,12,7,14,64,3,
WEST ATHENS,7670016A,2808,333,N,,VBM PORTION,11,,1,2,7,,
WEST ATHENS,7670016A,2808,333,N,885,TOTAL,130,12,8,16,71,3,
WEST ATHENS,7670022A,2814,333,N,966,POLLING PLACE,112,8,11,14,61,3,
WEST ATHENS,7670022A,2814,333,N,,VBM PORTION,16,2,2,1,6,,
WEST ATHENS,7670022A,2814,333,N,966,TOTAL,128,10,13,15,67,3,
WEST ATHENS,7670023A,2815,333,N,899,POLLING PLACE,187,13,16,8,114,7,
WEST ATHENS,7670023A,2815,333,N,,VBM PORTION,27,4,4,2,12,3,
WEST ATHENS,7670023A,2815,333,N,899,TOTAL,214,17,20,10,126,10,
WEST ATHENS,7670024A,2816,333,N,783,POLLING PLACE,138,10,9,10,95,1,
WEST ATHENS,7670024A,2816,333,N,,VBM PORTION,31,4,1,,17,3,
WEST ATHENS,7670024A,2816,333,N,783,TOTAL,169,14,10,10,112,4,
WILLOWBROOK,7850041B,6268,364,Y,3,POLLING PLACE,,,,,,,
WILLOWBROOK,7850041B,6268,364,Y,,VBM PORTION,,,,,,,
WILLOWBROOK,7850041B,6268,364,Y,3,TOTAL,,,,,,,
LOS ANGELES,9000282A,3159,330,N,943,POLLING PLACE,89,11,10,21,26,7,
LOS ANGELES,9000282A,3159,330,N,,VBM PORTION,28,2,1,5,9,2,
LOS ANGELES,9000282A,3159,330,N,943,TOTAL,117,13,11,26,35,9,
LOS ANGELES,9000283A,3160,330,N,996,POLLING PLACE,201,16,31,22,65,14,
LOS ANGELES,9000283A,3160,330,N,,VBM PORTION,48,5,2,4,14,5,
LOS ANGELES,9000283A,3160,330,N,996,TOTAL,249,21,33,26,79,19,
LOS ANGELES,9000284C,3161,309,N,906,POLLING PLACE,243,13,17,14,161,8,
LOS ANGELES,9000284C,3161,309,N,,VBM PORTION,45,4,2,2,18,3,
LOS ANGELES,9000284C,3161,309,N,906,TOTAL,288,17,19,16,179,11,
LOS ANGELES,9000285A,3162,309,N,1183,POLLING PLACE,231,12,3,21,147,11,
LOS ANGELES,9000285A,3162,309,N,,VBM PORTION,59,2,3,9,26,1,
LOS ANGELES,9000285A,3162,309,N,1183,TOTAL,290,14,6,30,173,12,
LOS ANGELES,9000288A,3164,312,N,1236,POLLING PLACE,315,14,25,23,204,15,
LOS ANGELES,9000288A,3164,312,N,,VBM PORTION,84,6,8,6,35,2,
LOS ANGELES,9000288A,3164,312,N,1236,TOTAL,399,20,33,29,239,17,
LOS ANGELES,9000289A,3165,312,N,1030,POLLING PLACE,132,5,9,12,85,2,
LOS ANGELES,9000289A,3165,312,N,,VBM PORTION,21,1,2,3,10,,
LOS ANGELES,9000289A,3165,312,N,1030,TOTAL,153,6,11,15,95,2,
LOS ANGELES,9000290A,3166,312,N,926,POLLING PLACE,101,3,4,22,57,4,
LOS ANGELES,9000290A,3166,312,N,,VBM PORTION,13,2,,,4,,
LOS ANGELES,9000290A,3166,312,N,926,TOTAL,114,5,4,22,61,4,
LOS ANGELES,9000293A,3168,358,N,785,POLLING PLACE,84,5,9,14,37,4,
LOS ANGELES,9000293A,3168,358,N,,VBM PORTION,26,3,2,1,15,,
LOS ANGELES,9000293A,3168,358,N,785,TOTAL,110,8,11,15,52,4,
LOS ANGELES,9000294A,3169,358,N,858,POLLING PLACE,97,7,6,16,58,,
LOS ANGELES,9000294A,3169,358,N,,VBM PORTION,29,6,1,3,14,1,
LOS ANGELES,9000294A,3169,358,N,858,TOTAL,126,13,7,19,72,1,
LOS ANGELES,9000296C,3170,358,N,1205,POLLING PLACE,241,17,13,18,141,11,
LOS ANGELES,9000296C,3170,358,N,,VBM PORTION,36,5,3,5,16,,
LOS ANGELES,9000296C,3170,358,N,1205,TOTAL,277,22,16,23,157,11,
LOS ANGELES,9000354A,3207,358,N,376,POLLING PLACE,35,2,2,7,19,1,
LOS ANGELES,9000354A,3207,358,N,,VBM PORTION,10,,4,,3,1,
LOS ANGELES,9000354A,3207,358,N,376,TOTAL,45,2,6,7,22,2,
LOS ANGELES,9000366A,3217,309,N,1075,POLLING PLACE,161,9,10,21,83,8,
LOS ANGELES,9000366A,3217,309,N,,VBM PORTION,24,3,,3,9,2,
LOS ANGELES,9000366A,3217,309,N,1075,TOTAL,185,12,10,24,92,10,
LOS ANGELES,9000455A,3274,328,N,664,POLLING PLACE,72,8,15,15,21,3,
LOS ANGELES,9000455A,3274,328,N,,VBM PORTION,20,2,1,3,8,1,
LOS ANGELES,9000455A,3274,328,N,664,TOTAL,92,10,16,18,29,4,
LOS ANGELES,9000533A,3324,229,N,1008,POLLING PLACE,123,14,18,23,33,9,
LOS ANGELES,9000533A,3324,229,N,,VBM PORTION,30,1,7,2,12,1,
LOS ANGELES,9000533A,3324,229,N,1008,TOTAL,153,15,25,25,45,10,
LOS ANGELES,9000545A,3329,359,N,1110,POLLING PLACE,160,9,19,46,50,7,
LOS ANGELES,9000545A,3329,359,N,,VBM PORTION,43,1,7,5,14,2,
LOS ANGELES,9000545A,3329,359,N,1110,TOTAL,203,10,26,51,64,9,
LOS ANGELES,9000720C,3418,311,N,1041,POLLING PLACE,108,11,14,27,40,1,
LOS ANGELES,9000720C,3418,311,N,,VBM PORTION,22,2,2,5,7,,
LOS ANGELES,9000720C,3418,311,N,1041,TOTAL,130,13,16,32,47,1,
LOS ANGELES,9000824A,3457,309,N,681,POLLING PLACE,84,13,7,24,31,2,
LOS ANGELES,9000824A,3457,309,N,,VBM PORTION,13,2,3,,4,1,
LOS ANGELES,9000824A,3457,309,N,681,TOTAL,97,15,10,24,35,3,
LOS ANGELES,9000834A,3462,316,N,1104,POLLING PLACE,108,8,12,38,36,2,
LOS ANGELES,9000834A,3462,316,N,,VBM PORTION,23,2,2,7,7,,
LOS ANGELES,9000834A,3462,316,N,1104,TOTAL,131,10,14,45,43,2,
LOS ANGELES,9000906A,3488,311,N,960,POLLING PLACE,128,13,8,40,39,8,
LOS ANGELES,9000906A,3488,311,N,,VBM PORTION,7,,,1,4,1,
LOS ANGELES,9000906A,3488,311,N,960,TOTAL,135,13,8,41,43,9,
LOS ANGELES,9000908A,3490,229,N,991,POLLING PLACE,126,17,12,17,42,10,
LOS ANGELES,9000908A,3490,229,N,,VBM PORTION,61,5,8,12,26,3,
LOS ANGELES,9000908A,3490,229,N,991,TOTAL,187,22,20,29,68,13,
LOS ANGELES,9000945B,3503,229,N,1013,POLLING PLACE,191,16,21,35,78,12,
LOS ANGELES,9000945B,3503,229,N,,VBM PORTION,25,1,7,1,9,2,
LOS ANGELES,9000945B,3503,229,N,1013,TOTAL,216,17,28,36,87,14,
LOS ANGELES,9000985A,3518,311,N,998,POLLING PLACE,99,12,14,18,31,4,
LOS ANGELES,9000985A,3518,311,N,,VBM PORTION,29,,1,3,12,4,
LOS ANGELES,9000985A,3518,311,N,998,TOTAL,128,12,15,21,43,8,
LOS ANGELES,9001003A,3530,311,N,973,POLLING PLACE,101,10,8,26,33,4,
LOS ANGELES,9001003A,3530,311,N,,VBM PORTION,17,1,,2,10,,
LOS ANGELES,9001003A,3530,311,N,973,TOTAL,118,11,8,28,43,4,
LOS ANGELES,9001031A,3545,311,N,1088,POLLING PLACE,142,7,25,52,32,6,
LOS ANGELES,9001031A,3545,311,N,,VBM PORTION,20,6,,3,6,1,
LOS ANGELES,9001031A,3545,311,N,1088,TOTAL,162,13,25,55,38,7,
LOS ANGELES,9001042A,3551,369,N,910,POLLING PLACE,99,9,4,19,51,5,
LOS ANGELES,9001042A,3551,369,N,,VBM PORTION,10,2,,1,4,,
LOS ANGELES,9001042A,3551,369,N,910,TOTAL,109,11,4,20,55,5,
LOS ANGELES,9001055A,3559,311,N,932,POLLING PLACE,147,18,11,43,37,9,
LOS ANGELES,9001055A,3559,311,N,,VBM PORTION,12,1,1,2,4,,
LOS ANGELES,9001055A,3559,311,N,932,TOTAL,159,19,12,45,41,9,
LOS ANGELES,9001081A,3572,311,N,1012,POLLING PLACE,150,15,14,40,49,8,
LOS ANGELES,9001081A,3572,311,N,,VBM PORTION,16,,2,1,12,,
LOS ANGELES,9001081A,3572,311,N,1012,TOTAL,166,15,16,41,61,8,
LOS ANGELES,9001117A,3591,369,N,1015,POLLING PLACE,93,6,14,14,47,4,
LOS ANGELES,9001117A,3591,369,N,,VBM PORTION,22,2,2,1,5,5,
LOS ANGELES,9001117A,3591,369,N,1015,TOTAL,115,8,16,15,52,9,
LOS ANGELES,9001147A,3601,369,N,903,POLLING PLACE,85,6,4,31,32,2,
LOS ANGELES,9001147A,3601,369,N,,VBM PORTION,19,1,1,7,6,1,
LOS ANGELES,9001147A,3601,369,N,903,TOTAL,104,7,5,38,38,3,
LOS ANGELES,9001159A,3605,358,N,1186,POLLING PLACE,156,10,12,28,82,7,
LOS ANGELES,9001159A,3605,358,N,,VBM PORTION,24,3,3,3,10,1,
LOS ANGELES,9001159A,3605,358,N,1186,TOTAL,180,13,15,31,92,8,
LOS ANGELES,9001169A,3609,358,N,655,POLLING PLACE,90,6,3,17,49,1,
LOS ANGELES,9001169A,3609,358,N,,VBM PORTION,21,,1,6,8,2,
LOS ANGELES,9001169A,3609,358,N,655,TOTAL,111,6,4,23,57,3,
LOS ANGELES,9001188A,3620,369,N,1076,POLLING PLACE,146,10,9,42,56,6,
LOS ANGELES,9001188A,3620,369,N,,VBM PORTION,14,,2,1,8,3,
LOS ANGELES,9001188A,3620,369,N,1076,TOTAL,160,10,11,43,64,9,
LOS ANGELES,9001189B,3621,309,N,882,POLLING PLACE,157,15,15,27,82,6,
LOS ANGELES,9001189B,3621,309,N,,VBM PORTION,26,1,2,1,14,2,
LOS ANGELES,9001189B,3621,309,N,882,TOTAL,183,16,17,28,96,8,
LOS ANGELES,9001246A,3642,358,N,1121,POLLING PLACE,198,11,9,30,122,7,
LOS ANGELES,9001246A,3642,358,N,,VBM PORTION,55,7,12,6,19,2,
LOS ANGELES,9001246A,3642,358,N,1121,TOTAL,253,18,21,36,141,9,
LOS ANGELES,9001314A,3668,309,N,1173,POLLING PLACE,127,13,8,27,63,2,
LOS ANGELES,9001314A,3668,309,N,,VBM PORTION,51,1,10,5,23,3,
LOS ANGELES,9001314A,3668,309,N,1173,TOTAL,178,14,18,32,86,5,
LOS ANGELES,9001320A,3671,229,N,501,POLLING PLACE,118,4,11,15,53,1,
LOS ANGELES,9001320A,3671,229,N,,VBM PORTION,57,1,6,3,31,1,
LOS ANGELES,9001320A,3671,229,N,501,TOTAL,175,5,17,18,84,2,
LOS ANGELES,9001325A,3673,311,N,1036,POLLING PLACE,113,19,18,28,28,5,
LOS ANGELES,9001325A,3673,311,N,,VBM PORTION,32,2,2,1,14,,
LOS ANGELES,9001325A,3673,311,N,1036,TOTAL,145,21,20,29,42,5,
LOS ANGELES,9001381C,3701,234,N,648,POLLING PLACE,127,5,9,19,50,5,
LOS ANGELES,9001381C,3701,234,N,,VBM PORTION,31,1,2,,12,,
LOS ANGELES,9001381C,3701,234,N,648,TOTAL,158,6,11,19,62,5,
LOS ANGELES,9001434A,3721,361,N,996,POLLING PLACE,166,15,10,15,99,2,
LOS ANGELES,9001434A,3721,361,N,,VBM PORTION,34,,,4,21,4,
LOS ANGELES,9001434A,3721,361,N,996,TOTAL,200,15,10,19,120,6,
LOS ANGELES,9001563A,3783,311,N,978,POLLING PLACE,126,14,14,33,34,9,
LOS ANGELES,9001563A,3783,311,N,,VBM PORTION,10,,2,1,3,2,
LOS ANGELES,9001563A,3783,311,N,978,TOTAL,136,14,16,34,37,11,
LOS ANGELES,9001582C,3794,309,N,920,POLLING PLACE,93,8,9,19,35,1,
LOS ANGELES,9001582C,3794,309,N,,VBM PORTION,19,,1,6,10,,
LOS ANGELES,9001582C,3794,309,N,920,TOTAL,112,8,10,25,45,1,
LOS ANGELES,9001583B,3795,309,N,1126,POLLING PLACE,157,18,13,41,63,4,
LOS ANGELES,9001583B,3795,309,N,,VBM PORTION,20,,2,6,5,1,
LOS ANGELES,9001583B,3795,309,N,1126,TOTAL,177,18,15,47,68,5,
LOS ANGELES,9001587A,3796,369,N,733,POLLING PLACE,89,13,5,32,30,1,
LOS ANGELES,9001587A,3796,369,N,,VBM PORTION,14,1,1,4,6,,
LOS ANGELES,9001587A,3796,369,N,733,TOTAL,103,14,6,36,36,1,
LOS ANGELES,9001591C,3798,309,N,1047,POLLING PLACE,148,23,8,44,50,8,
LOS ANGELES,9001591C,3798,309,N,,VBM PORTION,20,6,1,4,5,1,
LOS ANGELES,9001591C,3798,309,N,1047,TOTAL,168,29,9,48,55,9,
LOS ANGELES,9001706D,3835,316,N,891,POLLING PLACE,109,7,13,37,30,3,
LOS ANGELES,9001706D,3835,316,N,,VBM PORTION,25,6,3,5,4,,
LOS ANGELES,9001706D,3835,316,N,891,TOTAL,134,13,16,42,34,3,
LOS ANGELES,9001708F,3837,311,N,494,POLLING PLACE,78,7,4,32,22,2,
LOS ANGELES,9001708F,3837,311,N,,VBM PORTION,5,,,4,1,,
LOS ANGELES,9001708F,3837,311,N,494,TOTAL,83,7,4,36,23,2,
LOS ANGELES,9001712A,3839,311,N,1046,POLLING PLACE,105,9,8,24,30,11,
LOS ANGELES,9001712A,3839,311,N,,VBM PORTION,34,3,4,5,16,2,
LOS ANGELES,9001712A,3839,311,N,1046,TOTAL,139,12,12,29,46,13,
LOS ANGELES,9001719A,3843,309,N,862,POLLING PLACE,108,8,9,23,53,4,
LOS ANGELES,9001719A,3843,309,N,,VBM PORTION,19,3,,5,5,,
LOS ANGELES,9001719A,3843,309,N,862,TOTAL,127,11,9,28,58,4,
LOS ANGELES,9001780A,3872,369,N,866,POLLING PLACE,98,5,9,16,55,2,
LOS ANGELES,9001780A,3872,369,N,,VBM PORTION,6,1,1,,,,
LOS ANGELES,9001780A,3872,369,N,866,TOTAL,104,6,10,16,55,2,
LOS ANGELES,9001799A,3885,358,N,962,POLLING PLACE,118,7,11,19,66,6,
LOS ANGELES,9001799A,3885,358,N,,VBM PORTION,21,3,3,3,9,1,
LOS ANGELES,9001799A,3885,358,N,962,TOTAL,139,10,14,22,75,7,
LOS ANGELES,9001940D,3936,316,N,626,POLLING PLACE,71,4,6,28,19,6,
LOS ANGELES,9001940D,3936,316,N,,VBM PORTION,11,,,4,5,,
LOS ANGELES,9001940D,3936,316,N,626,TOTAL,82,4,6,32,24,6,
LOS ANGELES,9001957A,3943,358,N,379,POLLING PLACE,46,5,1,7,27,1,
LOS ANGELES,9001957A,3943,358,N,,VBM PORTION,6,2,1,,3,,
LOS ANGELES,9001957A,3943,358,N,379,TOTAL,52,7,2,7,30,1,
LOS ANGELES,9001959A,3944,312,N,497,POLLING PLACE,62,3,5,5,40,3,
LOS ANGELES,9001959A,3944,312,N,,VBM PORTION,14,1,1,1,5,,
LOS ANGELES,9001959A,3944,312,N,497,TOTAL,76,4,6,6,45,3,
LOS ANGELES,9001961A,3945,309,N,1003,POLLING PLACE,126,17,11,35,33,3,
LOS ANGELES,9001961A,3945,309,N,,VBM PORTION,26,1,6,5,6,1,
LOS ANGELES,9001961A,3945,309,N,1003,TOTAL,152,18,17,40,39,4,
LOS ANGELES,9001961F,3946,309,N,633,POLLING PLACE,107,5,14,27,41,2,
LOS ANGELES,9001961F,3946,309,N,,VBM PORTION,18,1,5,2,9,,
LOS ANGELES,9001961F,3946,309,N,633,TOTAL,125,6,19,29,50,2,
LOS ANGELES,9001964A,3947,358,N,977,POLLING PLACE,118,6,5,18,82,2,
LOS ANGELES,9001964A,3947,358,N,,VBM PORTION,21,4,,9,5,,
LOS ANGELES,9001964A,3947,358,N,977,TOTAL,139,10,5,27,87,2,
LOS ANGELES,9001966A,3948,311,N,1156,POLLING PLACE,122,16,8,37,25,9,
LOS ANGELES,9001966A,3948,311,N,,VBM PORTION,28,2,1,6,13,,
LOS ANGELES,9001966A,3948,311,N,1156,TOTAL,150,18,9,43,38,9,
LOS ANGELES,9001966B,3949,311,N,970,POLLING PLACE,142,23,8,55,28,13,
LOS ANGELES,9001966B,3949,311,N,,VBM PORTION,18,1,1,1,8,4,
LOS ANGELES,9001966B,3949,311,N,970,TOTAL,160,24,9,56,36,17,
LOS ANGELES,9001969B,6289,358,Y,3,POLLING PLACE,,,,,,,
LOS ANGELES,9001969B,6289,358,Y,,VBM PORTION,,,,,,,
LOS ANGELES,9001969B,6289,358,Y,3,TOTAL,,,,,,,
LOS ANGELES,9001974A,3950,309,N,1018,POLLING PLACE,122,8,11,26,49,7,
LOS ANGELES,9001974A,3950,309,N,,VBM PORTION,26,2,3,9,8,,
LOS ANGELES,9001974A,3950,309,N,1018,TOTAL,148,10,14,35,57,7,
LOS ANGELES,9001980A,3951,316,N,757,POLLING PLACE,108,10,7,35,33,7,
LOS ANGELES,9001980A,3951,316,N,,VBM PORTION,16,,3,7,3,,
LOS ANGELES,9001980A,3951,316,N,757,TOTAL,124,10,10,42,36,7,
LOS ANGELES,9001987A,3954,316,N,1116,POLLING PLACE,129,19,11,33,48,4,
LOS ANGELES,9001987A,3954,316,N,,VBM PORTION,23,1,2,6,8,1,
LOS ANGELES,9001987A,3954,316,N,1116,TOTAL,152,20,13,39,56,5,
LOS ANGELES,9001991A,3955,316,N,1177,POLLING PLACE,139,12,10,50,37,6,
LOS ANGELES,9001991A,3955,316,N,,VBM PORTION,36,4,5,4,16,1,
LOS ANGELES,9001991A,3955,316,N,1177,TOTAL,175,16,15,54,53,7,
LOS ANGELES,9001993B,3956,316,N,750,POLLING PLACE,105,15,9,40,17,3,
LOS ANGELES,9001993B,3956,316,N,,VBM PORTION,19,1,2,6,9,,
LOS ANGELES,9001993B,3956,316,N,750,TOTAL,124,16,11,46,26,3,
LOS ANGELES,9001998A,3957,316,N,1096,POLLING PLACE,123,23,6,30,42,5,
LOS ANGELES,9001998A,3957,316,N,,VBM PORTION,14,1,2,,9,,
LOS ANGELES,9001998A,3957,316,N,1096,TOTAL,137,24,8,30,51,5,
LOS ANGELES,9002005A,3961,311,N,755,POLLING PLACE,87,11,5,27,27,3,
LOS ANGELES,9002005A,3961,311,N,,VBM PORTION,21,4,4,5,5,,
LOS ANGELES,9002005A,3961,311,N,755,TOTAL,108,15,9,32,32,3,
LOS ANGELES,9002010A,3963,311,N,1107,POLLING PLACE,105,14,9,25,31,5,
LOS ANGELES,9002010A,3963,311,N,,VBM PORTION,20,,1,3,7,1,
LOS ANGELES,9002010A,3963,311,N,1107,TOTAL,125,14,10,28,38,6,
LOS ANGELES,9002021A,3966,309,N,985,POLLING PLACE,128,11,6,28,55,6,
LOS ANGELES,9002021A,3966,309,N,,VBM PORTION,27,,3,3,15,2,
LOS ANGELES,9002021A,3966,309,N,985,TOTAL,155,11,9,31,70,8,
LOS ANGELES,9002021B,3967,309,N,1050,POLLING PLACE,120,8,7,21,62,2,
LOS ANGELES,9002021B,3967,309,N,,VBM PORTION,27,,7,7,9,1,
LOS ANGELES,9002021B,3967,309,N,1050,TOTAL,147,8,14,28,71,3,
LOS ANGELES,9002022A,3968,309,N,1138,POLLING PLACE,113,9,8,20,56,3,
LOS ANGELES,9002022A,3968,309,N,,VBM PORTION,27,1,4,2,17,,
LOS ANGELES,9002022A,3968,309,N,1138,TOTAL,140,10,12,22,73,3,
LOS ANGELES,9002024A,3969,309,N,885,POLLING PLACE,98,9,12,20,48,1,
LOS ANGELES,9002024A,3969,309,N,,VBM PORTION,12,,2,2,7,,
LOS ANGELES,9002024A,3969,309,N,885,TOTAL,110,9,14,22,55,1,
LOS ANGELES,9002027A,3970,311,N,1156,POLLING PLACE,167,27,23,34,38,7,
LOS ANGELES,9002027A,3970,311,N,,VBM PORTION,22,1,1,5,9,,
LOS ANGELES,9002027A,3970,311,N,1156,TOTAL,189,28,24,39,47,7,
LOS ANGELES,9002033B,3972,311,N,921,POLLING PLACE,93,14,14,26,21,5,
LOS ANGELES,9002033B,3972,311,N,,VBM PORTION,14,1,1,4,7,1,
LOS ANGELES,9002033B,3972,311,N,921,TOTAL,107,15,15,30,28,6,
