LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,SCOTT HOUSTON,STEPHEN MURRAY,JEFF EBENSTEIN,
LOS ANGELES,9001135B,6280,184,Y,,TOTAL,,,,,
LOS ANGELES,9001283C,6281,223,Y,16,POLLING PLACE,,,,,
LOS ANGELES,9001283C,6281,223,Y,,VBM PORTION,1,,,,
LOS ANGELES,9001283C,6281,223,Y,16,TOTAL,1,,,,
LOS ANGELES,9001304A,6282,323,Y,1,POLLING PLACE,,,,,
LOS ANGELES,9001304A,6282,323,Y,,VBM PORTION,,,,,
LOS ANGELES,9001304A,6282,323,Y,1,TOTAL,,,,,
LOS ANGELES,9001489C,6285,326,Y,29,POLLING PLACE,,,,,
LOS ANGELES,9001489C,6285,326,Y,,VBM PORTION,2,1,,,
LOS ANGELES,9001489C,6285,326,Y,29,TOTAL,2,1,,,
LOS ANGELES,9001874A,3908,323,N,1041,POLLING PLACE,143,44,24,35,
LOS ANGELES,9001874A,3908,323,N,,VBM PORTION,118,22,22,36,
LOS ANGELES,9001874A,3908,323,N,1041,TOTAL,261,66,46,71,
LOS ANGELES,9001884C,6287,321,Y,124,POLLING PLACE,,,,,
LOS ANGELES,9001884C,6287,321,Y,,VBM PORTION,28,7,5,7,
LOS ANGELES,9001884C,6287,321,Y,124,TOTAL,28,7,5,7,
LOS ANGELES,9002128D,6290,231,Y,,POLLING PLACE,,,,,
LOS ANGELES,9002128D,6290,231,Y,,VBM PORTION,,,,,
LOS ANGELES,9002128D,6290,231,Y,,TOTAL,,,,,
LOS ANGELES,9002238C,6291,184,Y,,POLLING PLACE,,,,,
LOS ANGELES,9002238C,6291,184,Y,,VBM PORTION,,,,,
LOS ANGELES,9002238C,6291,184,Y,,TOTAL,,,,,
LOS ANGELES,9002251B,6292,184,Y,,POLLING PLACE,,,,,
LOS ANGELES,9002251B,6292,184,Y,,VBM PORTION,,,,,
LOS ANGELES,9002251B,6292,184,Y,,TOTAL,,,,,
LOS ANGELES,9002333B,6293,233,Y,1,POLLING PLACE,,,,,
LOS ANGELES,9002333B,6293,233,Y,,VBM PORTION,,,,,
LOS ANGELES,9002333B,6293,233,Y,1,TOTAL,,,,,
LOS ANGELES,9002334B,6294,233,Y,87,POLLING PLACE,,,,,
LOS ANGELES,9002334B,6294,233,Y,,VBM PORTION,14,6,1,,
LOS ANGELES,9002334B,6294,233,Y,87,TOTAL,14,6,1,,
LOS ANGELES,9002341A,4122,329,N,983,POLLING PLACE,151,60,19,28,
LOS ANGELES,9002341A,4122,329,N,,VBM PORTION,90,27,10,12,
LOS ANGELES,9002341A,4122,329,N,983,TOTAL,241,87,29,40,
LOS ANGELES,9002404B,6295,326,Y,49,POLLING PLACE,,,,,
LOS ANGELES,9002404B,6295,326,Y,,VBM PORTION,4,2,,1,
LOS ANGELES,9002404B,6295,326,Y,49,TOTAL,4,2,,1,
LOS ANGELES,9002877C,6333,180,Y,,POLLING PLACE,,,,,
LOS ANGELES,9002877C,6333,180,Y,,VBM PORTION,,,,,
LOS ANGELES,9002877C,6333,180,Y,,TOTAL,,,,,
LOS ANGELES,9003278A,4338,326,N,1255,POLLING PLACE,314,93,61,99,
LOS ANGELES,9003278A,4338,326,N,,VBM PORTION,246,56,53,72,
LOS ANGELES,9003278A,4338,326,N,1255,TOTAL,560,149,114,171,
LOS ANGELES,9007349C,6343,233,Y,,POLLING PLACE,,,,,
LOS ANGELES,9007349C,6343,233,Y,,VBM PORTION,,,,,
LOS ANGELES,9007349C,6343,233,Y,,TOTAL,,,,,
BALLOT GROUP 120,9990120A,8120,120,N,,POLLING PLACE,,,,,
BALLOT GROUP 120,9990120A,8120,120,N,,VBM PORTION,,,,,
BALLOT GROUP 120,9990120A,8120,120,N,,TOTAL,,,,,
BALLOT GROUP 180,9990180A,8180,180,N,,POLLING PLACE,,,,,
BALLOT GROUP 180,9990180A,8180,180,N,,VBM PORTION,,,,,
BALLOT GROUP 180,9990180A,8180,180,N,,TOTAL,,,,,
BALLOT GROUP 184,9990184A,8184,184,N,,POLLING PLACE,,,,,
BALLOT GROUP 184,9990184A,8184,184,N,,VBM PORTION,,,,,
BALLOT GROUP 184,9990184A,8184,184,N,,TOTAL,,,,,
BALLOT GROUP 188,9990188A,8188,188,N,,POLLING PLACE,,,,,
BALLOT GROUP 188,9990188A,8188,188,N,,VBM PORTION,,,,,
BALLOT GROUP 188,9990188A,8188,188,N,,TOTAL,,,,,
BALLOT GROUP 195,9990195A,8195,195,N,,POLLING PLACE,,,,,
BALLOT GROUP 195,9990195A,8195,195,N,,VBM PORTION,,,,,
BALLOT GROUP 195,9990195A,8195,195,N,,TOTAL,,,,,
BALLOT GROUP 196,9990196A,8196,196,N,,POLLING PLACE,,,,,
BALLOT GROUP 196,9990196A,8196,196,N,,VBM PORTION,,,,,
BALLOT GROUP 196,9990196A,8196,196,N,,TOTAL,,,,,
BALLOT GROUP 221,9990221A,8221,221,N,,POLLING PLACE,,,,,
BALLOT GROUP 221,9990221A,8221,221,N,,VBM PORTION,,,,,
BALLOT GROUP 221,9990221A,8221,221,N,,TOTAL,,,,,
BALLOT GROUP 223,9990223A,8223,223,N,,POLLING PLACE,,,,,
BALLOT GROUP 223,9990223A,8223,223,N,,VBM PORTION,,,,,
BALLOT GROUP 223,9990223A,8223,223,N,,TOTAL,,,,,
BALLOT GROUP 231,9990231A,8231,231,N,,POLLING PLACE,,,,,
BALLOT GROUP 231,9990231A,8231,231,N,,VBM PORTION,,,,,
BALLOT GROUP 231,9990231A,8231,231,N,,TOTAL,,,,,
BALLOT GROUP 233,9990233A,8233,233,N,,POLLING PLACE,,,,,
BALLOT GROUP 233,9990233A,8233,233,N,,VBM PORTION,,,,,
BALLOT GROUP 233,9990233A,8233,233,N,,TOTAL,,,,,
BALLOT GROUP 321,9990321A,8321,321,N,,POLLING PLACE,,,,,
BALLOT GROUP 321,9990321A,8321,321,N,,VBM PORTION,,,,,
BALLOT GROUP 321,9990321A,8321,321,N,,TOTAL,,,,,
BALLOT GROUP 323,9990323A,8323,323,N,,POLLING PLACE,,,,,
BALLOT GROUP 323,9990323A,8323,323,N,,VBM PORTION,,,,,
BALLOT GROUP 323,9990323A,8323,323,N,,TOTAL,,,,,
BALLOT GROUP 326,9990326A,8326,326,N,,POLLING PLACE,,,,,
BALLOT GROUP 326,9990326A,8326,326,N,,VBM PORTION,,,,,
BALLOT GROUP 326,9990326A,8326,326,N,,TOTAL,,,,,
BALLOT GROUP 329,9990329A,8329,329,N,,POLLING PLACE,,,,,
BALLOT GROUP 329,9990329A,8329,329,N,,VBM PORTION,,,,,
BALLOT GROUP 329,9990329A,8329,329,N,,TOTAL,,,,,
BALLOT GROUP 338,9990338A,8338,338,N,,POLLING PLACE,,,,,
BALLOT GROUP 338,9990338A,8338,338,N,,VBM PORTION,,,,,
BALLOT GROUP 338,9990338A,8338,338,N,,TOTAL,,,,,
