INCIDENT NUMBER,INCIDENT TYPE,INCIDENT DATE,INCIDENT LOCATION,CITY,STATE,ZIP,REPORTING DISTRICT,GEO_LOCATION,PERSON AGE,PERSON RACE,MENTAL HEALTH CONCERNS,CRIMINAL HISTORY,WOUNDED,DECEASED,ON PROBATION,ON PAROLE,UNDER THE INFLUENCE,SUBSTANCE NAME,# OF INVOLVED DEPUTIES,WEAPON INVOLVED CATEGORY,WEAPON INVOLVED CATEGORY DESC,APPROX_LATITUDE,APPROX_LONGITUDE
1000512,HIT SHOOTING INCIDENT,01/24/2015 08:54:00 PM,3900 DENNION STREET,LOS ANGELES,CA,90022,0278,"3900 DENNION STREET
LOS ANGELES, CA 90022
(34.02061094023686153021, -118.19119472488842805974)",16,HISPANIC,N,N,Y,N,N,N,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.020610940236862,-118.191194724888428
1000346,HIT SHOOTING INCIDENT,03/12/2011 02:52:00 AM,700 E. EL SEGUNDO BLVD.,LOS ANGELES,CA,90059,2142,"700 E. EL SEGUNDO BLVD.
LOS ANGELES, CA 90059
(33.916347, -118.262711)",24,BLACK,N,N,N,Y,N,N,Y,ALCOHOL,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.916347,-118.262711
1000418,HIT SHOOTING INCIDENT,09/17/2012 07:40:00 PM,16600 DOWNEY AVE.,PARAMOUNT,CA,90723,1369,"16600 DOWNEY AVE.
PARAMOUNT, CA 90723
(33.884018, -118.151345)",27,OTHER,N,N,N,Y,N,N,N,,1,C-1,STRUGGLE OVER DEPUTY WEAPON:  Suspect attempted to disarm deputy,33.884018,-118.151345
1000358,HIT SHOOTING INCIDENT,07/21/2011 12:33:00 PM,1000 WEST WASHINGTON BOULEVARD,LOS ANGELES,CA,90015,1499,"1000 WEST WASHINGTON BOULEVARD
LOS ANGELES, CA 90015
(34.03813, -118.280456)",39,HISPANIC,N,Y,Y,N,N,Y,N,,1,C-1,STRUGGLE OVER DEPUTY WEAPON:  Suspect attempted to disarm deputy,34.03813,-118.280456
1000318,HIT SHOOTING INCIDENT,10/10/2010 12:23:00 AM,LONG BEACH BLVD. AND JOSEPHINE STREET,LYNWOOD,CA,90262,2117,"LONG BEACH BLVD. AND JOSEPHINE STREET
LYNWOOD, CA 90262
(33.92126399268968097549, -118.20953801765011560508)",20,HISPANIC,N,N,N,Y,N,N,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.921263992689681,-118.209538017650116
1000656,HIT SHOOTING INCIDENT,12/01/2015 06:35:00 PM,12600 PIONEER BOULEVARD,NORWALK,CA,90650,0453,"12600 PIONEER BOULEVARD
NORWALK, CA 90650
(33.916487, -118.081872)",18,HISPANIC,N,N,N,Y,,,,,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.916487,-118.081872
1000351,HIT SHOOTING INCIDENT,05/22/2011 06:30:00 AM,114TH STREET AND  COMPTON AVENUE,LOS ANGELES,CA,90059,2199,"114TH STREET AND COMPTON AVENUE
LOS ANGELES, CA 90059
(33.93113097976049179225, -118.24625802583880474168)",21,BLACK,N,Y,Y,N,Y,N,N,,1,A-3,"FIREARM:  Suspect may have been armed,  Deputy saw firearm but not recovered",33.931130979760492,-118.246258025838805
1000387,HIT SHOOTING INCIDENT,03/04/2012 12:27:00 AM,100 144TH STREET AND CENTRAL AVENUE,COMPTON,CA,90220,2199,"100 144TH STREET AND CENTRAL AVENUE
COMPTON, CA 90220
(33.901696, -118.253296)",23,BLACK,N,N,Y,N,N,N,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.901696,-118.253296
1000460,HIT SHOOTING INCIDENT,09/25/2013 02:50:00 PM,1700 BURNSIDE AVENUE,LOS ANGELES,CA,90019,3499,"1700 BURNSIDE AVENUE
LOS ANGELES, CA 90019
(34.043173, -118.356797)",51,BLACK,N,Y,Y,N,Y,Y,N,,2,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",34.043173,-118.356797
1000489,HIT SHOOTING INCIDENT,06/24/2014 09:51:00 PM,POINSETTIA AVENUE AND PALMER STREET,COMPTON,CA,90221,2824,"POINSETTIA AVENUE AND PALMER STREET
COMPTON, CA 90221
(33.89835897549747376099, -118.20950001564279911949)",24,BLACK,N,Y,N,Y,N,Y,Y,MARIJUANA,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.898358975497474,-118.209500015642799
1000355,HIT SHOOTING INCIDENT,06/23/2011 06:47:00 PM,12800 PRAIRIE AVENUE,HAWTHORNE,CA,90250,0399,"12800 PRAIRIE AVENUE
HAWTHORNE, CA 90250
(33.916427, -118.343873)",32,HISPANIC,N,Y,N,Y,Y,Y,Y,MARIJUANA,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.916427,-118.343873
1000349,HIT SHOOTING INCIDENT,04/05/2011 08:59:00 PM,800 E. 76TH PLACE,LOS ANGELES,CA,90001,2172,"800 E. 76TH PLACE
LOS ANGELES, CA 90001
(33.970271, -118.260616)",24,HISPANIC,N,Y,Y,N,Y,Y,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.970271,-118.260616
1000522,HIT SHOOTING INCIDENT,04/10/2015 03:31:00 AM,8900 JUNIPER STREET,LOS ANGELES,CA,90002,2177,"8900 JUNIPER STREET
LOS ANGELES, CA 90002
(33.955608, -118.232838)",28,BLACK,N,N,Y,N,Y,N,N,,1,B-2,"WEAPON - OTHER:  Suspect armed, Suspect used weapon to assault deputy",33.955608,-118.232838
1000366,HIT SHOOTING INCIDENT,11/29/2011 03:36:00 AM,11700 ELMCROFT AVENUE,NORWALK,CA,90650,0451,"11700 ELMCROFT AVENUE
NORWALK, CA 90650
(33.925936, -118.095671)",39,HISPANIC,Y,Y,Y,N,Y,Y,Y,ALCOHOL,3,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",33.925936,-118.095671
1000364,HIT SHOOTING INCIDENT,04/04/2011 09:00:00 AM,1300 92ND STREET AND ZAMORA AVENUE,LOS ANGELES,CA,90002,2176,"1300 92ND STREET AND ZAMORA AVENUE
LOS ANGELES, CA 90002
(33.95317990369353098323, -118.25156514081930052406)",31,BLACK,Y,Y,Y,N,Y,Y,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.953179903693531,-118.251565140819301
1000371,HIT SHOOTING INCIDENT,12/28/2011 04:30:00 PM,8800 OAK STREET,BELLFLOWER,CA,90706,1335,"8800 OAK STREET
BELLFLOWER, CA 90706
(33.884696, -118.144659)",22,HISPANIC,N,Y,Y,N,Y,Y,Y,HALLUCINOGEN,2,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",33.884696,-118.144659
1000300,NON-HIT SHOOTING INCIDENT,05/07/2010 09:20:00 AM,10000 PARK STREET,BELLFLOWER,CA,90706,1334,"10000 PARK STREET
BELLFLOWER, CA 90706
(33.878472, -118.1207)",21,BLACK,N,N,N,N,N,N,N,,1,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",33.878472,-118.1207
1000533,HIT SHOOTING INCIDENT,07/10/2015 11:32:00 AM,3300 YORKSHIRE ROAD,PASADENA,CA,91107,0590,"3300 YORKSHIRE ROAD
PASADENA, CA 91107
(34.138695, -118.082945)",44,WHITE,Y,N,Y,N,,,N,,1,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.138695,-118.082945
1000501,HIT SHOOTING INCIDENT,10/27/2014 04:10:00 PM,14400 DOWNEY AVE,PARAMOUNT,CA,90723,1365,"14400 DOWNEY AVE
PARAMOUNT, CA 90723
(33.902299, -118.151397)",28,HISPANIC,N,Y,N,Y,Y,N,N,,1,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",33.902299,-118.151397
1000442,HIT SHOOTING INCIDENT,05/22/2013 11:40:00 AM,5800 ALOTT AVENUE,VAN NUYS,CA,91401,3199,"5800 ALOTT AVENUE
VAN NUYS, CA 91401
(34.175726, -118.427941)",28,WHITE,N,Y,Y,N,Y,Y,N,,1,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",34.175726,-118.427941
1000524,HIT SHOOTING INCIDENT,05/07/2015 04:30:00 PM,13200 PALM PLACE,CERRITOS,CA,90703,2318,"13200 PALM PLACE
CERRITOS, CA 90703
(33.875823, -118.050441)",21,BLACK,N,Y,N,Y,Y,N,N,,1,B-2,"WEAPON - OTHER:  Suspect armed, Suspect used weapon to assault deputy",33.875823,-118.050441
1000357,NON-HIT SHOOTING INCIDENT,07/23/2011 01:58:00 AM,9200 WOODLEY AVENUE,LOS ANGELES,CA,91343,6885,"9200 WOODLEY AVENUE
LOS ANGELES, CA 91343
(34.237522, -118.485047)",27,WHITE,N,Y,N,N,Y,Y,Y,MARIJUANA,1,C-1,STRUGGLE OVER DEPUTY WEAPON:  Suspect attempted to disarm deputy,34.237522,-118.485047
1000403,NON-HIT SHOOTING INCIDENT,05/25/2012 04:50:00 AM,1200 RONAN AVENUE,WILMINGTON,CA,90744,3199,"1200 RONAN AVENUE
WILMINGTON, CA 90744
(33.786534, -118.272592)",27,HISPANIC,N,N,N,N,Y,N,N,,4,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",33.786534,-118.272592
1000470,NON-HIT SHOOTING INCIDENT,11/01/2013 08:09:00 AM,8800 E SLAUSON AVENUE,PICO RIVERA,CA,90660,1516,"8800 E SLAUSON AVENUE
PICO RIVERA, CA 90660
(33.971916, -118.107992)",51,HISPANIC,Y,Y,N,N,Y,Y,N,,1,B-1,"WEAPON - OTHER:  Suspect armed, Weapon recovered",33.971916,-118.107992
1000484,HIT SHOOTING INCIDENT,04/29/2014 04:15:00 AM,100 NORTH GAGE AVENUE,EAST LOS ANGELES,CA,90063,0276,"100 NORTH GAGE AVENUE
EAST LOS ANGELES, CA 90063
(34.036036, -118.184622)",26,HISPANIC,N,Y,N,Y,N,N,Y,ALCOHOL,1,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.036036,-118.184622
1000660,HIT SHOOTING INCIDENT,12/20/2015 02:58:00 AM,37900 47TH STREET EAST,PALMDALE,CA,93552,2607,"37900 47TH STREET EAST
PALMDALE, CA 93552
(34.570664, -118.045023)",30,BLACK,N,N,N,Y,,,,,1,C-1,STRUGGLE OVER DEPUTY WEAPON:  Suspect attempted to disarm deputy,34.570664,-118.045023
1000650,NON-HIT SHOOTING INCIDENT,09/24/2015 02:45:00 PM,10100 FOSTER ROAD,BELLFLOWER,CA,90706,1331,"10100 FOSTER ROAD
BELLFLOWER, CA 90706
(33.909787, -118.115353)",45,HISPANIC,N,Y,,,N,N,N,,1,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",33.909787,-118.115353
1000443,HIT SHOOTING INCIDENT,04/09/2013 01:49:00 AM,4000 AGNES AVENUE,LYNWOOD,CA,90262,2117,"4000 AGNES AVENUE
LYNWOOD, CA 90262
(33.916646, -118.199703)",25,HISPANIC,N,Y,N,Y,Y,Y,N,,1,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",33.916646,-118.199703
1000464,HIT SHOOTING INCIDENT,08/29/2012 05:33:00 PM,SANTA FE AVENUE AND ANAHEIM STREET,LONG BEACH,CA,90813,1699,"SANTA FE AVENUE AND ANAHEIM STREET
LONG BEACH, CA 90813
(33.78273600103987143088, -118.21548000742128050492)",28,HISPANIC,N,N,Y,N,Y,N,N,,2,D-1,NO SUSPECT FIREAM/OTHER WEAPON involved in the Incident,33.782736001039871,-118.215480007421281
1000489,HIT SHOOTING INCIDENT,06/24/2014 09:51:00 PM,POINSETTIA AVENUE AND PALMER STREET,COMPTON,CA,90221,2824,"POINSETTIA AVENUE AND PALMER STREET
COMPTON, CA 90221
(33.89835897549747376099, -118.20950001564279911949)",24,BLACK,N,Y,Y,N,N,Y,N,,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.898358975497474,-118.209500015642799
1000471,HIT SHOOTING INCIDENT,11/15/2013 06:41:00 PM,2400 EARLE AVENUE,ROSEMEAD,CA,91770,0533,"2400 EARLE AVENUE
ROSEMEAD, CA 91770
(34.055388, -118.08504)",21,HISPANIC,N,N,N,Y,N,N,Y,ALCOHOL,1,B-1,"WEAPON - OTHER:  Suspect armed, Weapon recovered",34.055388,-118.08504
1000444,HIT SHOOTING INCIDENT,05/23/2013 07:28:00 PM,1600 EAST PALMER STREET,COMPTON,CA,90221,2826,"1600 EAST PALMER STREET
COMPTON, CA 90221
(33.898527, -118.205139)",27,BLACK,N,N,N,Y,Y,N,Y,OTHER/UNKNOWN,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.898527,-118.205139
1000478,HIT SHOOTING INCIDENT,03/16/2014 04:19:00 PM,43200 16TH STREET WEST,LANCASTER,CA,93534,1126,"43200 16TH STREET WEST
LANCASTER, CA 93534
(34.669063, -118.158656)",28,BLACK,N,Y,Y,N,Y,N,Y,ALCOHOL,1,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.669063,-118.158656
1000413,HIT SHOOTING INCIDENT,08/24/2012 02:11:00 PM,9400 FLORA VISTA,BELLFLOWER,CA,90706,1332,"9400 FLORA VISTA
BELLFLOWER, CA 90706
(33.89032111263729892779, -118.13380412748717733739)",22,BLACK,N,N,N,Y,N,N,N,,1,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",33.890321112637299,-118.133804127487177
1000414,HIT SHOOTING INCIDENT,08/29/2012 05:57:00 PM,21200 SOUTH FIGUEROA STREET,CARSON,CA,90745,1617,"21200 SOUTH FIGUEROA STREET
CARSON, CA 90745
(33.836654, -118.285976)",34,HISPANIC,N,Y,N,Y,Y,Y,Y,HALLUCINOGEN,1,B-2,"WEAPON - OTHER:  Suspect armed, Suspect used weapon to assault deputy",33.836654,-118.285976
1000532,HIT SHOOTING INCIDENT,07/05/2015 09:41:00 PM,12200 216TH STREET,LAKEWOOD,CA,90716,1352,"12200 216TH STREET
LAKEWOOD, CA 90716
(33.833279, -118.071703)",33,HISPANIC,N,Y,N,Y,Y,Y,N,,1,D-1,NO SUSPECT FIREAM/OTHER WEAPON involved in the Incident,33.833279,-118.071703
1000480,NON-HIT SHOOTING INCIDENT,03/25/2014 09:12:00 PM,300 WEST REEVE STREET,COMPTON,CA,90220,2836,"300 WEST REEVE STREET
COMPTON, CA 90220
(33.886765, -118.225919)",24,BLACK,N,Y,N,N,N,N,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.886765,-118.225919
1000499,HIT SHOOTING INCIDENT,10/04/2014 06:51:00 PM,1100 E. 57TH STREET,LOS ANGELES,CA,90011,2172,"1100 E. 57TH STREET
LOS ANGELES, CA 90011
(33.991116, -118.256328)",28,HISPANIC,Y,Y,N,Y,N,N,N,,4,B-1,"WEAPON - OTHER:  Suspect armed, Weapon recovered",33.991116,-118.256328
1000450,HIT SHOOTING INCIDENT,07/19/2013 11:43:00 AM,6800 DUCHESS DR,WHITTIER,CA,90606,1575,"6800 DUCHESS DR
WHITTIER, CA 90606
(33.982453, -118.062603)",29,WHITE,N,Y,N,Y,Y,Y,Y,MARIJUANA,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.982453,-118.062603
1000396,HIT SHOOTING INCIDENT,03/08/2012 03:30:00 PM,215TH STREET AND ELAINE AVENUE,HAWAIIAN GARDENS,CA,90716,3674,"215TH STREET AND ELAINE AVENUE
HAWAIIAN GARDENS, CA 90716
(33.83404302223222658427, -118.07651800736792045932)",24,HISPANIC,N,N,Y,N,Y,N,N,,2,B-2,"WEAPON - OTHER:  Suspect armed, Suspect used weapon to assault deputy",33.834043022232227,-118.07651800736792
1000295,HIT SHOOTING INCIDENT,04/13/2010 09:10:00 PM,900 S. KERN AVENUE,EAST LOS ANGELES,CA,90022,0284,"900 S. KERN AVENUE
EAST LOS ANGELES, CA 90022
(34.021752, -118.165857)",28,HISPANIC,N,Y,Y,N,Y,Y,N,,1,A-3,"FIREARM:  Suspect may have been armed,  Deputy saw firearm but not recovered",34.021752,-118.165857
1000383,NON-HIT SHOOTING INCIDENT,02/11/2012 04:30:00 AM,4100 MARIS AVENUE,PICO RIVERA,CA,90660,1510,"4100 MARIS AVENUE
PICO RIVERA, CA 90660
(34.014831, -118.080655)",37,HISPANIC,N,Y,N,N,Y,N,N,,1,A-3,"FIREARM:  Suspect may have been armed,  Deputy saw firearm but not recovered",34.014831,-118.080655
1000473,HIT SHOOTING INCIDENT,12/29/2013 01:20:00 AM,2500 EL TORO ROAD,MONROVIA,CA,91010,0583,"2500 EL TORO ROAD
MONROVIA, CA 91010
(34.119987, -117.992453)",36,HISPANIC,N,Y,Y,N,N,N,N,,4,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.119987,-117.992453
1000313,HIT SHOOTING INCIDENT,03/06/2010 03:30:00 AM,3800 FIRESTONE BLVD.,SOUTH GATE,CA,90280,2199,"3800 FIRESTONE BLVD.
SOUTH GATE, CA 90280
(33.953839, -118.202349)",29,HISPANIC,N,Y,Y,N,Y,N,N,,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.953839,-118.202349
1000345,HIT SHOOTING INCIDENT,03/10/2011 08:35:00 PM,3300 FAIRMAN ST,LAKEWOOD,CA,90723,1323,"3300 FAIRMAN ST
LAKEWOOD, CA 90723
(33.841764, -118.153149)",23,BLACK,N,Y,Y,N,Y,N,N,,2,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",33.841764,-118.153149
1000439,HIT SHOOTING INCIDENT,04/29/2013 10:20:00 AM,500 FAIR VIEW AVENUE,LOS ANGELES,CA,90022,0286,"500 FAIR VIEW AVENUE
LOS ANGELES, CA 90022
(34.053313, -118.220551)",35,HISPANIC,N,Y,N,Y,Y,Y,Y,PCP OR KETAMINE,6,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.053313,-118.220551
1000458,HIT SHOOTING INCIDENT,09/17/2013 04:27:00 PM,3RD STREET AND  HUMPHREYS AVENUE,EAST LOS ANGELES,CA,90063,0283,"3RD STREET AND HUMPHREYS AVENUE
EAST LOS ANGELES, CA 90063
(34.033221, -118.171927)",31,HISPANIC,N,Y,Y,N,N,N,Y,CNS STIMULANT,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.033221,-118.171927
1000375,NON-HIT SHOOTING INCIDENT,01/10/2012 03:11:00 AM,HOXIE AVENUE 105 FWY ENTRANCE,NORWALK,CA,90650,0453,"HOXIE AVENUE 105 FWY ENTRANCE
NORWALK, CA 90650
(33.914059, -118.102426)",18,HISPANIC,N,N,N,N,N,N,N,,1,A-3,"FIREARM:  Suspect may have been armed,  Deputy saw firearm but not recovered",33.914059,-118.102426
1000504,HIT SHOOTING INCIDENT,11/16/2014 02:39:00 AM,5300 EAST VERONA STREET,EAST LOS ANGELES,CA,90022,0286,"5300 EAST VERONA STREET
EAST LOS ANGELES, CA 90022
(34.018034, -118.156987)",26,HISPANIC,N,N,N,Y,N,N,Y,ALCOHOL,4,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.018034,-118.156987
1000372,NON-HIT SHOOTING INCIDENT,01/02/2012 04:30:00 PM,HALIFAX AVENUE  AND  LOWER AZUSA ROAD,EL MONTE,CA,91731,0524,"HALIFAX AVENUE AND LOWER AZUSA ROAD
EL MONTE, CA 91731
(34.09202, -118.039953)",35,HISPANIC,N,Y,N,N,Y,Y,N,,1,C-1,STRUGGLE OVER DEPUTY WEAPON:  Suspect attempted to disarm deputy,34.09202,-118.039953
1000505,HIT SHOOTING INCIDENT,11/07/2014 03:48:00 AM,44200 RANCHO VISTA BLVD,PALMDALE,CA,93551,2617,"44200 RANCHO VISTA BLVD
PALMDALE, CA 93551
(34.623568, -118.218742)",36,WHITE,Y,Y,N,Y,N,N,N,,3,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.623568,-118.218742
1000432,HIT SHOOTING INCIDENT,02/19/2013 08:31:00 PM,400 EAST DARLAN STREET,GARDENA,CA,90248,2871,"400 EAST DARLAN STREET
GARDENA, CA 90248
(33.89015, -118.269814)",36,BLACK,N,Y,Y,N,Y,Y,N,,1,A-3,"FIREARM:  Suspect may have been armed,  Deputy saw firearm but not recovered",33.89015,-118.269814
1000689,HIT SHOOTING INCIDENT,03/05/2016 11:01:00 PM,800 120TH STREET,LOS ANGELES,CA,90044,0378,"800 120TH STREET
LOS ANGELES, CA 90044
(33.923549, -118.290076)",26,BLACK,N,Y,Y,N,,,,,1,B-1,"WEAPON - OTHER:  Suspect armed, Weapon recovered",33.923549,-118.290076
1000652,HIT SHOOTING INCIDENT,09/28/2015 03:53:00 PM,1100 S. ATLANTIC DRIVE,COMPTON,CA,90220,2847,"1100 S. ATLANTIC DRIVE
COMPTON, CA 90220
(33.886496, -118.19772)",37,HISPANIC,N,N,Y,N,,,,,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.886496,-118.19772
1000369,HIT SHOOTING INCIDENT,12/16/2011 03:34:00 AM,14500 EAST VALLEY BLVD,LA PUENTE,CA,91746,1463,"14500 EAST VALLEY BLVD
LA PUENTE, CA 91746
(34.03525053834556409175, -117.97699300116034737201)",29,HISPANIC,N,Y,Y,N,N,N,Y,HALLUCINOGEN,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.035250538345564,-117.976993001160347
1000446,HIT SHOOTING INCIDENT,06/21/2013 09:26:00 PM,1300 102ND STREET,LOS ANGELES,CA,90044,0372,"1300 102ND STREET
LOS ANGELES, CA 90044
(33.944089, -118.298492)",24,BLACK,N,Y,Y,N,Y,N,N,,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.944089,-118.298492
1000679,HIT SHOOTING INCIDENT,01/14/2016 07:45:00 PM,NATHAN HILL DRIVE AND SHANGRI-LA DRIVE,CANYON COUNTRY,CA,91351,0612,"NATHAN HILL DRIVE AND SHANGRI-LA DRIVE
CANYON COUNTRY, CA 91351
(34.419699, -118.46001)",39,HISPANIC,N,N,N,Y,,,,,1,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",34.419699,-118.46001
1000523,HIT SHOOTING INCIDENT,05/05/2015 12:43:00 PM,10400 ENLOE STREET,EL MONTE,CA,91733,0560,"10400 ENLOE STREET
EL MONTE, CA 91733
(34.053666, -118.045247)",32,ASIAN-PACIFIC-ISL,N,N,N,Y,,N,N,,2,B-2,"WEAPON - OTHER:  Suspect armed, Suspect used weapon to assault deputy",34.053666,-118.045247
1000422,HIT SHOOTING INCIDENT,10/20/2012 03:00:00 PM,11900 162ND STREET,NORWALK,CA,90650,0458,"11900 162ND STREET
NORWALK, CA 90650
(33.884327, -118.07976)",18,HISPANIC,N,Y,Y,N,Y,N,N,,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.884327,-118.07976
1000314,HIT SHOOTING INCIDENT,10/01/2010 12:45:00 PM,43200 18TH STREET WEST,LANCASTER,CA,93534,1126,"43200 18TH STREET WEST
LANCASTER, CA 93534
(34.66809, -118.163453)",30,HISPANIC,N,N,Y,N,Y,N,N,,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.66809,-118.163453
1000690,HIT SHOOTING INCIDENT,03/04/2016 03:21:00 PM,10000 HAWTHORNE BLVD.,INGLEWOOD,CA,90304,0399,"10000 HAWTHORNE BLVD.
INGLEWOOD, CA 90304
(33.944667, -118.352524)",22,HISPANIC,N,N,Y,N,,,,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.944667,-118.352524
1000407,HIT SHOOTING INCIDENT,06/24/2012 12:34:00 PM,2100 N. LONG BEACH BOULEVARD,COMPTON,CA,90221,2117,"2100 N. LONG BEACH BOULEVARD
COMPTON, CA 90221
(33.909965, -118.208887)",30,HISPANIC,N,Y,N,Y,Y,Y,Y,OTHER/UNKNOWN,1,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",33.909965,-118.208887
1000498,HIT SHOOTING INCIDENT,09/17/2014 10:49:00 PM,COMPTON BOULEVARD AND PAULSON AVENUE,COMPTON,CA,90220,2814,"COMPTON BOULEVARD AND PAULSON AVENUE
COMPTON, CA 90220
(33.89590898200339473538, -118.23563101878301881298)",22,HISPANIC,N,N,Y,N,N,N,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.895908982003395,-118.235631018783019
1000348,NON-HIT SHOOTING INCIDENT,03/29/2011 01:23:00 AM,11800 S FIGUEROA STREET,LOS ANGELES,CA,90061,2140,"11800 S FIGUEROA STREET
LOS ANGELES, CA 90061
(33.926323, -118.282588)",20,BLACK,N,Y,N,N,Y,N,N,,1,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",33.926323,-118.282588
1000323,HIT SHOOTING INCIDENT,08/21/2010 10:48:00 PM,12000 CENTRAL AVENUE,LOS ANGELES,CA,90059,2140,"12000 CENTRAL AVENUE
LOS ANGELES, CA 90059
(33.923716, -118.254326)",24,BLACK,Y,N,Y,N,N,Y,N,,1,B-1,"WEAPON - OTHER:  Suspect armed, Weapon recovered",33.923716,-118.254326
1000649,HIT SHOOTING INCIDENT,07/29/2015 11:40:00 PM,12000 ROSE HEDGE DRIVE,PICO RIVERA,CA,90606,1577,"12000 ROSE HEDGE DRIVE
PICO RIVERA, CA 90606
(33.971424, -118.053384)",47,HISPANIC,N,N,N,Y,,,,,1,B-2,"WEAPON - OTHER:  Suspect armed, Suspect used weapon to assault deputy",33.971424,-118.053384
1000360,HIT SHOOTING INCIDENT,08/20/2011 08:30:00 PM,1400 SOUTH DOWNEY ROAD,LOS ANGELES,CA,90063,0278,"1400 SOUTH DOWNEY ROAD
LOS ANGELES, CA 90063
(34.014597, -118.180012)",19,HISPANIC,N,N,N,Y,Y,N,N,,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.014597,-118.180012
1000347,HIT SHOOTING INCIDENT,03/26/2011 01:55:00 AM,200 SOUTH ROSEMEAD BOULEVARD,PASADENA,CA,91107,0590,"200 SOUTH ROSEMEAD BOULEVARD
PASADENA, CA 91107
(34.142774, -118.073242)",24,WHITE,N,Y,Y,N,Y,N,Y,,1,D-1,NO SUSPECT FIREAM/OTHER WEAPON involved in the Incident,34.142774,-118.073242
1000798,HIT SHOOTING INCIDENT,06/11/2016 02:30:00 PM,5200 CORONA AVENUE,MAYWOOD,CA,90270,0250,"5200 CORONA AVENUE
MAYWOOD, CA 90270
(33.994163, -118.193314)",31,HISPANIC,Y,N,N,Y,N,N,,,1,B-1,"WEAPON - OTHER:  Suspect armed, Weapon recovered",33.994163,-118.193314
1000330,NON-HIT SHOOTING INCIDENT,11/17/2010 09:10:00 AM,1100 OAKS STREET,COMPTON,CA,90221,2823,"1100 OAKS STREET
COMPTON, CA 90221
(33.909204, -118.211543)",19,BLACK,N,N,N,N,,,N,,1,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",33.909204,-118.211543
1000508,HIT SHOOTING INCIDENT,05/14/2013 09:15:00 PM,7200 RICHFIELD AVENUE,PARAMOUNT,CA,90723,1364,"7200 RICHFIELD AVENUE
PARAMOUNT, CA 90723
(33.901823, -118.173125)",37,HISPANIC,N,N,N,Y,Y,N,Y,MARIJUANA,1,C-1,STRUGGLE OVER DEPUTY WEAPON:  Suspect attempted to disarm deputy,33.901823,-118.173125
