LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,IAN C CALDERON,RITA TOPALIAN
NORWALK,4800010A,1843,132,N,848,TOTAL,109,65,36
NORWALK,4800011A,1844,132,N,1177,POLLING PLACE,49,27,16
NORWALK,4800011A,1844,132,N,0,VBM PORTION,56,30,22
NORWALK,4800011A,1844,132,N,1177,TOTAL,105,57,38
NORWALK,4800013A,1845,132,N,1057,POLLING PLACE,43,32,6
NORWALK,4800013A,1845,132,N,0,VBM PORTION,40,27,11
NORWALK,4800013A,1845,132,N,1057,TOTAL,83,59,17
NORWALK,4800014C,1846,132,N,237,POLLING PLACE,29,17,10
NORWALK,4800014C,1846,132,N,0,VBM PORTION,16,7,8
NORWALK,4800014C,1846,132,N,237,TOTAL,45,24,18
NORWALK,4800016A,1847,132,N,1103,POLLING PLACE,48,28,14
NORWALK,4800016A,1847,132,N,0,VBM PORTION,70,50,12
NORWALK,4800016A,1847,132,N,1103,TOTAL,118,78,26
NORWALK,4800018A,1848,132,N,1048,POLLING PLACE,67,35,22
NORWALK,4800018A,1848,132,N,0,VBM PORTION,42,20,17
NORWALK,4800018A,1848,132,N,1048,TOTAL,109,55,39
NORWALK,4800019A,1849,132,N,656,POLLING PLACE,34,14,17
NORWALK,4800019A,1849,132,N,0,VBM PORTION,34,13,16
NORWALK,4800019A,1849,132,N,656,TOTAL,68,27,33
NORWALK,4800021A,1850,132,N,331,POLLING PLACE,16,7,6
NORWALK,4800021A,1850,132,N,0,VBM PORTION,14,8,6
NORWALK,4800021A,1850,132,N,331,TOTAL,30,15,12
NORWALK,4800021B,1851,132,N,1267,POLLING PLACE,43,27,14
NORWALK,4800021B,1851,132,N,0,VBM PORTION,50,31,11
NORWALK,4800021B,1851,132,N,1267,TOTAL,93,58,25
NORWALK,4800022A,1852,132,N,936,POLLING PLACE,51,26,21
NORWALK,4800022A,1852,132,N,0,VBM PORTION,39,19,14
NORWALK,4800022A,1852,132,N,936,TOTAL,90,45,35
NORWALK,4800023A,1853,132,N,1306,POLLING PLACE,70,34,31
NORWALK,4800023A,1853,132,N,0,VBM PORTION,68,32,25
NORWALK,4800023A,1853,132,N,1306,TOTAL,138,66,56
NORWALK,4800024A,1854,132,N,1196,POLLING PLACE,59,37,14
NORWALK,4800024A,1854,132,N,0,VBM PORTION,58,30,22
NORWALK,4800024A,1854,132,N,1196,TOTAL,117,67,36
NORWALK,4800029B,1857,132,N,1016,POLLING PLACE,44,29,12
NORWALK,4800029B,1857,132,N,0,VBM PORTION,56,28,22
NORWALK,4800029B,1857,132,N,1016,TOTAL,100,57,34
NORWALK,4800031A,1858,132,N,1107,POLLING PLACE,69,35,27
NORWALK,4800031A,1858,132,N,0,VBM PORTION,71,32,22
NORWALK,4800031A,1858,132,N,1107,TOTAL,140,67,49
NORWALK,4800032A,1859,132,N,983,POLLING PLACE,82,35,17
NORWALK,4800032A,1859,132,N,0,VBM PORTION,98,68,11
NORWALK,4800032A,1859,132,N,983,TOTAL,180,103,28
NORWALK,4800033A,1860,132,N,865,POLLING PLACE,34,17,16
NORWALK,4800033A,1860,132,N,0,VBM PORTION,46,22,17
NORWALK,4800033A,1860,132,N,865,TOTAL,80,39,33
NORWALK,4800034A,1861,132,N,1172,POLLING PLACE,67,36,22
NORWALK,4800034A,1861,132,N,0,VBM PORTION,108,67,33
NORWALK,4800034A,1861,132,N,1172,TOTAL,175,103,55
NORWALK,4800035A,1862,132,N,1149,POLLING PLACE,33,20,11
NORWALK,4800035A,1862,132,N,0,VBM PORTION,77,44,20
NORWALK,4800035A,1862,132,N,1149,TOTAL,110,64,31
NORWALK,4800037A,1863,132,N,1042,POLLING PLACE,59,37,17
NORWALK,4800037A,1863,132,N,0,VBM PORTION,65,34,24
NORWALK,4800037A,1863,132,N,1042,TOTAL,124,71,41
NORWALK,4800038A,1864,132,N,893,POLLING PLACE,34,15,12
NORWALK,4800038A,1864,132,N,0,VBM PORTION,61,46,11
NORWALK,4800038A,1864,132,N,893,TOTAL,95,61,23
NORWALK,4800053A,1874,132,N,928,POLLING PLACE,56,39,9
NORWALK,4800053A,1874,132,N,0,VBM PORTION,27,20,6
NORWALK,4800053A,1874,132,N,928,TOTAL,83,59,15
NORWALK,4800054A,1875,132,N,924,POLLING PLACE,46,26,15
NORWALK,4800054A,1875,132,N,0,VBM PORTION,64,31,21
NORWALK,4800054A,1875,132,N,924,TOTAL,110,57,36
NORWALK,4800060A,1878,132,N,1090,POLLING PLACE,70,40,26
NORWALK,4800060A,1878,132,N,0,VBM PORTION,58,32,22
NORWALK,4800060A,1878,132,N,1090,TOTAL,128,72,48
NORWALK,4800071A,1880,132,N,1199,POLLING PLACE,74,53,12
NORWALK,4800071A,1880,132,N,0,VBM PORTION,41,24,13
NORWALK,4800071A,1880,132,N,1199,TOTAL,115,77,25
NORWALK,4800076A,1881,132,N,954,POLLING PLACE,67,32,27
NORWALK,4800076A,1881,132,N,0,VBM PORTION,104,52,46
NORWALK,4800076A,1881,132,N,954,TOTAL,171,84,73
NORWALK,4800088A,1882,132,N,1070,POLLING PLACE,86,54,25
NORWALK,4800088A,1882,132,N,0,VBM PORTION,45,20,19
NORWALK,4800088A,1882,132,N,1070,TOTAL,131,74,44
PICO RIVERA,5230026A,6131,128,Y,0,POLLING PLACE,0,0,0
PICO RIVERA,5230026A,6131,128,Y,0,VBM PORTION,0,0,0
PICO RIVERA,5230026A,6131,128,Y,0,TOTAL,0,0,0
RIO HONDO,5600011A,6138,128,Y,1,POLLING PLACE,0,0,0
RIO HONDO,5600011A,6138,128,Y,0,VBM PORTION,0,0,0
RIO HONDO,5600011A,6138,128,Y,1,TOTAL,0,0,0
RIO HONDO,5600071A,6139,124,Y,0,POLLING PLACE,0,0,0
RIO HONDO,5600071A,6139,124,Y,0,VBM PORTION,0,0,0
RIO HONDO,5600071A,6139,124,Y,0,TOTAL,0,0,0
RIO HONDO,5600073A,2228,124,N,544,POLLING PLACE,43,33,7
RIO HONDO,5600073A,2228,124,N,0,VBM PORTION,4,0,4
RIO HONDO,5600073A,2228,124,N,544,TOTAL,47,33,11
SANTA FE SPRINGS,6230001A,2441,132,N,1107,POLLING PLACE,61,32,25
SANTA FE SPRINGS,6230001A,2441,132,N,0,VBM PORTION,67,30,29
SANTA FE SPRINGS,6230001A,2441,132,N,1107,TOTAL,128,62,54
SANTA FE SPRINGS,6230004A,2442,132,N,997,POLLING PLACE,78,38,33
SANTA FE SPRINGS,6230004A,2442,132,N,0,VBM PORTION,65,27,30
SANTA FE SPRINGS,6230004A,2442,132,N,997,TOTAL,143,65,63
SANTA FE SPRINGS,6230006A,2443,132,N,1196,POLLING PLACE,110,62,40
SANTA FE SPRINGS,6230006A,2443,132,N,0,VBM PORTION,59,29,26
SANTA FE SPRINGS,6230006A,2443,132,N,1196,TOTAL,169,91,66
SANTA FE SPRINGS,6230008A,2444,132,N,839,POLLING PLACE,74,28,40
SANTA FE SPRINGS,6230008A,2444,132,N,0,VBM PORTION,54,33,15
SANTA FE SPRINGS,6230008A,2444,132,N,839,TOTAL,128,61,55
SANTA FE SPRINGS,6230009A,2445,132,N,970,POLLING PLACE,75,40,25
SANTA FE SPRINGS,6230009A,2445,132,N,0,VBM PORTION,95,48,33
SANTA FE SPRINGS,6230009A,2445,132,N,970,TOTAL,170,88,58
SANTA FE SPRINGS,6230010A,2446,132,N,1033,POLLING PLACE,62,39,13
SANTA FE SPRINGS,6230010A,2446,132,N,0,VBM PORTION,24,14,5
SANTA FE SPRINGS,6230010A,2446,132,N,1033,TOTAL,86,53,18
SANTA FE SPRINGS,6230011A,2447,132,N,1266,POLLING PLACE,69,46,17
SANTA FE SPRINGS,6230011A,2447,132,N,0,VBM PORTION,68,52,11
SANTA FE SPRINGS,6230011A,2447,132,N,1266,TOTAL,137,98,28
SANTA FE SPRINGS,6230018A,2448,132,N,938,POLLING PLACE,72,31,37
SANTA FE SPRINGS,6230018A,2448,132,N,0,VBM PORTION,61,27,29
SANTA FE SPRINGS,6230018A,2448,132,N,938,TOTAL,133,58,66
SANTA FE SPRINGS,6230051A,2449,132,N,1115,POLLING PLACE,69,44,18
SANTA FE SPRINGS,6230051A,2449,132,N,0,VBM PORTION,64,34,27
SANTA FE SPRINGS,6230051A,2449,132,N,1115,TOTAL,133,78,45
SANTA FE SPRINGS,6230052B,6153,132,Y,191,POLLING PLACE,0,0,0
SANTA FE SPRINGS,6230052B,6153,132,Y,0,VBM PORTION,20,11,7
SANTA FE SPRINGS,6230052B,6153,132,Y,191,TOTAL,20,11,7
SANTA FE SPRINGS,6230052L,6154,132,Y,25,POLLING PLACE,0,0,0
SANTA FE SPRINGS,6230052L,6154,132,Y,0,VBM PORTION,3,0,2
SANTA FE SPRINGS,6230052L,6154,132,Y,25,TOTAL,3,0,2
SOUTH EL MONTE,6530004A,2526,124,N,1097,POLLING PLACE,93,63,23
SOUTH EL MONTE,6530004A,2526,124,N,0,VBM PORTION,54,28,18
SOUTH EL MONTE,6530004A,2526,124,N,1097,TOTAL,147,91,41
SOUTH EL MONTE,6530005A,2527,124,N,871,POLLING PLACE,37,28,6
SOUTH EL MONTE,6530005A,2527,124,N,0,VBM PORTION,25,20,3
SOUTH EL MONTE,6530005A,2527,124,N,871,TOTAL,62,48,9
SOUTH EL MONTE,6530041A,2528,124,N,1305,POLLING PLACE,76,49,18
SOUTH EL MONTE,6530041A,2528,124,N,0,VBM PORTION,60,35,12
SOUTH EL MONTE,6530041A,2528,124,N,1305,TOTAL,136,84,30
SOUTH EL MONTE,6530043B,2529,124,N,887,POLLING PLACE,39,24,9
SOUTH EL MONTE,6530043B,2529,124,N,0,VBM PORTION,49,28,14
SOUTH EL MONTE,6530043B,2529,124,N,887,TOTAL,88,52,23
SOUTH EL MONTE,6530045A,2530,124,N,1197,POLLING PLACE,66,47,15
SOUTH EL MONTE,6530045A,2530,124,N,0,VBM PORTION,71,50,12
SOUTH EL MONTE,6530045A,2530,124,N,1197,TOTAL,137,97,27
SOUTH EL MONTE,6530046A,2531,124,N,783,POLLING PLACE,45,25,16
SOUTH EL MONTE,6530046A,2531,124,N,0,VBM PORTION,38,23,11
SOUTH EL MONTE,6530046A,2531,124,N,783,TOTAL,83,48,27
SOUTH WHITTIER,6700001A,2589,132,N,814,POLLING PLACE,63,33,22
SOUTH WHITTIER,6700001A,2589,132,N,0,VBM PORTION,40,15,23
SOUTH WHITTIER,6700001A,2589,132,N,814,TOTAL,103,48,45
SOUTH WHITTIER,6700002A,2590,132,N,1276,POLLING PLACE,78,34,40
SOUTH WHITTIER,6700002A,2590,132,N,0,VBM PORTION,83,24,50
SOUTH WHITTIER,6700002A,2590,132,N,1276,TOTAL,161,58,90
SOUTH WHITTIER,6700003A,2591,132,N,929,POLLING PLACE,41,22,17
SOUTH WHITTIER,6700003A,2591,132,N,0,VBM PORTION,34,16,16
SOUTH WHITTIER,6700003A,2591,132,N,929,TOTAL,75,38,33
SOUTH WHITTIER,6700004B,2592,132,N,1121,POLLING PLACE,80,48,26
SOUTH WHITTIER,6700004B,2592,132,N,0,VBM PORTION,49,21,21
SOUTH WHITTIER,6700004B,2592,132,N,1121,TOTAL,129,69,47
SOUTH WHITTIER,6700007A,2593,132,N,1029,POLLING PLACE,59,26,32
SOUTH WHITTIER,6700007A,2593,132,N,0,VBM PORTION,60,26,26
SOUTH WHITTIER,6700007A,2593,132,N,1029,TOTAL,119,52,58
SOUTH WHITTIER,6700008A,2594,132,N,1208,POLLING PLACE,103,29,66
SOUTH WHITTIER,6700008A,2594,132,N,0,VBM PORTION,87,40,40
SOUTH WHITTIER,6700008A,2594,132,N,1208,TOTAL,190,69,106
SOUTH WHITTIER,6700009B,2595,132,N,689,POLLING PLACE,53,25,27
SOUTH WHITTIER,6700009B,2595,132,N,0,VBM PORTION,32,15,12
SOUTH WHITTIER,6700009B,2595,132,N,689,TOTAL,85,40,39
SOUTH WHITTIER,6700010A,2596,132,N,975,POLLING PLACE,65,28,29
SOUTH WHITTIER,6700010A,2596,132,N,0,VBM PORTION,71,31,33
SOUTH WHITTIER,6700010A,2596,132,N,975,TOTAL,136,59,62
SOUTH WHITTIER,6700011B,2597,132,N,1302,POLLING PLACE,96,39,52
SOUTH WHITTIER,6700011B,2597,132,N,0,VBM PORTION,107,41,57
SOUTH WHITTIER,6700011B,2597,132,N,1302,TOTAL,203,80,109
SOUTH WHITTIER,6700012A,2598,132,N,1036,POLLING PLACE,97,33,55
SOUTH WHITTIER,6700012A,2598,132,N,0,VBM PORTION,84,25,50
SOUTH WHITTIER,6700012A,2598,132,N,1036,TOTAL,181,58,105
SOUTH WHITTIER,6700014B,2599,132,N,1089,POLLING PLACE,66,24,33
SOUTH WHITTIER,6700014B,2599,132,N,0,VBM PORTION,66,30,30
SOUTH WHITTIER,6700014B,2599,132,N,1089,TOTAL,132,54,63
SOUTH WHITTIER,6700015A,2600,132,N,751,POLLING PLACE,62,36,21
SOUTH WHITTIER,6700015A,2600,132,N,0,VBM PORTION,39,16,17
SOUTH WHITTIER,6700015A,2600,132,N,751,TOTAL,101,52,38
SOUTH WHITTIER,6700016A,2601,132,N,1077,POLLING PLACE,111,23,81
SOUTH WHITTIER,6700016A,2601,132,N,0,VBM PORTION,97,31,60
SOUTH WHITTIER,6700016A,2601,132,N,1077,TOTAL,208,54,141
SOUTH WHITTIER,6700017A,2602,132,N,1298,POLLING PLACE,116,40,67
SOUTH WHITTIER,6700017A,2602,132,N,0,VBM PORTION,112,36,61
SOUTH WHITTIER,6700017A,2602,132,N,1298,TOTAL,228,76,128
SOUTH WHITTIER,6700019A,2603,132,N,1119,POLLING PLACE,44,25,12
SOUTH WHITTIER,6700019A,2603,132,N,0,VBM PORTION,17,13,2
SOUTH WHITTIER,6700019A,2603,132,N,1119,TOTAL,61,38,14
SOUTH WHITTIER,6700021A,2604,132,N,1250,POLLING PLACE,137,32,96
SOUTH WHITTIER,6700021A,2604,132,N,0,VBM PORTION,97,28,61
SOUTH WHITTIER,6700021A,2604,132,N,1250,TOTAL,234,60,157
SOUTH WHITTIER,6700023A,2605,132,N,886,POLLING PLACE,53,26,25
SOUTH WHITTIER,6700023A,2605,132,N,0,VBM PORTION,67,28,32
SOUTH WHITTIER,6700023A,2605,132,N,886,TOTAL,120,54,57
SOUTH WHITTIER,6700025A,2606,132,N,664,POLLING PLACE,33,15,15
SOUTH WHITTIER,6700025A,2606,132,N,0,VBM PORTION,23,12,8
SOUTH WHITTIER,6700025A,2606,132,N,664,TOTAL,56,27,23
SOUTH WHITTIER,6700052A,2607,132,N,1018,POLLING PLACE,58,34,21
SOUTH WHITTIER,6700052A,2607,132,N,0,VBM PORTION,62,30,28
SOUTH WHITTIER,6700052A,2607,132,N,1018,TOTAL,120,64,49
SOUTH WHITTIER,6700053A,2608,132,N,1078,POLLING PLACE,60,28,30
SOUTH WHITTIER,6700053A,2608,132,N,0,VBM PORTION,68,34,27
SOUTH WHITTIER,6700053A,2608,132,N,1078,TOTAL,128,62,57
SOUTH WHITTIER,6700054B,2609,132,N,1213,POLLING PLACE,77,30,36
SOUTH WHITTIER,6700054B,2609,132,N,0,VBM PORTION,47,25,19
SOUTH WHITTIER,6700054B,2609,132,N,1213,TOTAL,124,55,55
SOUTH WHITTIER,6700055A,2610,132,N,1043,POLLING PLACE,45,30,15
SOUTH WHITTIER,6700055A,2610,132,N,0,VBM PORTION,48,17,24
SOUTH WHITTIER,6700055A,2610,132,N,1043,TOTAL,93,47,39
SOUTH WHITTIER,6700056A,2611,132,N,1206,POLLING PLACE,51,37,12
SOUTH WHITTIER,6700056A,2611,132,N,0,VBM PORTION,49,34,8
SOUTH WHITTIER,6700056A,2611,132,N,1206,TOTAL,100,71,20
SOUTH WHITTIER,6700057A,2612,132,N,1261,POLLING PLACE,102,33,63
SOUTH WHITTIER,6700057A,2612,132,N,0,VBM PORTION,100,49,46
SOUTH WHITTIER,6700057A,2612,132,N,1261,TOTAL,202,82,109
SOUTH WHITTIER,6700059A,2613,132,N,945,POLLING PLACE,77,35,30
SOUTH WHITTIER,6700059A,2613,132,N,0,VBM PORTION,79,33,42
SOUTH WHITTIER,6700059A,2613,132,N,945,TOTAL,156,68,72
SOUTH WHITTIER,6700062A,2614,132,N,1185,POLLING PLACE,93,44,42
SOUTH WHITTIER,6700062A,2614,132,N,0,VBM PORTION,73,34,37
SOUTH WHITTIER,6700062A,2614,132,N,1185,TOTAL,166,78,79
SOUTH WHITTIER,6700064A,2615,132,N,937,POLLING PLACE,64,37,24
SOUTH WHITTIER,6700064A,2615,132,N,0,VBM PORTION,45,24,13
SOUTH WHITTIER,6700064A,2615,132,N,937,TOTAL,109,61,37
SOUTH WHITTIER,6700065A,2616,132,N,769,POLLING PLACE,39,17,19
SOUTH WHITTIER,6700065A,2616,132,N,0,VBM PORTION,44,19,24
SOUTH WHITTIER,6700065A,2616,132,N,769,TOTAL,83,36,43
SOUTH WHITTIER,6700068A,2617,132,N,833,POLLING PLACE,72,38,30
SOUTH WHITTIER,6700068A,2617,132,N,0,VBM PORTION,47,21,21
SOUTH WHITTIER,6700068A,2617,132,N,833,TOTAL,119,59,51
SOUTH WHITTIER,6700070A,2618,132,N,1139,POLLING PLACE,78,38,33
SOUTH WHITTIER,6700070A,2618,132,N,0,VBM PORTION,66,29,30
SOUTH WHITTIER,6700070A,2618,132,N,1139,TOTAL,144,67,63
SOUTH WHITTIER,6700071C,2619,132,N,1174,POLLING PLACE,53,36,15
SOUTH WHITTIER,6700071C,2619,132,N,0,VBM PORTION,48,29,14
SOUTH WHITTIER,6700071C,2619,132,N,1174,TOTAL,101,65,29
VALINDA,7410002A,2731,123,N,937,POLLING PLACE,43,24,15
VALINDA,7410002A,2731,123,N,0,VBM PORTION,51,31,17
VALINDA,7410002A,2731,123,N,937,TOTAL,94,55,32
VALINDA,7410003B,2732,123,N,996,POLLING PLACE,41,35,6
VALINDA,7410003B,2732,123,N,0,VBM PORTION,36,23,9
VALINDA,7410003B,2732,123,N,996,TOTAL,77,58,15
VALINDA,7410004B,2733,123,N,1037,POLLING PLACE,48,38,5
VALINDA,7410004B,2733,123,N,0,VBM PORTION,33,22,5
VALINDA,7410004B,2733,123,N,1037,TOTAL,81,60,10
VALINDA,7410005A,2734,123,N,1176,POLLING PLACE,61,35,21
VALINDA,7410005A,2734,123,N,0,VBM PORTION,42,24,12
VALINDA,7410005A,2734,123,N,1176,TOTAL,103,59,33
VALINDA,7410006B,2735,123,N,1064,POLLING PLACE,62,42,16
VALINDA,7410006B,2735,123,N,0,VBM PORTION,36,23,8
VALINDA,7410006B,2735,123,N,1064,TOTAL,98,65,24
VALINDA,7410007A,2736,123,N,1225,POLLING PLACE,61,42,14
VALINDA,7410007A,2736,123,N,0,VBM PORTION,58,31,17
VALINDA,7410007A,2736,123,N,1225,TOTAL,119,73,31
VALINDA,7410008A,2737,123,N,644,POLLING PLACE,37,17,13
VALINDA,7410008A,2737,123,N,0,VBM PORTION,64,27,34
VALINDA,7410008A,2737,123,N,644,TOTAL,101,44,47
WHITTIER,7800001A,2907,131,N,1082,POLLING PLACE,110,25,65
WHITTIER,7800001A,2907,131,N,0,VBM PORTION,153,39,94
WHITTIER,7800001A,2907,131,N,1082,TOTAL,263,64,159
WHITTIER,7800002C,2908,131,N,985,POLLING PLACE,80,36,35
WHITTIER,7800002C,2908,131,N,0,VBM PORTION,56,19,33
WHITTIER,7800002C,2908,131,N,985,TOTAL,136,55,68
WHITTIER,7800004A,2909,131,N,968,POLLING PLACE,116,33,78
WHITTIER,7800004A,2909,131,N,0,VBM PORTION,86,27,48
WHITTIER,7800004A,2909,131,N,968,TOTAL,202,60,126
WHITTIER,7800006A,2910,131,N,591,POLLING PLACE,77,29,43
WHITTIER,7800006A,2910,131,N,0,VBM PORTION,50,16,30
WHITTIER,7800006A,2910,131,N,591,TOTAL,127,45,73
WHITTIER,7800008A,2911,131,N,1107,POLLING PLACE,119,61,50
WHITTIER,7800008A,2911,131,N,0,VBM PORTION,75,32,30
WHITTIER,7800008A,2911,131,N,1107,TOTAL,194,93,80
WHITTIER,7800010A,2912,131,N,1072,POLLING PLACE,108,34,62
WHITTIER,7800010A,2912,131,N,0,VBM PORTION,58,31,17
WHITTIER,7800010A,2912,131,N,1072,TOTAL,166,65,79
WHITTIER,7800012A,2913,131,N,767,POLLING PLACE,103,41,55
WHITTIER,7800012A,2913,131,N,0,VBM PORTION,100,39,50
WHITTIER,7800012A,2913,131,N,767,TOTAL,203,80,105
WHITTIER,7800014A,2914,131,N,1263,POLLING PLACE,107,56,47
WHITTIER,7800014A,2914,131,N,0,VBM PORTION,86,33,42
WHITTIER,7800014A,2914,131,N,1263,TOTAL,193,89,89
WHITTIER,7800015D,2915,131,N,1129,POLLING PLACE,123,48,64
WHITTIER,7800015D,2915,131,N,0,VBM PORTION,115,38,63
WHITTIER,7800015D,2915,131,N,1129,TOTAL,238,86,127
WHITTIER,7800016A,2916,131,N,1129,POLLING PLACE,51,17,29
WHITTIER,7800016A,2916,131,N,0,VBM PORTION,41,23,14
WHITTIER,7800016A,2916,131,N,1129,TOTAL,92,40,43
WHITTIER,7800017B,2917,131,N,861,POLLING PLACE,82,40,38
WHITTIER,7800017B,2917,131,N,0,VBM PORTION,67,26,33
WHITTIER,7800017B,2917,131,N,861,TOTAL,149,66,71
WHITTIER,7800022B,2918,131,N,843,POLLING PLACE,170,51,110
WHITTIER,7800022B,2918,131,N,0,VBM PORTION,122,35,77
WHITTIER,7800022B,2918,131,N,843,TOTAL,292,86,187
WHITTIER,7800025A,2919,131,N,428,POLLING PLACE,59,19,33
WHITTIER,7800025A,2919,131,N,0,VBM PORTION,41,16,22
WHITTIER,7800025A,2919,131,N,428,TOTAL,100,35,55
WHITTIER,7800031A,2920,131,N,879,POLLING PLACE,66,14,47
WHITTIER,7800031A,2920,131,N,0,VBM PORTION,50,13,31
WHITTIER,7800031A,2920,131,N,879,TOTAL,116,27,78
WHITTIER,7800035A,2921,131,N,1043,POLLING PLACE,79,34,37
WHITTIER,7800035A,2921,131,N,0,VBM PORTION,40,16,18
WHITTIER,7800035A,2921,131,N,1043,TOTAL,119,50,55
WHITTIER,7800038E,2922,131,N,665,POLLING PLACE,62,26,28
WHITTIER,7800038E,2922,131,N,0,VBM PORTION,52,17,25
WHITTIER,7800038E,2922,131,N,665,TOTAL,114,43,53
WHITTIER,7800042A,2923,131,N,778,POLLING PLACE,74,34,28
WHITTIER,7800042A,2923,131,N,0,VBM PORTION,114,37,60
WHITTIER,7800042A,2923,131,N,778,TOTAL,188,71,88
WHITTIER,7800043A,2924,131,N,518,POLLING PLACE,69,19,44
WHITTIER,7800043A,2924,131,N,0,VBM PORTION,78,20,46
WHITTIER,7800043A,2924,131,N,518,TOTAL,147,39,90
WHITTIER,7800044A,2925,131,N,1124,POLLING PLACE,146,52,83
WHITTIER,7800044A,2925,131,N,0,VBM PORTION,82,17,49
WHITTIER,7800044A,2925,131,N,1124,TOTAL,228,69,132
WHITTIER,7800048A,2926,131,N,1127,POLLING PLACE,44,32,11
WHITTIER,7800048A,2926,131,N,0,VBM PORTION,35,10,22
WHITTIER,7800048A,2926,131,N,1127,TOTAL,79,42,33
WHITTIER,7800049A,2927,131,N,823,POLLING PLACE,82,37,36
WHITTIER,7800049A,2927,131,N,0,VBM PORTION,44,19,16
WHITTIER,7800049A,2927,131,N,823,TOTAL,126,56,52
WHITTIER,7800051A,2928,131,N,1302,POLLING PLACE,149,54,82
WHITTIER,7800051A,2928,131,N,0,VBM PORTION,106,32,55
WHITTIER,7800051A,2928,131,N,1302,TOTAL,255,86,137
WHITTIER,7800053A,2929,131,N,1046,POLLING PLACE,115,50,59
WHITTIER,7800053A,2929,131,N,0,VBM PORTION,78,34,34
WHITTIER,7800053A,2929,131,N,1046,TOTAL,193,84,93
WHITTIER,7800054A,2930,131,N,863,POLLING PLACE,73,18,46
WHITTIER,7800054A,2930,131,N,0,VBM PORTION,67,16,46
WHITTIER,7800054A,2930,131,N,863,TOTAL,140,34,92
WHITTIER,7800057A,2931,131,N,984,POLLING PLACE,108,32,69
WHITTIER,7800057A,2931,131,N,0,VBM PORTION,124,37,68
WHITTIER,7800057A,2931,131,N,984,TOTAL,232,69,137
WHITTIER,7800059A,2932,131,N,1199,POLLING PLACE,52,24,25
WHITTIER,7800059A,2932,131,N,0,VBM PORTION,60,25,27
WHITTIER,7800059A,2932,131,N,1199,TOTAL,112,49,52
WHITTIER,7800064A,2933,131,N,1006,POLLING PLACE,78,29,38
WHITTIER,7800064A,2933,131,N,0,VBM PORTION,72,22,34
WHITTIER,7800064A,2933,131,N,1006,TOTAL,150,51,72
WHITTIER,7800066C,2934,131,N,915,POLLING PLACE,115,14,91
WHITTIER,7800066C,2934,131,N,0,VBM PORTION,154,34,97
WHITTIER,7800066C,2934,131,N,915,TOTAL,269,48,188
WHITTIER,7800068A,2935,131,N,1208,POLLING PLACE,122,46,73
WHITTIER,7800068A,2935,131,N,0,VBM PORTION,102,33,49
WHITTIER,7800068A,2935,131,N,1208,TOTAL,224,79,122
WHITTIER,7800072B,2936,131,N,1300,POLLING PLACE,124,32,83
WHITTIER,7800072B,2936,131,N,0,VBM PORTION,124,36,71
WHITTIER,7800072B,2936,131,N,1300,TOTAL,248,68,154
WHITTIER,7800075A,2937,131,N,1410,POLLING PLACE,112,35,66
WHITTIER,7800075A,2937,131,N,0,VBM PORTION,124,39,73
WHITTIER,7800075A,2937,131,N,1410,TOTAL,236,74,139
WHITTIER,7800075C,2938,131,N,472,POLLING PLACE,43,17,22
WHITTIER,7800075C,2938,131,N,0,VBM PORTION,61,15,36
WHITTIER,7800075C,2938,131,N,472,TOTAL,104,32,58
WHITTIER,7800079A,2939,131,N,1113,POLLING PLACE,123,36,76
WHITTIER,7800079A,2939,131,N,0,VBM PORTION,97,46,36
WHITTIER,7800079A,2939,131,N,1113,TOTAL,220,82,112
WHITTIER,7800082A,2940,131,N,1161,POLLING PLACE,123,29,84
WHITTIER,7800082A,2940,131,N,0,VBM PORTION,119,21,76
WHITTIER,7800082A,2940,131,N,1161,TOTAL,242,50,160
WHITTIER,7800083A,2941,131,N,590,POLLING PLACE,78,12,63
WHITTIER,7800083A,2941,131,N,0,VBM PORTION,56,13,32
WHITTIER,7800083A,2941,131,N,590,TOTAL,134,25,95
WHITTIER,7800087A,2942,131,N,1252,POLLING PLACE,175,41,126
WHITTIER,7800087A,2942,131,N,0,VBM PORTION,162,20,121
WHITTIER,7800087A,2942,131,N,1252,TOTAL,337,61,247
WHITTIER,7800095A,6176,127,Y,0,POLLING PLACE,0,0,0
WHITTIER,7800095A,6176,127,Y,0,VBM PORTION,0,0,0
WHITTIER,7800095A,6176,127,Y,0,TOTAL,0,0,0
WHITTIER,7800144A,2943,131,N,1263,POLLING PLACE,131,52,67
WHITTIER,7800144A,2943,131,N,0,VBM PORTION,109,43,48
WHITTIER,7800144A,2943,131,N,1263,TOTAL,240,95,115
WHITTIER,7800148A,2944,131,N,859,POLLING PLACE,54,27,22
WHITTIER,7800148A,2944,131,N,0,VBM PORTION,45,23,18
WHITTIER,7800148A,2944,131,N,859,TOTAL,99,50,40
WHITTIER,7800149A,2945,131,N,985,POLLING PLACE,51,26,19
WHITTIER,7800149A,2945,131,N,0,VBM PORTION,94,33,43
WHITTIER,7800149A,2945,131,N,985,TOTAL,145,59,62
WHITTIER,7800165D,2946,131,N,1169,POLLING PLACE,80,33,41
WHITTIER,7800165D,2946,131,N,0,VBM PORTION,68,23,32
WHITTIER,7800165D,2946,131,N,1169,TOTAL,148,56,73
WHITTIER,7800167B,2947,131,N,1264,POLLING PLACE,67,48,17
