LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,RUDY MELENDEZ,P CONLEY ULICH,YUVAL D KREMER,SHEILA KUEHL,DOUG FAY,ERIC PREVEN,JOHN DURAN,BOBBY SHRIVER
LOS ANGELES,9000141A,3062,15,N,1042,TOTAL,142,9,11,7,36,1,0,21,45
LOS ANGELES,9000142A,3063,62,N,1346,POLLING PLACE,94,3,6,4,28,6,1,20,17
LOS ANGELES,9000142A,3063,62,N,0,VBM PORTION,103,4,7,1,28,7,1,12,28
LOS ANGELES,9000142A,3063,62,N,1346,TOTAL,197,7,13,5,56,13,2,32,45
LOS ANGELES,9000144A,3064,15,N,1211,POLLING PLACE,78,8,3,3,15,1,0,18,17
LOS ANGELES,9000144A,3064,15,N,0,VBM PORTION,76,7,7,0,12,3,0,8,22
LOS ANGELES,9000144A,3064,15,N,1211,TOTAL,154,15,10,3,27,4,0,26,39
LOS ANGELES,9000148A,3065,59,N,1214,POLLING PLACE,68,8,2,3,20,7,1,12,9
LOS ANGELES,9000148A,3065,59,N,0,VBM PORTION,88,6,7,6,22,0,0,11,20
LOS ANGELES,9000148A,3065,59,N,1214,TOTAL,156,14,9,9,42,7,1,23,29
LOS ANGELES,9000149A,3066,59,N,767,POLLING PLACE,46,6,4,1,14,1,1,5,12
LOS ANGELES,9000149A,3066,59,N,0,VBM PORTION,40,4,3,4,10,1,1,3,8
LOS ANGELES,9000149A,3066,59,N,767,TOTAL,86,10,7,5,24,2,2,8,20
LOS ANGELES,9000151A,3067,59,N,1210,POLLING PLACE,110,4,0,5,43,5,5,15,22
LOS ANGELES,9000151A,3067,59,N,0,VBM PORTION,104,0,12,3,24,1,2,9,32
LOS ANGELES,9000151A,3067,59,N,1210,TOTAL,214,4,12,8,67,6,7,24,54
LOS ANGELES,9000153A,3068,59,N,1270,POLLING PLACE,113,6,18,5,37,6,1,14,20
LOS ANGELES,9000153A,3068,59,N,0,VBM PORTION,85,2,10,0,21,2,3,7,22
LOS ANGELES,9000153A,3068,59,N,1270,TOTAL,198,8,28,5,58,8,4,21,42
LOS ANGELES,9000154B,3069,63,N,1282,POLLING PLACE,154,5,2,9,51,2,4,25,38
LOS ANGELES,9000154B,3069,63,N,0,VBM PORTION,143,1,6,9,51,1,2,11,40
LOS ANGELES,9000154B,3069,63,N,1282,TOTAL,297,6,8,18,102,3,6,36,78
LOS ANGELES,9000155A,3070,64,N,1301,POLLING PLACE,109,5,6,4,30,6,2,14,28
LOS ANGELES,9000155A,3070,64,N,0,VBM PORTION,95,9,6,2,28,3,0,7,23
LOS ANGELES,9000155A,3070,64,N,1301,TOTAL,204,14,12,6,58,9,2,21,51
LOS ANGELES,9000155B,3071,64,N,1372,POLLING PLACE,94,5,4,5,22,1,1,17,26
LOS ANGELES,9000155B,3071,64,N,0,VBM PORTION,101,4,6,7,24,7,0,17,19
LOS ANGELES,9000155B,3071,64,N,1372,TOTAL,195,9,10,12,46,8,1,34,45
LOS ANGELES,9000157B,3072,59,N,1031,POLLING PLACE,37,3,5,1,9,2,4,3,5
LOS ANGELES,9000157B,3072,59,N,0,VBM PORTION,57,3,4,1,15,5,2,10,7
LOS ANGELES,9000157B,3072,59,N,1031,TOTAL,94,6,9,2,24,7,6,13,12
LOS ANGELES,9000160A,3074,64,N,881,POLLING PLACE,64,1,3,2,24,2,0,5,18
LOS ANGELES,9000160A,3074,64,N,0,VBM PORTION,95,6,5,1,23,1,0,9,30
LOS ANGELES,9000160A,3074,64,N,881,TOTAL,159,7,8,3,47,3,0,14,48
LOS ANGELES,9000163A,3075,15,N,1025,POLLING PLACE,131,8,19,6,19,2,4,16,48
LOS ANGELES,9000163A,3075,15,N,0,VBM PORTION,90,5,14,6,12,1,2,7,29
LOS ANGELES,9000163A,3075,15,N,1025,TOTAL,221,13,33,12,31,3,6,23,77
LOS ANGELES,9000165A,3076,19,N,1259,POLLING PLACE,80,7,6,1,26,5,2,11,17
LOS ANGELES,9000165A,3076,19,N,0,VBM PORTION,76,5,2,1,19,4,2,9,16
LOS ANGELES,9000165A,3076,19,N,1259,TOTAL,156,12,8,2,45,9,4,20,33
LOS ANGELES,9000167A,3077,15,N,1115,POLLING PLACE,90,9,3,3,19,1,1,24,21
LOS ANGELES,9000167A,3077,15,N,0,VBM PORTION,48,0,3,2,7,3,1,7,18
LOS ANGELES,9000167A,3077,15,N,1115,TOTAL,138,9,6,5,26,4,2,31,39
LOS ANGELES,9000172A,3078,64,N,1026,POLLING PLACE,73,3,3,2,14,4,0,12,24
LOS ANGELES,9000172A,3078,64,N,0,VBM PORTION,91,2,6,0,32,3,1,8,26
LOS ANGELES,9000172A,3078,64,N,1026,TOTAL,164,5,9,2,46,7,1,20,50
LOS ANGELES,9000174A,3079,56,N,861,POLLING PLACE,77,0,2,7,13,2,3,10,16
LOS ANGELES,9000174A,3079,56,N,0,VBM PORTION,101,1,10,0,34,1,1,11,30
LOS ANGELES,9000174A,3079,56,N,861,TOTAL,178,1,12,7,47,3,4,21,46
LOS ANGELES,9000175A,3080,56,N,1143,POLLING PLACE,80,1,10,4,15,4,1,13,25
LOS ANGELES,9000175A,3080,56,N,0,VBM PORTION,94,2,8,6,26,3,1,14,19
LOS ANGELES,9000175A,3080,56,N,1143,TOTAL,174,3,18,10,41,7,2,27,44
LOS ANGELES,9000177A,3082,59,N,909,POLLING PLACE,70,7,7,3,8,4,1,16,19
LOS ANGELES,9000177A,3082,59,N,0,VBM PORTION,38,5,7,0,8,2,0,3,9
LOS ANGELES,9000177A,3082,59,N,909,TOTAL,108,12,14,3,16,6,1,19,28
LOS ANGELES,9000178A,3083,59,N,1144,POLLING PLACE,84,6,8,0,20,3,2,7,29
LOS ANGELES,9000178A,3083,59,N,0,VBM PORTION,75,3,9,5,25,4,1,8,13
LOS ANGELES,9000178A,3083,59,N,1144,TOTAL,159,9,17,5,45,7,3,15,42
LOS ANGELES,9000180A,3084,54,N,1305,POLLING PLACE,64,2,3,1,13,4,3,13,16
LOS ANGELES,9000180A,3084,54,N,0,VBM PORTION,96,5,16,4,31,1,2,11,13
LOS ANGELES,9000180A,3084,54,N,1305,TOTAL,160,7,19,5,44,5,5,24,29
LOS ANGELES,9000181A,3085,54,N,1212,POLLING PLACE,79,12,4,1,15,5,1,7,20
LOS ANGELES,9000181A,3085,54,N,0,VBM PORTION,85,5,11,1,15,6,3,8,23
LOS ANGELES,9000181A,3085,54,N,1212,TOTAL,164,17,15,2,30,11,4,15,43
LOS ANGELES,9000182A,3086,54,N,1375,POLLING PLACE,79,7,7,4,13,6,0,8,25
LOS ANGELES,9000182A,3086,54,N,0,VBM PORTION,119,6,5,6,31,5,2,11,32
LOS ANGELES,9000182A,3086,54,N,1375,TOTAL,198,13,12,10,44,11,2,19,57
LOS ANGELES,9000184B,3087,15,N,1155,POLLING PLACE,51,2,2,0,17,1,2,6,12
LOS ANGELES,9000184B,3087,15,N,0,VBM PORTION,66,7,8,0,15,4,0,9,14
LOS ANGELES,9000184B,3087,15,N,1155,TOTAL,117,9,10,0,32,5,2,15,26
LOS ANGELES,9000187A,3089,56,N,1366,POLLING PLACE,138,3,9,9,50,2,5,8,29
LOS ANGELES,9000187A,3089,56,N,0,VBM PORTION,189,4,8,5,86,3,3,15,35
LOS ANGELES,9000187A,3089,56,N,1366,TOTAL,327,7,17,14,136,5,8,23,64
LOS ANGELES,9000189C,3090,56,N,1066,POLLING PLACE,97,1,5,4,29,7,2,15,30
LOS ANGELES,9000189C,3090,56,N,0,VBM PORTION,122,1,9,7,39,1,4,7,31
LOS ANGELES,9000189C,3090,56,N,1066,TOTAL,219,2,14,11,68,8,6,22,61
LOS ANGELES,9000192A,3092,64,N,1161,POLLING PLACE,99,6,6,3,31,2,4,19,12
LOS ANGELES,9000192A,3092,64,N,0,VBM PORTION,82,5,7,4,24,3,2,8,22
LOS ANGELES,9000192A,3092,64,N,1161,TOTAL,181,11,13,7,55,5,6,27,34
LOS ANGELES,9000193A,3093,59,N,1420,POLLING PLACE,89,8,4,2,29,3,3,9,20
LOS ANGELES,9000193A,3093,59,N,0,VBM PORTION,84,6,13,2,26,1,1,7,11
LOS ANGELES,9000193A,3093,59,N,1420,TOTAL,173,14,17,4,55,4,4,16,31
LOS ANGELES,9000197B,3094,59,N,993,POLLING PLACE,84,14,8,2,12,4,0,19,22
LOS ANGELES,9000197B,3094,59,N,0,VBM PORTION,54,2,4,2,7,5,1,7,11
LOS ANGELES,9000197B,3094,59,N,993,TOTAL,138,16,12,4,19,9,1,26,33
LOS ANGELES,9000201B,3095,59,N,1089,POLLING PLACE,55,3,6,2,21,3,1,11,3
LOS ANGELES,9000201B,3095,59,N,0,VBM PORTION,73,2,4,2,24,3,0,7,8
LOS ANGELES,9000201B,3095,59,N,1089,TOTAL,128,5,10,4,45,6,1,18,11
LOS ANGELES,9000203A,3096,56,N,1204,POLLING PLACE,115,3,5,4,26,1,4,15,39
LOS ANGELES,9000203A,3096,56,N,0,VBM PORTION,110,1,4,0,38,2,4,19,26
LOS ANGELES,9000203A,3096,56,N,1204,TOTAL,225,4,9,4,64,3,8,34,65
LOS ANGELES,9000204A,3097,56,N,1148,POLLING PLACE,93,6,1,2,24,1,1,17,27
LOS ANGELES,9000204A,3097,56,N,0,VBM PORTION,118,2,15,7,33,5,2,21,19
LOS ANGELES,9000204A,3097,56,N,1148,TOTAL,211,8,16,9,57,6,3,38,46
LOS ANGELES,9000205A,3098,59,N,1154,POLLING PLACE,49,13,3,0,13,4,0,8,3
LOS ANGELES,9000205A,3098,59,N,0,VBM PORTION,48,3,7,0,11,4,0,4,9
LOS ANGELES,9000205A,3098,59,N,1154,TOTAL,97,16,10,0,24,8,0,12,12
LOS ANGELES,9000206A,3099,56,N,1461,POLLING PLACE,99,3,6,3,28,4,3,19,22
LOS ANGELES,9000206A,3099,56,N,0,VBM PORTION,93,5,11,0,28,6,2,6,28
LOS ANGELES,9000206A,3099,56,N,1461,TOTAL,192,8,17,3,56,10,5,25,50
LOS ANGELES,9000207B,3100,56,N,840,POLLING PLACE,83,2,6,3,23,0,1,12,26
LOS ANGELES,9000207B,3100,56,N,0,VBM PORTION,92,3,9,0,15,0,0,4,32
LOS ANGELES,9000207B,3100,56,N,840,TOTAL,175,5,15,3,38,0,1,16,58
LOS ANGELES,9000212B,3101,56,N,1043,POLLING PLACE,128,2,10,3,30,3,1,19,43
LOS ANGELES,9000212B,3101,56,N,0,VBM PORTION,73,0,4,5,17,0,0,11,24
LOS ANGELES,9000212B,3101,56,N,1043,TOTAL,201,2,14,8,47,3,1,30,67
LOS ANGELES,9000213B,3102,56,N,1300,POLLING PLACE,117,1,6,6,26,4,3,23,35
LOS ANGELES,9000213B,3102,56,N,0,VBM PORTION,141,1,15,4,43,2,3,11,51
LOS ANGELES,9000213B,3102,56,N,1300,TOTAL,258,2,21,10,69,6,6,34,86
LOS ANGELES,9000214A,3103,62,N,471,POLLING PLACE,27,2,1,0,5,5,1,3,8
LOS ANGELES,9000214A,3103,62,N,0,VBM PORTION,27,0,3,0,9,1,0,6,4
LOS ANGELES,9000214A,3103,62,N,471,TOTAL,54,2,4,0,14,6,1,9,12
LOS ANGELES,9000214D,3104,62,N,1245,POLLING PLACE,80,3,6,1,25,5,2,10,21
LOS ANGELES,9000214D,3104,62,N,0,VBM PORTION,71,2,3,2,22,1,3,5,19
LOS ANGELES,9000214D,3104,62,N,1245,TOTAL,151,5,9,3,47,6,5,15,40
LOS ANGELES,9000215B,3105,63,N,1415,POLLING PLACE,125,4,4,4,44,2,2,21,23
LOS ANGELES,9000215B,3105,63,N,0,VBM PORTION,161,3,4,4,50,4,5,20,43
LOS ANGELES,9000215B,3105,63,N,1415,TOTAL,286,7,8,8,94,6,7,41,66
LOS ANGELES,9000222A,3107,15,N,1252,POLLING PLACE,108,9,12,4,15,8,0,16,27
LOS ANGELES,9000222A,3107,15,N,0,VBM PORTION,105,3,12,2,21,9,5,17,19
LOS ANGELES,9000222A,3107,15,N,1252,TOTAL,213,12,24,6,36,17,5,33,46
LOS ANGELES,9000223A,3108,15,N,1045,POLLING PLACE,99,6,6,3,20,3,1,14,33
LOS ANGELES,9000223A,3108,15,N,0,VBM PORTION,72,3,5,2,17,3,0,7,24
LOS ANGELES,9000223A,3108,15,N,1045,TOTAL,171,9,11,5,37,6,1,21,57
LOS ANGELES,9000225A,3110,56,N,1015,POLLING PLACE,87,0,4,2,19,1,1,10,23
LOS ANGELES,9000225A,3110,56,N,0,VBM PORTION,68,2,4,0,19,0,0,6,22
LOS ANGELES,9000225A,3110,56,N,1015,TOTAL,155,2,8,2,38,1,1,16,45
LOS ANGELES,9000228A,3111,56,N,1317,POLLING PLACE,76,4,4,1,21,0,1,9,21
LOS ANGELES,9000228A,3111,56,N,0,VBM PORTION,125,0,9,5,38,4,1,18,26
LOS ANGELES,9000228A,3111,56,N,1317,TOTAL,201,4,13,6,59,4,2,27,47
LOS ANGELES,9000229A,3112,56,N,1165,POLLING PLACE,167,4,5,10,46,8,3,33,33
LOS ANGELES,9000229A,3112,56,N,0,VBM PORTION,139,0,5,3,44,4,6,12,36
LOS ANGELES,9000229A,3112,56,N,1165,TOTAL,306,4,10,13,90,12,9,45,69
LOS ANGELES,9000230A,3113,56,N,1044,POLLING PLACE,124,1,4,5,44,5,1,17,32
LOS ANGELES,9000230A,3113,56,N,0,VBM PORTION,130,2,6,5,39,3,5,17,30
LOS ANGELES,9000230A,3113,56,N,1044,TOTAL,254,3,10,10,83,8,6,34,62
LOS ANGELES,9000231A,3114,63,N,1294,POLLING PLACE,162,2,5,5,59,3,5,27,34
LOS ANGELES,9000231A,3114,63,N,0,VBM PORTION,134,0,3,0,58,3,1,14,29
LOS ANGELES,9000231A,3114,63,N,1294,TOTAL,296,2,8,5,117,6,6,41,63
LOS ANGELES,9000232A,3115,19,N,1258,POLLING PLACE,70,11,6,2,13,0,2,6,13
LOS ANGELES,9000232A,3115,19,N,0,VBM PORTION,47,5,4,1,14,1,0,8,9
LOS ANGELES,9000232A,3115,19,N,1258,TOTAL,117,16,10,3,27,1,2,14,22
LOS ANGELES,9000234A,3116,56,N,1164,POLLING PLACE,137,4,8,3,54,2,2,10,38
LOS ANGELES,9000234A,3116,56,N,0,VBM PORTION,94,0,10,1,26,4,2,16,18
LOS ANGELES,9000234A,3116,56,N,1164,TOTAL,231,4,18,4,80,6,4,26,56
LOS ANGELES,9000240A,3117,43,N,1365,POLLING PLACE,91,5,7,2,21,9,3,16,12
LOS ANGELES,9000240A,3117,43,N,0,VBM PORTION,70,2,4,0,23,5,0,6,12
LOS ANGELES,9000240A,3117,43,N,1365,TOTAL,161,7,11,2,44,14,3,22,24
LOS ANGELES,9000246A,3120,56,N,1095,POLLING PLACE,111,1,3,4,32,3,0,18,28
LOS ANGELES,9000246A,3120,56,N,0,VBM PORTION,104,1,8,1,22,2,0,25,28
LOS ANGELES,9000246A,3120,56,N,1095,TOTAL,215,2,11,5,54,5,0,43,56
LOS ANGELES,9000250B,3123,56,N,1332,POLLING PLACE,84,2,7,4,27,2,1,5,29
LOS ANGELES,9000250B,3123,56,N,0,VBM PORTION,103,2,5,5,28,2,0,12,31
LOS ANGELES,9000250B,3123,56,N,1332,TOTAL,187,4,12,9,55,4,1,17,60
LOS ANGELES,9000251A,3124,63,N,824,POLLING PLACE,129,2,6,4,51,5,1,21,24
LOS ANGELES,9000251A,3124,63,N,0,VBM PORTION,73,1,5,2,24,2,0,11,15
LOS ANGELES,9000251A,3124,63,N,824,TOTAL,202,3,11,6,75,7,1,32,39
LOS ANGELES,9000252A,3125,19,N,1297,POLLING PLACE,145,7,6,6,54,7,2,19,36
LOS ANGELES,9000252A,3125,19,N,0,VBM PORTION,98,6,8,3,34,3,3,13,16
LOS ANGELES,9000252A,3125,19,N,1297,TOTAL,243,13,14,9,88,10,5,32,52
LOS ANGELES,9000254A,3126,56,N,1093,POLLING PLACE,107,2,3,11,36,1,5,11,24
LOS ANGELES,9000254A,3126,56,N,0,VBM PORTION,90,2,9,1,21,1,0,10,24
LOS ANGELES,9000254A,3126,56,N,1093,TOTAL,197,4,12,12,57,2,5,21,48
LOS ANGELES,9000255A,3127,56,N,1457,POLLING PLACE,94,6,5,1,34,2,2,13,19
LOS ANGELES,9000255A,3127,56,N,0,VBM PORTION,126,3,5,4,33,3,0,11,42
LOS ANGELES,9000255A,3127,56,N,1457,TOTAL,220,9,10,5,67,5,2,24,61
LOS ANGELES,9000257B,3128,56,N,1198,POLLING PLACE,85,3,9,5,23,3,1,9,20
LOS ANGELES,9000257B,3128,56,N,0,VBM PORTION,95,0,4,5,22,1,3,19,24
LOS ANGELES,9000257B,3128,56,N,1198,TOTAL,180,3,13,10,45,4,4,28,44
LOS ANGELES,9000259A,3129,56,N,1273,POLLING PLACE,86,1,5,2,21,3,1,14,26
LOS ANGELES,9000259A,3129,56,N,0,VBM PORTION,130,2,7,6,45,3,1,11,34
LOS ANGELES,9000259A,3129,56,N,1273,TOTAL,216,3,12,8,66,6,2,25,60
LOS ANGELES,9000260A,3130,63,N,966,POLLING PLACE,89,0,4,2,35,1,2,15,20
LOS ANGELES,9000260A,3130,63,N,0,VBM PORTION,176,1,3,3,62,7,2,26,51
LOS ANGELES,9000260A,3130,63,N,966,TOTAL,265,1,7,5,97,8,4,41,71
LOS ANGELES,9000261C,3131,63,N,935,POLLING PLACE,65,5,1,2,19,2,2,6,20
LOS ANGELES,9000261C,3131,63,N,0,VBM PORTION,65,1,1,0,26,2,2,6,11
LOS ANGELES,9000261C,3131,63,N,935,TOTAL,130,6,2,2,45,4,4,12,31
LOS ANGELES,9000262A,3132,43,N,1072,POLLING PLACE,82,3,6,1,35,2,1,12,11
LOS ANGELES,9000262A,3132,43,N,0,VBM PORTION,58,0,8,1,19,4,1,6,8
LOS ANGELES,9000262A,3132,43,N,1072,TOTAL,140,3,14,2,54,6,2,18,19
LOS ANGELES,9000263A,3133,45,N,763,POLLING PLACE,69,1,4,2,30,5,0,7,13
LOS ANGELES,9000263A,3133,45,N,0,VBM PORTION,45,0,3,0,18,0,0,3,12
LOS ANGELES,9000263A,3133,45,N,763,TOTAL,114,1,7,2,48,5,0,10,25
LOS ANGELES,9000264A,3134,82,N,445,POLLING PLACE,80,0,1,3,26,3,4,8,26
LOS ANGELES,9000264A,3134,82,N,0,VBM PORTION,70,0,4,0,21,1,1,9,24
LOS ANGELES,9000264A,3134,82,N,445,TOTAL,150,0,5,3,47,4,5,17,50
LOS ANGELES,9000267A,3135,82,N,1181,POLLING PLACE,142,2,4,9,46,3,3,26,29
LOS ANGELES,9000267A,3135,82,N,0,VBM PORTION,185,1,8,11,60,1,0,23,44
LOS ANGELES,9000267A,3135,82,N,1181,TOTAL,327,3,12,20,106,4,3,49,73
LOS ANGELES,9000268A,3136,63,N,1383,POLLING PLACE,146,3,5,3,56,5,3,24,34
LOS ANGELES,9000268A,3136,63,N,0,VBM PORTION,163,1,7,2,53,2,2,22,39
LOS ANGELES,9000268A,3136,63,N,1383,TOTAL,309,4,12,5,109,7,5,46,73
LOS ANGELES,9000272A,3139,83,N,719,POLLING PLACE,130,1,6,3,37,6,1,33,27
LOS ANGELES,9000272A,3139,83,N,0,VBM PORTION,87,1,3,2,24,4,0,22,20
LOS ANGELES,9000272A,3139,83,N,719,TOTAL,217,2,9,5,61,10,1,55,47
LOS ANGELES,9000300A,3156,15,N,1111,POLLING PLACE,47,11,5,3,7,0,1,8,10
LOS ANGELES,9000300A,3156,15,N,0,VBM PORTION,33,6,3,0,7,0,0,3,7
LOS ANGELES,9000300A,3156,15,N,1111,TOTAL,80,17,8,3,14,0,1,11,17
LOS ANGELES,9000301A,3157,15,N,1242,POLLING PLACE,91,13,8,2,14,2,3,13,23
LOS ANGELES,9000301A,3157,15,N,0,VBM PORTION,64,12,6,1,13,1,0,9,11
LOS ANGELES,9000301A,3157,15,N,1242,TOTAL,155,25,14,3,27,3,3,22,34
LOS ANGELES,9000305A,3160,15,N,1023,POLLING PLACE,93,5,8,11,22,2,1,15,21
LOS ANGELES,9000305A,3160,15,N,0,VBM PORTION,116,6,7,6,27,1,2,13,41
LOS ANGELES,9000305A,3160,15,N,1023,TOTAL,209,11,15,17,49,3,3,28,62
LOS ANGELES,9000307A,3161,63,N,1085,POLLING PLACE,99,1,5,2,33,2,6,11,29
LOS ANGELES,9000307A,3161,63,N,0,VBM PORTION,86,0,11,0,35,3,4,6,12
LOS ANGELES,9000307A,3161,63,N,1085,TOTAL,185,1,16,2,68,5,10,17,41
LOS ANGELES,9000308B,3162,15,N,1228,POLLING PLACE,84,4,5,8,28,2,2,9,16
LOS ANGELES,9000308B,3162,15,N,0,VBM PORTION,121,7,13,6,30,5,1,20,19
LOS ANGELES,9000308B,3162,15,N,1228,TOTAL,205,11,18,14,58,7,3,29,35
LOS ANGELES,9000311A,3163,81,N,1206,POLLING PLACE,72,0,3,6,25,2,4,10,11
LOS ANGELES,9000311A,3163,81,N,0,VBM PORTION,63,0,1,2,21,3,4,11,14
LOS ANGELES,9000311A,3163,81,N,1206,TOTAL,135,0,4,8,46,5,8,21,25
LOS ANGELES,9000312A,3164,15,N,885,POLLING PLACE,99,7,12,4,22,2,1,6,30
LOS ANGELES,9000312A,3164,15,N,0,VBM PORTION,66,5,10,1,19,1,1,8,18
LOS ANGELES,9000312A,3164,15,N,885,TOTAL,165,12,22,5,41,3,2,14,48
LOS ANGELES,9000313B,3165,15,N,888,POLLING PLACE,38,9,1,0,11,2,0,7,4
LOS ANGELES,9000313B,3165,15,N,0,VBM PORTION,25,2,1,1,6,5,1,2,3
LOS ANGELES,9000313B,3165,15,N,888,TOTAL,63,11,2,1,17,7,1,9,7
LOS ANGELES,9000314A,3166,15,N,1208,POLLING PLACE,80,5,10,6,20,5,2,7,14
LOS ANGELES,9000314A,3166,15,N,0,VBM PORTION,53,8,5,3,14,2,0,0,9
LOS ANGELES,9000314A,3166,15,N,1208,TOTAL,133,13,15,9,34,7,2,7,23
LOS ANGELES,9000316A,3168,15,N,981,POLLING PLACE,72,3,6,3,17,0,2,12,26
LOS ANGELES,9000316A,3168,15,N,0,VBM PORTION,72,8,5,2,23,1,0,3,21
LOS ANGELES,9000316A,3168,15,N,981,TOTAL,144,11,11,5,40,1,2,15,47
LOS ANGELES,9000317A,3169,43,N,1059,POLLING PLACE,83,3,4,1,25,10,2,16,12
LOS ANGELES,9000317A,3169,43,N,0,VBM PORTION,98,2,7,0,35,5,1,10,21
LOS ANGELES,9000317A,3169,43,N,1059,TOTAL,181,5,11,1,60,15,3,26,33
LOS ANGELES,9000318B,3170,56,N,987,POLLING PLACE,88,2,10,3,18,1,2,13,23
LOS ANGELES,9000318B,3170,56,N,0,VBM PORTION,82,2,10,3,20,2,3,11,17
LOS ANGELES,9000318B,3170,56,N,987,TOTAL,170,4,20,6,38,3,5,24,40
LOS ANGELES,9000321A,3172,15,N,1143,POLLING PLACE,45,6,1,2,11,1,0,7,10
LOS ANGELES,9000321A,3172,15,N,0,VBM PORTION,50,7,2,0,13,0,0,3,11
LOS ANGELES,9000321A,3172,15,N,1143,TOTAL,95,13,3,2,24,1,0,10,21
LOS ANGELES,9000324A,3174,15,N,1028,POLLING PLACE,67,12,2,3,12,0,0,16,15
LOS ANGELES,9000324A,3174,15,N,0,VBM PORTION,32,2,3,0,9,0,0,4,6
LOS ANGELES,9000324A,3174,15,N,1028,TOTAL,99,14,5,3,21,0,0,20,21
LOS ANGELES,9000325A,3175,15,N,914,POLLING PLACE,95,5,7,0,15,3,1,22,27
LOS ANGELES,9000325A,3175,15,N,0,VBM PORTION,60,3,0,4,8,2,0,11,22
LOS ANGELES,9000325A,3175,15,N,914,TOTAL,155,8,7,4,23,5,1,33,49
LOS ANGELES,9000326A,3176,41,N,1072,POLLING PLACE,108,6,2,1,32,5,1,18,24
LOS ANGELES,9000326A,3176,41,N,0,VBM PORTION,55,0,2,0,22,3,1,9,7
LOS ANGELES,9000326A,3176,41,N,1072,TOTAL,163,6,4,1,54,8,2,27,31
LOS ANGELES,9000327A,3177,15,N,1190,POLLING PLACE,77,14,3,1,14,0,2,17,19
LOS ANGELES,9000327A,3177,15,N,0,VBM PORTION,54,9,8,0,12,0,0,3,15
LOS ANGELES,9000327A,3177,15,N,1190,TOTAL,131,23,11,1,26,0,2,20,34
LOS ANGELES,9000330A,3178,15,N,960,POLLING PLACE,67,6,8,1,10,1,1,8,22
LOS ANGELES,9000330A,3178,15,N,0,VBM PORTION,46,1,5,0,16,1,0,8,9
LOS ANGELES,9000330A,3178,15,N,960,TOTAL,113,7,13,1,26,2,1,16,31
LOS ANGELES,9000331A,3179,15,N,1093,POLLING PLACE,80,10,5,2,20,1,2,11,21
LOS ANGELES,9000331A,3179,15,N,0,VBM PORTION,73,2,9,1,20,0,1,10,15
LOS ANGELES,9000331A,3179,15,N,1093,TOTAL,153,12,14,3,40,1,3,21,36
LOS ANGELES,9000344A,3185,15,N,896,POLLING PLACE,59,5,10,2,7,0,0,6,17
LOS ANGELES,9000344A,3185,15,N,0,VBM PORTION,29,4,4,1,1,2,0,6,8
LOS ANGELES,9000344A,3185,15,N,896,TOTAL,88,9,14,3,8,2,0,12,25
LOS ANGELES,9000345A,3186,15,N,1119,POLLING PLACE,119,6,11,5,36,2,0,18,32
LOS ANGELES,9000345A,3186,15,N,0,VBM PORTION,103,2,5,0,29,4,3,15,32
LOS ANGELES,9000345A,3186,15,N,1119,TOTAL,222,8,16,5,65,6,3,33,64
LOS ANGELES,9000347A,3188,63,N,1206,POLLING PLACE,80,6,2,1,28,2,3,8,22
LOS ANGELES,9000347A,3188,63,N,0,VBM PORTION,84,1,5,5,22,0,2,8,28
LOS ANGELES,9000347A,3188,63,N,1206,TOTAL,164,7,7,6,50,2,5,16,50
LOS ANGELES,9000348C,3189,63,N,1002,POLLING PLACE,77,2,6,2,25,2,2,18,15
LOS ANGELES,9000348C,3189,63,N,0,VBM PORTION,86,3,3,1,28,5,0,9,22
LOS ANGELES,9000348C,3189,63,N,1002,TOTAL,163,5,9,3,53,7,2,27,37
LOS ANGELES,9000349D,6180,17,Y,0,POLLING PLACE,0,0,0,0,0,0,0,0,0
LOS ANGELES,9000349D,6180,17,Y,0,VBM PORTION,0,0,0,0,0,0,0,0,0
LOS ANGELES,9000349D,6180,17,Y,0,TOTAL,0,0,0,0,0,0,0,0,0
LOS ANGELES,9000352A,3191,7,N,1232,POLLING PLACE,110,5,11,3,30,4,1,23,22
LOS ANGELES,9000352A,3191,7,N,0,VBM PORTION,96,0,11,5,16,5,2,12,27
LOS ANGELES,9000352A,3191,7,N,1232,TOTAL,206,5,22,8,46,9,3,35,49
LOS ANGELES,9000356A,3192,59,N,1218,POLLING PLACE,110,6,5,1,21,3,2,17,41
LOS ANGELES,9000356A,3192,59,N,0,VBM PORTION,104,4,9,1,29,2,3,14,22
LOS ANGELES,9000356A,3192,59,N,1218,TOTAL,214,10,14,2,50,5,5,31,63
LOS ANGELES,9000358A,3194,59,N,1213,POLLING PLACE,106,4,4,4,28,3,1,18,31
LOS ANGELES,9000358A,3194,59,N,0,VBM PORTION,114,2,10,1,22,6,0,24,29
LOS ANGELES,9000358A,3194,59,N,1213,TOTAL,220,6,14,5,50,9,1,42,60
LOS ANGELES,9000359B,3195,56,N,1213,POLLING PLACE,49,3,10,2,12,2,0,5,11
LOS ANGELES,9000359B,3195,56,N,0,VBM PORTION,89,1,16,2,11,4,0,14,24
LOS ANGELES,9000359B,3195,56,N,1213,TOTAL,138,4,26,4,23,6,0,19,35
LOS ANGELES,9000362A,3196,7,N,1313,POLLING PLACE,105,6,12,6,23,6,0,19,28
