LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,TED LIEU,ELAN CARR,
MANHATTAN BEACH,4100050A,1738,375,N,924,POLLING PLACE,150,84,57,
MANHATTAN BEACH,4100050A,1738,375,N,,VBM PORTION,82,43,38,
MANHATTAN BEACH,4100050A,1738,375,N,924,TOTAL,232,127,95,
MARINA DEL REY,4150041A,1739,323,N,508,POLLING PLACE,76,63,12,
MARINA DEL REY,4150041A,1739,323,N,,VBM PORTION,38,21,16,
MARINA DEL REY,4150041A,1739,323,N,508,TOTAL,114,84,28,
MARINA DEL REY,4150045A,1740,323,N,1206,POLLING PLACE,246,151,74,
MARINA DEL REY,4150045A,1740,323,N,,VBM PORTION,102,56,39,
MARINA DEL REY,4150045A,1740,323,N,1206,TOTAL,348,207,113,
MARINA DEL REY,4150048A,1741,323,N,899,POLLING PLACE,142,93,38,
MARINA DEL REY,4150048A,1741,323,N,,VBM PORTION,52,31,19,
MARINA DEL REY,4150048A,1741,323,N,899,TOTAL,194,124,57,
MARINA DEL REY,4150050A,1742,323,N,723,POLLING PLACE,144,109,33,
MARINA DEL REY,4150050A,1742,323,N,,VBM PORTION,48,26,18,
MARINA DEL REY,4150050A,1742,323,N,723,TOTAL,192,135,51,
MARINA DEL REY,4150051A,1743,323,N,427,POLLING PLACE,36,22,13,
MARINA DEL REY,4150051A,1743,323,N,,VBM PORTION,34,17,17,
MARINA DEL REY,4150051A,1743,323,N,427,TOTAL,70,39,30,
MARINA DEL REY,4150053A,1744,323,N,1237,POLLING PLACE,298,190,96,
MARINA DEL REY,4150053A,1744,323,N,,VBM PORTION,110,54,47,
MARINA DEL REY,4150053A,1744,323,N,1237,TOTAL,408,244,143,
OCEAN VIEW,4850002A,1888,379,N,720,POLLING PLACE,169,86,80,
OCEAN VIEW,4850002A,1888,379,N,,VBM PORTION,120,55,60,
OCEAN VIEW,4850002A,1888,379,N,720,TOTAL,289,141,140,
OCEAN VIEW,4850005A,1889,380,N,582,POLLING PLACE,182,65,113,
OCEAN VIEW,4850005A,1889,380,N,,VBM PORTION,83,29,51,
OCEAN VIEW,4850005A,1889,380,N,582,TOTAL,265,94,164,
PALOS VERDES ESTATES,5050001A,1956,379,N,1180,POLLING PLACE,347,125,210,
PALOS VERDES ESTATES,5050001A,1956,379,N,,VBM PORTION,183,50,129,
PALOS VERDES ESTATES,5050001A,1956,379,N,1180,TOTAL,530,175,339,
PALOS VERDES ESTATES,5050003A,1957,379,N,1072,POLLING PLACE,246,87,141,
PALOS VERDES ESTATES,5050003A,1957,379,N,,VBM PORTION,153,56,89,
PALOS VERDES ESTATES,5050003A,1957,379,N,1072,TOTAL,399,143,230,
PALOS VERDES ESTATES,5050003D,1958,379,N,1122,POLLING PLACE,308,108,190,
PALOS VERDES ESTATES,5050003D,1958,379,N,,VBM PORTION,146,50,88,
PALOS VERDES ESTATES,5050003D,1958,379,N,1122,TOTAL,454,158,278,
PALOS VERDES ESTATES,5050005A,1959,379,N,908,POLLING PLACE,200,81,110,
PALOS VERDES ESTATES,5050005A,1959,379,N,,VBM PORTION,145,43,96,
PALOS VERDES ESTATES,5050005A,1959,379,N,908,TOTAL,345,124,206,
PALOS VERDES ESTATES,5050007A,1960,379,N,1324,POLLING PLACE,259,106,136,
PALOS VERDES ESTATES,5050007A,1960,379,N,,VBM PORTION,260,92,153,
PALOS VERDES ESTATES,5050007A,1960,379,N,1324,TOTAL,519,198,289,
PALOS VERDES ESTATES,5050008B,1961,379,N,517,POLLING PLACE,151,53,91,
PALOS VERDES ESTATES,5050008B,1961,379,N,,VBM PORTION,96,30,61,
PALOS VERDES ESTATES,5050008B,1961,379,N,517,TOTAL,247,83,152,
PALOS VERDES ESTATES,5050010A,1962,379,N,1008,POLLING PLACE,279,117,151,
PALOS VERDES ESTATES,5050010A,1962,379,N,,VBM PORTION,123,52,65,
PALOS VERDES ESTATES,5050010A,1962,379,N,1008,TOTAL,402,169,216,
PALOS VERDES ESTATES,5050012A,1963,379,N,1255,POLLING PLACE,334,123,191,
PALOS VERDES ESTATES,5050012A,1963,379,N,,VBM PORTION,190,70,106,
PALOS VERDES ESTATES,5050012A,1963,379,N,1255,TOTAL,524,193,297,
PALOS VERDES ESTATES,5050014A,1964,379,N,1304,POLLING PLACE,321,136,178,
PALOS VERDES ESTATES,5050014A,1964,379,N,,VBM PORTION,207,71,131,
PALOS VERDES ESTATES,5050014A,1964,379,N,1304,TOTAL,528,207,309,
RANCHO PALOS VERDES,5530002A,2169,379,N,1300,POLLING PLACE,330,141,170,
RANCHO PALOS VERDES,5530002A,2169,379,N,,VBM PORTION,168,74,88,
RANCHO PALOS VERDES,5530002A,2169,379,N,1300,TOTAL,498,215,258,
RANCHO PALOS VERDES,5530006A,2170,379,N,701,POLLING PLACE,174,77,89,
RANCHO PALOS VERDES,5530006A,2170,379,N,,VBM PORTION,125,54,62,
RANCHO PALOS VERDES,5530006A,2170,379,N,701,TOTAL,299,131,151,
RANCHO PALOS VERDES,5530007A,2171,379,N,1044,POLLING PLACE,315,120,173,
RANCHO PALOS VERDES,5530007A,2171,379,N,,VBM PORTION,147,47,94,
RANCHO PALOS VERDES,5530007A,2171,379,N,1044,TOTAL,462,167,267,
RANCHO PALOS VERDES,5530013A,2172,379,N,987,POLLING PLACE,238,106,118,
RANCHO PALOS VERDES,5530013A,2172,379,N,,VBM PORTION,141,56,71,
RANCHO PALOS VERDES,5530013A,2172,379,N,987,TOTAL,379,162,189,
RANCHO PALOS VERDES,5530015A,2173,379,N,1111,POLLING PLACE,249,110,121,
RANCHO PALOS VERDES,5530015A,2173,379,N,,VBM PORTION,146,76,65,
RANCHO PALOS VERDES,5530015A,2173,379,N,1111,TOTAL,395,186,186,
RANCHO PALOS VERDES,5530016A,2174,379,N,1147,POLLING PLACE,251,111,129,
RANCHO PALOS VERDES,5530016A,2174,379,N,,VBM PORTION,197,70,119,
RANCHO PALOS VERDES,5530016A,2174,379,N,1147,TOTAL,448,181,248,
RANCHO PALOS VERDES,5530018B,2175,379,N,1151,POLLING PLACE,230,110,112,
RANCHO PALOS VERDES,5530018B,2175,379,N,,VBM PORTION,129,54,70,
RANCHO PALOS VERDES,5530018B,2175,379,N,1151,TOTAL,359,164,182,
RANCHO PALOS VERDES,5530021A,2176,379,N,1201,POLLING PLACE,299,119,173,
RANCHO PALOS VERDES,5530021A,2176,379,N,,VBM PORTION,139,49,87,
RANCHO PALOS VERDES,5530021A,2176,379,N,1201,TOTAL,438,168,260,
RANCHO PALOS VERDES,5530026A,2177,379,N,1556,POLLING PLACE,391,173,204,
RANCHO PALOS VERDES,5530026A,2177,379,N,,VBM PORTION,289,103,171,
RANCHO PALOS VERDES,5530026A,2177,379,N,1556,TOTAL,680,276,375,
RANCHO PALOS VERDES,5530027A,2178,379,N,1320,POLLING PLACE,284,120,149,
RANCHO PALOS VERDES,5530027A,2178,379,N,,VBM PORTION,224,92,124,
RANCHO PALOS VERDES,5530027A,2178,379,N,1320,TOTAL,508,212,273,
RANCHO PALOS VERDES,5530031A,2179,379,N,1211,POLLING PLACE,238,119,109,
RANCHO PALOS VERDES,5530031A,2179,379,N,,VBM PORTION,159,76,77,
RANCHO PALOS VERDES,5530031A,2179,379,N,1211,TOTAL,397,195,186,
RANCHO PALOS VERDES,5530032A,2180,379,N,1015,POLLING PLACE,212,82,120,
RANCHO PALOS VERDES,5530032A,2180,379,N,,VBM PORTION,164,72,86,
RANCHO PALOS VERDES,5530032A,2180,379,N,1015,TOTAL,376,154,206,
RANCHO PALOS VERDES,5530033A,2181,379,N,1147,POLLING PLACE,220,94,119,
RANCHO PALOS VERDES,5530033A,2181,379,N,,VBM PORTION,159,76,78,
RANCHO PALOS VERDES,5530033A,2181,379,N,1147,TOTAL,379,170,197,
RANCHO PALOS VERDES,5530036A,2182,379,N,1294,POLLING PLACE,273,91,156,
RANCHO PALOS VERDES,5530036A,2182,379,N,,VBM PORTION,189,52,131,
RANCHO PALOS VERDES,5530036A,2182,379,N,1294,TOTAL,462,143,287,
RANCHO PALOS VERDES,5530040A,2183,379,N,766,POLLING PLACE,228,103,118,
RANCHO PALOS VERDES,5530040A,2183,379,N,,VBM PORTION,89,47,39,
RANCHO PALOS VERDES,5530040A,2183,379,N,766,TOTAL,317,150,157,
RANCHO PALOS VERDES,5530041A,2184,379,N,1261,POLLING PLACE,263,93,160,
RANCHO PALOS VERDES,5530041A,2184,379,N,,VBM PORTION,248,90,149,
RANCHO PALOS VERDES,5530041A,2184,379,N,1261,TOTAL,511,183,309,
RANCHO PALOS VERDES,5530042A,2185,379,N,1190,POLLING PLACE,330,109,201,
RANCHO PALOS VERDES,5530042A,2185,379,N,,VBM PORTION,157,60,93,
RANCHO PALOS VERDES,5530042A,2185,379,N,1190,TOTAL,487,169,294,
RANCHO PALOS VERDES,5530048A,2186,379,N,1366,POLLING PLACE,300,138,154,
RANCHO PALOS VERDES,5530048A,2186,379,N,,VBM PORTION,263,83,170,
RANCHO PALOS VERDES,5530048A,2186,379,N,1366,TOTAL,563,221,324,
RANCHO PALOS VERDES,5530055A,2187,379,N,799,POLLING PLACE,194,92,95,
RANCHO PALOS VERDES,5530055A,2187,379,N,,VBM PORTION,112,43,62,
RANCHO PALOS VERDES,5530055A,2187,379,N,799,TOTAL,306,135,157,
RANCHO PALOS VERDES,5530059A,2188,379,N,1111,POLLING PLACE,220,101,104,
RANCHO PALOS VERDES,5530059A,2188,379,N,,VBM PORTION,123,56,60,
RANCHO PALOS VERDES,5530059A,2188,379,N,1111,TOTAL,343,157,164,
RANCHO PALOS VERDES,5530080A,2189,379,N,712,POLLING PLACE,179,83,89,
RANCHO PALOS VERDES,5530080A,2189,379,N,,VBM PORTION,106,41,54,
RANCHO PALOS VERDES,5530080A,2189,379,N,712,TOTAL,285,124,143,
RANCHO PALOS VERDES,5530081B,2190,379,N,1015,POLLING PLACE,201,69,123,
RANCHO PALOS VERDES,5530081B,2190,379,N,,VBM PORTION,136,47,81,
RANCHO PALOS VERDES,5530081B,2190,379,N,1015,TOTAL,337,116,204,
RANCHO PALOS VERDES,5530082A,2191,379,N,811,POLLING PLACE,171,95,67,
RANCHO PALOS VERDES,5530082A,2191,379,N,,VBM PORTION,98,48,44,
RANCHO PALOS VERDES,5530082A,2191,379,N,811,TOTAL,269,143,111,
RANCHO PALOS VERDES,5530085A,2192,379,N,888,POLLING PLACE,206,91,104,
RANCHO PALOS VERDES,5530085A,2192,379,N,,VBM PORTION,106,46,54,
RANCHO PALOS VERDES,5530085A,2192,379,N,888,TOTAL,312,137,158,
RANCHO PALOS VERDES,5530086A,2193,379,N,802,POLLING PLACE,191,102,78,
RANCHO PALOS VERDES,5530086A,2193,379,N,,VBM PORTION,82,47,34,
RANCHO PALOS VERDES,5530086A,2193,379,N,802,TOTAL,273,149,112,
REDONDO BEACH,5550001A,2194,374,N,966,POLLING PLACE,176,104,66,
REDONDO BEACH,5550001A,2194,374,N,,VBM PORTION,110,54,52,
REDONDO BEACH,5550001A,2194,374,N,966,TOTAL,286,158,118,
REDONDO BEACH,5550004A,2195,374,N,819,POLLING PLACE,179,97,76,
REDONDO BEACH,5550004A,2195,374,N,,VBM PORTION,111,49,53,
REDONDO BEACH,5550004A,2195,374,N,819,TOTAL,290,146,129,
REDONDO BEACH,5550005A,2196,374,N,899,POLLING PLACE,239,131,100,
REDONDO BEACH,5550005A,2196,374,N,,VBM PORTION,92,49,39,
REDONDO BEACH,5550005A,2196,374,N,899,TOTAL,331,180,139,
REDONDO BEACH,5550006A,2197,374,N,1005,POLLING PLACE,210,120,86,
REDONDO BEACH,5550006A,2197,374,N,,VBM PORTION,125,50,66,
REDONDO BEACH,5550006A,2197,374,N,1005,TOTAL,335,170,152,
REDONDO BEACH,5550010A,2198,374,N,832,POLLING PLACE,192,73,112,
REDONDO BEACH,5550010A,2198,374,N,,VBM PORTION,105,43,58,
REDONDO BEACH,5550010A,2198,374,N,832,TOTAL,297,116,170,
REDONDO BEACH,5550012A,2199,374,N,981,POLLING PLACE,190,104,76,
REDONDO BEACH,5550012A,2199,374,N,,VBM PORTION,108,67,38,
REDONDO BEACH,5550012A,2199,374,N,981,TOTAL,298,171,114,
REDONDO BEACH,5550013A,2200,374,N,911,POLLING PLACE,269,144,108,
REDONDO BEACH,5550013A,2200,374,N,,VBM PORTION,99,62,28,
REDONDO BEACH,5550013A,2200,374,N,911,TOTAL,368,206,136,
REDONDO BEACH,5550014A,2201,374,N,1244,POLLING PLACE,283,153,124,
REDONDO BEACH,5550014A,2201,374,N,,VBM PORTION,162,98,57,
REDONDO BEACH,5550014A,2201,374,N,1244,TOTAL,445,251,181,
REDONDO BEACH,5550015A,2202,374,N,883,POLLING PLACE,207,109,94,
REDONDO BEACH,5550015A,2202,374,N,,VBM PORTION,91,41,47,
REDONDO BEACH,5550015A,2202,374,N,883,TOTAL,298,150,141,
REDONDO BEACH,5550016A,2203,374,N,1227,POLLING PLACE,289,169,111,
REDONDO BEACH,5550016A,2203,374,N,,VBM PORTION,132,61,67,
REDONDO BEACH,5550016A,2203,374,N,1227,TOTAL,421,230,178,
REDONDO BEACH,5550017A,2204,374,N,1224,POLLING PLACE,255,141,107,
REDONDO BEACH,5550017A,2204,374,N,,VBM PORTION,134,60,68,
REDONDO BEACH,5550017A,2204,374,N,1224,TOTAL,389,201,175,
REDONDO BEACH,5550019A,2205,374,N,1390,POLLING PLACE,297,157,122,
REDONDO BEACH,5550019A,2205,374,N,,VBM PORTION,172,75,89,
REDONDO BEACH,5550019A,2205,374,N,1390,TOTAL,469,232,211,
REDONDO BEACH,5550024A,2206,374,N,1272,POLLING PLACE,271,159,106,
REDONDO BEACH,5550024A,2206,374,N,,VBM PORTION,101,49,46,
REDONDO BEACH,5550024A,2206,374,N,1272,TOTAL,372,208,152,
REDONDO BEACH,5550029A,2207,374,N,936,POLLING PLACE,256,129,120,
REDONDO BEACH,5550029A,2207,374,N,,VBM PORTION,82,45,31,
REDONDO BEACH,5550029A,2207,374,N,936,TOTAL,338,174,151,
REDONDO BEACH,5550030A,2208,374,N,971,POLLING PLACE,259,137,112,
REDONDO BEACH,5550030A,2208,374,N,,VBM PORTION,133,78,50,
REDONDO BEACH,5550030A,2208,374,N,971,TOTAL,392,215,162,
REDONDO BEACH,5550032A,2209,374,N,1047,POLLING PLACE,236,127,91,
REDONDO BEACH,5550032A,2209,374,N,,VBM PORTION,90,50,37,
REDONDO BEACH,5550032A,2209,374,N,1047,TOTAL,326,177,128,
REDONDO BEACH,5550035A,2210,374,N,1129,POLLING PLACE,183,111,67,
REDONDO BEACH,5550035A,2210,374,N,,VBM PORTION,135,87,42,
REDONDO BEACH,5550035A,2210,374,N,1129,TOTAL,318,198,109,
REDONDO BEACH,5550036A,2211,374,N,996,POLLING PLACE,177,103,71,
REDONDO BEACH,5550036A,2211,374,N,,VBM PORTION,37,18,18,
REDONDO BEACH,5550036A,2211,374,N,996,TOTAL,214,121,89,
REDONDO BEACH,5550038A,2212,374,N,1049,POLLING PLACE,199,102,90,
REDONDO BEACH,5550038A,2212,374,N,,VBM PORTION,112,58,51,
REDONDO BEACH,5550038A,2212,374,N,1049,TOTAL,311,160,141,
REDONDO BEACH,5550041A,2213,374,N,1367,POLLING PLACE,269,154,98,
REDONDO BEACH,5550041A,2213,374,N,,VBM PORTION,93,56,32,
REDONDO BEACH,5550041A,2213,374,N,1367,TOTAL,362,210,130,
REDONDO BEACH,5550042A,2214,374,N,1047,POLLING PLACE,282,143,123,
REDONDO BEACH,5550042A,2214,374,N,,VBM PORTION,114,64,47,
REDONDO BEACH,5550042A,2214,374,N,1047,TOTAL,396,207,170,
REDONDO BEACH,5550045A,2215,374,N,1279,POLLING PLACE,286,173,94,
REDONDO BEACH,5550045A,2215,374,N,,VBM PORTION,94,59,33,
REDONDO BEACH,5550045A,2215,374,N,1279,TOTAL,380,232,127,
REDONDO BEACH,5550046A,2216,374,N,1197,POLLING PLACE,256,132,107,
REDONDO BEACH,5550046A,2216,374,N,,VBM PORTION,109,52,51,
REDONDO BEACH,5550046A,2216,374,N,1197,TOTAL,365,184,158,
REDONDO BEACH,5550050A,2217,374,N,960,POLLING PLACE,166,97,59,
REDONDO BEACH,5550050A,2217,374,N,,VBM PORTION,86,52,30,
REDONDO BEACH,5550050A,2217,374,N,960,TOTAL,252,149,89,
REDONDO BEACH,5550051A,2218,374,N,933,POLLING PLACE,210,126,77,
REDONDO BEACH,5550051A,2218,374,N,,VBM PORTION,46,28,16,
REDONDO BEACH,5550051A,2218,374,N,933,TOTAL,256,154,93,
REDONDO BEACH,5550056A,2219,374,N,1293,POLLING PLACE,366,202,154,
REDONDO BEACH,5550056A,2219,374,N,,VBM PORTION,161,74,80,
REDONDO BEACH,5550056A,2219,374,N,1293,TOTAL,527,276,234,
REDONDO BEACH,5550058A,2220,374,N,1363,POLLING PLACE,298,171,107,
REDONDO BEACH,5550058A,2220,374,N,,VBM PORTION,99,47,45,
REDONDO BEACH,5550058A,2220,374,N,1363,TOTAL,397,218,152,
REDONDO BEACH,5550063B,2221,374,N,1078,POLLING PLACE,217,115,98,
REDONDO BEACH,5550063B,2221,374,N,,VBM PORTION,106,70,35,
REDONDO BEACH,5550063B,2221,374,N,1078,TOTAL,323,185,133,
REDONDO BEACH,5550069A,2222,374,N,1243,POLLING PLACE,220,115,93,
REDONDO BEACH,5550069A,2222,374,N,,VBM PORTION,168,73,86,
REDONDO BEACH,5550069A,2222,374,N,1243,TOTAL,388,188,179,
REDONDO BEACH,5550070A,2223,374,N,1023,POLLING PLACE,207,110,87,
REDONDO BEACH,5550070A,2223,374,N,,VBM PORTION,150,79,60,
REDONDO BEACH,5550070A,2223,374,N,1023,TOTAL,357,189,147,
REDONDO BEACH,5550090A,2224,374,N,799,POLLING PLACE,164,71,92,
REDONDO BEACH,5550090A,2224,374,N,,VBM PORTION,81,35,45,
REDONDO BEACH,5550090A,2224,374,N,799,TOTAL,245,106,137,
REDONDO BEACH,5550091A,2225,374,N,892,POLLING PLACE,166,96,67,
REDONDO BEACH,5550091A,2225,374,N,,VBM PORTION,105,49,47,
REDONDO BEACH,5550091A,2225,374,N,892,TOTAL,271,145,114,
REDONDO BEACH,5550092A,2226,374,N,1261,POLLING PLACE,270,143,116,
REDONDO BEACH,5550092A,2226,374,N,,VBM PORTION,111,59,50,
REDONDO BEACH,5550092A,2226,374,N,1261,TOTAL,381,202,166,
REDONDO BEACH,5550093B,2227,374,N,1341,POLLING PLACE,327,181,131,
REDONDO BEACH,5550093B,2227,374,N,,VBM PORTION,129,66,46,
REDONDO BEACH,5550093B,2227,374,N,1341,TOTAL,456,247,177,
REDONDO BEACH,5550094A,2228,374,N,1013,POLLING PLACE,214,114,93,
REDONDO BEACH,5550094A,2228,374,N,,VBM PORTION,102,50,47,
REDONDO BEACH,5550094A,2228,374,N,1013,TOTAL,316,164,140,
REDONDO BEACH,5550095A,2229,374,N,992,POLLING PLACE,228,115,107,
REDONDO BEACH,5550095A,2229,374,N,,VBM PORTION,116,61,48,
REDONDO BEACH,5550095A,2229,374,N,992,TOTAL,344,176,155,
REDONDO BEACH,5550097A,2230,374,N,656,POLLING PLACE,163,84,72,
REDONDO BEACH,5550097A,2230,374,N,,VBM PORTION,68,29,38,
REDONDO BEACH,5550097A,2230,374,N,656,TOTAL,231,113,110,
REDONDO BEACH,5550098A,2231,374,N,1265,POLLING PLACE,248,143,90,
REDONDO BEACH,5550098A,2231,374,N,,VBM PORTION,119,67,46,
REDONDO BEACH,5550098A,2231,374,N,1265,TOTAL,367,210,136,
ROLLING HILLS,5700001A,2233,379,N,747,POLLING PLACE,211,50,151,
ROLLING HILLS,5700001A,2233,379,N,,VBM PORTION,92,15,71,
ROLLING HILLS,5700001A,2233,379,N,747,TOTAL,303,65,222,
ROLLING HILLS,5700002A,2234,379,N,684,POLLING PLACE,213,48,148,
ROLLING HILLS,5700002A,2234,379,N,,VBM PORTION,89,21,61,
ROLLING HILLS,5700002A,2234,379,N,684,TOTAL,302,69,209,
ROLLING HILLS ESTATES,5730001A,2235,379,N,620,POLLING PLACE,170,45,118,
ROLLING HILLS ESTATES,5730001A,2235,379,N,,VBM PORTION,85,30,49,
ROLLING HILLS ESTATES,5730001A,2235,379,N,620,TOTAL,255,75,167,
ROLLING HILLS ESTATES,5730003A,2236,379,N,887,POLLING PLACE,255,103,144,
ROLLING HILLS ESTATES,5730003A,2236,379,N,,VBM PORTION,94,30,59,
ROLLING HILLS ESTATES,5730003A,2236,379,N,887,TOTAL,349,133,203,
ROLLING HILLS ESTATES,5730005A,2237,379,N,1228,POLLING PLACE,314,98,202,
ROLLING HILLS ESTATES,5730005A,2237,379,N,,VBM PORTION,201,61,131,
ROLLING HILLS ESTATES,5730005A,2237,379,N,1228,TOTAL,515,159,333,
ROLLING HILLS ESTATES,5730007A,2238,379,N,993,POLLING PLACE,298,91,185,
ROLLING HILLS ESTATES,5730007A,2238,379,N,,VBM PORTION,116,33,76,
ROLLING HILLS ESTATES,5730007A,2238,379,N,993,TOTAL,414,124,261,
ROLLING HILLS ESTATES,5730011A,2239,379,N,789,POLLING PLACE,207,82,111,
ROLLING HILLS ESTATES,5730011A,2239,379,N,,VBM PORTION,111,50,53,
ROLLING HILLS ESTATES,5730011A,2239,379,N,789,TOTAL,318,132,164,
ROLLING HILLS ESTATES,5730013A,2240,379,N,1095,POLLING PLACE,228,106,113,
ROLLING HILLS ESTATES,5730013A,2240,379,N,,VBM PORTION,178,67,95,
ROLLING HILLS ESTATES,5730013A,2240,379,N,1095,TOTAL,406,173,208,
SANTA MONICA,6250001A,2455,181,N,893,POLLING PLACE,294,178,95,
SANTA MONICA,6250001A,2455,181,N,,VBM PORTION,112,63,44,
SANTA MONICA,6250001A,2455,181,N,893,TOTAL,406,241,139,
SANTA MONICA,6250003C,2456,181,N,1011,POLLING PLACE,301,193,95,
SANTA MONICA,6250003C,2456,181,N,,VBM PORTION,129,71,51,
SANTA MONICA,6250003C,2456,181,N,1011,TOTAL,430,264,146,
SANTA MONICA,6250005A,2457,181,N,1184,POLLING PLACE,356,276,59,
SANTA MONICA,6250005A,2457,181,N,,VBM PORTION,89,62,22,
SANTA MONICA,6250005A,2457,181,N,1184,TOTAL,445,338,81,
SANTA MONICA,6250006A,2458,181,N,1079,POLLING PLACE,375,256,95,
SANTA MONICA,6250006A,2458,181,N,,VBM PORTION,90,51,34,
SANTA MONICA,6250006A,2458,181,N,1079,TOTAL,465,307,129,
SANTA MONICA,6250008A,2459,181,N,1132,POLLING PLACE,262,169,75,
SANTA MONICA,6250008A,2459,181,N,,VBM PORTION,161,99,53,
SANTA MONICA,6250008A,2459,181,N,1132,TOTAL,423,268,128,
SANTA MONICA,6250010E,2460,181,N,1102,POLLING PLACE,267,197,56,
SANTA MONICA,6250010E,2460,181,N,,VBM PORTION,90,50,35,
SANTA MONICA,6250010E,2460,181,N,1102,TOTAL,357,247,91,
SANTA MONICA,6250011A,2461,181,N,1103,POLLING PLACE,237,162,64,
SANTA MONICA,6250011A,2461,181,N,,VBM PORTION,110,67,42,
SANTA MONICA,6250011A,2461,181,N,1103,TOTAL,347,229,106,
SANTA MONICA,6250015B,2462,181,N,1247,POLLING PLACE,369,265,91,
SANTA MONICA,6250015B,2462,181,N,,VBM PORTION,153,81,57,
SANTA MONICA,6250015B,2462,181,N,1247,TOTAL,522,346,148,
SANTA MONICA,6250016A,2463,181,N,1328,POLLING PLACE,358,239,97,
SANTA MONICA,6250016A,2463,181,N,,VBM PORTION,109,66,38,
SANTA MONICA,6250016A,2463,181,N,1328,TOTAL,467,305,135,
SANTA MONICA,6250017A,2464,181,N,1281,POLLING PLACE,420,266,126,
SANTA MONICA,6250017A,2464,181,N,,VBM PORTION,140,64,66,
SANTA MONICA,6250017A,2464,181,N,1281,TOTAL,560,330,192,
SANTA MONICA,6250019A,2465,181,N,1365,POLLING PLACE,247,162,67,
SANTA MONICA,6250019A,2465,181,N,,VBM PORTION,108,76,25,
SANTA MONICA,6250019A,2465,181,N,1365,TOTAL,355,238,92,
SANTA MONICA,6250020A,2466,181,N,1066,POLLING PLACE,352,236,86,
SANTA MONICA,6250020A,2466,181,N,,VBM PORTION,85,59,26,
SANTA MONICA,6250020A,2466,181,N,1066,TOTAL,437,295,112,
SANTA MONICA,6250024A,2467,181,N,763,POLLING PLACE,191,145,31,
SANTA MONICA,6250024A,2467,181,N,,VBM PORTION,44,33,11,
SANTA MONICA,6250024A,2467,181,N,763,TOTAL,235,178,42,
SANTA MONICA,6250025B,2468,181,N,1093,POLLING PLACE,189,145,34,
SANTA MONICA,6250025B,2468,181,N,,VBM PORTION,52,42,7,
SANTA MONICA,6250025B,2468,181,N,1093,TOTAL,241,187,41,
SANTA MONICA,6250026A,2469,181,N,1194,POLLING PLACE,400,302,77,
SANTA MONICA,6250026A,2469,181,N,,VBM PORTION,99,63,28,
SANTA MONICA,6250026A,2469,181,N,1194,TOTAL,499,365,105,
SANTA MONICA,6250029A,2470,181,N,752,POLLING PLACE,221,141,64,
SANTA MONICA,6250029A,2470,181,N,,VBM PORTION,86,42,41,
SANTA MONICA,6250029A,2470,181,N,752,TOTAL,307,183,105,
SANTA MONICA,6250032A,2471,181,N,1123,POLLING PLACE,244,185,46,
SANTA MONICA,6250032A,2471,181,N,,VBM PORTION,117,70,37,
SANTA MONICA,6250032A,2471,181,N,1123,TOTAL,361,255,83,
SANTA MONICA,6250034A,2472,181,N,1165,POLLING PLACE,341,250,72,
SANTA MONICA,6250034A,2472,181,N,,VBM PORTION,80,51,22,
SANTA MONICA,6250034A,2472,181,N,1165,TOTAL,421,301,94,
SANTA MONICA,6250036B,2473,181,N,1149,POLLING PLACE,306,211,76,
SANTA MONICA,6250036B,2473,181,N,,VBM PORTION,96,57,33,
SANTA MONICA,6250036B,2473,181,N,1149,TOTAL,402,268,109,
SANTA MONICA,6250041A,2474,181,N,1275,POLLING PLACE,274,206,54,
SANTA MONICA,6250041A,2474,181,N,,VBM PORTION,103,66,33,
SANTA MONICA,6250041A,2474,181,N,1275,TOTAL,377,272,87,
SANTA MONICA,6250045A,2475,181,N,1204,POLLING PLACE,263,192,61,
SANTA MONICA,6250045A,2475,181,N,,VBM PORTION,84,49,32,
SANTA MONICA,6250045A,2475,181,N,1204,TOTAL,347,241,93,
SANTA MONICA,6250046A,2476,181,N,1263,POLLING PLACE,317,239,60,
SANTA MONICA,6250046A,2476,181,N,,VBM PORTION,89,70,17,
SANTA MONICA,6250046A,2476,181,N,1263,TOTAL,406,309,77,
SANTA MONICA,6250050A,2477,181,N,1012,POLLING PLACE,254,197,44,
SANTA MONICA,6250050A,2477,181,N,,VBM PORTION,71,43,23,
SANTA MONICA,6250050A,2477,181,N,1012,TOTAL,325,240,67,
SANTA MONICA,6250051A,2478,181,N,1237,POLLING PLACE,297,214,66,
SANTA MONICA,6250051A,2478,181,N,,VBM PORTION,87,46,33,
SANTA MONICA,6250051A,2478,181,N,1237,TOTAL,384,260,99,
SANTA MONICA,6250052B,2479,181,N,901,POLLING PLACE,164,121,39,
SANTA MONICA,6250052B,2479,181,N,,VBM PORTION,50,30,15,
SANTA MONICA,6250052B,2479,181,N,901,TOTAL,214,151,54,
SANTA MONICA,6250053A,2480,181,N,1252,POLLING PLACE,236,178,42,
SANTA MONICA,6250053A,2480,181,N,,VBM PORTION,111,68,31,
SANTA MONICA,6250053A,2480,181,N,1252,TOTAL,347,246,73,
SANTA MONICA,6250056A,2481,181,N,954,POLLING PLACE,97,68,24,
SANTA MONICA,6250056A,2481,181,N,,VBM PORTION,54,28,18,
SANTA MONICA,6250056A,2481,181,N,954,TOTAL,151,96,42,
