LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,SCOTT WILK,JORGE S FUENTES,
SANTA CLARITA,6220146A,2426,40,N,1327,POLLING PLACE,308,202,90,
SANTA CLARITA,6220146A,2426,40,N,,VBM PORTION,118,84,23,
SANTA CLARITA,6220146A,2426,40,N,1327,TOTAL,426,286,113,
SANTA CLARITA,6220148A,2427,40,N,1396,POLLING PLACE,232,159,57,
SANTA CLARITA,6220148A,2427,40,N,,VBM PORTION,249,179,61,
SANTA CLARITA,6220148A,2427,40,N,1396,TOTAL,481,338,118,
SANTA CLARITA,6220149A,2428,39,N,751,POLLING PLACE,131,75,53,
SANTA CLARITA,6220149A,2428,39,N,,VBM PORTION,52,28,21,
SANTA CLARITA,6220149A,2428,39,N,751,TOTAL,183,103,74,
SANTA CLARITA,6220155A,2429,40,N,593,POLLING PLACE,120,70,42,
SANTA CLARITA,6220155A,2429,40,N,,VBM PORTION,57,31,21,
SANTA CLARITA,6220155A,2429,40,N,593,TOTAL,177,101,63,
SANTA CLARITA,6220160A,2430,36,N,986,POLLING PLACE,140,86,46,
SANTA CLARITA,6220160A,2430,36,N,,VBM PORTION,71,40,27,
SANTA CLARITA,6220160A,2430,36,N,986,TOTAL,211,126,73,
SANTA CLARITA,6220161A,2431,36,N,1148,POLLING PLACE,72,26,44,
SANTA CLARITA,6220161A,2431,36,N,,VBM PORTION,24,10,11,
SANTA CLARITA,6220161A,2431,36,N,1148,TOTAL,96,36,55,
SANTA CLARITA,6220163A,2432,36,N,1105,POLLING PLACE,121,65,50,
SANTA CLARITA,6220163A,2432,36,N,,VBM PORTION,78,46,26,
SANTA CLARITA,6220163A,2432,36,N,1105,TOTAL,199,111,76,
SANTA CLARITA,6220164A,2433,36,N,1037,POLLING PLACE,226,145,71,
SANTA CLARITA,6220164A,2433,36,N,,VBM PORTION,96,53,37,
SANTA CLARITA,6220164A,2433,36,N,1037,TOTAL,322,198,108,
SANTA CLARITA,6220168A,2436,44,N,472,POLLING PLACE,110,72,29,
SANTA CLARITA,6220168A,2436,44,N,,VBM PORTION,53,38,13,
SANTA CLARITA,6220168A,2436,44,N,472,TOTAL,163,110,42,
SANTA CLARITA,6220182A,2441,40,N,1390,POLLING PLACE,326,220,92,
SANTA CLARITA,6220182A,2441,40,N,,VBM PORTION,139,102,29,
SANTA CLARITA,6220182A,2441,40,N,1390,TOTAL,465,322,121,
SANTA CLARITA,6220183A,2442,40,N,974,POLLING PLACE,192,126,61,
SANTA CLARITA,6220183A,2442,40,N,,VBM PORTION,101,68,26,
SANTA CLARITA,6220183A,2442,40,N,974,TOTAL,293,194,87,
SANTA CLARITA,6220185A,6217,40,Y,431,POLLING PLACE,,,,
SANTA CLARITA,6220185A,6217,40,Y,,VBM PORTION,164,107,44,
SANTA CLARITA,6220185A,6217,40,Y,431,TOTAL,164,107,44,
SANTA CLARITA,6220190A,2443,36,N,607,POLLING PLACE,66,40,22,
SANTA CLARITA,6220190A,2443,36,N,,VBM PORTION,28,15,8,
SANTA CLARITA,6220190A,2443,36,N,607,TOTAL,94,55,30,
SANTA CLARITA,6220193A,2444,36,N,541,POLLING PLACE,83,33,41,
SANTA CLARITA,6220193A,2444,36,N,,VBM PORTION,52,29,20,
SANTA CLARITA,6220193A,2444,36,N,541,TOTAL,135,62,61,
SANTA CLARITA,6220194A,2445,36,N,687,POLLING PLACE,143,73,59,
SANTA CLARITA,6220194A,2445,36,N,,VBM PORTION,25,12,11,
SANTA CLARITA,6220194A,2445,36,N,687,TOTAL,168,85,70,
SAUGUS,6300023A,2512,46,N,1259,POLLING PLACE,243,158,67,
SAUGUS,6300023A,2512,46,N,,VBM PORTION,74,51,17,
SAUGUS,6300023A,2512,46,N,1259,TOTAL,317,209,84,
SAUGUS,6300024A,6231,49,Y,,POLLING PLACE,,,,
SAUGUS,6300024A,6231,49,Y,,VBM PORTION,,,,
SAUGUS,6300024A,6231,49,Y,,TOTAL,,,,
SAUGUS,6300026A,6233,48,Y,4,POLLING PLACE,,,,
SAUGUS,6300026A,6233,48,Y,,VBM PORTION,4,4,,
SAUGUS,6300026A,6233,48,Y,4,TOTAL,4,4,,
SAUGUS,6300026B,6234,49,Y,,POLLING PLACE,,,,
SAUGUS,6300026B,6234,49,Y,,VBM PORTION,,,,
SAUGUS,6300026B,6234,49,Y,,TOTAL,,,,
SAUGUS,6300037A,6235,42,Y,40,POLLING PLACE,,,,
SAUGUS,6300037A,6235,42,Y,,VBM PORTION,9,6,3,
SAUGUS,6300037A,6235,42,Y,40,TOTAL,9,6,3,
SAUGUS,6300040B,2513,42,N,648,POLLING PLACE,92,42,44,
SAUGUS,6300040B,2513,42,N,,VBM PORTION,64,43,18,
SAUGUS,6300040B,2513,42,N,648,TOTAL,156,85,62,
SAUGUS,6300247C,2514,46,N,732,POLLING PLACE,134,84,40,
SAUGUS,6300247C,2514,46,N,,VBM PORTION,51,33,14,
SAUGUS,6300247C,2514,46,N,732,TOTAL,185,117,54,
STEVENSON RANCH,6820001A,2629,45,N,975,POLLING PLACE,174,111,46,
STEVENSON RANCH,6820001A,2629,45,N,,VBM PORTION,66,45,18,
STEVENSON RANCH,6820001A,2629,45,N,975,TOTAL,240,156,64,
STEVENSON RANCH,6820003A,2630,45,N,1259,POLLING PLACE,269,148,109,
STEVENSON RANCH,6820003A,2630,45,N,,VBM PORTION,102,61,36,
STEVENSON RANCH,6820003A,2630,45,N,1259,TOTAL,371,209,145,
STEVENSON RANCH,6820004A,2631,48,N,969,POLLING PLACE,181,101,66,
STEVENSON RANCH,6820004A,2631,48,N,,VBM PORTION,79,49,27,
STEVENSON RANCH,6820004A,2631,48,N,969,TOTAL,260,150,93,
STEVENSON RANCH,6820005A,2632,45,N,1004,POLLING PLACE,248,153,76,
STEVENSON RANCH,6820005A,2632,45,N,,VBM PORTION,105,75,19,
STEVENSON RANCH,6820005A,2632,45,N,1004,TOTAL,353,228,95,
STEVENSON RANCH,6820006A,2633,45,N,869,POLLING PLACE,169,86,67,
STEVENSON RANCH,6820006A,2633,45,N,,VBM PORTION,70,46,22,
STEVENSON RANCH,6820006A,2633,45,N,869,TOTAL,239,132,89,
STEVENSON RANCH,6820007A,2634,45,N,875,POLLING PLACE,143,102,32,
STEVENSON RANCH,6820007A,2634,45,N,,VBM PORTION,86,64,18,
STEVENSON RANCH,6820007A,2634,45,N,875,TOTAL,229,166,50,
STEVENSON RANCH,6820008A,2635,45,N,975,POLLING PLACE,228,141,72,
STEVENSON RANCH,6820008A,2635,45,N,,VBM PORTION,83,58,19,
STEVENSON RANCH,6820008A,2635,45,N,975,TOTAL,311,199,91,
STEVENSON RANCH,6820010A,2636,45,N,1394,POLLING PLACE,206,98,94,
STEVENSON RANCH,6820010A,2636,45,N,,VBM PORTION,106,62,35,
STEVENSON RANCH,6820010A,2636,45,N,1394,TOTAL,312,160,129,
STEVENSON RANCH,6820011A,2637,45,N,946,POLLING PLACE,150,112,30,
STEVENSON RANCH,6820011A,2637,45,N,,VBM PORTION,98,75,18,
STEVENSON RANCH,6820011A,2637,45,N,946,TOTAL,248,187,48,
VALENCIA,7360006A,2739,45,N,1055,POLLING PLACE,139,89,41,
VALENCIA,7360006A,2739,45,N,,VBM PORTION,68,43,17,
VALENCIA,7360006A,2739,45,N,1055,TOTAL,207,132,58,
VALENCIA,7360006C,6253,46,Y,,POLLING PLACE,,,,
VALENCIA,7360006C,6253,46,Y,,VBM PORTION,,,,
VALENCIA,7360006C,6253,46,Y,,TOTAL,,,,
LOS ANGELES,9000016A,2992,54,N,714,POLLING PLACE,182,92,74,
LOS ANGELES,9000016A,2992,54,N,,VBM PORTION,80,50,23,
LOS ANGELES,9000016A,2992,54,N,714,TOTAL,262,142,97,
LOS ANGELES,9000017A,2993,54,N,1166,POLLING PLACE,301,146,126,
LOS ANGELES,9000017A,2993,54,N,,VBM PORTION,108,52,42,
LOS ANGELES,9000017A,2993,54,N,1166,TOTAL,409,198,168,
LOS ANGELES,9000023A,2996,54,N,1066,POLLING PLACE,263,159,85,
LOS ANGELES,9000023A,2996,54,N,,VBM PORTION,95,58,33,
LOS ANGELES,9000023A,2996,54,N,1066,TOTAL,358,217,118,
LOS ANGELES,9000024A,2997,54,N,1293,POLLING PLACE,374,228,120,
LOS ANGELES,9000024A,2997,54,N,,VBM PORTION,139,76,57,
LOS ANGELES,9000024A,2997,54,N,1293,TOTAL,513,304,177,
LOS ANGELES,9000095A,3046,54,N,771,POLLING PLACE,132,52,59,
LOS ANGELES,9000095A,3046,54,N,,VBM PORTION,71,39,25,
LOS ANGELES,9000095A,3046,54,N,771,TOTAL,203,91,84,
LOS ANGELES,9000104A,3054,54,N,1069,POLLING PLACE,233,137,88,
LOS ANGELES,9000104A,3054,54,N,,VBM PORTION,102,63,32,
LOS ANGELES,9000104A,3054,54,N,1069,TOTAL,335,200,120,
LOS ANGELES,9000185C,3103,54,N,1301,POLLING PLACE,171,82,73,
LOS ANGELES,9000185C,3103,54,N,,VBM PORTION,117,55,52,
LOS ANGELES,9000185C,3103,54,N,1301,TOTAL,288,137,125,
LOS ANGELES,9000224A,3122,33,N,1432,POLLING PLACE,224,80,125,
LOS ANGELES,9000224A,3122,33,N,,VBM PORTION,83,35,42,
LOS ANGELES,9000224A,3122,33,N,1432,TOTAL,307,115,167,
LOS ANGELES,9000304A,3174,54,N,1193,POLLING PLACE,193,102,78,
LOS ANGELES,9000304A,3174,54,N,,VBM PORTION,105,55,39,
LOS ANGELES,9000304A,3174,54,N,1193,TOTAL,298,157,117,
LOS ANGELES,9000315C,3182,54,N,916,POLLING PLACE,228,135,82,
LOS ANGELES,9000315C,3182,54,N,,VBM PORTION,87,65,20,
LOS ANGELES,9000315C,3182,54,N,916,TOTAL,315,200,102,
LOS ANGELES,9000333A,3195,33,N,864,POLLING PLACE,160,80,72,
LOS ANGELES,9000333A,3195,33,N,,VBM PORTION,48,29,19,
LOS ANGELES,9000333A,3195,33,N,864,TOTAL,208,109,91,
LOS ANGELES,9000343A,3199,33,N,617,POLLING PLACE,118,49,62,
LOS ANGELES,9000343A,3199,33,N,,VBM PORTION,28,16,12,
LOS ANGELES,9000343A,3199,33,N,617,TOTAL,146,65,74,
LOS ANGELES,9000350A,3205,53,N,1110,POLLING PLACE,202,120,77,
LOS ANGELES,9000350A,3205,53,N,,VBM PORTION,87,55,23,
LOS ANGELES,9000350A,3205,53,N,1110,TOTAL,289,175,100,
LOS ANGELES,9000352A,3206,31,N,1162,POLLING PLACE,205,86,105,
LOS ANGELES,9000352A,3206,31,N,,VBM PORTION,101,51,42,
LOS ANGELES,9000352A,3206,31,N,1162,TOTAL,306,137,147,
LOS ANGELES,9000362A,3213,31,N,1215,POLLING PLACE,267,110,136,
LOS ANGELES,9000362A,3213,31,N,,VBM PORTION,71,42,25,
LOS ANGELES,9000362A,3213,31,N,1215,TOTAL,338,152,161,
LOS ANGELES,9000612A,3372,54,N,1131,POLLING PLACE,255,156,84,
LOS ANGELES,9000612A,3372,54,N,,VBM PORTION,121,80,33,
LOS ANGELES,9000612A,3372,54,N,1131,TOTAL,376,236,117,
LOS ANGELES,9001744A,6286,48,Y,,POLLING PLACE,,,,
LOS ANGELES,9001744A,6286,48,Y,,VBM PORTION,,,,
LOS ANGELES,9001744A,6286,48,Y,,TOTAL,,,,
LOS ANGELES,9001754A,3857,33,N,1317,POLLING PLACE,225,127,81,
LOS ANGELES,9001754A,3857,33,N,,VBM PORTION,99,49,43,
LOS ANGELES,9001754A,3857,33,N,1317,TOTAL,324,176,124,
LOS ANGELES,9001805A,3888,33,N,1249,POLLING PLACE,255,115,123,
LOS ANGELES,9001805A,3888,33,N,,VBM PORTION,63,29,28,
LOS ANGELES,9001805A,3888,33,N,1249,TOTAL,318,144,151,
LOS ANGELES,9002264B,4083,53,N,482,POLLING PLACE,90,51,31,
LOS ANGELES,9002264B,4083,53,N,,VBM PORTION,48,24,19,
LOS ANGELES,9002264B,4083,53,N,482,TOTAL,138,75,50,
LOS ANGELES,9002381A,4141,53,N,538,POLLING PLACE,119,64,40,
LOS ANGELES,9002381A,4141,53,N,,VBM PORTION,59,33,21,
LOS ANGELES,9002381A,4141,53,N,538,TOTAL,178,97,61,
LOS ANGELES,9002509A,4196,33,N,816,POLLING PLACE,147,59,75,
LOS ANGELES,9002509A,4196,33,N,,VBM PORTION,69,36,20,
LOS ANGELES,9002509A,4196,33,N,816,TOTAL,216,95,95,
LOS ANGELES,9002536A,6302,32,Y,,POLLING PLACE,,,,
LOS ANGELES,9002536A,6302,32,Y,,VBM PORTION,,,,
LOS ANGELES,9002536A,6302,32,Y,,TOTAL,,,,
LOS ANGELES,9002579A,6310,30,Y,,POLLING PLACE,,,,
LOS ANGELES,9002579A,6310,30,Y,,VBM PORTION,,,,
LOS ANGELES,9002579A,6310,30,Y,,TOTAL,,,,
LOS ANGELES,9002614A,6313,53,Y,,POLLING PLACE,,,,
LOS ANGELES,9002614A,6313,53,Y,,VBM PORTION,,,,
LOS ANGELES,9002614A,6313,53,Y,,TOTAL,,,,
LOS ANGELES,9002622A,6314,30,Y,31,POLLING PLACE,,,,
LOS ANGELES,9002622A,6314,30,Y,,VBM PORTION,6,5,1,
LOS ANGELES,9002622A,6314,30,Y,31,TOTAL,6,5,1,
LOS ANGELES,9002828E,4282,54,N,998,POLLING PLACE,267,139,103,
LOS ANGELES,9002828E,4282,54,N,,VBM PORTION,91,49,36,
LOS ANGELES,9002828E,4282,54,N,998,TOTAL,358,188,139,
LOS ANGELES,9002892A,4292,33,N,1048,POLLING PLACE,211,97,92,
LOS ANGELES,9002892A,4292,33,N,,VBM PORTION,51,26,20,
LOS ANGELES,9002892A,4292,33,N,1048,TOTAL,262,123,112,
LOS ANGELES,9002968A,4308,54,N,1131,POLLING PLACE,251,144,86,
LOS ANGELES,9002968A,4308,54,N,,VBM PORTION,109,72,34,
LOS ANGELES,9002968A,4308,54,N,1131,TOTAL,360,216,120,
LOS ANGELES,9003055A,4313,54,N,1339,POLLING PLACE,381,203,148,
LOS ANGELES,9003055A,4313,54,N,,VBM PORTION,119,68,38,
LOS ANGELES,9003055A,4313,54,N,1339,TOTAL,500,271,186,
LOS ANGELES,9003088A,4317,54,N,770,POLLING PLACE,156,73,66,
LOS ANGELES,9003088A,4317,54,N,,VBM PORTION,58,33,22,
LOS ANGELES,9003088A,4317,54,N,770,TOTAL,214,106,88,
LOS ANGELES,9003466A,4351,54,N,564,POLLING PLACE,130,60,58,
LOS ANGELES,9003466A,4351,54,N,,VBM PORTION,83,46,33,
LOS ANGELES,9003466A,4351,54,N,564,TOTAL,213,106,91,
LOS ANGELES,9004234A,4398,54,N,1170,POLLING PLACE,173,95,71,
LOS ANGELES,9004234A,4398,54,N,,VBM PORTION,125,59,57,
LOS ANGELES,9004234A,4398,54,N,1170,TOTAL,298,154,128,
LOS ANGELES,9004245A,4402,53,N,1116,POLLING PLACE,223,98,95,
LOS ANGELES,9004245A,4402,53,N,,VBM PORTION,114,59,40,
LOS ANGELES,9004245A,4402,53,N,1116,TOTAL,337,157,135,
LOS ANGELES,9006232A,4508,33,N,774,POLLING PLACE,181,76,95,
LOS ANGELES,9006232A,4508,33,N,,VBM PORTION,51,25,23,
LOS ANGELES,9006232A,4508,33,N,774,TOTAL,232,101,118,
LOS ANGELES,9006233A,4509,33,N,772,POLLING PLACE,161,76,74,
LOS ANGELES,9006233A,4509,33,N,,VBM PORTION,72,48,20,
LOS ANGELES,9006233A,4509,33,N,772,TOTAL,233,124,94,
LOS ANGELES,9006237A,4510,33,N,1061,POLLING PLACE,246,146,87,
LOS ANGELES,9006237A,4510,33,N,,VBM PORTION,83,53,24,
LOS ANGELES,9006237A,4510,33,N,1061,TOTAL,329,199,111,
LOS ANGELES,9006239A,4511,33,N,924,POLLING PLACE,169,105,48,
LOS ANGELES,9006239A,4511,33,N,,VBM PORTION,72,39,27,
LOS ANGELES,9006239A,4511,33,N,924,TOTAL,241,144,75,
LOS ANGELES,9006242B,4512,33,N,1258,POLLING PLACE,259,133,101,
LOS ANGELES,9006242B,4512,33,N,,VBM PORTION,109,67,29,
LOS ANGELES,9006242B,4512,33,N,1258,TOTAL,368,200,130,
LOS ANGELES,9006246A,4513,48,N,878,POLLING PLACE,199,100,72,
LOS ANGELES,9006246A,4513,48,N,,VBM PORTION,83,45,32,
LOS ANGELES,9006246A,4513,48,N,878,TOTAL,282,145,104,
LOS ANGELES,9006247A,4514,48,N,869,POLLING PLACE,184,102,61,
LOS ANGELES,9006247A,4514,48,N,,VBM PORTION,65,37,20,
LOS ANGELES,9006247A,4514,48,N,869,TOTAL,249,139,81,
LOS ANGELES,9006248A,4515,48,N,743,POLLING PLACE,151,84,50,
LOS ANGELES,9006248A,4515,48,N,,VBM PORTION,52,29,19,
LOS ANGELES,9006248A,4515,48,N,743,TOTAL,203,113,69,
LOS ANGELES,9006249A,4516,48,N,863,POLLING PLACE,210,109,80,
LOS ANGELES,9006249A,4516,48,N,,VBM PORTION,79,45,24,
LOS ANGELES,9006249A,4516,48,N,863,TOTAL,289,154,104,
LOS ANGELES,9006251A,4517,53,N,1008,POLLING PLACE,245,166,63,
LOS ANGELES,9006251A,4517,53,N,,VBM PORTION,104,72,24,
LOS ANGELES,9006251A,4517,53,N,1008,TOTAL,349,238,87,
LOS ANGELES,9006252A,4518,48,N,572,POLLING PLACE,122,77,39,
LOS ANGELES,9006252A,4518,48,N,,VBM PORTION,68,42,23,
LOS ANGELES,9006252A,4518,48,N,572,TOTAL,190,119,62,
LOS ANGELES,9006253A,4519,33,N,1333,POLLING PLACE,261,149,90,
LOS ANGELES,9006253A,4519,33,N,,VBM PORTION,110,70,31,
LOS ANGELES,9006253A,4519,33,N,1333,TOTAL,371,219,121,
LOS ANGELES,9006256A,4520,52,N,897,POLLING PLACE,223,111,97,
LOS ANGELES,9006256A,4520,52,N,,VBM PORTION,78,50,24,
LOS ANGELES,9006256A,4520,52,N,897,TOTAL,301,161,121,
LOS ANGELES,9006257A,4521,33,N,1119,POLLING PLACE,180,84,88,
LOS ANGELES,9006257A,4521,33,N,,VBM PORTION,65,32,30,
LOS ANGELES,9006257A,4521,33,N,1119,TOTAL,245,116,118,
LOS ANGELES,9006258A,4522,33,N,1107,POLLING PLACE,247,120,112,
LOS ANGELES,9006258A,4522,33,N,,VBM PORTION,66,27,36,
LOS ANGELES,9006258A,4522,33,N,1107,TOTAL,313,147,148,
LOS ANGELES,9007774A,4652,33,N,967,POLLING PLACE,245,137,89,
LOS ANGELES,9007774A,4652,33,N,,VBM PORTION,84,44,30,
LOS ANGELES,9007774A,4652,33,N,967,TOTAL,329,181,119,
LOS ANGELES,9007781A,4653,33,N,925,POLLING PLACE,187,94,73,
LOS ANGELES,9007781A,4653,33,N,,VBM PORTION,82,52,22,
LOS ANGELES,9007781A,4653,33,N,925,TOTAL,269,146,95,
LOS ANGELES,9007782A,4654,54,N,1345,POLLING PLACE,202,102,81,
LOS ANGELES,9007782A,4654,54,N,,VBM PORTION,105,58,32,
LOS ANGELES,9007782A,4654,54,N,1345,TOTAL,307,160,113,
LOS ANGELES,9007785A,4655,48,N,1131,POLLING PLACE,213,113,80,
LOS ANGELES,9007785A,4655,48,N,,VBM PORTION,101,65,31,
LOS ANGELES,9007785A,4655,48,N,1131,TOTAL,314,178,111,
LOS ANGELES,9007790B,4656,33,N,1303,POLLING PLACE,254,125,110,
LOS ANGELES,9007790B,4656,33,N,,VBM PORTION,97,47,33,
LOS ANGELES,9007790B,4656,33,N,1303,TOTAL,351,172,143,
LOS ANGELES,9007794A,4657,33,N,1074,POLLING PLACE,138,51,75,
LOS ANGELES,9007794A,4657,33,N,,VBM PORTION,37,15,21,
LOS ANGELES,9007794A,4657,33,N,1074,TOTAL,175,66,96,
LOS ANGELES,9007833A,4661,52,N,830,POLLING PLACE,221,106,93,
LOS ANGELES,9007833A,4661,52,N,,VBM PORTION,84,52,28,
LOS ANGELES,9007833A,4661,52,N,830,TOTAL,305,158,121,
LOS ANGELES,9007838A,4662,52,N,1055,POLLING PLACE,255,152,96,
LOS ANGELES,9007838A,4662,52,N,,VBM PORTION,104,60,38,
LOS ANGELES,9007838A,4662,52,N,1055,TOTAL,359,212,134,
BALLOT GROUP 30,9990030A,8030,30,N,,POLLING PLACE,,,,
BALLOT GROUP 30,9990030A,8030,30,N,,VBM PORTION,,,,
BALLOT GROUP 30,9990030A,8030,30,N,,TOTAL,,,,
BALLOT GROUP 31,9990031A,8031,31,N,,POLLING PLACE,,,,
BALLOT GROUP 31,9990031A,8031,31,N,,VBM PORTION,,,,
BALLOT GROUP 31,9990031A,8031,31,N,,TOTAL,,,,
BALLOT GROUP 32,9990032A,8032,32,N,,POLLING PLACE,,,,
BALLOT GROUP 32,9990032A,8032,32,N,,VBM PORTION,,,,
BALLOT GROUP 32,9990032A,8032,32,N,,TOTAL,,,,
BALLOT GROUP 33,9990033A,8033,33,N,,POLLING PLACE,,,,
BALLOT GROUP 33,9990033A,8033,33,N,,VBM PORTION,,,,
BALLOT GROUP 33,9990033A,8033,33,N,,TOTAL,,,,
BALLOT GROUP 34,9990034A,8034,34,N,,POLLING PLACE,,,,
BALLOT GROUP 34,9990034A,8034,34,N,,VBM PORTION,,,,
BALLOT GROUP 34,9990034A,8034,34,N,,TOTAL,,,,
BALLOT GROUP 35,9990035A,8035,35,N,,POLLING PLACE,,,,
BALLOT GROUP 35,9990035A,8035,35,N,,VBM PORTION,,,,
BALLOT GROUP 35,9990035A,8035,35,N,,TOTAL,,,,
BALLOT GROUP 36,9990036A,8036,36,N,,POLLING PLACE,,,,
BALLOT GROUP 36,9990036A,8036,36,N,,VBM PORTION,,,,
BALLOT GROUP 36,9990036A,8036,36,N,,TOTAL,,,,
BALLOT GROUP 37,9990037A,8037,37,N,,POLLING PLACE,,,,
BALLOT GROUP 37,9990037A,8037,37,N,,VBM PORTION,,,,
BALLOT GROUP 37,9990037A,8037,37,N,,TOTAL,,,,
BALLOT GROUP 38,9990038A,8038,38,N,,POLLING PLACE,,,,
BALLOT GROUP 38,9990038A,8038,38,N,,VBM PORTION,,,,
BALLOT GROUP 38,9990038A,8038,38,N,,TOTAL,,,,
BALLOT GROUP 39,9990039A,8039,39,N,,POLLING PLACE,,,,
BALLOT GROUP 39,9990039A,8039,39,N,,VBM PORTION,,,,
BALLOT GROUP 39,9990039A,8039,39,N,,TOTAL,,,,
BALLOT GROUP 40,9990040A,8040,40,N,,POLLING PLACE,,,,
BALLOT GROUP 40,9990040A,8040,40,N,,VBM PORTION,,,,
BALLOT GROUP 40,9990040A,8040,40,N,,TOTAL,,,,
BALLOT GROUP 41,9990041A,8041,41,N,,POLLING PLACE,,,,
BALLOT GROUP 41,9990041A,8041,41,N,,VBM PORTION,,,,
BALLOT GROUP 41,9990041A,8041,41,N,,TOTAL,,,,
BALLOT GROUP 42,9990042A,8042,42,N,,POLLING PLACE,,,,
BALLOT GROUP 42,9990042A,8042,42,N,,VBM PORTION,,,,
BALLOT GROUP 42,9990042A,8042,42,N,,TOTAL,,,,
BALLOT GROUP 43,9990043A,8043,43,N,,POLLING PLACE,,,,
BALLOT GROUP 43,9990043A,8043,43,N,,VBM PORTION,,,,
BALLOT GROUP 43,9990043A,8043,43,N,,TOTAL,,,,
BALLOT GROUP 44,9990044A,8044,44,N,,POLLING PLACE,,,,
BALLOT GROUP 44,9990044A,8044,44,N,,VBM PORTION,,,,
BALLOT GROUP 44,9990044A,8044,44,N,,TOTAL,,,,
BALLOT GROUP 45,9990045A,8045,45,N,,POLLING PLACE,,,,
BALLOT GROUP 45,9990045A,8045,45,N,,VBM PORTION,,,,
BALLOT GROUP 45,9990045A,8045,45,N,,TOTAL,,,,
BALLOT GROUP 46,9990046A,8046,46,N,,POLLING PLACE,,,,
BALLOT GROUP 46,9990046A,8046,46,N,,VBM PORTION,,,,
BALLOT GROUP 46,9990046A,8046,46,N,,TOTAL,,,,
BALLOT GROUP 47,9990047A,8047,47,N,,POLLING PLACE,,,,
BALLOT GROUP 47,9990047A,8047,47,N,,VBM PORTION,,,,
BALLOT GROUP 47,9990047A,8047,47,N,,TOTAL,,,,
BALLOT GROUP 48,9990048A,8048,48,N,,POLLING PLACE,,,,
BALLOT GROUP 48,9990048A,8048,48,N,,VBM PORTION,,,,
BALLOT GROUP 48,9990048A,8048,48,N,,TOTAL,,,,
BALLOT GROUP 49,9990049A,8049,49,N,,POLLING PLACE,,,,
BALLOT GROUP 49,9990049A,8049,49,N,,VBM PORTION,,,,
BALLOT GROUP 49,9990049A,8049,49,N,,TOTAL,,,,
BALLOT GROUP 50,9990050A,8050,50,N,,POLLING PLACE,,,,
BALLOT GROUP 50,9990050A,8050,50,N,,VBM PORTION,,,,
BALLOT GROUP 50,9990050A,8050,50,N,,TOTAL,,,,
BALLOT GROUP 51,9990051A,8051,51,N,,POLLING PLACE,,,,
BALLOT GROUP 51,9990051A,8051,51,N,,VBM PORTION,,,,
BALLOT GROUP 51,9990051A,8051,51,N,,TOTAL,,,,
BALLOT GROUP 52,9990052A,8052,52,N,,POLLING PLACE,,,,
BALLOT GROUP 52,9990052A,8052,52,N,,VBM PORTION,,,,
BALLOT GROUP 52,9990052A,8052,52,N,,TOTAL,,,,
BALLOT GROUP 53,9990053A,8053,53,N,,POLLING PLACE,,,,
BALLOT GROUP 53,9990053A,8053,53,N,,VBM PORTION,,,,
BALLOT GROUP 53,9990053A,8053,53,N,,TOTAL,,,,
BALLOT GROUP 54,9990054A,8054,54,N,,POLLING PLACE,,,,
BALLOT GROUP 54,9990054A,8054,54,N,,VBM PORTION,,,,
BALLOT GROUP 54,9990054A,8054,54,N,,TOTAL,,,,
