LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JIM MCDONNELL,PAUL TANAKA,
DESERT,1770063J,6065,13,Y,,VBM PORTION,,,,
DESERT,1770063J,6065,13,Y,,TOTAL,,,,
DIAMOND BAR,1780001A,629,238,N,1145,POLLING PLACE,150,74,34,
DIAMOND BAR,1780001A,629,238,N,,VBM PORTION,108,46,20,
DIAMOND BAR,1780001A,629,238,N,1145,TOTAL,258,120,54,
DIAMOND BAR,1780002A,630,237,N,1182,POLLING PLACE,203,122,46,
DIAMOND BAR,1780002A,630,237,N,,VBM PORTION,89,58,20,
DIAMOND BAR,1780002A,630,237,N,1182,TOTAL,292,180,66,
DIAMOND BAR,1780003A,631,238,N,661,POLLING PLACE,124,74,33,
DIAMOND BAR,1780003A,631,238,N,,VBM PORTION,47,22,13,
DIAMOND BAR,1780003A,631,238,N,661,TOTAL,171,96,46,
DIAMOND BAR,1780004A,632,238,N,1149,POLLING PLACE,175,97,40,
DIAMOND BAR,1780004A,632,238,N,,VBM PORTION,113,61,34,
DIAMOND BAR,1780004A,632,238,N,1149,TOTAL,288,158,74,
DIAMOND BAR,1780006A,633,238,N,1076,POLLING PLACE,201,107,69,
DIAMOND BAR,1780006A,633,238,N,,VBM PORTION,101,56,29,
DIAMOND BAR,1780006A,633,238,N,1076,TOTAL,302,163,98,
DIAMOND BAR,1780007B,634,238,N,1068,POLLING PLACE,173,94,44,
DIAMOND BAR,1780007B,634,238,N,,VBM PORTION,96,48,26,
DIAMOND BAR,1780007B,634,238,N,1068,TOTAL,269,142,70,
DIAMOND BAR,1780008A,635,238,N,1158,POLLING PLACE,138,87,29,
DIAMOND BAR,1780008A,635,238,N,,VBM PORTION,145,95,23,
DIAMOND BAR,1780008A,635,238,N,1158,TOTAL,283,182,52,
DIAMOND BAR,1780014A,636,238,N,1201,POLLING PLACE,212,117,64,
DIAMOND BAR,1780014A,636,238,N,,VBM PORTION,115,66,23,
DIAMOND BAR,1780014A,636,238,N,1201,TOTAL,327,183,87,
DIAMOND BAR,1780020A,637,238,N,1097,POLLING PLACE,187,100,49,
DIAMOND BAR,1780020A,637,238,N,,VBM PORTION,97,57,26,
DIAMOND BAR,1780020A,637,238,N,1097,TOTAL,284,157,75,
DIAMOND BAR,1780021A,638,238,N,1029,POLLING PLACE,169,82,54,
DIAMOND BAR,1780021A,638,238,N,,VBM PORTION,108,44,22,
DIAMOND BAR,1780021A,638,238,N,1029,TOTAL,277,126,76,
DIAMOND BAR,1780041A,639,238,N,1150,POLLING PLACE,226,134,62,
DIAMOND BAR,1780041A,639,238,N,,VBM PORTION,92,67,15,
DIAMOND BAR,1780041A,639,238,N,1150,TOTAL,318,201,77,
DIAMOND BAR,1780043B,640,238,N,1132,POLLING PLACE,185,117,36,
DIAMOND BAR,1780043B,640,238,N,,VBM PORTION,136,79,28,
DIAMOND BAR,1780043B,640,238,N,1132,TOTAL,321,196,64,
DIAMOND BAR,1780063A,641,237,N,578,POLLING PLACE,109,63,27,
DIAMOND BAR,1780063A,641,237,N,,VBM PORTION,67,47,9,
DIAMOND BAR,1780063A,641,237,N,578,TOTAL,176,110,36,
DIAMOND BAR,1780063B,642,237,N,879,POLLING PLACE,189,114,52,
DIAMOND BAR,1780063B,642,237,N,,VBM PORTION,71,44,15,
DIAMOND BAR,1780063B,642,237,N,879,TOTAL,260,158,67,
DIAMOND BAR,1780065B,643,237,N,914,POLLING PLACE,204,112,51,
DIAMOND BAR,1780065B,643,237,N,,VBM PORTION,101,71,15,
DIAMOND BAR,1780065B,643,237,N,914,TOTAL,305,183,66,
DIAMOND BAR,1780066A,644,238,N,850,POLLING PLACE,154,87,38,
DIAMOND BAR,1780066A,644,238,N,,VBM PORTION,80,49,12,
DIAMOND BAR,1780066A,644,238,N,850,TOTAL,234,136,50,
DIAMOND BAR,1780067A,645,238,N,853,POLLING PLACE,151,86,41,
DIAMOND BAR,1780067A,645,238,N,,VBM PORTION,84,45,23,
DIAMOND BAR,1780067A,645,238,N,853,TOTAL,235,131,64,
DIAMOND BAR,1780068A,646,238,N,406,POLLING PLACE,66,36,22,
DIAMOND BAR,1780068A,646,238,N,,VBM PORTION,23,12,8,
DIAMOND BAR,1780068A,646,238,N,406,TOTAL,89,48,30,
DIAMOND BAR,1780069A,647,238,N,960,POLLING PLACE,106,63,28,
DIAMOND BAR,1780069A,647,238,N,,VBM PORTION,88,48,25,
DIAMOND BAR,1780069A,647,238,N,960,TOTAL,194,111,53,
DIAMOND BAR,1780070A,648,237,N,1076,POLLING PLACE,198,130,46,
DIAMOND BAR,1780070A,648,237,N,,VBM PORTION,110,67,26,
DIAMOND BAR,1780070A,648,237,N,1076,TOTAL,308,197,72,
DIAMOND BAR,1780071C,649,238,N,494,POLLING PLACE,85,53,22,
DIAMOND BAR,1780071C,649,238,N,,VBM PORTION,53,25,14,
DIAMOND BAR,1780071C,649,238,N,494,TOTAL,138,78,36,
DIAMOND BAR,1780072A,650,237,N,822,POLLING PLACE,169,97,50,
DIAMOND BAR,1780072A,650,237,N,,VBM PORTION,55,33,11,
DIAMOND BAR,1780072A,650,237,N,822,TOTAL,224,130,61,
DIAMOND BAR,1780073A,651,237,N,875,POLLING PLACE,185,106,61,
DIAMOND BAR,1780073A,651,237,N,,VBM PORTION,78,40,29,
DIAMOND BAR,1780073A,651,237,N,875,TOTAL,263,146,90,
DIAMOND BAR,1780075A,652,238,N,890,POLLING PLACE,114,71,28,
DIAMOND BAR,1780075A,652,238,N,,VBM PORTION,78,41,25,
DIAMOND BAR,1780075A,652,238,N,890,TOTAL,192,112,53,
DIAMOND BAR,1780077A,653,238,N,869,POLLING PLACE,110,54,38,
DIAMOND BAR,1780077A,653,238,N,,VBM PORTION,74,38,23,
DIAMOND BAR,1780077A,653,238,N,869,TOTAL,184,92,61,
DIAMOND BAR,1780078A,654,238,N,950,POLLING PLACE,136,86,36,
DIAMOND BAR,1780078A,654,238,N,,VBM PORTION,83,39,25,
DIAMOND BAR,1780078A,654,238,N,950,TOTAL,219,125,61,
DIAMOND BAR,1780079A,655,238,N,491,POLLING PLACE,29,12,13,
DIAMOND BAR,1780079A,655,238,N,,VBM PORTION,47,33,8,
DIAMOND BAR,1780079A,655,238,N,491,TOTAL,76,45,21,
DIAMOND BAR,1780081A,656,238,N,615,POLLING PLACE,114,63,30,
DIAMOND BAR,1780081A,656,238,N,,VBM PORTION,43,23,11,
DIAMOND BAR,1780081A,656,238,N,615,TOTAL,157,86,41,
DIAMOND BAR,1780085A,657,238,N,723,POLLING PLACE,105,58,31,
DIAMOND BAR,1780085A,657,238,N,,VBM PORTION,47,24,11,
DIAMOND BAR,1780085A,657,238,N,723,TOTAL,152,82,42,
DIAMOND BAR,1780087A,658,238,N,576,POLLING PLACE,106,51,36,
DIAMOND BAR,1780087A,658,238,N,,VBM PORTION,52,23,21,
DIAMOND BAR,1780087A,658,238,N,576,TOTAL,158,74,57,
DIAMOND BAR,1780091E,659,238,N,932,POLLING PLACE,152,86,49,
DIAMOND BAR,1780091E,659,238,N,,VBM PORTION,92,53,27,
DIAMOND BAR,1780091E,659,238,N,932,TOTAL,244,139,76,
DIAMOND BAR,1780092A,660,238,N,696,POLLING PLACE,103,50,32,
DIAMOND BAR,1780092A,660,238,N,,VBM PORTION,58,38,9,
DIAMOND BAR,1780092A,660,238,N,696,TOTAL,161,88,41,
DIAMOND BAR,1780094A,661,238,N,1070,POLLING PLACE,178,91,63,
DIAMOND BAR,1780094A,661,238,N,,VBM PORTION,91,44,29,
DIAMOND BAR,1780094A,661,238,N,1070,TOTAL,269,135,92,
DOMINGUEZ,1800020B,662,373,N,733,POLLING PLACE,222,133,66,
DOMINGUEZ,1800020B,662,373,N,,VBM PORTION,37,26,4,
DOMINGUEZ,1800020B,662,373,N,733,TOTAL,259,159,70,
DOMINGUEZ,1800021A,663,367,N,798,POLLING PLACE,230,148,60,
DOMINGUEZ,1800021A,663,367,N,,VBM PORTION,51,34,11,
DOMINGUEZ,1800021A,663,367,N,798,TOTAL,281,182,71,
DOWNEY,1850001A,664,302,N,1065,POLLING PLACE,177,114,49,
DOWNEY,1850001A,664,302,N,,VBM PORTION,56,38,10,
DOWNEY,1850001A,664,302,N,1065,TOTAL,233,152,59,
DOWNEY,1850002A,665,302,N,405,POLLING PLACE,36,20,8,
DOWNEY,1850002A,665,302,N,,VBM PORTION,10,3,2,
DOWNEY,1850002A,665,302,N,405,TOTAL,46,23,10,
DOWNEY,1850002C,666,302,N,578,POLLING PLACE,91,64,21,
DOWNEY,1850002C,666,302,N,,VBM PORTION,22,11,7,
DOWNEY,1850002C,666,302,N,578,TOTAL,113,75,28,
DOWNEY,1850006B,667,302,N,633,POLLING PLACE,73,47,17,
DOWNEY,1850006B,667,302,N,,VBM PORTION,15,7,6,
DOWNEY,1850006B,667,302,N,633,TOTAL,88,54,23,
DOWNEY,1850008A,668,299,N,925,POLLING PLACE,177,128,27,
DOWNEY,1850008A,668,299,N,,VBM PORTION,60,43,3,
DOWNEY,1850008A,668,299,N,925,TOTAL,237,171,30,
DOWNEY,1850009A,669,293,N,1013,POLLING PLACE,183,118,40,
DOWNEY,1850009A,669,293,N,,VBM PORTION,78,54,11,
DOWNEY,1850009A,669,293,N,1013,TOTAL,261,172,51,
DOWNEY,1850010A,670,293,N,589,POLLING PLACE,95,63,21,
DOWNEY,1850010A,670,293,N,,VBM PORTION,30,16,5,
DOWNEY,1850010A,670,293,N,589,TOTAL,125,79,26,
DOWNEY,1850011A,671,303,N,614,POLLING PLACE,88,56,20,
DOWNEY,1850011A,671,303,N,,VBM PORTION,25,17,7,
DOWNEY,1850011A,671,303,N,614,TOTAL,113,73,27,
DOWNEY,1850011B,672,302,N,593,POLLING PLACE,68,38,24,
DOWNEY,1850011B,672,302,N,,VBM PORTION,23,16,2,
DOWNEY,1850011B,672,302,N,593,TOTAL,91,54,26,
DOWNEY,1850012A,673,293,N,727,POLLING PLACE,130,78,41,
DOWNEY,1850012A,673,293,N,,VBM PORTION,30,14,12,
DOWNEY,1850012A,673,293,N,727,TOTAL,160,92,53,
DOWNEY,1850013A,674,293,N,961,POLLING PLACE,216,134,62,
DOWNEY,1850013A,674,293,N,,VBM PORTION,33,19,9,
DOWNEY,1850013A,674,293,N,961,TOTAL,249,153,71,
DOWNEY,1850015A,675,293,N,1044,POLLING PLACE,202,126,56,
DOWNEY,1850015A,675,293,N,,VBM PORTION,37,26,3,
DOWNEY,1850015A,675,293,N,1044,TOTAL,239,152,59,
DOWNEY,1850016A,676,296,N,1096,POLLING PLACE,315,210,60,
DOWNEY,1850016A,676,296,N,,VBM PORTION,52,37,7,
DOWNEY,1850016A,676,296,N,1096,TOTAL,367,247,67,
DOWNEY,1850017A,677,302,N,1204,POLLING PLACE,203,126,54,
DOWNEY,1850017A,677,302,N,,VBM PORTION,56,29,18,
DOWNEY,1850017A,677,302,N,1204,TOTAL,259,155,72,
DOWNEY,1850019A,678,302,N,712,POLLING PLACE,130,85,26,
DOWNEY,1850019A,678,302,N,,VBM PORTION,37,25,7,
DOWNEY,1850019A,678,302,N,712,TOTAL,167,110,33,
DOWNEY,1850021A,679,295,N,605,POLLING PLACE,84,53,23,
DOWNEY,1850021A,679,295,N,,VBM PORTION,42,28,5,
DOWNEY,1850021A,679,295,N,605,TOTAL,126,81,28,
DOWNEY,1850023A,680,296,N,1124,POLLING PLACE,176,120,37,
DOWNEY,1850023A,680,296,N,,VBM PORTION,56,36,14,
DOWNEY,1850023A,680,296,N,1124,TOTAL,232,156,51,
DOWNEY,1850024A,681,295,N,933,POLLING PLACE,196,134,49,
DOWNEY,1850024A,681,295,N,,VBM PORTION,69,51,12,
DOWNEY,1850024A,681,295,N,933,TOTAL,265,185,61,
DOWNEY,1850025A,682,296,N,800,POLLING PLACE,173,113,44,
DOWNEY,1850025A,682,296,N,,VBM PORTION,61,40,9,
DOWNEY,1850025A,682,296,N,800,TOTAL,234,153,53,
DOWNEY,1850027A,683,294,N,923,POLLING PLACE,125,70,41,
DOWNEY,1850027A,683,294,N,,VBM PORTION,34,20,11,
DOWNEY,1850027A,683,294,N,923,TOTAL,159,90,52,
DOWNEY,1850027B,684,290,N,475,POLLING PLACE,104,53,35,
DOWNEY,1850027B,684,290,N,,VBM PORTION,35,21,7,
DOWNEY,1850027B,684,290,N,475,TOTAL,139,74,42,
DOWNEY,1850028A,685,296,N,1140,POLLING PLACE,213,126,55,
DOWNEY,1850028A,685,296,N,,VBM PORTION,77,49,12,
DOWNEY,1850028A,685,296,N,1140,TOTAL,290,175,67,
DOWNEY,1850029B,686,291,N,731,POLLING PLACE,156,110,30,
DOWNEY,1850029B,686,291,N,,VBM PORTION,59,32,16,
DOWNEY,1850029B,686,291,N,731,TOTAL,215,142,46,
DOWNEY,1850030A,687,296,N,1182,POLLING PLACE,255,162,70,
DOWNEY,1850030A,687,296,N,,VBM PORTION,68,49,11,
DOWNEY,1850030A,687,296,N,1182,TOTAL,323,211,81,
DOWNEY,1850031A,688,295,N,742,POLLING PLACE,114,72,29,
DOWNEY,1850031A,688,295,N,,VBM PORTION,43,29,10,
DOWNEY,1850031A,688,295,N,742,TOTAL,157,101,39,
DOWNEY,1850032A,689,290,N,506,POLLING PLACE,92,57,26,
DOWNEY,1850032A,689,290,N,,VBM PORTION,44,34,4,
DOWNEY,1850032A,689,290,N,506,TOTAL,136,91,30,
DOWNEY,1850033A,690,296,N,925,POLLING PLACE,188,111,55,
DOWNEY,1850033A,690,296,N,,VBM PORTION,55,30,7,
DOWNEY,1850033A,690,296,N,925,TOTAL,243,141,62,
DOWNEY,1850034B,691,302,N,758,POLLING PLACE,116,72,35,
DOWNEY,1850034B,691,302,N,,VBM PORTION,37,23,8,
DOWNEY,1850034B,691,302,N,758,TOTAL,153,95,43,
DOWNEY,1850038A,692,296,N,1006,POLLING PLACE,187,138,34,
DOWNEY,1850038A,692,296,N,,VBM PORTION,63,36,15,
DOWNEY,1850038A,692,296,N,1006,TOTAL,250,174,49,
DOWNEY,1850040A,693,295,N,850,POLLING PLACE,175,109,49,
DOWNEY,1850040A,693,295,N,,VBM PORTION,45,25,17,
DOWNEY,1850040A,693,295,N,850,TOTAL,220,134,66,
DOWNEY,1850041A,694,303,N,1160,POLLING PLACE,232,139,53,
DOWNEY,1850041A,694,303,N,,VBM PORTION,55,43,5,
DOWNEY,1850041A,694,303,N,1160,TOTAL,287,182,58,
DOWNEY,1850043A,695,303,N,904,POLLING PLACE,175,129,34,
DOWNEY,1850043A,695,303,N,,VBM PORTION,71,33,20,
DOWNEY,1850043A,695,303,N,904,TOTAL,246,162,54,
DOWNEY,1850045A,696,303,N,529,POLLING PLACE,130,84,30,
DOWNEY,1850045A,696,303,N,,VBM PORTION,37,21,7,
DOWNEY,1850045A,696,303,N,529,TOTAL,167,105,37,
DOWNEY,1850046A,697,303,N,597,POLLING PLACE,124,71,28,
DOWNEY,1850046A,697,303,N,,VBM PORTION,36,24,9,
DOWNEY,1850046A,697,303,N,597,TOTAL,160,95,37,
DOWNEY,1850047A,698,303,N,903,POLLING PLACE,249,166,46,
DOWNEY,1850047A,698,303,N,,VBM PORTION,68,44,14,
DOWNEY,1850047A,698,303,N,903,TOTAL,317,210,60,
DOWNEY,1850048A,6066,304,Y,68,POLLING PLACE,,,,
DOWNEY,1850048A,6066,304,Y,,VBM PORTION,9,7,2,
DOWNEY,1850048A,6066,304,Y,68,TOTAL,9,7,2,
DOWNEY,1850050A,699,303,N,862,POLLING PLACE,215,138,47,
DOWNEY,1850050A,699,303,N,,VBM PORTION,51,35,9,
DOWNEY,1850050A,699,303,N,862,TOTAL,266,173,56,
DOWNEY,1850051B,700,303,N,816,POLLING PLACE,184,122,41,
DOWNEY,1850051B,700,303,N,,VBM PORTION,78,46,20,
DOWNEY,1850051B,700,303,N,816,TOTAL,262,168,61,
DOWNEY,1850055A,701,303,N,733,POLLING PLACE,177,114,40,
DOWNEY,1850055A,701,303,N,,VBM PORTION,58,39,6,
DOWNEY,1850055A,701,303,N,733,TOTAL,235,153,46,
DOWNEY,1850056C,702,303,N,1112,POLLING PLACE,162,107,40,
DOWNEY,1850056C,702,303,N,,VBM PORTION,41,26,7,
DOWNEY,1850056C,702,303,N,1112,TOTAL,203,133,47,
DOWNEY,1850057A,703,298,N,715,POLLING PLACE,78,42,23,
DOWNEY,1850057A,703,298,N,,VBM PORTION,25,14,10,
DOWNEY,1850057A,703,298,N,715,TOTAL,103,56,33,
DOWNEY,1850058A,704,303,N,772,POLLING PLACE,106,70,24,
DOWNEY,1850058A,704,303,N,,VBM PORTION,25,13,8,
DOWNEY,1850058A,704,303,N,772,TOTAL,131,83,32,
DOWNEY,1850059A,705,303,N,411,POLLING PLACE,92,56,19,
DOWNEY,1850059A,705,303,N,,VBM PORTION,11,7,1,
DOWNEY,1850059A,705,303,N,411,TOTAL,103,63,20,
DOWNEY,1850062A,706,303,N,985,POLLING PLACE,240,142,58,
DOWNEY,1850062A,706,303,N,,VBM PORTION,80,54,12,
DOWNEY,1850062A,706,303,N,985,TOTAL,320,196,70,
DOWNEY,1850063A,707,303,N,767,POLLING PLACE,120,71,39,
DOWNEY,1850063A,707,303,N,,VBM PORTION,45,28,12,
DOWNEY,1850063A,707,303,N,767,TOTAL,165,99,51,
DOWNEY,1850064A,708,298,N,775,POLLING PLACE,99,59,24,
DOWNEY,1850064A,708,298,N,,VBM PORTION,38,22,14,
DOWNEY,1850064A,708,298,N,775,TOTAL,137,81,38,
DOWNEY,1850065A,709,298,N,992,POLLING PLACE,203,130,46,
DOWNEY,1850065A,709,298,N,,VBM PORTION,58,41,13,
DOWNEY,1850065A,709,298,N,992,TOTAL,261,171,59,
DOWNEY,1850067A,710,298,N,770,POLLING PLACE,170,103,50,
DOWNEY,1850067A,710,298,N,,VBM PORTION,48,24,10,
DOWNEY,1850067A,710,298,N,770,TOTAL,218,127,60,
DOWNEY,1850071A,711,298,N,900,POLLING PLACE,206,138,38,
DOWNEY,1850071A,711,298,N,,VBM PORTION,63,38,12,
DOWNEY,1850071A,711,298,N,900,TOTAL,269,176,50,
DOWNEY,1850073A,712,298,N,819,POLLING PLACE,192,135,38,
DOWNEY,1850073A,712,298,N,,VBM PORTION,75,47,17,
DOWNEY,1850073A,712,298,N,819,TOTAL,267,182,55,
DOWNEY,1850074B,713,297,N,670,POLLING PLACE,153,96,43,
DOWNEY,1850074B,713,297,N,,VBM PORTION,40,25,12,
DOWNEY,1850074B,713,297,N,670,TOTAL,193,121,55,
DOWNEY,1850076A,714,298,N,1096,POLLING PLACE,239,137,63,
DOWNEY,1850076A,714,298,N,,VBM PORTION,74,47,13,
DOWNEY,1850076A,714,298,N,1096,TOTAL,313,184,76,
DOWNEY,1850079A,715,299,N,1044,POLLING PLACE,290,182,74,
DOWNEY,1850079A,715,299,N,,VBM PORTION,57,37,10,
DOWNEY,1850079A,715,299,N,1044,TOTAL,347,219,84,
DOWNEY,1850080A,716,299,N,875,POLLING PLACE,202,124,47,
DOWNEY,1850080A,716,299,N,,VBM PORTION,50,33,11,
DOWNEY,1850080A,716,299,N,875,TOTAL,252,157,58,
DOWNEY,1850081A,717,299,N,1173,POLLING PLACE,211,137,42,
DOWNEY,1850081A,717,299,N,,VBM PORTION,72,48,15,
DOWNEY,1850081A,717,299,N,1173,TOTAL,283,185,57,
DOWNEY,1850082B,718,299,N,537,POLLING PLACE,104,52,30,
DOWNEY,1850082B,718,299,N,,VBM PORTION,63,42,14,
DOWNEY,1850082B,718,299,N,537,TOTAL,167,94,44,
DOWNEY,1850083A,719,298,N,1037,POLLING PLACE,239,145,62,
DOWNEY,1850083A,719,298,N,,VBM PORTION,51,34,9,
DOWNEY,1850083A,719,298,N,1037,TOTAL,290,179,71,
DOWNEY,1850089A,720,303,N,847,POLLING PLACE,151,100,33,
DOWNEY,1850089A,720,303,N,,VBM PORTION,40,26,11,
DOWNEY,1850089A,720,303,N,847,TOTAL,191,126,44,
DOWNEY,1850094A,721,303,N,398,POLLING PLACE,85,50,26,
DOWNEY,1850094A,721,303,N,,VBM PORTION,16,11,5,
DOWNEY,1850094A,721,303,N,398,TOTAL,101,61,31,
DOWNEY,1850102A,722,298,N,1055,POLLING PLACE,264,181,56,
DOWNEY,1850102A,722,298,N,,VBM PORTION,59,29,14,
DOWNEY,1850102A,722,298,N,1055,TOTAL,323,210,70,
DOWNEY,1850138A,723,298,N,767,POLLING PLACE,152,101,34,
DOWNEY,1850138A,723,298,N,,VBM PORTION,45,35,3,
DOWNEY,1850138A,723,298,N,767,TOTAL,197,136,37,
DOWNEY,1850150A,724,303,N,645,POLLING PLACE,117,72,29,
DOWNEY,1850150A,724,303,N,,VBM PORTION,21,13,5,
DOWNEY,1850150A,724,303,N,645,TOTAL,138,85,34,
DOWNEY,1850151A,725,303,N,1036,POLLING PLACE,214,144,46,
DOWNEY,1850151A,725,303,N,,VBM PORTION,92,66,12,
DOWNEY,1850151A,725,303,N,1036,TOTAL,306,210,58,
DUARTE,1900001A,726,147,N,1347,POLLING PLACE,200,120,46,
DUARTE,1900001A,726,147,N,,VBM PORTION,61,46,11,
DUARTE,1900001A,726,147,N,1347,TOTAL,261,166,57,
DUARTE,1900002A,727,147,N,901,POLLING PLACE,177,99,40,
DUARTE,1900002A,727,147,N,,VBM PORTION,65,37,9,
DUARTE,1900002A,727,147,N,901,TOTAL,242,136,49,
DUARTE,1900004A,728,147,N,590,POLLING PLACE,86,50,26,
DUARTE,1900004A,728,147,N,,VBM PORTION,37,21,13,
DUARTE,1900004A,728,147,N,590,TOTAL,123,71,39,
DUARTE,1900005A,729,147,N,818,POLLING PLACE,120,57,39,
DUARTE,1900005A,729,147,N,,VBM PORTION,73,51,9,
DUARTE,1900005A,729,147,N,818,TOTAL,193,108,48,
DUARTE,1900006A,730,147,N,1137,POLLING PLACE,212,139,47,
DUARTE,1900006A,730,147,N,,VBM PORTION,148,106,10,
DUARTE,1900006A,730,147,N,1137,TOTAL,360,245,57,
DUARTE,1900007A,731,146,N,1319,POLLING PLACE,300,184,64,
DUARTE,1900007A,731,146,N,,VBM PORTION,144,92,20,
DUARTE,1900007A,731,146,N,1319,TOTAL,444,276,84,
DUARTE,1900008A,732,147,N,929,POLLING PLACE,159,101,33,
DUARTE,1900008A,732,147,N,,VBM PORTION,76,43,15,
DUARTE,1900008A,732,147,N,929,TOTAL,235,144,48,
DUARTE,1900009A,733,147,N,1253,POLLING PLACE,217,138,49,
DUARTE,1900009A,733,147,N,,VBM PORTION,108,68,17,
DUARTE,1900009A,733,147,N,1253,TOTAL,325,206,66,
DUARTE,1900012B,734,146,N,1233,POLLING PLACE,306,197,60,
DUARTE,1900012B,734,146,N,,VBM PORTION,117,81,23,
DUARTE,1900012B,734,146,N,1233,TOTAL,423,278,83,
DUARTE,1900012F,6067,145,Y,53,POLLING PLACE,,,,
DUARTE,1900012F,6067,145,Y,,VBM PORTION,13,5,7,
DUARTE,1900012F,6067,145,Y,53,TOTAL,13,5,7,
DUARTE,1900015B,735,147,N,767,POLLING PLACE,90,59,18,
DUARTE,1900015B,735,147,N,,VBM PORTION,74,47,18,
DUARTE,1900015B,735,147,N,767,TOTAL,164,106,36,
DUARTE,1900021C,736,147,N,895,POLLING PLACE,179,106,50,
DUARTE,1900021C,736,147,N,,VBM PORTION,94,51,23,
DUARTE,1900021C,736,147,N,895,TOTAL,273,157,73,
EAST ARCADIA,1940001A,737,137,N,952,POLLING PLACE,149,90,37,
EAST ARCADIA,1940001A,737,137,N,,VBM PORTION,17,10,5,
EAST ARCADIA,1940001A,737,137,N,952,TOTAL,166,100,42,
EAST ARCADIA,1940002A,738,137,N,945,POLLING PLACE,222,133,63,
EAST ARCADIA,1940002A,738,137,N,,VBM PORTION,70,53,11,
EAST ARCADIA,1940002A,738,137,N,945,TOTAL,292,186,74,
EAST ARCADIA,1940004A,739,137,N,428,POLLING PLACE,115,74,25,
EAST ARCADIA,1940004A,739,137,N,,VBM PORTION,38,29,3,
EAST ARCADIA,1940004A,739,137,N,428,TOTAL,153,103,28,
EAST ARCADIA,1940005A,740,169,N,997,POLLING PLACE,200,120,51,
EAST ARCADIA,1940005A,740,169,N,,VBM PORTION,96,54,16,
EAST ARCADIA,1940005A,740,169,N,997,TOTAL,296,174,67,
EAST ARCADIA,1940007A,741,165,N,519,POLLING PLACE,109,74,23,
EAST ARCADIA,1940007A,741,165,N,,VBM PORTION,32,15,12,
EAST ARCADIA,1940007A,741,165,N,519,TOTAL,141,89,35,
EAST ARCADIA,1940008A,742,137,N,832,POLLING PLACE,148,95,36,
EAST ARCADIA,1940008A,742,137,N,,VBM PORTION,28,16,8,
EAST ARCADIA,1940008A,742,137,N,832,TOTAL,176,111,44,
EAST ARCADIA,1940010A,743,157,N,1112,POLLING PLACE,259,171,59,
EAST ARCADIA,1940010A,743,157,N,,VBM PORTION,94,61,15,
EAST ARCADIA,1940010A,743,157,N,1112,TOTAL,353,232,74,
EAST ARCADIA,1940011A,744,137,N,967,POLLING PLACE,250,154,51,
EAST ARCADIA,1940011A,744,137,N,,VBM PORTION,78,48,18,
EAST ARCADIA,1940011A,744,137,N,967,TOTAL,328,202,69,
EAST ARCADIA,1940013A,745,157,N,863,POLLING PLACE,149,98,35,
EAST ARCADIA,1940013A,745,157,N,,VBM PORTION,101,59,28,
EAST ARCADIA,1940013A,745,157,N,863,TOTAL,250,157,63,
EAST COMPTON,1960001A,746,363,N,484,POLLING PLACE,46,27,15,
EAST COMPTON,1960001A,746,363,N,,VBM PORTION,13,8,4,
EAST COMPTON,1960001A,746,363,N,484,TOTAL,59,35,19,
EAST COMPTON,1960003A,747,363,N,1095,POLLING PLACE,146,85,49,
EAST COMPTON,1960003A,747,363,N,,VBM PORTION,26,19,5,
EAST COMPTON,1960003A,747,363,N,1095,TOTAL,172,104,54,
EAST COMPTON,1960006A,6068,365,Y,,POLLING PLACE,,,,
EAST COMPTON,1960006A,6068,365,Y,,VBM PORTION,,,,
EAST COMPTON,1960006A,6068,365,Y,,TOTAL,,,,
EAST COMPTON,1960007A,748,363,N,792,POLLING PLACE,132,82,35,
EAST COMPTON,1960007A,748,363,N,,VBM PORTION,23,14,9,
EAST COMPTON,1960007A,748,363,N,792,TOTAL,155,96,44,
EAST COMPTON,1960010A,749,363,N,679,POLLING PLACE,85,58,19,
EAST COMPTON,1960010A,749,363,N,,VBM PORTION,25,16,5,
EAST COMPTON,1960010A,749,363,N,679,TOTAL,110,74,24,
EAST COMPTON,1960011A,750,363,N,731,POLLING PLACE,104,74,24,
EAST COMPTON,1960011A,750,363,N,,VBM PORTION,22,12,7,
EAST COMPTON,1960011A,750,363,N,731,TOTAL,126,86,31,
EAST COMPTON,1960030A,6069,352,Y,,POLLING PLACE,,,,
EAST COMPTON,1960030A,6069,352,Y,,VBM PORTION,,,,
EAST COMPTON,1960030A,6069,352,Y,,TOTAL,,,,
EAST COMPTON,1960031A,6070,354,Y,,POLLING PLACE,,,,
EAST COMPTON,1960031A,6070,354,Y,,VBM PORTION,,,,
EAST COMPTON,1960031A,6070,354,Y,,TOTAL,,,,
EAST COMPTON,1960032A,751,363,N,1067,POLLING PLACE,187,117,47,
EAST COMPTON,1960032A,751,363,N,,VBM PORTION,22,8,8,
EAST COMPTON,1960032A,751,363,N,1067,TOTAL,209,125,55,
EAST LOS ANGELES,2000001A,752,201,N,833,POLLING PLACE,103,56,34,
EAST LOS ANGELES,2000001A,752,201,N,,VBM PORTION,38,29,6,
EAST LOS ANGELES,2000001A,752,201,N,833,TOTAL,141,85,40,
EAST LOS ANGELES,2000002A,753,201,N,1078,POLLING PLACE,186,117,48,
