LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JEROME E HORTON,G RICK MARSHALL,
CARSON,1030048A,396,373,N,965,POLLING PLACE,142,77,51,
CARSON,1030048A,396,373,N,,VBM PORTION,47,33,11,
CARSON,1030048A,396,373,N,965,TOTAL,189,110,62,
CARSON,1030049A,397,373,N,856,POLLING PLACE,116,80,24,
CARSON,1030049A,397,373,N,,VBM PORTION,47,31,13,
CARSON,1030049A,397,373,N,856,TOTAL,163,111,37,
CARSON,1030053A,398,373,N,1079,POLLING PLACE,275,237,18,
CARSON,1030053A,398,373,N,,VBM PORTION,102,87,9,
CARSON,1030053A,398,373,N,1079,TOTAL,377,324,27,
CARSON,1030053B,399,373,N,1060,POLLING PLACE,288,252,18,
CARSON,1030053B,399,373,N,,VBM PORTION,88,72,5,
CARSON,1030053B,399,373,N,1060,TOTAL,376,324,23,
CARSON,1030060A,400,373,N,888,POLLING PLACE,235,205,13,
CARSON,1030060A,400,373,N,,VBM PORTION,87,74,5,
CARSON,1030060A,400,373,N,888,TOTAL,322,279,18,
CARSON,1030067B,401,373,N,711,POLLING PLACE,251,201,25,
CARSON,1030067B,401,373,N,,VBM PORTION,41,34,1,
CARSON,1030067B,401,373,N,711,TOTAL,292,235,26,
CARSON,1030081A,402,373,N,814,POLLING PLACE,84,56,22,
CARSON,1030081A,402,373,N,,VBM PORTION,62,22,29,
CARSON,1030081A,402,373,N,814,TOTAL,146,78,51,
CARSON,1030100A,403,363,N,488,POLLING PLACE,111,101,4,
CARSON,1030100A,403,363,N,,VBM PORTION,33,28,,
CARSON,1030100A,403,363,N,488,TOTAL,144,129,4,
CARSON,1030101A,404,363,N,838,POLLING PLACE,191,172,11,
CARSON,1030101A,404,363,N,,VBM PORTION,80,67,8,
CARSON,1030101A,404,363,N,838,TOTAL,271,239,19,
CARSON,1030102A,405,373,N,937,POLLING PLACE,246,218,14,
CARSON,1030102A,405,373,N,,VBM PORTION,47,37,9,
CARSON,1030102A,405,373,N,937,TOTAL,293,255,23,
CARSON,1030103A,406,373,N,1049,POLLING PLACE,297,263,21,
CARSON,1030103A,406,373,N,,VBM PORTION,96,83,6,
CARSON,1030103A,406,373,N,1049,TOTAL,393,346,27,
CARSON,1030105A,407,373,N,1075,POLLING PLACE,319,270,22,
CARSON,1030105A,407,373,N,,VBM PORTION,106,86,9,
CARSON,1030105A,407,373,N,1075,TOTAL,425,356,31,
CARSON,1030106A,408,373,N,923,POLLING PLACE,245,208,18,
CARSON,1030106A,408,373,N,,VBM PORTION,75,68,3,
CARSON,1030106A,408,373,N,923,TOTAL,320,276,21,
CARSON,1030107A,409,373,N,945,POLLING PLACE,227,204,8,
CARSON,1030107A,409,373,N,,VBM PORTION,87,70,10,
CARSON,1030107A,409,373,N,945,TOTAL,314,274,18,
CARSON,1030108B,410,373,N,945,POLLING PLACE,132,84,39,
CARSON,1030108B,410,373,N,,VBM PORTION,46,33,10,
CARSON,1030108B,410,373,N,945,TOTAL,178,117,49,
CARSON,1030109A,411,373,N,899,POLLING PLACE,121,89,24,
CARSON,1030109A,411,373,N,,VBM PORTION,71,51,14,
CARSON,1030109A,411,373,N,899,TOTAL,192,140,38,
CARSON,1030110A,412,367,N,684,POLLING PLACE,84,71,5,
CARSON,1030110A,412,367,N,,VBM PORTION,41,32,3,
CARSON,1030110A,412,367,N,684,TOTAL,125,103,8,
CARSON,1030111A,413,373,N,1018,POLLING PLACE,331,295,16,
CARSON,1030111A,413,373,N,,VBM PORTION,80,69,7,
CARSON,1030111A,413,373,N,1018,TOTAL,411,364,23,
CARSON,1030112A,414,373,N,876,POLLING PLACE,121,83,29,
CARSON,1030112A,414,373,N,,VBM PORTION,43,20,22,
CARSON,1030112A,414,373,N,876,TOTAL,164,103,51,
CARSON,1030113A,415,373,N,853,POLLING PLACE,168,96,45,
CARSON,1030113A,415,373,N,,VBM PORTION,30,20,8,
CARSON,1030113A,415,373,N,853,TOTAL,198,116,53,
CARSON,1030114A,416,373,N,838,POLLING PLACE,135,85,42,
CARSON,1030114A,416,373,N,,VBM PORTION,27,13,12,
CARSON,1030114A,416,373,N,838,TOTAL,162,98,54,
CARSON,1030115A,417,373,N,837,POLLING PLACE,119,60,45,
CARSON,1030115A,417,373,N,,VBM PORTION,44,25,18,
CARSON,1030115A,417,373,N,837,TOTAL,163,85,63,
CARSON,1030116A,418,363,N,481,POLLING PLACE,91,49,28,
CARSON,1030116A,418,363,N,,VBM PORTION,116,68,35,
CARSON,1030116A,418,363,N,481,TOTAL,207,117,63,
CARSON,1030119A,419,373,N,951,POLLING PLACE,201,168,14,
CARSON,1030119A,419,373,N,,VBM PORTION,93,86,3,
CARSON,1030119A,419,373,N,951,TOTAL,294,254,17,
CARSON,1030120A,420,373,N,835,POLLING PLACE,120,74,33,
CARSON,1030120A,420,373,N,,VBM PORTION,36,15,14,
CARSON,1030120A,420,373,N,835,TOTAL,156,89,47,
CENTINELA,1060001A,6047,326,Y,133,POLLING PLACE,,,,
CENTINELA,1060001A,6047,326,Y,,VBM PORTION,23,7,11,
CENTINELA,1060001A,6047,326,Y,133,TOTAL,23,7,11,
CENTINELA,1060002A,6048,329,Y,,POLLING PLACE,,,,
CENTINELA,1060002A,6048,329,Y,,VBM PORTION,,,,
CENTINELA,1060002A,6048,329,Y,,TOTAL,,,,
CERRITOS,1070001A,434,275,N,1006,POLLING PLACE,166,79,72,
CERRITOS,1070001A,434,275,N,,VBM PORTION,128,40,58,
CERRITOS,1070001A,434,275,N,1006,TOTAL,294,119,130,
CERRITOS,1070002A,435,278,N,1059,POLLING PLACE,208,100,88,
CERRITOS,1070002A,435,278,N,,VBM PORTION,111,44,56,
CERRITOS,1070002A,435,278,N,1059,TOTAL,319,144,144,
CERRITOS,1070003A,436,287,N,727,POLLING PLACE,180,86,76,
CERRITOS,1070003A,436,287,N,,VBM PORTION,59,18,34,
CERRITOS,1070003A,436,287,N,727,TOTAL,239,104,110,
CERRITOS,1070004A,437,287,N,593,POLLING PLACE,153,64,76,
CERRITOS,1070004A,437,287,N,,VBM PORTION,65,36,21,
CERRITOS,1070004A,437,287,N,593,TOTAL,218,100,97,
CERRITOS,1070006A,438,275,N,927,POLLING PLACE,178,82,77,
CERRITOS,1070006A,438,275,N,,VBM PORTION,114,40,55,
CERRITOS,1070006A,438,275,N,927,TOTAL,292,122,132,
CERRITOS,1070007A,439,275,N,818,POLLING PLACE,143,80,51,
CERRITOS,1070007A,439,275,N,,VBM PORTION,80,30,40,
CERRITOS,1070007A,439,275,N,818,TOTAL,223,110,91,
CERRITOS,1070008A,440,275,N,779,POLLING PLACE,158,74,67,
CERRITOS,1070008A,440,275,N,,VBM PORTION,103,38,53,
CERRITOS,1070008A,440,275,N,779,TOTAL,261,112,120,
CERRITOS,1070010A,441,275,N,1262,POLLING PLACE,287,138,123,
CERRITOS,1070010A,441,275,N,,VBM PORTION,124,58,58,
CERRITOS,1070010A,441,275,N,1262,TOTAL,411,196,181,
CERRITOS,1070011A,442,275,N,960,POLLING PLACE,174,67,73,
CERRITOS,1070011A,442,275,N,,VBM PORTION,119,64,42,
CERRITOS,1070011A,442,275,N,960,TOTAL,293,131,115,
CERRITOS,1070012A,443,275,N,971,POLLING PLACE,160,70,64,
CERRITOS,1070012A,443,275,N,,VBM PORTION,110,50,48,
CERRITOS,1070012A,443,275,N,971,TOTAL,270,120,112,
CERRITOS,1070013A,444,275,N,837,POLLING PLACE,227,99,92,
CERRITOS,1070013A,444,275,N,,VBM PORTION,68,32,30,
CERRITOS,1070013A,444,275,N,837,TOTAL,295,131,122,
CERRITOS,1070014A,445,275,N,834,POLLING PLACE,166,81,64,
CERRITOS,1070014A,445,275,N,,VBM PORTION,63,20,32,
CERRITOS,1070014A,445,275,N,834,TOTAL,229,101,96,
CERRITOS,1070016D,446,275,N,1203,POLLING PLACE,244,108,103,
CERRITOS,1070016D,446,275,N,,VBM PORTION,138,57,56,
CERRITOS,1070016D,446,275,N,1203,TOTAL,382,165,159,
CERRITOS,1070017A,447,275,N,1252,POLLING PLACE,241,94,106,
CERRITOS,1070017A,447,275,N,,VBM PORTION,180,73,66,
CERRITOS,1070017A,447,275,N,1252,TOTAL,421,167,172,
CERRITOS,1070018A,448,275,N,996,POLLING PLACE,185,85,74,
CERRITOS,1070018A,448,275,N,,VBM PORTION,106,34,49,
CERRITOS,1070018A,448,275,N,996,TOTAL,291,119,123,
CERRITOS,1070020A,449,275,N,1000,POLLING PLACE,215,97,89,
CERRITOS,1070020A,449,275,N,,VBM PORTION,100,33,51,
CERRITOS,1070020A,449,275,N,1000,TOTAL,315,130,140,
CERRITOS,1070021A,450,275,N,716,POLLING PLACE,130,67,51,
CERRITOS,1070021A,450,275,N,,VBM PORTION,82,31,30,
CERRITOS,1070021A,450,275,N,716,TOTAL,212,98,81,
CERRITOS,1070022A,451,275,N,1056,POLLING PLACE,168,86,65,
CERRITOS,1070022A,451,275,N,,VBM PORTION,121,61,42,
CERRITOS,1070022A,451,275,N,1056,TOTAL,289,147,107,
CERRITOS,1070023A,452,275,N,894,POLLING PLACE,167,74,71,
CERRITOS,1070023A,452,275,N,,VBM PORTION,120,51,57,
CERRITOS,1070023A,452,275,N,894,TOTAL,287,125,128,
CERRITOS,1070024A,453,275,N,728,POLLING PLACE,169,70,75,
CERRITOS,1070024A,453,275,N,,VBM PORTION,79,32,34,
CERRITOS,1070024A,453,275,N,728,TOTAL,248,102,109,
CERRITOS,1070025A,454,275,N,846,POLLING PLACE,200,93,76,
CERRITOS,1070025A,454,275,N,,VBM PORTION,87,38,35,
CERRITOS,1070025A,454,275,N,846,TOTAL,287,131,111,
CERRITOS,1070026A,455,275,N,1218,POLLING PLACE,273,122,118,
CERRITOS,1070026A,455,275,N,,VBM PORTION,145,59,51,
CERRITOS,1070026A,455,275,N,1218,TOTAL,418,181,169,
CERRITOS,1070028A,456,275,N,1083,POLLING PLACE,184,79,77,
CERRITOS,1070028A,456,275,N,,VBM PORTION,131,60,51,
CERRITOS,1070028A,456,275,N,1083,TOTAL,315,139,128,
CERRITOS,1070029A,457,275,N,932,POLLING PLACE,182,64,81,
CERRITOS,1070029A,457,275,N,,VBM PORTION,105,43,42,
CERRITOS,1070029A,457,275,N,932,TOTAL,287,107,123,
CERRITOS,1070031A,458,275,N,924,POLLING PLACE,226,70,105,
CERRITOS,1070031A,458,275,N,,VBM PORTION,98,41,43,
CERRITOS,1070031A,458,275,N,924,TOTAL,324,111,148,
CERRITOS,1070032A,459,275,N,935,POLLING PLACE,188,72,95,
CERRITOS,1070032A,459,275,N,,VBM PORTION,87,36,39,
CERRITOS,1070032A,459,275,N,935,TOTAL,275,108,134,
CERRITOS,1070036A,460,276,N,1026,POLLING PLACE,216,69,103,
CERRITOS,1070036A,460,276,N,,VBM PORTION,137,69,54,
CERRITOS,1070036A,460,276,N,1026,TOTAL,353,138,157,
CERRITOS,1070037A,461,275,N,638,POLLING PLACE,134,74,43,
CERRITOS,1070037A,461,275,N,,VBM PORTION,91,35,48,
CERRITOS,1070037A,461,275,N,638,TOTAL,225,109,91,
CERRITOS,1070040A,462,275,N,945,POLLING PLACE,167,81,63,
CERRITOS,1070040A,462,275,N,,VBM PORTION,126,44,50,
CERRITOS,1070040A,462,275,N,945,TOTAL,293,125,113,
CERRITOS,1070041A,463,278,N,1378,POLLING PLACE,287,134,107,
CERRITOS,1070041A,463,278,N,,VBM PORTION,184,78,77,
CERRITOS,1070041A,463,278,N,1378,TOTAL,471,212,184,
CERRITOS,1070048A,464,275,N,1047,POLLING PLACE,156,81,57,
CERRITOS,1070048A,464,275,N,,VBM PORTION,113,52,39,
CERRITOS,1070048A,464,275,N,1047,TOTAL,269,133,96,
CERRITOS,1070048B,6049,271,Y,36,POLLING PLACE,,,,
CERRITOS,1070048B,6049,271,Y,,VBM PORTION,6,1,2,
CERRITOS,1070048B,6049,271,Y,36,TOTAL,6,1,2,
CERRITOS,1070070B,465,273,N,397,POLLING PLACE,72,31,31,
CERRITOS,1070070B,465,273,N,,VBM PORTION,39,17,19,
CERRITOS,1070070B,465,273,N,397,TOTAL,111,48,50,
CHARTER OAK,1100001A,466,128,N,542,POLLING PLACE,99,65,21,
CHARTER OAK,1100001A,466,128,N,,VBM PORTION,14,12,2,
CHARTER OAK,1100001A,466,128,N,542,TOTAL,113,77,23,
CHARTER OAK,1100004A,467,128,N,639,POLLING PLACE,92,69,13,
CHARTER OAK,1100004A,467,128,N,,VBM PORTION,30,17,11,
CHARTER OAK,1100004A,467,128,N,639,TOTAL,122,86,24,
CHARTER OAK,1100005A,468,128,N,599,POLLING PLACE,70,41,18,
CHARTER OAK,1100005A,468,128,N,,VBM PORTION,24,19,4,
CHARTER OAK,1100005A,468,128,N,599,TOTAL,94,60,22,
CHARTER OAK,1100007A,469,128,N,1006,POLLING PLACE,209,148,54,
CHARTER OAK,1100007A,469,128,N,,VBM PORTION,24,14,9,
CHARTER OAK,1100007A,469,128,N,1006,TOTAL,233,162,63,
CHARTER OAK,1100026A,470,133,N,1090,POLLING PLACE,218,98,103,
CHARTER OAK,1100026A,470,133,N,,VBM PORTION,68,22,42,
CHARTER OAK,1100026A,470,133,N,1090,TOTAL,286,120,145,
CHARTER OAK,1100028A,471,133,N,1265,POLLING PLACE,185,73,96,
CHARTER OAK,1100028A,471,133,N,,VBM PORTION,88,34,50,
CHARTER OAK,1100028A,471,133,N,1265,TOTAL,273,107,146,
CHARTER OAK,1100040A,472,133,N,1087,POLLING PLACE,193,89,86,
CHARTER OAK,1100040A,472,133,N,,VBM PORTION,80,35,34,
CHARTER OAK,1100040A,472,133,N,1087,TOTAL,273,124,120,
CHARTER OAK,1100072A,473,128,N,549,POLLING PLACE,99,50,42,
CHARTER OAK,1100072A,473,128,N,,VBM PORTION,34,15,18,
CHARTER OAK,1100072A,473,128,N,549,TOTAL,133,65,60,
CHARTER OAK,1100073A,474,128,N,1108,POLLING PLACE,230,121,89,
CHARTER OAK,1100073A,474,128,N,,VBM PORTION,63,37,21,
CHARTER OAK,1100073A,474,128,N,1108,TOTAL,293,158,110,
CHARTER OAK,1100076A,475,133,N,420,POLLING PLACE,81,47,30,
CHARTER OAK,1100076A,475,133,N,,VBM PORTION,18,10,8,
CHARTER OAK,1100076A,475,133,N,420,TOTAL,99,57,38,
CHARTER OAK,1100077A,476,128,N,955,POLLING PLACE,144,75,51,
CHARTER OAK,1100077A,476,128,N,,VBM PORTION,33,14,16,
CHARTER OAK,1100077A,476,128,N,955,TOTAL,177,89,67,
CHARTER OAK,1100078A,477,128,N,634,POLLING PLACE,140,61,70,
CHARTER OAK,1100078A,477,128,N,,VBM PORTION,38,19,16,
CHARTER OAK,1100078A,477,128,N,634,TOTAL,178,80,86,
CHARTER OAK,1100081A,478,128,N,821,POLLING PLACE,156,92,51,
CHARTER OAK,1100081A,478,128,N,,VBM PORTION,34,18,12,
CHARTER OAK,1100081A,478,128,N,821,TOTAL,190,110,63,
CHARTER OAK,1100083A,479,133,N,1090,POLLING PLACE,154,85,56,
CHARTER OAK,1100083A,479,133,N,,VBM PORTION,66,33,25,
CHARTER OAK,1100083A,479,133,N,1090,TOTAL,220,118,81,
CHARTER OAK,1100084A,480,133,N,770,POLLING PLACE,141,64,58,
CHARTER OAK,1100084A,480,133,N,,VBM PORTION,54,28,16,
CHARTER OAK,1100084A,480,133,N,770,TOTAL,195,92,74,
CHATSWORTH,1150002A,482,116,N,440,POLLING PLACE,90,42,43,
CHATSWORTH,1150002A,482,116,N,,VBM PORTION,34,10,19,
CHATSWORTH,1150002A,482,116,N,440,TOTAL,124,52,62,
CHATSWORTH,1150004A,6050,114,Y,2,POLLING PLACE,,,,
CHATSWORTH,1150004A,6050,114,Y,,VBM PORTION,2,,2,
CHATSWORTH,1150004A,6050,114,Y,2,TOTAL,2,,2,
CHATSWORTH,1150012A,483,116,N,574,POLLING PLACE,158,82,57,
CHATSWORTH,1150012A,483,116,N,,VBM PORTION,41,12,24,
CHATSWORTH,1150012A,483,116,N,574,TOTAL,199,94,81,
CITRUS,1250005A,6051,140,Y,163,POLLING PLACE,,,,
CITRUS,1250005A,6051,140,Y,,VBM PORTION,45,10,30,
CITRUS,1250005A,6051,140,Y,163,TOTAL,45,10,30,
CITRUS,1250071A,6052,85,Y,4,POLLING PLACE,,,,
CITRUS,1250071A,6052,85,Y,,VBM PORTION,,,,
CITRUS,1250071A,6052,85,Y,4,TOTAL,,,,
CITRUS,1250079A,6053,139,Y,,POLLING PLACE,,,,
CITRUS,1250079A,6053,139,Y,,VBM PORTION,,,,
CITRUS,1250079A,6053,139,Y,,TOTAL,,,,
CITRUS,1250083A,6054,133,Y,172,POLLING PLACE,,,,
CITRUS,1250083A,6054,133,Y,,VBM PORTION,36,15,17,
CITRUS,1250083A,6054,133,Y,172,TOTAL,36,15,17,
CLAREMONT,1300001A,484,84,N,837,POLLING PLACE,150,93,43,
CLAREMONT,1300001A,484,84,N,,VBM PORTION,86,35,37,
CLAREMONT,1300001A,484,84,N,837,TOTAL,236,128,80,
CLAREMONT,1300002A,485,84,N,689,POLLING PLACE,195,133,44,
CLAREMONT,1300002A,485,84,N,,VBM PORTION,61,39,17,
CLAREMONT,1300002A,485,84,N,689,TOTAL,256,172,61,
CLAREMONT,1300003A,486,84,N,1189,POLLING PLACE,331,195,108,
CLAREMONT,1300003A,486,84,N,,VBM PORTION,97,48,42,
CLAREMONT,1300003A,486,84,N,1189,TOTAL,428,243,150,
CLAREMONT,1300004A,487,84,N,1236,POLLING PLACE,97,74,12,
CLAREMONT,1300004A,487,84,N,,VBM PORTION,23,18,3,
CLAREMONT,1300004A,487,84,N,1236,TOTAL,120,92,15,
CLAREMONT,1300005A,488,84,N,910,POLLING PLACE,287,166,96,
CLAREMONT,1300005A,488,84,N,,VBM PORTION,95,55,33,
CLAREMONT,1300005A,488,84,N,910,TOTAL,382,221,129,
CLAREMONT,1300007A,489,84,N,1010,POLLING PLACE,237,127,73,
CLAREMONT,1300007A,489,84,N,,VBM PORTION,166,83,65,
CLAREMONT,1300007A,489,84,N,1010,TOTAL,403,210,138,
CLAREMONT,1300009A,490,84,N,1382,POLLING PLACE,475,343,88,
CLAREMONT,1300009A,490,84,N,,VBM PORTION,300,224,55,
CLAREMONT,1300009A,490,84,N,1382,TOTAL,775,567,143,
CLAREMONT,1300010A,6055,83,Y,,POLLING PLACE,,,,
CLAREMONT,1300010A,6055,83,Y,,VBM PORTION,,,,
CLAREMONT,1300010A,6055,83,Y,,TOTAL,,,,
CLAREMONT,1300012A,491,84,N,1189,POLLING PLACE,462,321,95,
CLAREMONT,1300012A,491,84,N,,VBM PORTION,138,87,33,
CLAREMONT,1300012A,491,84,N,1189,TOTAL,600,408,128,
CLAREMONT,1300014A,492,84,N,890,POLLING PLACE,290,150,112,
CLAREMONT,1300014A,492,84,N,,VBM PORTION,110,61,42,
CLAREMONT,1300014A,492,84,N,890,TOTAL,400,211,154,
CLAREMONT,1300018A,493,84,N,1163,POLLING PLACE,394,204,146,
CLAREMONT,1300018A,493,84,N,,VBM PORTION,144,76,46,
CLAREMONT,1300018A,493,84,N,1163,TOTAL,538,280,192,
CLAREMONT,1300019A,494,84,N,910,POLLING PLACE,290,121,135,
CLAREMONT,1300019A,494,84,N,,VBM PORTION,125,53,57,
CLAREMONT,1300019A,494,84,N,910,TOTAL,415,174,192,
CLAREMONT,1300020A,495,84,N,856,POLLING PLACE,272,123,118,
CLAREMONT,1300020A,495,84,N,,VBM PORTION,114,58,44,
CLAREMONT,1300020A,495,84,N,856,TOTAL,386,181,162,
CLAREMONT,1300021A,496,84,N,836,POLLING PLACE,312,191,89,
CLAREMONT,1300021A,496,84,N,,VBM PORTION,109,58,38,
CLAREMONT,1300021A,496,84,N,836,TOTAL,421,249,127,
CLAREMONT,1300023B,497,83,N,550,POLLING PLACE,122,83,29,
CLAREMONT,1300023B,497,83,N,,VBM PORTION,34,16,17,
CLAREMONT,1300023B,497,83,N,550,TOTAL,156,99,46,
CLAREMONT,1300025A,498,84,N,870,POLLING PLACE,290,162,87,
CLAREMONT,1300025A,498,84,N,,VBM PORTION,121,73,32,
CLAREMONT,1300025A,498,84,N,870,TOTAL,411,235,119,
CLAREMONT,1300026A,499,84,N,1128,POLLING PLACE,341,160,142,
CLAREMONT,1300026A,499,84,N,,VBM PORTION,126,53,63,
CLAREMONT,1300026A,499,84,N,1128,TOTAL,467,213,205,
CLAREMONT,1300029A,500,84,N,517,POLLING PLACE,135,64,58,
CLAREMONT,1300029A,500,84,N,,VBM PORTION,115,38,61,
CLAREMONT,1300029A,500,84,N,517,TOTAL,250,102,119,
CLAREMONT,1300037A,501,84,N,1117,POLLING PLACE,322,112,171,
CLAREMONT,1300037A,501,84,N,,VBM PORTION,139,48,81,
CLAREMONT,1300037A,501,84,N,1117,TOTAL,461,160,252,
CLAREMONT,1300039A,502,84,N,1184,POLLING PLACE,389,177,174,
CLAREMONT,1300039A,502,84,N,,VBM PORTION,165,68,79,
CLAREMONT,1300039A,502,84,N,1184,TOTAL,554,245,253,
CLAREMONT,1300042A,503,84,N,920,POLLING PLACE,322,126,162,
CLAREMONT,1300042A,503,84,N,,VBM PORTION,132,52,69,
CLAREMONT,1300042A,503,84,N,920,TOTAL,454,178,231,
CLAREMONT,1300062A,504,84,N,689,POLLING PLACE,200,76,111,
CLAREMONT,1300062A,504,84,N,,VBM PORTION,92,55,26,
CLAREMONT,1300062A,504,84,N,689,TOTAL,292,131,137,
CLAREMONT,1300063A,505,84,N,1057,POLLING PLACE,364,189,140,
CLAREMONT,1300063A,505,84,N,,VBM PORTION,130,59,63,
CLAREMONT,1300063A,505,84,N,1057,TOTAL,494,248,203,
COMMERCE,1430002A,506,289,N,678,POLLING PLACE,119,90,14,
COMMERCE,1430002A,506,289,N,,VBM PORTION,10,9,1,
COMMERCE,1430002A,506,289,N,678,TOTAL,129,99,15,
COMMERCE,1430003A,6056,282,Y,,POLLING PLACE,,,,
COMMERCE,1430003A,6056,282,Y,,VBM PORTION,,,,
COMMERCE,1430003A,6056,282,Y,,TOTAL,,,,
COMMERCE,1430009A,507,289,N,1045,POLLING PLACE,192,134,24,
COMMERCE,1430009A,507,289,N,,VBM PORTION,33,21,7,
COMMERCE,1430009A,507,289,N,1045,TOTAL,225,155,31,
COMMERCE,1430010A,6057,304,Y,1,POLLING PLACE,,,,
COMMERCE,1430010A,6057,304,Y,,VBM PORTION,,,,
COMMERCE,1430010A,6057,304,Y,1,TOTAL,,,,
COMMERCE,1430031A,508,289,N,781,POLLING PLACE,207,132,48,
COMMERCE,1430031A,508,289,N,,VBM PORTION,41,27,8,
COMMERCE,1430031A,508,289,N,781,TOTAL,248,159,56,
COMMERCE,1430033A,509,289,N,1013,POLLING PLACE,173,123,34,
COMMERCE,1430033A,509,289,N,,VBM PORTION,34,27,4,
COMMERCE,1430033A,509,289,N,1013,TOTAL,207,150,38,
COMMERCE,1430034A,510,289,N,608,POLLING PLACE,109,78,20,
COMMERCE,1430034A,510,289,N,,VBM PORTION,28,21,3,
COMMERCE,1430034A,510,289,N,608,TOTAL,137,99,23,
COMMERCE,1430035A,511,289,N,986,POLLING PLACE,145,110,17,
COMMERCE,1430035A,511,289,N,,VBM PORTION,42,30,9,
COMMERCE,1430035A,511,289,N,986,TOTAL,187,140,26,
COMMERCE,1430036A,512,289,N,908,POLLING PLACE,129,79,35,
COMMERCE,1430036A,512,289,N,,VBM PORTION,25,17,3,
COMMERCE,1430036A,512,289,N,908,TOTAL,154,96,38,
COMPTON,1450002A,513,363,N,1115,POLLING PLACE,166,136,20,
COMPTON,1450002A,513,363,N,,VBM PORTION,30,28,1,
COMPTON,1450002A,513,363,N,1115,TOTAL,196,164,21,
COMPTON,1450004A,514,363,N,919,POLLING PLACE,138,119,9,
COMPTON,1450004A,514,363,N,,VBM PORTION,35,28,6,
COMPTON,1450004A,514,363,N,919,TOTAL,173,147,15,
COMPTON,1450005A,515,363,N,706,POLLING PLACE,159,141,8,
COMPTON,1450005A,515,363,N,,VBM PORTION,24,21,1,
COMPTON,1450005A,515,363,N,706,TOTAL,183,162,9,
COMPTON,1450006A,516,363,N,807,POLLING PLACE,116,96,16,
COMPTON,1450006A,516,363,N,,VBM PORTION,21,14,4,
COMPTON,1450006A,516,363,N,807,TOTAL,137,110,20,
COMPTON,1450007B,517,363,N,1085,POLLING PLACE,144,114,14,
COMPTON,1450007B,517,363,N,,VBM PORTION,32,28,1,
COMPTON,1450007B,517,363,N,1085,TOTAL,176,142,15,
COMPTON,1450008A,518,363,N,1050,POLLING PLACE,114,95,10,
COMPTON,1450008A,518,363,N,,VBM PORTION,47,36,7,
COMPTON,1450008A,518,363,N,1050,TOTAL,161,131,17,
COMPTON,1450008B,519,363,N,794,POLLING PLACE,87,64,12,
COMPTON,1450008B,519,363,N,,VBM PORTION,32,32,,
COMPTON,1450008B,519,363,N,794,TOTAL,119,96,12,
COMPTON,1450010C,520,363,N,677,POLLING PLACE,131,100,11,
COMPTON,1450010C,520,363,N,,VBM PORTION,37,29,1,
COMPTON,1450010C,520,363,N,677,TOTAL,168,129,12,
COMPTON,1450018A,521,363,N,741,POLLING PLACE,120,114,5,
COMPTON,1450018A,521,363,N,,VBM PORTION,28,21,5,
COMPTON,1450018A,521,363,N,741,TOTAL,148,135,10,
COMPTON,1450020A,522,363,N,976,POLLING PLACE,183,155,17,
COMPTON,1450020A,522,363,N,,VBM PORTION,43,38,2,
COMPTON,1450020A,522,363,N,976,TOTAL,226,193,19,
COMPTON,1450022B,523,363,N,1008,POLLING PLACE,159,138,15,
COMPTON,1450022B,523,363,N,,VBM PORTION,36,31,3,
COMPTON,1450022B,523,363,N,1008,TOTAL,195,169,18,
COMPTON,1450024A,524,363,N,1024,POLLING PLACE,266,245,6,
COMPTON,1450024A,524,363,N,,VBM PORTION,84,68,2,
COMPTON,1450024A,524,363,N,1024,TOTAL,350,313,8,
COMPTON,1450027A,525,363,N,1043,POLLING PLACE,158,132,14,
COMPTON,1450027A,525,363,N,,VBM PORTION,33,29,3,
COMPTON,1450027A,525,363,N,1043,TOTAL,191,161,17,
COMPTON,1450028C,526,363,N,1109,POLLING PLACE,131,111,6,
COMPTON,1450028C,526,363,N,,VBM PORTION,50,43,2,
COMPTON,1450028C,526,363,N,1109,TOTAL,181,154,8,
COMPTON,1450030A,527,363,N,693,POLLING PLACE,109,91,7,
COMPTON,1450030A,527,363,N,,VBM PORTION,39,33,4,
COMPTON,1450030A,527,363,N,693,TOTAL,148,124,11,
COMPTON,1450033A,528,363,N,1035,POLLING PLACE,100,83,11,
COMPTON,1450033A,528,363,N,,VBM PORTION,18,18,,
COMPTON,1450033A,528,363,N,1035,TOTAL,118,101,11,
COMPTON,1450034A,529,363,N,752,POLLING PLACE,125,112,3,
COMPTON,1450034A,529,363,N,,VBM PORTION,25,24,,
COMPTON,1450034A,529,363,N,752,TOTAL,150,136,3,
COMPTON,1450036A,530,363,N,1105,POLLING PLACE,137,105,22,
COMPTON,1450036A,530,363,N,,VBM PORTION,18,16,1,
COMPTON,1450036A,530,363,N,1105,TOTAL,155,121,23,
COMPTON,1450040C,531,363,N,1022,POLLING PLACE,164,141,13,
COMPTON,1450040C,531,363,N,,VBM PORTION,34,31,,
COMPTON,1450040C,531,363,N,1022,TOTAL,198,172,13,
COMPTON,1450042C,532,363,N,1011,POLLING PLACE,175,143,16,
COMPTON,1450042C,532,363,N,,VBM PORTION,27,21,4,
COMPTON,1450042C,532,363,N,1011,TOTAL,202,164,20,
COMPTON,1450043B,533,363,N,738,POLLING PLACE,152,130,9,
COMPTON,1450043B,533,363,N,,VBM PORTION,39,36,3,
