LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,NOEL A JAIMES,L HILARY BARBA,JAMES E BECERRA,ROBERT O APODACA,TOM MALKASIAN,
SOUTH WHITTIER,6700003A,2598,260,N,,VBM PORTION,26,4,4,1,8,4,
SOUTH WHITTIER,6700003A,2598,260,N,882,TOTAL,146,16,11,23,48,26,
SOUTH WHITTIER,6700004B,2599,255,N,1074,POLLING PLACE,189,19,19,32,66,33,
SOUTH WHITTIER,6700004B,2599,255,N,,VBM PORTION,49,5,5,8,20,6,
SOUTH WHITTIER,6700004B,2599,255,N,1074,TOTAL,238,24,24,40,86,39,
SOUTH WHITTIER,6700007A,2600,252,N,756,POLLING PLACE,133,19,17,16,32,23,
SOUTH WHITTIER,6700007A,2600,252,N,,VBM PORTION,33,3,1,4,13,4,
SOUTH WHITTIER,6700007A,2600,252,N,756,TOTAL,166,22,18,20,45,27,
SOUTH WHITTIER,6700008A,2601,260,N,1163,POLLING PLACE,199,25,19,23,63,42,
SOUTH WHITTIER,6700008A,2601,260,N,,VBM PORTION,71,14,5,4,20,16,
SOUTH WHITTIER,6700008A,2601,260,N,1163,TOTAL,270,39,24,27,83,58,
SOUTH WHITTIER,6700009B,2602,255,N,661,POLLING PLACE,127,7,15,27,33,21,
SOUTH WHITTIER,6700009B,2602,255,N,,VBM PORTION,23,,3,3,10,2,
SOUTH WHITTIER,6700009B,2602,255,N,661,TOTAL,150,7,18,30,43,23,
SOUTH WHITTIER,6700010A,2603,260,N,947,POLLING PLACE,168,20,18,29,50,34,
SOUTH WHITTIER,6700010A,2603,260,N,,VBM PORTION,59,5,2,12,16,7,
SOUTH WHITTIER,6700010A,2603,260,N,947,TOTAL,227,25,20,41,66,41,
SOUTH WHITTIER,6700011B,2604,260,N,1245,POLLING PLACE,235,40,18,35,59,47,
SOUTH WHITTIER,6700011B,2604,260,N,,VBM PORTION,79,11,2,4,26,15,
SOUTH WHITTIER,6700011B,2604,260,N,1245,TOTAL,314,51,20,39,85,62,
SOUTH WHITTIER,6700012A,2605,260,N,1300,POLLING PLACE,226,25,14,27,60,51,
SOUTH WHITTIER,6700012A,2605,260,N,,VBM PORTION,70,7,3,9,19,11,
SOUTH WHITTIER,6700012A,2605,260,N,1300,TOTAL,296,32,17,36,79,62,
SOUTH WHITTIER,6700014B,2606,257,N,736,POLLING PLACE,122,14,11,16,27,14,
SOUTH WHITTIER,6700014B,2606,257,N,,VBM PORTION,48,1,4,4,13,9,
SOUTH WHITTIER,6700014B,2606,257,N,736,TOTAL,170,15,15,20,40,23,
SOUTH WHITTIER,6700015A,2607,260,N,711,POLLING PLACE,97,12,8,20,30,12,
SOUTH WHITTIER,6700015A,2607,260,N,,VBM PORTION,25,2,1,2,9,5,
SOUTH WHITTIER,6700015A,2607,260,N,711,TOTAL,122,14,9,22,39,17,
SOUTH WHITTIER,6700016A,2608,257,N,1041,POLLING PLACE,235,24,19,26,41,58,
SOUTH WHITTIER,6700016A,2608,257,N,,VBM PORTION,76,17,2,,22,13,
SOUTH WHITTIER,6700016A,2608,257,N,1041,TOTAL,311,41,21,26,63,71,
SOUTH WHITTIER,6700017A,2609,257,N,1247,POLLING PLACE,237,20,33,25,64,39,
SOUTH WHITTIER,6700017A,2609,257,N,,VBM PORTION,80,10,8,6,19,15,
SOUTH WHITTIER,6700017A,2609,257,N,1247,TOTAL,317,30,41,31,83,54,
SOUTH WHITTIER,6700019A,2610,260,N,1035,POLLING PLACE,138,16,14,30,40,17,
SOUTH WHITTIER,6700019A,2610,260,N,,VBM PORTION,22,6,3,,6,2,
SOUTH WHITTIER,6700019A,2610,260,N,1035,TOTAL,160,22,17,30,46,19,
SOUTH WHITTIER,6700021A,2611,257,N,1211,POLLING PLACE,288,34,28,40,52,57,
SOUTH WHITTIER,6700021A,2611,257,N,,VBM PORTION,82,7,4,5,26,12,
SOUTH WHITTIER,6700021A,2611,257,N,1211,TOTAL,370,41,32,45,78,69,
SOUTH WHITTIER,6700023A,2612,260,N,852,POLLING PLACE,145,20,6,24,45,27,
SOUTH WHITTIER,6700023A,2612,260,N,,VBM PORTION,57,5,4,3,24,10,
SOUTH WHITTIER,6700023A,2612,260,N,852,TOTAL,202,25,10,27,69,37,
SOUTH WHITTIER,6700025A,2613,255,N,618,POLLING PLACE,80,10,5,17,29,8,
SOUTH WHITTIER,6700025A,2613,255,N,,VBM PORTION,16,1,2,3,7,2,
SOUTH WHITTIER,6700025A,2613,255,N,618,TOTAL,96,11,7,20,36,10,
SOUTH WHITTIER,6700052A,2614,255,N,988,POLLING PLACE,177,23,17,26,64,17,
SOUTH WHITTIER,6700052A,2614,255,N,,VBM PORTION,33,5,7,1,9,8,
SOUTH WHITTIER,6700052A,2614,255,N,988,TOTAL,210,28,24,27,73,25,
SOUTH WHITTIER,6700053A,2615,260,N,1024,POLLING PLACE,146,15,15,30,45,23,
SOUTH WHITTIER,6700053A,2615,260,N,,VBM PORTION,46,4,7,8,14,7,
SOUTH WHITTIER,6700053A,2615,260,N,1024,TOTAL,192,19,22,38,59,30,
SOUTH WHITTIER,6700054B,2616,260,N,1162,POLLING PLACE,151,10,15,22,49,29,
SOUTH WHITTIER,6700054B,2616,260,N,,VBM PORTION,35,1,4,1,22,3,
SOUTH WHITTIER,6700054B,2616,260,N,1162,TOTAL,186,11,19,23,71,32,
SOUTH WHITTIER,6700055A,2617,260,N,982,POLLING PLACE,129,14,14,23,41,18,
SOUTH WHITTIER,6700055A,2617,260,N,,VBM PORTION,32,3,5,8,7,4,
SOUTH WHITTIER,6700055A,2617,260,N,982,TOTAL,161,17,19,31,48,22,
SOUTH WHITTIER,6700056A,2618,260,N,1151,POLLING PLACE,127,10,15,27,44,15,
SOUTH WHITTIER,6700056A,2618,260,N,,VBM PORTION,34,3,2,3,6,6,
SOUTH WHITTIER,6700056A,2618,260,N,1151,TOTAL,161,13,17,30,50,21,
SOUTH WHITTIER,6700057A,2619,260,N,1201,POLLING PLACE,236,21,15,28,70,56,
SOUTH WHITTIER,6700057A,2619,260,N,,VBM PORTION,91,8,12,5,46,9,
SOUTH WHITTIER,6700057A,2619,260,N,1201,TOTAL,327,29,27,33,116,65,
SOUTH WHITTIER,6700059A,2620,260,N,919,POLLING PLACE,181,11,29,38,55,25,
SOUTH WHITTIER,6700059A,2620,260,N,,VBM PORTION,61,3,10,7,20,16,
SOUTH WHITTIER,6700059A,2620,260,N,919,TOTAL,242,14,39,45,75,41,
SOUTH WHITTIER,6700062A,2621,255,N,1116,POLLING PLACE,200,18,19,28,63,36,
SOUTH WHITTIER,6700062A,2621,255,N,,VBM PORTION,42,4,4,3,18,6,
SOUTH WHITTIER,6700062A,2621,255,N,1116,TOTAL,242,22,23,31,81,42,
SOUTH WHITTIER,6700064A,2622,255,N,896,POLLING PLACE,161,10,10,27,59,30,
SOUTH WHITTIER,6700064A,2622,255,N,,VBM PORTION,29,1,2,8,8,3,
SOUTH WHITTIER,6700064A,2622,255,N,896,TOTAL,190,11,12,35,67,33,
SOUTH WHITTIER,6700065A,2623,255,N,736,POLLING PLACE,126,17,19,15,36,23,
SOUTH WHITTIER,6700065A,2623,255,N,,VBM PORTION,39,8,6,6,5,6,
SOUTH WHITTIER,6700065A,2623,255,N,736,TOTAL,165,25,25,21,41,29,
SOUTH WHITTIER,6700068A,2624,255,N,808,POLLING PLACE,147,15,12,18,43,38,
SOUTH WHITTIER,6700068A,2624,255,N,,VBM PORTION,33,,1,4,8,8,
SOUTH WHITTIER,6700068A,2624,255,N,808,TOTAL,180,15,13,22,51,46,
SOUTH WHITTIER,6700070A,2625,260,N,632,POLLING PLACE,98,17,8,20,24,17,
SOUTH WHITTIER,6700070A,2625,260,N,,VBM PORTION,35,3,11,5,5,3,
SOUTH WHITTIER,6700070A,2625,260,N,632,TOTAL,133,20,19,25,29,20,
SOUTH WHITTIER,6700070B,2626,260,N,672,POLLING PLACE,112,8,17,17,29,19,
SOUTH WHITTIER,6700070B,2626,260,N,,VBM PORTION,21,,1,3,13,4,
SOUTH WHITTIER,6700070B,2626,260,N,672,TOTAL,133,8,18,20,42,23,
SOUTH WHITTIER,6700071C,2627,260,N,1104,POLLING PLACE,155,14,15,23,59,27,
SOUTH WHITTIER,6700071C,2627,260,N,,VBM PORTION,35,1,4,5,8,7,
SOUTH WHITTIER,6700071C,2627,260,N,1104,TOTAL,190,15,19,28,67,34,
WHITTIER,7800001A,2919,255,N,1057,POLLING PLACE,199,17,4,21,40,90,
WHITTIER,7800001A,2919,255,N,,VBM PORTION,105,11,5,13,16,39,
WHITTIER,7800001A,2919,255,N,1057,TOTAL,304,28,9,34,56,129,
WHITTIER,7800002C,2920,255,N,938,POLLING PLACE,177,15,17,24,57,36,
WHITTIER,7800002C,2920,255,N,,VBM PORTION,52,4,5,7,19,11,
WHITTIER,7800002C,2920,255,N,938,TOTAL,229,19,22,31,76,47,
WHITTIER,7800004A,2921,255,N,944,POLLING PLACE,260,35,14,33,67,71,
WHITTIER,7800004A,2921,255,N,,VBM PORTION,82,6,6,10,19,30,
WHITTIER,7800004A,2921,255,N,944,TOTAL,342,41,20,43,86,101,
WHITTIER,7800006A,2922,255,N,558,POLLING PLACE,133,7,10,25,25,38,
WHITTIER,7800006A,2922,255,N,,VBM PORTION,42,4,,7,10,13,
WHITTIER,7800006A,2922,255,N,558,TOTAL,175,11,10,32,35,51,
WHITTIER,7800008A,2923,255,N,1060,POLLING PLACE,212,19,24,42,55,42,
WHITTIER,7800008A,2923,255,N,,VBM PORTION,59,2,4,5,26,13,
WHITTIER,7800008A,2923,255,N,1060,TOTAL,271,21,28,47,81,55,
WHITTIER,7800010A,2924,255,N,1026,POLLING PLACE,188,31,18,28,44,41,
WHITTIER,7800010A,2924,255,N,,VBM PORTION,49,5,5,8,14,6,
WHITTIER,7800010A,2924,255,N,1026,TOTAL,237,36,23,36,58,47,
WHITTIER,7800012A,2925,255,N,739,POLLING PLACE,196,25,13,45,31,54,
WHITTIER,7800012A,2925,255,N,,VBM PORTION,59,9,2,6,14,11,
WHITTIER,7800012A,2925,255,N,739,TOTAL,255,34,15,51,45,65,
WHITTIER,7800014A,2926,255,N,1203,POLLING PLACE,202,22,25,34,53,41,
WHITTIER,7800014A,2926,255,N,,VBM PORTION,58,2,4,10,25,5,
WHITTIER,7800014A,2926,255,N,1203,TOTAL,260,24,29,44,78,46,
WHITTIER,7800015D,2927,255,N,1089,POLLING PLACE,231,22,12,47,43,60,
WHITTIER,7800015D,2927,255,N,,VBM PORTION,61,1,3,7,13,15,
WHITTIER,7800015D,2927,255,N,1089,TOTAL,292,23,15,54,56,75,
WHITTIER,7800016A,2928,255,N,1041,POLLING PLACE,125,13,7,20,37,22,
WHITTIER,7800016A,2928,255,N,,VBM PORTION,37,,5,6,11,7,
WHITTIER,7800016A,2928,255,N,1041,TOTAL,162,13,12,26,48,29,
WHITTIER,7800017B,2929,255,N,802,POLLING PLACE,146,10,16,26,39,28,
WHITTIER,7800017B,2929,255,N,,VBM PORTION,41,4,7,2,14,3,
WHITTIER,7800017B,2929,255,N,802,TOTAL,187,14,23,28,53,31,
WHITTIER,7800022B,2930,255,N,805,POLLING PLACE,241,23,14,33,44,91,
WHITTIER,7800022B,2930,255,N,,VBM PORTION,85,5,4,8,23,31,
WHITTIER,7800022B,2930,255,N,805,TOTAL,326,28,18,41,67,122,
WHITTIER,7800025A,2931,255,N,416,POLLING PLACE,102,17,12,12,15,20,
WHITTIER,7800025A,2931,255,N,,VBM PORTION,33,2,,1,16,6,
WHITTIER,7800025A,2931,255,N,416,TOTAL,135,19,12,13,31,26,
WHITTIER,7800031A,2932,255,N,862,POLLING PLACE,154,15,14,19,30,48,
WHITTIER,7800031A,2932,255,N,,VBM PORTION,44,3,6,1,16,7,
WHITTIER,7800031A,2932,255,N,862,TOTAL,198,18,20,20,46,55,
WHITTIER,7800035A,2933,255,N,973,POLLING PLACE,189,26,23,33,43,40,
WHITTIER,7800035A,2933,255,N,,VBM PORTION,37,6,3,3,9,5,
WHITTIER,7800035A,2933,255,N,973,TOTAL,226,32,26,36,52,45,
WHITTIER,7800038E,2934,255,N,642,POLLING PLACE,129,8,7,22,27,32,
WHITTIER,7800038E,2934,255,N,,VBM PORTION,24,2,,3,5,7,
WHITTIER,7800038E,2934,255,N,642,TOTAL,153,10,7,25,32,39,
WHITTIER,7800042A,2935,255,N,753,POLLING PLACE,147,12,11,27,35,28,
WHITTIER,7800042A,2935,255,N,,VBM PORTION,81,5,6,9,24,11,
WHITTIER,7800042A,2935,255,N,753,TOTAL,228,17,17,36,59,39,
WHITTIER,7800043A,2936,255,N,498,POLLING PLACE,111,7,6,20,29,35,
WHITTIER,7800043A,2936,255,N,,VBM PORTION,53,11,5,7,7,11,
WHITTIER,7800043A,2936,255,N,498,TOTAL,164,18,11,27,36,46,
WHITTIER,7800044A,2937,255,N,1078,POLLING PLACE,225,37,17,39,48,45,
WHITTIER,7800044A,2937,255,N,,VBM PORTION,69,3,8,5,24,13,
WHITTIER,7800044A,2937,255,N,1078,TOTAL,294,40,25,44,72,58,
WHITTIER,7800048A,2938,255,N,1058,POLLING PLACE,104,6,15,23,33,12,
WHITTIER,7800048A,2938,255,N,,VBM PORTION,29,5,5,,13,1,
WHITTIER,7800048A,2938,255,N,1058,TOTAL,133,11,20,23,46,13,
WHITTIER,7800049A,2939,255,N,759,POLLING PLACE,147,14,18,18,35,28,
WHITTIER,7800049A,2939,255,N,,VBM PORTION,25,3,4,4,4,1,
WHITTIER,7800049A,2939,255,N,759,TOTAL,172,17,22,22,39,29,
WHITTIER,7800051A,2940,255,N,1245,POLLING PLACE,345,47,36,45,74,81,
WHITTIER,7800051A,2940,255,N,,VBM PORTION,70,6,5,9,10,27,
WHITTIER,7800051A,2940,255,N,1245,TOTAL,415,53,41,54,84,108,
WHITTIER,7800053A,2941,255,N,1006,POLLING PLACE,205,24,22,30,57,37,
WHITTIER,7800053A,2941,255,N,,VBM PORTION,55,8,3,7,17,6,
WHITTIER,7800053A,2941,255,N,1006,TOTAL,260,32,25,37,74,43,
WHITTIER,7800054A,2942,256,N,824,POLLING PLACE,148,17,10,19,28,35,
WHITTIER,7800054A,2942,256,N,,VBM PORTION,54,7,1,1,16,13,
WHITTIER,7800054A,2942,256,N,824,TOTAL,202,24,11,20,44,48,
WHITTIER,7800057A,2943,255,N,948,POLLING PLACE,219,30,13,25,40,62,
WHITTIER,7800057A,2943,255,N,,VBM PORTION,86,13,2,7,29,18,
WHITTIER,7800057A,2943,255,N,948,TOTAL,305,43,15,32,69,80,
WHITTIER,7800059A,2944,255,N,1134,POLLING PLACE,170,16,19,31,47,24,
WHITTIER,7800059A,2944,255,N,,VBM PORTION,37,1,2,3,12,11,
WHITTIER,7800059A,2944,255,N,1134,TOTAL,207,17,21,34,59,35,
WHITTIER,7800064A,2945,255,N,960,POLLING PLACE,174,19,13,47,36,28,
WHITTIER,7800064A,2945,255,N,,VBM PORTION,62,3,4,3,26,13,
WHITTIER,7800064A,2945,255,N,960,TOTAL,236,22,17,50,62,41,
WHITTIER,7800066C,2946,255,N,863,POLLING PLACE,195,23,12,26,27,80,
WHITTIER,7800066C,2946,255,N,,VBM PORTION,106,14,4,7,23,28,
WHITTIER,7800066C,2946,255,N,863,TOTAL,301,37,16,33,50,108,
WHITTIER,7800068A,2947,255,N,1161,POLLING PLACE,261,39,21,38,65,55,
WHITTIER,7800068A,2947,255,N,,VBM PORTION,69,13,1,10,17,16,
WHITTIER,7800068A,2947,255,N,1161,TOTAL,330,52,22,48,82,71,
WHITTIER,7800072B,2948,255,N,1233,POLLING PLACE,258,33,23,31,60,72,
WHITTIER,7800072B,2948,255,N,,VBM PORTION,100,13,13,8,33,17,
WHITTIER,7800072B,2948,255,N,1233,TOTAL,358,46,36,39,93,89,
WHITTIER,7800075A,2949,255,N,1337,POLLING PLACE,225,31,29,40,41,50,
WHITTIER,7800075A,2949,255,N,,VBM PORTION,109,21,15,9,27,19,
WHITTIER,7800075A,2949,255,N,1337,TOTAL,334,52,44,49,68,69,
WHITTIER,7800075C,2950,255,N,462,POLLING PLACE,82,11,7,7,23,20,
WHITTIER,7800075C,2950,255,N,,VBM PORTION,45,3,2,8,9,10,
WHITTIER,7800075C,2950,255,N,462,TOTAL,127,14,9,15,32,30,
WHITTIER,7800079A,2951,256,N,1064,POLLING PLACE,262,26,28,29,57,45,
WHITTIER,7800079A,2951,256,N,,VBM PORTION,66,4,5,11,17,8,
WHITTIER,7800079A,2951,256,N,1064,TOTAL,328,30,33,40,74,53,
WHITTIER,7800082A,2952,256,N,1120,POLLING PLACE,276,28,22,32,54,62,
WHITTIER,7800082A,2952,256,N,,VBM PORTION,104,10,10,8,26,16,
WHITTIER,7800082A,2952,256,N,1120,TOTAL,380,38,32,40,80,78,
WHITTIER,7800083A,2953,256,N,571,POLLING PLACE,145,28,13,17,31,31,
WHITTIER,7800083A,2953,256,N,,VBM PORTION,54,6,4,5,19,7,
WHITTIER,7800083A,2953,256,N,571,TOTAL,199,34,17,22,50,38,
WHITTIER,7800087A,2954,255,N,1187,POLLING PLACE,306,22,15,27,49,141,
WHITTIER,7800087A,2954,255,N,,VBM PORTION,145,25,9,7,20,54,
WHITTIER,7800087A,2954,255,N,1187,TOTAL,451,47,24,34,69,195,
WHITTIER,7800144A,2955,255,N,1218,POLLING PLACE,247,29,14,39,57,64,
WHITTIER,7800144A,2955,255,N,,VBM PORTION,73,9,5,12,27,10,
WHITTIER,7800144A,2955,255,N,1218,TOTAL,320,38,19,51,84,74,
WHITTIER,7800148A,2956,255,N,808,POLLING PLACE,98,7,11,20,33,12,
WHITTIER,7800148A,2956,255,N,,VBM PORTION,36,,2,8,14,2,
WHITTIER,7800148A,2956,255,N,808,TOTAL,134,7,13,28,47,14,
WHITTIER,7800149A,2957,255,N,948,POLLING PLACE,135,24,8,32,32,18,
WHITTIER,7800149A,2957,255,N,,VBM PORTION,54,10,2,12,16,1,
WHITTIER,7800149A,2957,255,N,948,TOTAL,189,34,10,44,48,19,
WHITTIER,7800165D,2958,255,N,1119,POLLING PLACE,200,22,21,50,51,25,
WHITTIER,7800165D,2958,255,N,,VBM PORTION,56,5,2,6,9,7,
WHITTIER,7800165D,2958,255,N,1119,TOTAL,256,27,23,56,60,32,
WHITTIER,7800167B,2959,255,N,1166,POLLING PLACE,118,5,14,31,33,21,
WHITTIER,7800167B,2959,255,N,,VBM PORTION,36,4,6,4,12,6,
WHITTIER,7800167B,2959,255,N,1166,TOTAL,154,9,20,35,45,27,
WHITTIER,7800170B,2960,255,N,949,POLLING PLACE,118,6,22,24,35,18,
WHITTIER,7800170B,2960,255,N,,VBM PORTION,22,1,5,,11,1,
WHITTIER,7800170B,2960,255,N,949,TOTAL,140,7,27,24,46,19,
WHITTIER,7800171B,2961,255,N,1144,POLLING PLACE,218,26,10,38,58,41,
WHITTIER,7800171B,2961,255,N,,VBM PORTION,44,3,4,4,13,6,
WHITTIER,7800171B,2961,255,N,1144,TOTAL,262,29,14,42,71,47,
WHITTIER,7800172A,2962,255,N,403,POLLING PLACE,37,2,3,5,15,6,
WHITTIER,7800172A,2962,255,N,,VBM PORTION,9,1,,,5,2,
WHITTIER,7800172A,2962,255,N,403,TOTAL,46,3,3,5,20,8,
WHITTIER,7800172C,2963,258,N,258,POLLING PLACE,46,3,4,6,17,8,
WHITTIER,7800172C,2963,258,N,,VBM PORTION,21,6,3,1,4,1,
WHITTIER,7800172C,2963,258,N,258,TOTAL,67,9,7,7,21,9,
WHITTIER,7800176A,2964,255,N,1135,POLLING PLACE,149,10,22,24,43,32,
WHITTIER,7800176A,2964,255,N,,VBM PORTION,20,2,4,4,3,2,
WHITTIER,7800176A,2964,255,N,1135,TOTAL,169,12,26,28,46,34,
WHITTIER,7800185A,2965,255,N,1270,POLLING PLACE,354,40,25,61,68,92,
WHITTIER,7800185A,2965,255,N,,VBM PORTION,109,13,1,19,23,29,
WHITTIER,7800185A,2965,255,N,1270,TOTAL,463,53,26,80,91,121,
BALLOT GROUP 246,9990246A,8246,246,N,,POLLING PLACE,,,,,,,
BALLOT GROUP 246,9990246A,8246,246,N,,VBM PORTION,,,,,,,
BALLOT GROUP 246,9990246A,8246,246,N,,TOTAL,,,,,,,
BALLOT GROUP 247,9990247A,8247,247,N,,POLLING PLACE,,,,,,,
BALLOT GROUP 247,9990247A,8247,247,N,,VBM PORTION,,,,,,,
BALLOT GROUP 247,9990247A,8247,247,N,,TOTAL,,,,,,,
BALLOT GROUP 248,9990248A,8248,248,N,,POLLING PLACE,,,,,,,
BALLOT GROUP 248,9990248A,8248,248,N,,VBM PORTION,,,,,,,
BALLOT GROUP 248,9990248A,8248,248,N,,TOTAL,,,,,,,
BALLOT GROUP 249,9990249A,8249,249,N,,POLLING PLACE,,,,,,,
BALLOT GROUP 249,9990249A,8249,249,N,,VBM PORTION,,,,,,,
BALLOT GROUP 249,9990249A,8249,249,N,,TOTAL,,,,,,,
BALLOT GROUP 250,9990250A,8250,250,N,,POLLING PLACE,,,,,,,
BALLOT GROUP 250,9990250A,8250,250,N,,VBM PORTION,,,,,,,
BALLOT GROUP 250,9990250A,8250,250,N,,TOTAL,,,,,,,
BALLOT GROUP 251,9990251A,8251,251,N,,POLLING PLACE,,,,,,,
BALLOT GROUP 251,9990251A,8251,251,N,,VBM PORTION,,,,,,,
BALLOT GROUP 251,9990251A,8251,251,N,,TOTAL,,,,,,,
BALLOT GROUP 252,9990252A,8252,252,N,,POLLING PLACE,,,,,,,
BALLOT GROUP 252,9990252A,8252,252,N,,VBM PORTION,,,,,,,
BALLOT GROUP 252,9990252A,8252,252,N,,TOTAL,,,,,,,
BALLOT GROUP 253,9990253A,8253,253,N,,POLLING PLACE,,,,,,,
BALLOT GROUP 253,9990253A,8253,253,N,,VBM PORTION,,,,,,,
BALLOT GROUP 253,9990253A,8253,253,N,,TOTAL,,,,,,,
BALLOT GROUP 254,9990254A,8254,254,N,,POLLING PLACE,,,,,,,
BALLOT GROUP 254,9990254A,8254,254,N,,VBM PORTION,,,,,,,
BALLOT GROUP 254,9990254A,8254,254,N,,TOTAL,,,,,,,
BALLOT GROUP 255,9990255A,8255,255,N,,POLLING PLACE,,,,,,,
BALLOT GROUP 255,9990255A,8255,255,N,,VBM PORTION,,,,,,,
BALLOT GROUP 255,9990255A,8255,255,N,,TOTAL,,,,,,,
BALLOT GROUP 256,9990256A,8256,256,N,,POLLING PLACE,,,,,,,
BALLOT GROUP 256,9990256A,8256,256,N,,VBM PORTION,,,,,,,
BALLOT GROUP 256,9990256A,8256,256,N,,TOTAL,,,,,,,
BALLOT GROUP 257,9990257A,8257,257,N,,POLLING PLACE,,,,,,,
BALLOT GROUP 257,9990257A,8257,257,N,,VBM PORTION,,,,,,,
BALLOT GROUP 257,9990257A,8257,257,N,,TOTAL,,,,,,,
BALLOT GROUP 258,9990258A,8258,258,N,,POLLING PLACE,,,,,,,
BALLOT GROUP 258,9990258A,8258,258,N,,VBM PORTION,,,,,,,
BALLOT GROUP 258,9990258A,8258,258,N,,TOTAL,,,,,,,
BALLOT GROUP 259,9990259A,8259,259,N,,POLLING PLACE,,,,,,,
BALLOT GROUP 259,9990259A,8259,259,N,,VBM PORTION,,,,,,,
BALLOT GROUP 259,9990259A,8259,259,N,,TOTAL,,,,,,,
BALLOT GROUP 260,9990260A,8260,260,N,,POLLING PLACE,,,,,,,
BALLOT GROUP 260,9990260A,8260,260,N,,VBM PORTION,,,,,,,
BALLOT GROUP 260,9990260A,8260,260,N,,TOTAL,,,,,,,
BALLOT GROUP 263,9990263A,8263,263,N,,POLLING PLACE,,,,,,,
BALLOT GROUP 263,9990263A,8263,263,N,,VBM PORTION,,,,,,,
BALLOT GROUP 263,9990263A,8263,263,N,,TOTAL,,,,,,,
BALLOT GROUP 264,9990264A,8264,264,N,,POLLING PLACE,,,,,,,
BALLOT GROUP 264,9990264A,8264,264,N,,VBM PORTION,,,,,,,
BALLOT GROUP 264,9990264A,8264,264,N,,TOTAL,,,,,,,
BALLOT GROUP 265,9990265A,8265,265,N,,POLLING PLACE,,,,,,,
BALLOT GROUP 265,9990265A,8265,265,N,,VBM PORTION,,,,,,,
BALLOT GROUP 265,9990265A,8265,265,N,,TOTAL,,,,,,,
BALLOT GROUP 269,9990269A,8269,269,N,,POLLING PLACE,,,,,,,
BALLOT GROUP 269,9990269A,8269,269,N,,VBM PORTION,,,,,,,
BALLOT GROUP 269,9990269A,8269,269,N,,TOTAL,,,,,,,
BALLOT GROUP 270,9990270A,8270,270,N,,POLLING PLACE,,,,,,,
BALLOT GROUP 270,9990270A,8270,270,N,,VBM PORTION,,,,,,,
BALLOT GROUP 270,9990270A,8270,270,N,,TOTAL,,,,,,,
BALLOT GROUP 271,9990271A,8271,271,N,,POLLING PLACE,,,,,,,
BALLOT GROUP 271,9990271A,8271,271,N,,VBM PORTION,,,,,,,
BALLOT GROUP 271,9990271A,8271,271,N,,TOTAL,,,,,,,
BALLOT GROUP 272,9990272A,8272,272,N,,POLLING PLACE,,,,,,,
BALLOT GROUP 272,9990272A,8272,272,N,,VBM PORTION,,,,,,,
BALLOT GROUP 272,9990272A,8272,272,N,,TOTAL,,,,,,,
BALLOT GROUP 279,9990279A,8279,279,N,,POLLING PLACE,,,,,,,
BALLOT GROUP 279,9990279A,8279,279,N,,VBM PORTION,,,,,,,
BALLOT GROUP 279,9990279A,8279,279,N,,TOTAL,,,,,,,
BALLOT GROUP 280,9990280A,8280,280,N,,POLLING PLACE,,,,,,,
BALLOT GROUP 280,9990280A,8280,280,N,,VBM PORTION,,,,,,,
BALLOT GROUP 280,9990280A,8280,280,N,,TOTAL,,,,,,,
BALLOT GROUP 281,9990281A,8281,281,N,,POLLING PLACE,,,,,,,
BALLOT GROUP 281,9990281A,8281,281,N,,VBM PORTION,,,,,,,
BALLOT GROUP 281,9990281A,8281,281,N,,TOTAL,,,,,,,
