Operator,Date,System,City,State,County,Cause,Sub Cause,Fatalities,Injuries,Property_Damage_(A),Gross_Barrels_Spilled_(Haz Liq)_(B),Net_Barrels_Lost (Haz_Liq)_(B)(C),Value_of_Product_Lost_(D)
"Buckeye Partners, Lp",2/19/10,HL,LINDEN,NJ,UNION,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,17100,0,0,
"Buckeye Partners, Lp",2/9/10,HL,LINCOLN,IN,HENDRICKS,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,5377,0,0,
"Buckeye Partners, Lp",12/29/09,HL,ASTON,PA,DELAWARE,CORROSION,EXTERNAL,0,0,2706458,386,334,
"Buckeye Partners, Lp",12/21/09,HL,WAYNE,MI,WAYNE,NATURAL FORCE DAMAGE,UNSPECIFIED NATURAL FORCE DAMAGE,0,0,0,0,0,
"Buckeye Partners, Lp",12/5/09,HL,LIMA,OH,ALLEN,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,2500,0,0,
"Buckeye Partners, Lp",11/17/09,HL,NEW YORK,NY,QUEENS,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,234340,13,0,
"Buckeye Partners, Lp",9/29/09,HL,PITTSBURGH,PA,ALLEGHENY,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,0,0,9380,0,0,
"Buckeye Partners, Lp",4/3/09,HL,LIMA,OH,ALLEN,CORROSION,UNSPECIFIED CORROSION,0,0,32200,3,3,
"Buckeye Partners, Lp",3/27/09,HL,HINCKLEY,OH,MEDINA,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,0,0,42500,1,1,
"Buckeye Partners, Lp",3/11/09,HL,LIVONIA,MI,WAYNE,MATERIAL/WELD/EQUIP FAILURE,PIPE SEAM,0,0,1012990,18,0,
"Buckeye Partners, Lp",2/18/09,HL,PALOS HEIGHTS,IL,COOK,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,240000,3,0,
"Buckeye Partners, Lp",2/8/09,HL,LIMA,OH,ALLEN,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,0,0,12500,0,0,
"Buckeye Partners, Lp",1/17/09,HL,LINDEN,NJ,UNION,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,7000,0,0,
"Buckeye Partners, Lp",1/12/09,HL,LIMA,OH,ALLEN,NATURAL FORCE DAMAGE,UNSPECIFIED NATURAL FORCE DAMAGE,0,0,2700,0,0,
"Buckeye Partners, Lp",10/6/08,HL,JAMAICA,NY,QUEENS,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,19224360,3500,0,
"Buckeye Partners, Lp",9/18/08,HL,CORAOPOLIS,PA,ALLEGHENY,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,27340,1,1,
"Buckeye Partners, Lp",9/6/08,HL,HAMMOND,IN,LAKE,MATERIAL/WELD/EQUIP FAILURE,"THREADS STRIPPED, BROKEN PIPE COUPLING",0,0,60000,35,15,
"Buckeye Partners, Lp",7/21/08,HL,SEWAREN,NJ,MIDDLESEX,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,15100,0,0,
"Buckeye Partners, Lp",6/29/08,HL,READING,PA,BERKS,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,0,0,55160,1,1,
"Buckeye Partners, Lp",6/12/08,HL,MANHEIM,PA,LANCASTER,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,100400,55,55,
"Buckeye Partners, Lp",4/21/08,HL,BOOTHWYN,PA,DELAWARE,INCORRECT OPERATION,INCORRECT OPERATION,0,0,182000,51,0,
"Buckeye Partners, Lp",3/24/08,HL,TAYLOR,MI,WAYNE,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,0,0,48000,2,2,
"Buckeye Partners, Lp",3/17/08,HL,TOLEDO,OH,LUCAS,CORROSION,UNSPECIFIED CORROSION,0,0,18000,0,0,
"Buckeye Partners, Lp",3/3/08,HL,ALVIN,TX,BRAZORIA,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,25000,3,3,
"Buckeye Partners, Lp",2/28/08,HL,EMMAUS,PA,LEHIGH,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,16000,0,0,
"Buckeye Partners, Lp",2/25/08,HL,OBERLIN,OH,LORAIN,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,70400,4,0,
"Buckeye Partners, Lp",2/20/08,HL,LINDEN,NJ,UNION,ALL OTHER CAUSES,UNKNOWN,0,0,3700,0,0,
"Buckeye Partners, Lp",2/4/08,HL,LIMA,OH,ALLEN,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,4200,2,0,
"Buckeye Partners, Lp",2/1/08,HL,LINDEN,NJ,UNION,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,86400,4,0,
"Buckeye Partners, Lp",1/18/08,HL,LINDEN,NJ,UNION,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,12700,0,0,
"Buckeye Partners, Lp",12/9/07,HL,LIMA,OH,ALLEN,INCORRECT OPERATION,UNSPECIFIED INCORRECT OPERATION,0,0,1500,0,0,
"Buckeye Partners, Lp",11/30/07,HL,LINDEN,NJ,UNION,ALL OTHER CAUSES,UNKNOWN,0,0,31300,2,0,
"Buckeye Partners, Lp",11/5/07,HL,FINDLAY,OH,HANCOCK,NATURAL FORCE DAMAGE,LIGHTNING,0,0,7200,0,0,
"Buckeye Partners, Lp",10/15/07,HL,SEWAREN,NJ,MIDDLESEX,CORROSION,UNSPECIFIED CORROSION,0,0,15550,0,0,
"Buckeye Partners, Lp",10/10/07,HL,LINDEN,NJ,UNION,CORROSION,INTERNAL,0,0,268800,87,0,
"Buckeye Partners, Lp",9/23/07,HL,ASTON,PA,DELAWARE,INCORRECT OPERATION,UNSPECIFIED INCORRECT OPERATION,0,0,16740,2,2,
"Buckeye Partners, Lp",6/7/07,HL,WAYNE,MI,WAYNE,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,67000,5,0,
"Buckeye Partners, Lp",2/18/07,HL,LIMA,OH,ALLEN,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,53800,50,6,
"Buckeye Partners, Lp",1/26/07,HL,LIVERPOOL,TX,BRAZORIA,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,1500,4,4,
"Buckeye Partners, Lp",10/27/06,HL,BAY CITY,MI,BAY,MATERIAL/WELD/EQUIP FAILURE,"THREADS STRIPPED, BROKEN PIPE COUPLING",0,0,76200,3,1,
"Buckeye Partners, Lp",8/2/06,HL,LIMA,OH,ALLEN,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,15000,1,0,
"Buckeye Partners, Lp",7/20/06,HL,LINDEN,NJ,UNION,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,6000,0,0,
"Buckeye Partners, Lp",7/18/06,HL,WOOD RIVER,IL,MADISON,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,8300,0,0,
"Buckeye Partners, Lp",6/11/06,HL,SCHERERVILLE,IN,LAKE,INCORRECT OPERATION,INCORRECT OPERATION,0,0,41300,10,10,
"Buckeye Partners, Lp",4/12/06,HL,LIMA,OH,ALLEN,CORROSION,UNSPECIFIED CORROSION,0,0,26000,0,0,
"Buckeye Partners, Lp",4/1/06,HL,DIAMOND,IL,WILL,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,17500,5,5,
"Buckeye Partners, Lp",1/20/06,HL,DETROIT,MI,WAYNE,ALL OTHER CAUSES,MISCELLANEOUS,0,0,101500,18,5,
Calnev Pipeline Co,1/19/15,HL,MUSCOY,CA,SAN BERNARDINO,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,62542,3,2,
Calnev Pipeline Co,11/12/14,HL,BAKER,CA,SAN BERNARDINO,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,0,0,3532,0,0,
Calnev Pipeline Co,11/2/12,HL,BAKER,CA,SAN BERNARDINO,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,7584,0,0,
Calnev Pipeline Co,6/6/12,HL,BAKER,CA,SAN BERNARDINO,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,11049,0,0,
Calnev Pipeline Co,5/7/10,HL,LAS VEGAS,NV,CLARK,CORROSION,EXTERNAL,0,0,39518,5,0,
Calnev Pipeline Co,4/16/09,HL,COLTON,CA,SAN BERNARDINO,CORROSION,UNSPECIFIED CORROSION,0,0,10411,0,0,
Calnev Pipeline Co,3/4/08,HL,COLTON,CA,SAN BERNARDINO,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,0,0,35496,0,0,
Calnev Pipeline Co,7/30/07,HL,VICTORVILLE,CA,SAN BERNARDINO,INCORRECT OPERATION,UNSPECIFIED INCORRECT OPERATION,0,0,7110,1,0,
Calnev Pipeline Co,2/5/07,HL,VICTORVILLE,CA,SAN BERNARDINO,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,1702,0,0,
Calnev Pipeline Co,4/28/06,HL,VICTORVILLE,CA,SAN BERNARDINO,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,963617,914,864,
Chemoil Terminals Corp.,5/22/14,HL,LONG BEACH,CA,LOS ANGELES,INCORRECT OPERATION,INCORRECT VALVE POSITION,0,0,200000,989,389,
Chemoil Terminals Corp.,10/15/08,HL,LONG BEACH,CA,,CORROSION,UNSPECIFIED CORROSION,0,0,2,0,0,
Chemoil Terminals Corp.,8/18/08,HL,LONG BEACH,CA,LOS ANGELES,INCORRECT OPERATION,INCORRECT OPERATION,0,0,30300,0,0,
Chemoil Terminals Corp.,11/14/07,HL,LONG BEACH,CA,LOS ANGELES,CORROSION,EXTERNAL,0,0,15000,0,0,
Chevron Pipe Line Co,5/24/14,HL,MISSOURI TRIANGLE,CA,KERN COUNTY,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,355100,0,0,100
Chevron Pipe Line Co,1/29/14,HL,BURAS,LA,,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,30015,0,0,15
Chevron Pipe Line Co,11/14/13,HL,MILFORD,TX,ELLIS,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,0,0,4588099,4357,4357,338099
Chevron Pipe Line Co,5/31/13,HL,MYTON,UT,DUCHESNE,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,73569,10,0,0
Chevron Pipe Line Co,3/18/13,HL,WILLARD,UT,BOX ELDER,CORROSION,EXTERNAL,0,0,21819684,499,0,62782
Chevron Pipe Line Co,1/28/13,HL,BOISE,ID,ADA,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,224259,15,2,0
Chevron Pipe Line Co,11/7/12,HL,GARDENA,CA,LOS ANGELES,CORROSION,INTERNAL,0,0,1180000,20,20,0
Chevron Pipe Line Co,10/17/12,HL,HANNA,UT,DUCHESNE COUNTY,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,32477,30,0,3500
Chevron Pipe Line Co,10/17/12,HL,BYRON,CA,CONTRA COSTA,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0,0,26200,0,0,0
Chevron Pipe Line Co,9/6/12,HL,OFFSHORE,LA,,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,470002,0,0,2
Chevron Pipe Line Co,8/15/12,HL,ONTARIO,OR,MALHEUR,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,75544,0,0,50
Chevron Pipe Line Co,7/21/12,HL,PORT ARTHUR,TX,JEFFERSON,NATURAL FORCE DAMAGE,LIGHTNING,0,0,1162004,3117,3117,173004
Chevron Pipe Line Co,5/22/12,HL,"11.5 MILES NORTH OF MCKITTRICK, CA ON HWY 33",CA,KERN,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,0,0,5000,9,0,0
Chevron Pipe Line Co,3/4/12,HL,EMPIRE,LA,PLAQUEMINES,ALL OTHER CAUSES,MISCELLANEOUS,0,0,400625,0,0,625
Chevron Pipe Line Co,9/12/11,HL,OFFSHORE,OCS,,ALL OTHER CAUSES,MISCELLANEOUS,0,0,2000010,0,0,10
Chevron Pipe Line Co,9/8/11,HL,LATAN,TX,MITCHELL,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0,0,1501020,12836,12836,1001020
Chevron Pipe Line Co,7/17/11,HL,"VENICE, LA",LA,PLAQUEMINES,ALL OTHER CAUSES,MISCELLANEOUS,0,0,30192,2,0,192
Chevron Pipe Line Co,7/12/11,HL,FANNETT,TX,JEFFERSON,ALL OTHER CAUSES,MISCELLANEOUS,0,0,778,0,0,26
Chevron Pipe Line Co,6/16/11,HL,DES ALLEMANDS,LA,LAFOURCHE,ALL OTHER CAUSES,MISCELLANEOUS,0,0,1586,0,0,86
Chevron Pipe Line Co,6/14/11,HL,SEMINOLE,TX,GAINES,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,108832,33,33,64929
Chevron Pipe Line Co,3/30/11,HL,HABBERMAN,ID,TWIN FALLS,CORROSION,EXTERNAL,0,0,218516,228,205,33516
Chevron Pipe Line Co,1/26/11,HL,OFFSHORE,LA,,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,0,0,906900,79,0,6900
Chevron Pipe Line Co,12/1/10,HL,SALT LAKE CITY,UT,SALT LAKE,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0,0,20833925,500,250,1092448
Chevron Pipe Line Co,11/27/10,HL,MCKITTRICK,CA,KERN,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,5000,0,0,0
Chevron Pipe Line Co,11/23/10,HL,TAFT,CA,,CORROSION,INTERNAL,0,0,5065,0,0,65
Chevron Pipe Line Co,10/23/10,HL,SANTO,TX,PALO PINTO,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,0,0,29150,6,6,150
Chevron Pipe Line Co,9/17/10,HL,PT. ARTHUR,TX,JEFFERSON,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0,0,60250,87,87,5250
Chevron Pipe Line Co,9/1/10,HL,FRIENDSWOOD,TX,GALVESTON,ALL OTHER CAUSES,MISCELLANEOUS,0,0,45800,4,4,100
Chevron Pipe Line Co,8/27/10,HL,BAYTOWN,TX,HARRIS,ALL OTHER CAUSES,MISCELLANEOUS,0,0,2500,0,0,0
Chevron Pipe Line Co,6/12/10,HL,SALT LAKE CITY,UT,SALT LAKE,OTHER OUTSIDE FORCE DAMAGE,ELECTRICAL ARCING FROM OTHER EQUIPMENT/FACILITY,0,0,32233740,800,22,0
Chevron Pipe Line Co,6/1/10,HL,MCKITTRICK,CA,KERN,CORROSION,EXTERNAL,0,0,150000,508,8,600
Chevron Pipe Line Co,5/20/10,HL,GORDON,TX,PALO PINTO,CORROSION,EXTERNAL,0,0,70000,4,4,20000
Chevron Pipe Line Co,4/26/10,HL,TWIN FALLS,ID,HANSEN,CORROSION,EXTERNAL,0,0,92856,22,1,2772
Chevron Pipe Line Co,4/5/10,HL,VENICE,LA,PLAQUEMINE,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,13933600,400,215,33600
Chevron Pipe Line Co,12/23/09,HL,BURAS,LA,PLAQUEMINES,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,4409390,5,0,390
Chevron Pipe Line Co,12/17/09,HL,CORINNE,UT,BOX ELDER,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,0,0,505000,80,60,5000
Chevron Pipe Line Co,8/7/09,HL,OFFSHORE,N/A,,CORROSION,EXTERNAL,0,0,125000,0,0,0
Chevron Pipe Line Co,7/27/09,HL,OFFSHORE,N/A,,CORROSION,EXTERNAL,0,0,106000,0,0,0
Chevron Pipe Line Co,5/22/09,HL,LOVINGTON,NM,LEA,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,159155,1662,1662,119664
Chevron Pipe Line Co,4/27/09,HL,HANNA,UT,DUCHESNE,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,9720,37,0,2220
Chevron Pipe Line Co,2/26/09,HL,SWEETWATER,TX,NOLAN,CORROSION,EXTERNAL,0,0,112551,7,7,847
Chevron Pipe Line Co,2/26/09,HL,WEATHERFORD,TX,PARKER,CORROSION,EXTERNAL,0,0,71758,19,19,1325
Chevron Pipe Line Co,2/21/09,HL,LOST HILLS,CA,KERN,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,0,0,52675,44,1,1650
Chevron Pipe Line Co,1/7/09,HL,,UT,UINTAH,MATERIAL/WELD/EQUIP FAILURE,BODY OF PIPE,0,0,1538920,1399,81,3276
Chevron Pipe Line Co,12/2/08,HL,OFFSHORE,N/A,,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,0,0,150036,0,0,36
Chevron Pipe Line Co,11/30/08,HL,TAFT,CA,KERN,MATERIAL/WELD/EQUIP FAILURE,"THREADS STRIPPED, BROKEN PIPE COUPLING",0,0,68100,180,5,8100
Chevron Pipe Line Co,10/7/08,HL,OFFSHORE,N/A,,NATURAL FORCE DAMAGE,EARTH MOVEMENT,0,0,7000000,0,0,0
Chevron Pipe Line Co,9/28/08,HL,OFFSHORE,N/A,,NATURAL FORCE DAMAGE,EARTH MOVEMENT,0,0,50100,0,0,0
Chevron Pipe Line Co,9/8/08,HL,OFFSHORE,N/A,,NATURAL FORCE DAMAGE,EARTH MOVEMENT,0,0,4198321,0,0,0
Chevron Pipe Line Co,4/7/08,HL,HOBBS,NM,LEA,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,320059,4466,4466,266380
Chevron Pipe Line Co,3/31/08,HL,SNYDER,TX,SCURRY,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,199423,1912,1912,133840
Chevron Pipe Line Co,1/8/08,HL,TAFT,CA,KERN,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,1000,2,0,1000
Chevron Pipe Line Co,11/12/07,HL,KETTLEMAN,CA,KINGS,CORROSION,INTERNAL,0,0,6290,8,0,690
Chevron Pipe Line Co,9/12/07,HL,HAWTHORNE,CA,LOS ANGELES,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,12000,2,2,0
Chevron Pipe Line Co,9/5/07,HL,ARTESIA,NM,EDDY,MATERIAL/WELD/EQUIP FAILURE,BODY OF PIPE,0,0,10000,0,0,0
Chevron Pipe Line Co,1/29/07,HL,RANGELY,CO,RIO BLANCO,ALL OTHER CAUSES,MISCELLANEOUS,0,0,70500,3069,9,500
Chevron Pipe Line Co,1/9/07,HL,COALINGA,CA,FRESNO,CORROSION,EXTERNAL,0,0,5300,5,5,300
Chevron Pipe Line Co,2/8/06,HL,AVENAL,CA,KINGS,CORROSION,UNSPECIFIED CORROSION,0,0,10062,1,0,62
Crimson Pipeline L.P.,11/12/14,HL,LONG BEACH,CA,LOS ANGELES,CORROSION,EXTERNAL,0,0,285500,5,3,
Crimson Pipeline L.P.,10/6/13,HL,VENTURA,CA,,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0,0,190000,500,10,
Crimson Pipeline L.P.,9/8/13,HL,LOS ANGELES,CA,LA,OTHER OUTSIDE FORCE DAMAGE,ELECTRICAL ARCING FROM OTHER EQUIPMENT/FACILITY,0,0,3107125,10,5,
Crimson Pipeline L.P.,8/17/11,HL,FULLERTON,CA,ORANGE,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,49800,2,2,
Crimson Pipeline L.P.,7/1/11,HL,HUNTINGTON BEACH,CA,ORANGE,CORROSION,INTERNAL,0,0,911000,20,5,
Crimson Pipeline L.P.,12/9/09,HL,VENTURA,CA,VENTURA,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,10347,0,0,
Crimson Pipeline L.P.,4/24/08,HL,VENTURA,CA,VENTURA,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,654300,6679,0,
Crimson Pipeline L.P.,11/20/06,HL,LONG BEACH,CA,LOS ANGELES,CORROSION,EXTERNAL,0,0,100060,2,1,
Exxonmobil Oil Corp - West Coast,3/2/15,HL,TERMINAL ISLAND,CA,LOS ANGELES,CORROSION,EXTERNAL,0,0,63960,7,0,560
Exxonmobil Oil Corp - West Coast,9/14/14,HL,,CA,KERN,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,0,0,3010,0,0,10
Exxonmobil Oil Corp - West Coast,8/1/13,HL,MCKITTRICK,CA,KERN,CORROSION,EXTERNAL,0,0,44100,10,0,9600
Exxonmobil Oil Corp - West Coast,6/14/13,HL,BAKERSFIELD,CA,KERN,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,25700,15,0,1200
Exxonmobil Oil Corp - West Coast,4/4/13,HL,"799 SOUTH SEASIDE AVENUE, TERMINAL ISLAND",CA,LOS ANGELES,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,10450,1,0,50
Exxonmobil Oil Corp - West Coast,4/19/12,HL,MARCIOPA,CA,KERN,CORROSION,INTERNAL,0,0,6030,2,0,230
Exxonmobil Oil Corp - West Coast,1/12/12,HL,FELLOWS,CA,KERN,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0,0,3085,0,0,85
Exxonmobil Oil Corp - West Coast,5/4/10,HL,SAN  PEDRO  CALIFORNIA,CA,LOS ANGELES,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,18375,2,0,130
Exxonmobil Oil Corp - West Coast,6/15/09,HL,CASTAIC,CA,KERN,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,7490,2,0,90
Exxonmobil Oil Corp - West Coast,4/22/09,HL,MCKITTRICK,CA,KERN,INCORRECT OPERATION,UNSPECIFIED INCORRECT OPERATION,0,0,500,0,0,150
Exxonmobil Oil Corp - West Coast,3/20/09,HL,LEBEC,CA,KERN,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,82700,166,0,700
Exxonmobil Oil Corp - West Coast,11/16/08,HL,LEBEC,CA,KERN,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,8500,0,0,10
Exxonmobil Oil Corp - West Coast,5/14/08,HL,TORRANCE,CA,LOS ANGELES,CORROSION,UNSPECIFIED CORROSION,0,0,46700,0,0,0
Exxonmobil Oil Corp - West Coast,2/13/08,HL,CARSON,CA,LOS ANGELES,CORROSION,UNSPECIFIED CORROSION,0,0,47000,3,0,0
Exxonmobil Oil Corp - West Coast,2/6/08,HL,CARSON,CA,LOS ANGELES,CORROSION,UNSPECIFIED CORROSION,0,0,18000,0,0,0
Exxonmobil Oil Corp - West Coast,10/1/07,HL,TERMINAL ISLAND,CA,LOS ANGELES,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,0,0,201,0,0,1
Exxonmobil Oil Corp - West Coast,9/16/07,HL,TERMINAL ISLAND,CA,LOS ANGELES,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,0,0,2743,0,0,30
Exxonmobil Oil Corp - West Coast,8/11/07,HL,GRAPEVINE,CA,KERN,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,25508,7,2,130
Exxonmobil Oil Corp - West Coast,2/4/07,HL,VERNON,CA,LOS ANGELES,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,15025,0,0,25
Exxonmobil Oil Corp - West Coast,5/9/06,HL,,CA,KERN,CORROSION,UNSPECIFIED CORROSION,0,0,1570,0,0,70
Exxonmobil Oil Corp - West Coast,3/30/06,HL,GRAPEVINE,CA,KERN,CORROSION,UNSPECIFIED CORROSION,0,0,2550,0,0,50
Exxonmobil Oil Corp - West Coast,3/7/06,HL,LEBEC,CA,KERN,MATERIAL/WELD/EQUIP FAILURE,"THREADS STRIPPED, BROKEN PIPE COUPLING",0,0,46575,55,35,1575
Exxonmobil Oil Corporation-Terminals,10/14/13,HL,ANAHEIM,CA,ORANGE,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0,0,263660,133,118,
Freeport-Mcmoran Oil & Gas,6/24/14,HL,LOS ANGELES,CA,,CORROSION,INTERNAL,0,0,185525,0,0,25
Kern Oil & Refining Co.,8/1/11,HL,BAKERSFIELD,CA,KERN,CORROSION,EXTERNAL,0,0,12250,2,0,
Kern Oil & Refining Co.,10/24/06,HL,BAKERSFIELD,CA,KERN,EXCAVATION DAMAGE,UNSPECIFIED EXCAVATION DAMAGE,0,0,5800,4,0,
Mobil Corp,2/21/14,HL,DAISETTA,TX,LIBERTY,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0,0,32500,0,0,10000
Mobil Corp,11/3/13,HL,HULL,TX,HARDIN,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,0,0,88100,1,1,100
Mobil Corp,1/29/13,HL,BEAUMONT,TX,JEFFERSON,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0,0,252000,20,0,2000
Mobil Corp,12/11/12,HL,BEAUMONT,TX,JEFFERSON,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,1900,0,0,100
Mobil Corp,10/3/11,HL,TORRANCE,CA,LOS ANGELES,CORROSION,EXTERNAL,0,0,29100,41,0,4100
Mobil Corp,8/12/11,HL,NEIDERLAND,TX,JEFFERSON,CORROSION,INTERNAL,0,0,45240,1,1,240
Mobil Corp,7/13/11,HL,DAISETTA,TX,LIBERTY,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0,0,20100,0,0,100
